method,model,season,week,week_start,train_matches,valid_matches,test_matches,valid_accuracy,valid_log_loss,valid_brier,valid_rps,test_accuracy,test_log_loss,test_brier,test_rps,train_seasons
weekly_walk_forward,lr,2008-09,20,2008-12-08,61281,788,195,0.5088832487309645,1.015263359994657,0.6088655816115877,0.2053764059623824,0.5025641025641026,0.9960107532984027,0.6002524762194759,0.19978591959586461,
weekly_walk_forward,gbm,2008-09,20,2008-12-08,61281,788,195,0.501269035532995,1.0189263106109538,0.6108975388565453,0.20636175290101494,0.49743589743589745,0.9953871892298337,0.5997430687906459,0.2000497059277046,
weekly_walk_forward,gbm_calibrated,2008-09,20,2008-12-08,61281,788,195,0.5114213197969543,1.0126559748839818,0.6072729212004934,0.2048992116952852,0.5025641025641026,0.9989617585913776,0.6010567870576132,0.20016862477595362,
weekly_walk_forward,mlp,2008-09,20,2008-12-08,61281,788,195,0.5063451776649747,1.0195157712021583,0.6104477175069237,0.20600405805056518,0.49743589743589745,0.9970264266256322,0.6003200731391802,0.19897725666240854,
weekly_walk_forward,lr,2008-09,21,2008-12-15,61488,776,186,0.5038659793814433,1.0096058596641562,0.606473642426625,0.20254320574793433,0.5860215053763441,0.9489269252505278,0.5643775188788591,0.19163614715911054,
weekly_walk_forward,gbm,2008-09,21,2008-12-15,61488,776,186,0.5077319587628866,1.0119619634858135,0.6081215946075147,0.20324201081089494,0.5698924731182796,0.9476897706527998,0.5648658044447126,0.19312657926579888,
weekly_walk_forward,gbm_calibrated,2008-09,21,2008-12-15,61488,776,186,0.5025773195876289,1.010473636966572,0.6064893936502038,0.20252062218472555,0.5698924731182796,0.9501553381392618,0.5655509181101662,0.19330399177978938,
weekly_walk_forward,mlp,2008-09,21,2008-12-15,61488,776,186,0.4806701030927835,1.0191123240519242,0.6124932353768704,0.2042272852396949,0.5698924731182796,0.9449330515690734,0.5614938007125282,0.19103830095033417,
weekly_walk_forward,lr,2008-09,22,2008-12-22,61682,768,137,0.5286458333333334,0.9900597306703071,0.5922041067411006,0.19880100262895217,0.46715328467153283,1.0263093181765046,0.6199132370506517,0.2095340670793899,
weekly_walk_forward,gbm,2008-09,22,2008-12-22,61682,768,137,0.5247395833333334,0.9912533523313259,0.5933713979465708,0.19956493529191766,0.44525547445255476,1.0386413297624044,0.6296638823788903,0.21491338196323223,
weekly_walk_forward,gbm_calibrated,2008-09,22,2008-12-22,61682,768,137,0.52734375,0.9925850719526904,0.5936159723168115,0.19947268418303435,0.45985401459854014,1.0357076290464788,0.6262759156395618,0.21240527738229148,
weekly_walk_forward,mlp,2008-09,22,2008-12-22,61682,768,137,0.5182291666666666,0.9945668602002261,0.5952551023501998,0.19983662496805335,0.4744525547445255,1.0406994109432355,0.6267764627768934,0.21261558143826711,
weekly_walk_forward,lr,2008-09,23,2008-12-29,61878,709,68,0.5232722143864598,0.9890663956178679,0.592587741979644,0.20078623562442607,0.5294117647058824,0.987387089915182,0.5935603669194577,0.18267924724152337,
weekly_walk_forward,gbm,2008-09,23,2008-12-29,61878,709,68,0.5232722143864598,0.9953013807541662,0.597227809180578,0.20309229095821763,0.5,1.0057625893761195,0.6020706830473067,0.18649906663295596,
weekly_walk_forward,gbm_calibrated,2008-09,23,2008-12-29,61878,709,68,0.5162200282087447,0.9929519428657907,0.5947563465930364,0.20197336668632945,0.5147058823529411,0.9990418144893646,0.6005303392246304,0.1843988154833327,
weekly_walk_forward,mlp,2008-09,23,2008-12-29,61878,709,68,0.5105782792665726,0.9963462118956227,0.596559734737024,0.20253489727045593,0.5147058823529411,1.0057833333912922,0.6074857321114722,0.18728273711878807,
weekly_walk_forward,lr,2008-09,24,2009-01-05,62069,586,96,0.5221843003412969,0.9870067037073385,0.5926092022190345,0.19747590406478716,0.4895833333333333,1.0262134513469,0.6190827322702699,0.20365022628112214,
weekly_walk_forward,gbm,2008-09,24,2009-01-05,62069,586,96,0.5136518771331058,0.9954312602788579,0.5984644343573602,0.20062941035379656,0.4791666666666667,1.0334174889166843,0.6219253289708103,0.20508820093249813,
weekly_walk_forward,gbm_calibrated,2008-09,24,2009-01-05,62069,586,96,0.5136518771331058,0.9911742762003077,0.5948946074656037,0.19875690618376393,0.5104166666666666,1.0090433248422694,0.6087042842634985,0.20102341181580238,
weekly_walk_forward,mlp,2008-09,24,2009-01-05,62069,586,96,0.5221843003412969,0.9966822889878767,0.5986930119789111,0.20032106876608263,0.4791666666666667,1.0208364120738256,0.6148501275157617,0.20254762437847887,
weekly_walk_forward,lr,2008-09,25,2009-01-12,62264,487,174,0.5256673511293635,0.991175889592637,0.5948193448792194,0.19779226422959648,0.5574712643678161,0.9590689193338775,0.5699661218737097,0.19642164205505355,
weekly_walk_forward,gbm,2008-09,25,2009-01-12,62264,487,174,0.5133470225872689,0.9996275469001794,0.6013327785702627,0.20106431845497916,0.5574712643678161,0.9792988239933569,0.5822018602202795,0.19825216480013766,
weekly_walk_forward,gbm_calibrated,2008-09,25,2009-01-12,62264,487,174,0.5195071868583162,0.9921925754368848,0.5958305780233597,0.19883702236629788,0.5517241379310345,0.960941264872583,0.5710699305161118,0.19779566147084357,
