Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GBAHH,GBAHA,GBAH,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
SC2,23/10/04,Brechin,Forfar,2,0,H,1,0,H,1.72,3.6,3.75,1.9,3.5,3.2,1.75,3.5,3.75,1.7,3.4,3.6,1.62,3.5,4.5,1.73,3.5,3.8,1.66,3.6,4.0,1.75,1.81,-0.5,,,,,,,,,,,,,,,,1276.74,1221.64
SC2,23/10/04,Morton,Berwick,2,0,H,1,0,H,1.53,3.75,4.75,1.45,4.0,5.5,1.51,3.8,5.0,1.5,3.9,4.4,1.44,3.75,6.0,1.5,3.6,5.5,1.5,4.0,4.8,1.51,2.16,-0.5,,,,,,,,,,,,,,,,1264.07,1131.75
SC2,30/10/04,Alloa,Brechin,2,2,D,1,1,D,4.0,3.6,1.66,4.0,3.75,1.65,4.0,3.65,1.67,3.8,3.4,1.7,3.75,3.5,1.73,4.0,3.6,1.67,4.0,3.6,1.66,1.91,1.67,0.5,,,,,,,,,,,,,,,,1170.84,1284.0
SC2,30/10/04,Berwick,Stirling,0,1,A,0,0,D,3.4,3.5,1.83,3.75,3.75,1.7,3.3,3.6,1.85,3.1,3.3,1.9,2.75,3.5,2.1,3.25,3.4,1.91,3.0,3.6,1.95,1.72,1.85,0.5,,,,,,,,,,,,,,,,1126.55,1252.75
SC2,30/10/04,Forfar,Dumbarton,0,2,A,0,0,D,1.9,3.5,3.2,2.1,3.4,2.85,2.05,3.45,2.9,2.1,3.3,2.7,1.91,3.5,3.2,2.0,3.4,3.0,2.15,3.5,2.7,2.05,1.58,-0.5,,,,,,,,,,,,,,,,1214.38,1242.48
SC2,30/10/04,Morton,Ayr,0,1,A,0,0,D,1.8,3.5,3.5,1.8,3.6,3.45,1.8,3.55,3.45,1.8,3.3,3.4,1.73,3.5,3.75,1.75,3.5,3.75,1.66,3.6,4.0,1.8,1.75,-0.5,,,,,,,,,,,,,,,,1269.27,1247.7
SC2,30/10/04,Stranraer,Arbroath,2,1,H,1,1,D,1.5,3.6,5.5,1.55,4.2,4.2,1.5,3.75,5.25,1.45,3.8,4.8,1.44,4.0,5.5,1.44,3.75,6.0,1.44,3.75,6.0,1.5,2.19,-0.5,,,,,,,,,,,,,,,,1330.96,1167.57
SC2,06/11/04,Arbroath,Morton,0,3,A,0,0,D,3.0,3.4,2.0,3.3,3.4,1.9,3.1,3.5,1.95,3.0,3.4,1.9,2.75,3.5,2.1,3.0,3.4,2.0,3.1,3.6,1.9,1.64,1.95,0.5,,,,,,,,,,,,,,,,1163.07,1252.57
SC2,06/11/04,Ayr,Alloa,4,3,H,1,1,D,1.57,3.75,4.5,1.65,3.65,4.2,1.62,3.65,4.3,1.65,3.5,3.8,1.67,3.6,4.0,1.62,3.6,4.33,1.66,3.6,4.0,1.62,1.97,-0.5,,,,,,,,,,,,,,,,1264.4,1171.31
SC2,06/11/04,Brechin,Stranraer,4,1,H,2,1,H,1.9,3.5,3.2,2.1,3.4,2.85,2.1,3.5,2.75,2.1,3.3,2.7,2.1,3.5,2.75,2.1,3.4,2.8,2.2,3.5,2.62,2.1,1.54,-0.5,,,,,,,,,,,,,,,,1283.53,1335.46
SC2,06/11/04,Dumbarton,Berwick,3,1,H,2,0,H,1.61,3.6,4.33,1.65,3.6,4.2,1.67,3.55,4.1,1.7,3.5,3.6,1.67,3.6,4.0,1.62,3.6,4.33,1.7,3.6,3.8,1.67,1.9,-0.5,,,,,,,,,,,,,,,,1257.53,1114.99
SC2,06/11/04,Stirling,Forfar,3,1,H,1,0,H,1.72,3.6,3.75,1.7,3.5,4.0,1.8,3.65,3.4,1.8,3.4,3.3,1.73,3.5,3.75,1.73,3.5,3.8,1.83,3.75,3.2,1.8,1.76,-0.5,,,,,,,,,,,,,,,,1264.31,1199.33
SC2,13/11/04,Alloa,Berwick,2,2,D,1,1,D,1.9,3.5,3.2,1.9,3.55,3.2,1.9,3.5,3.2,1.9,3.4,3.0,1.73,3.5,3.75,1.91,3.5,3.2,2.0,3.6,2.87,1.9,1.67,-0.5,,,,,,,,,,,,,,,,1165.12,1110.03
SC2,13/11/04,Arbroath,Brechin,2,2,D,0,1,A,4.33,3.6,1.61,4.0,3.55,1.7,4.05,3.6,1.67,3.8,3.6,1.65,4.0,3.6,1.67,4.33,3.6,1.62,4.0,3.6,1.66,1.91,1.67,0.5,,,,,,,,,,,,,,,,1150.19,1294.31
SC2,13/11/04,Forfar,Ayr,2,3,A,2,1,H,2.5,3.4,2.3,2.45,3.5,2.35,2.55,3.5,2.25,2.6,3.3,2.2,2.5,3.5,2.25,2.5,3.4,2.3,2.5,3.6,2.25,1.48,2.25,0.5,,,,,,,,,,,,,,,,1192.36,1270.59
SC2,13/11/04,Morton,Stirling,3,0,H,1,0,H,1.83,3.4,3.5,2.0,3.4,3.1,1.9,3.5,3.2,2.0,3.3,2.9,2.0,3.4,3.0,2.0,3.4,3.0,1.8,3.6,3.4,1.9,1.67,-0.5,,,,,,,,,,,,,,,,1265.45,1271.28
