Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
T1,18/09/04,Konyaspor,A. Sebatspor,3,3,D,1,2,A,1.66,3.4,4.33,1.55,3.5,5.5,1.65,3.4,4.5,1.6,3.4,4.6,1.67,3.6,4.0,1.73,3.4,4.2,1.65,3.4,4.5,1.65,2.0,1.8,1.9,-0.75,,,,,,,,,,,,,,,,1471.03,1424.59
T1,18/09/04,Samsunspor,Istanbulspor,2,1,H,1,0,H,1.72,3.5,4.0,1.65,3.4,4.7,1.65,3.4,4.5,1.85,3.1,3.6,1.67,3.6,4.0,1.67,3.4,4.5,1.75,3.4,3.85,1.65,2.0,1.65,1.94,-0.5,,,,,,,,,,,,,,,,1434.06,1419.96
T1,19/09/04,Ankaragucu,Genclerbirligi,1,0,H,1,0,H,2.25,3.2,2.75,2.3,3.2,2.75,2.45,3.1,2.55,2.5,3.0,2.5,2.5,3.25,2.4,2.3,3.2,2.75,2.65,3.2,2.3,1.75,1.9,1.8,1.9,0.0,,,,,,,,,,,,,,,,1479.76,1504.07
T1,19/09/04,Besiktas,Galatasaray,0,0,D,0,0,D,2.25,3.0,2.87,2.1,3.2,3.1,2.15,3.2,2.9,2.3,3.0,2.7,2.2,3.25,2.88,2.2,3.2,2.88,2.2,3.0,3.0,1.79,1.85,1.8,1.9,-0.25,,,,,,,,,,,,,,,,1588.59,1610.31
T1,19/09/04,Rizespor,Kayserispor,2,1,H,1,1,D,1.66,3.4,4.33,1.5,3.6,6.0,1.6,3.5,4.7,1.6,3.4,4.6,1.67,3.6,4.0,1.67,3.4,4.5,1.6,3.4,4.8,1.65,2.0,1.9,1.8,-1.0,,,,,,,,,,,,,,,,1472.01,1376.75
T1,19/09/04,Trabzonspor,Gaziantepspor,0,0,D,0,0,D,1.57,3.5,5.0,1.65,3.5,4.5,1.65,3.4,4.5,1.5,3.7,5.0,1.67,3.6,4.0,1.67,3.4,4.5,1.65,3.4,4.5,1.6,2.1,1.8,1.9,-0.75,,,,,,,,,,,,,,,,1649.69,1574.76
T1,24/09/04,Genclerbirligi,Fenerbahce,1,2,A,0,0,D,3.6,3.4,1.8,4.5,3.5,1.65,3.8,3.4,1.77,3.2,3.1,2.0,3.5,3.4,1.83,3.8,3.2,1.83,4.2,3.4,1.7,1.6,2.1,1.79,1.77,0.5,,,,,,,,,,,,,,,,1494.25,1684.61
T1,25/09/04,A. Sebatspor,Rizespor,0,0,D,0,0,D,2.5,3.1,2.5,2.75,3.4,2.2,2.5,3.2,2.45,2.5,3.0,2.5,2.6,3.25,2.38,2.5,3.2,2.5,2.65,3.2,2.3,1.71,1.95,1.85,1.85,0.0,,,,,,,,,,,,,,,,1429.57,1478.14
T1,25/09/04,Besiktas,Ankaraspor,2,3,A,0,1,A,1.33,4.33,7.0,1.3,4.3,8.5,1.3,4.3,8.0,1.3,4.2,8.0,1.3,4.33,8.0,1.3,4.5,8.0,1.36,4.0,7.0,1.5,2.3,1.85,1.85,-1.5,,,,,,,,,,,,,,,,1585.82,1414.05
T1,25/09/04,Kayserispor,Samsunspor,1,4,A,0,1,A,2.37,3.2,2.6,2.4,3.4,2.5,2.3,3.2,2.65,2.3,3.0,2.7,2.38,3.25,2.6,2.38,3.1,2.7,2.35,3.2,2.6,1.65,2.0,2.0,1.73,-0.25,,,,,,,,,,,,,,,,1370.62,1442.6
T1,25/09/04,Sakaryaspor,Trabzonspor,1,3,A,1,1,D,7.0,3.75,1.4,8.25,4.5,1.3,7.0,3.6,1.42,5.4,3.8,1.45,7.0,3.75,1.4,7.5,3.75,1.4,6.4,3.85,1.4,1.5,2.3,1.8,1.9,1.25,,,,,,,,,,,,,,,,1365.93,1643.88
T1,26/09/04,Denizlispor,Ankaragucu,2,0,H,0,0,D,1.72,3.2,4.33,1.8,3.35,3.85,1.7,3.3,4.3,1.75,3.2,4.0,1.73,3.4,4.0,1.75,3.25,4.2,1.7,3.4,4.1,1.65,2.0,1.7,1.87,-0.5,,,,,,,,,,,,,,,,1519.03,1489.58
T1,26/09/04,Galatasaray,Istanbulspor,4,1,H,1,0,H,1.2,5.0,11.0,1.15,6.5,11.5,1.25,5.0,8.5,1.3,4.2,8.0,1.25,5.0,8.0,1.22,5.0,10.0,1.25,5.0,8.0,1.45,2.45,1.85,1.85,-1.75,,,,,,,,,,,,,,,,1613.08,1411.42
T1,26/09/04,Gaziantepspor,Diyarbakirspor,1,1,D,0,0,D,1.5,3.6,5.5,1.5,3.6,6.0,1.45,3.45,7.0,1.45,3.8,5.4,1.5,3.75,5.5,1.5,3.6,6.0,1.45,3.75,6.0,1.6,2.1,1.8,1.9,-1.0,,,,,,,,,,,,,,,,1580.57,1408.82
T1,26/09/04,Malatyaspor,Konyaspor,5,0,H,4,0,H,1.61,3.6,4.33,1.45,3.9,6.0,1.53,3.5,5.5,1.7,3.2,4.2,1.57,3.5,5.0,1.62,3.4,5.0,,,,1.6,2.1,1.9,1.8,-1.0,,,,,,,,,,,,,,,,1508.02,1466.05
T1,01/10/04,Ankaraspor,Galatasaray,0,2,A,0,1,A,4.5,3.5,1.61,4.5,3.5,1.65,4.25,3.3,1.7,4.0,3.2,1.75,3.75,3.6,1.73,4.5,3.4,1.67,4.5,3.3,1.66,1.65,2.0,1.95,1.8,0.75,,,,,,,,,,,,,,,,1434.72,1616.82
T1,02/10/04,Ankaragucu,Gaziantepspor,2,1,H,1,1,D,2.6,3.2,2.4,2.55,3.2,2.45,2.5,3.1,2.5,2.5,3.0,2.5,2.5,3.25,2.4,2.6,3.2,2.4,2.5,3.1,2.5,1.65,2.0,1.85,1.87,0.0,,,,,,,,,,,,,,,,1481.53,1572.4
T1,02/10/04,Diyarbakirspor,Sakaryaspor,1,0,H,0,0,D,1.53,3.5,5.5,1.55,3.5,5.5,1.55,3.35,5.55,1.65,3.3,4.4,1.5,3.75,5.5,1.57,3.4,5.5,1.55,3.6,5.0,1.65,2.0,1.85,1.9,-0.75,,,,,,,,,,,,,,,,1416.99,1359.33
