Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,EloHome,EloAway
I2,21/09/04,Pescara,Albinoleffe,1,3,A,0,1,A,2.5,2.6,3.0,2.45,2.45,3.25,2.55,2.55,2.9,2.4,2.5,3.0,2.4,2.5,3.2,2.4,2.6,3.1,2.4,2.5,3.2,2.0,1.61,1.75,1.95,0.0,,,,,,,,,,,1377.84,1489.07
I2,21/09/04,Torino,Genoa,2,1,H,0,0,D,2.75,3.0,2.37,2.65,3.05,2.45,3.0,3.0,2.25,2.7,2.9,2.4,2.75,3.0,2.38,2.8,3.0,2.38,2.7,3.0,2.37,1.9,1.7,1.95,1.63,-0.5,,,,,,,,,,,1503.59,1485.98
I2,21/09/04,Venezia,Verona,3,2,H,0,2,A,2.0,2.4,5.0,2.1,2.55,3.95,2.05,2.55,4.1,2.1,2.5,3.6,1.9,2.62,4.5,2.1,2.5,4.0,2.0,2.6,4.1,2.0,1.61,1.75,1.95,-0.25,,,,,,,,,,,1415.86,1444.07
I2,21/09/04,Vicenza,Crotone,3,2,H,1,1,D,1.66,2.75,6.5,1.7,2.75,5.75,1.71,2.75,5.7,1.7,2.7,5.2,1.8,2.75,5.0,1.73,2.75,5.5,,,,1.95,1.66,1.95,1.75,-0.75,,,,,,,,,,,1487.4,1459.15
I2,22/09/04,Salernitana,Triestina,3,3,D,1,3,A,2.2,2.6,3.5,2.15,2.55,3.75,2.1,2.65,3.7,2.1,2.5,3.6,2.1,2.625,3.75,2.2,2.62,3.5,2.1,2.6,3.75,1.95,1.66,1.75,1.95,-0.25,,,,,,,,,,,1434.92,1516.12
I2,24/09/04,Ascoli,Catanzaro,1,0,H,1,0,H,2.0,2.6,4.0,2.0,2.7,4.0,1.97,2.7,4.0,2.0,2.6,3.7,1.9,2.75,4.2,2.0,2.7,4.0,2.0,2.6,4.1,1.95,1.66,1.97,1.61,-0.5,,,,,,,,,,,1484.72,1465.23
I2,25/09/04,Albinoleffe,Vicenza,2,1,H,1,0,H,2.0,2.6,4.0,2.1,2.5,4.05,2.05,2.55,4.0,2.1,2.6,3.4,2.0,2.6,4.2,2.1,2.6,3.75,2.15,2.6,3.6,2.0,1.61,1.77,1.95,-0.25,,,,,,,,,,,1501.17,1495.48
I2,25/09/04,Bari,Torino,0,1,A,0,0,D,3.1,2.5,2.5,3.2,2.5,2.45,3.0,2.55,2.5,2.9,2.6,2.4,3.1,2.5,2.5,3.0,2.6,2.5,2.9,2.6,2.5,1.9,1.7,2.05,1.7,0.0,,,,,,,,,,,1457.39,1512.01
I2,25/09/04,Catania,Perugia,0,0,D,0,0,D,2.37,2.5,3.25,2.4,2.5,3.25,2.4,2.5,3.25,2.3,2.6,3.0,2.3,2.62,3.25,2.4,2.62,3.1,2.3,2.65,3.15,1.95,1.66,1.7,2.05,0.0,,,,,,,,,,,1532.73,1613.13
I2,25/09/04,Crotone,Modena,1,0,H,0,0,D,2.62,2.5,2.87,2.7,2.5,2.85,2.5,2.55,3.0,2.5,2.5,2.8,2.62,2.6,2.8,2.6,2.6,2.8,2.5,2.55,3.0,2.0,1.61,1.8,1.9,0.0,,,,,,,,,,,1451.07,1541.65
I2,25/09/04,Genoa,Salernitana,5,0,H,2,0,H,1.66,2.87,5.5,1.6,3.0,6.1,1.6,2.9,6.5,1.65,2.9,5.0,1.66,2.8,6.0,1.62,3.0,5.75,1.65,2.95,5.5,1.95,1.66,1.8,1.9,-0.75,,,,,,,,,,,1477.56,1434.24
I2,25/09/04,Piacenza,Cesena,2,1,H,0,0,D,1.66,2.87,5.5,1.7,2.75,5.9,1.65,2.85,6.0,1.7,2.8,4.9,1.66,2.8,6.0,1.7,2.8,5.5,1.7,2.9,5.1,1.9,1.7,1.9,1.8,-0.75,,,,,,,,,,,1519.44,1500.58
I2,25/09/04,Ternana,Venezia,2,0,H,1,0,H,1.72,2.87,5.0,1.75,2.75,5.35,1.7,2.8,5.5,1.7,2.8,4.9,1.72,2.75,5.5,1.73,2.8,5.25,1.7,2.9,5.1,1.9,1.7,1.97,1.75,-0.75,,,,,,,,,,,1506.92,1425.81
I2,25/09/04,Treviso,Pescara,1,1,D,1,1,D,1.8,2.87,4.5,1.8,2.75,4.9,1.77,2.75,5.0,1.8,2.7,4.4,1.83,2.62,5.0,1.8,2.8,4.75,1.75,2.87,4.75,1.9,1.7,1.77,1.77,-0.5,,,,,,,,,,,1451.23,1365.74
I2,25/09/04,Triestina,Empoli,3,4,A,2,2,D,2.1,2.5,4.0,2.1,2.5,4.05,2.05,2.55,4.0,2.1,2.5,3.6,2.1,2.62,3.75,2.1,2.6,3.75,2.05,2.6,3.9,1.95,1.66,1.8,1.9,-0.25,,,,,,,,,,,1516.8,1570.54
I2,27/09/04,Verona,Arezzo,5,3,H,2,3,A,2.75,2.5,2.75,2.85,2.55,2.65,2.8,2.6,2.6,2.6,2.6,2.6,2.75,2.6,2.62,2.8,2.6,2.6,2.7,2.62,2.65,1.95,1.66,1.85,1.85,0.0,,,,,,,,,,,1434.12,1501.4
I2,01/10/04,Perugia,Genoa,2,2,D,0,1,A,2.2,2.5,3.75,2.2,2.5,3.75,2.1,2.6,3.8,2.2,2.6,3.2,2.2,2.5,3.75,2.1,2.62,3.75,2.1,2.7,3.55,2.0,1.61,1.82,1.89,-0.25,,,,,,,,,,,1613.83,1485.18
I2,01/10/04,Vicenza,Piacenza,4,2,H,0,1,A,2.25,2.62,3.4,2.55,2.5,3.05,2.3,2.55,3.3,2.4,2.6,2.9,2.3,2.6,3.2,2.38,2.62,3.1,2.1,2.7,3.55,2.0,1.61,2.05,1.7,-0.25,,,,,,,,,,,1486.67,1527.82
I2,02/10/04,Arezzo,Triestina,1,2,A,1,2,A,1.9,2.75,4.33,1.8,2.7,5.1,1.85,2.7,4.6,1.85,2.6,4.4,1.83,2.75,4.5,1.91,2.7,4.33,2.0,2.65,4.0,1.8,1.8,1.85,1.7,-0.5,,,,,,,,,,,1490.07,1502.65
I2,02/10/04,Ascoli,Treviso,2,1,H,1,0,H,1.9,2.5,5.0,1.65,2.75,6.5,1.7,2.85,5.4,1.75,2.7,4.8,1.75,2.8,5.0,1.8,2.7,5.0,1.9,2.7,4.3,1.8,1.8,1.95,1.77,-0.75,,,,,,,,,,,1493.08,1445.13
I2,02/10/04,Bari,Albinoleffe,1,1,D,0,1,A,2.4,2.75,2.9,2.6,2.55,2.9,2.45,2.65,2.95,2.6,2.6,2.7,2.6,2.6,2.8,2.5,2.62,2.88,2.25,2.65,3.25,2.0,1.61,1.81,1.9,0.0,,,,,,,,,,,1443.27,1509.98
I2,02/10/04,Catanzaro,Crotone,2,2,D,2,0,H,1.9,2.87,4.0,1.85,2.65,4.8,1.87,2.75,4.45,1.9,2.6,4.2,2.0,2.7,4.0,1.91,2.7,4.33,1.85,2.75,4.45,1.8,1.8,1.87,1.7,-0.5,,,,,,,,,,,1456.87,1463.23
I2,02/10/04,Cesena,Verona,0,1,A,0,0,D,1.8,2.75,5.0,1.85,2.65,4.8,1.85,2.7,4.7,1.85,2.7,4.2,1.83,2.6,5.0,1.85,2.75,4.5,1.8,2.75,4.75,1.95,1.66,1.85,1.71,-0.5,,,,,,,,,,,1492.2,1445.45
I2,02/10/04,Empoli,Salernitana,3,0,H,1,0,H,1.72,2.75,5.5,1.75,2.75,5.4,1.68,2.85,5.7,1.65,2.8,5.3,1.7,2.8,5.5,1.7,2.8,5.5,1.65,2.8,6.0,1.85,1.74,1.93,1.78,-0.75,,,,,,,,,,,1584.69,1426.62
I2,02/10/04,Modena,Ternana,4,0,H,1,0,H,1.9,2.75,4.33,1.9,2.6,4.7,1.87,2.7,4.55,1.9,2.6,4.2,2.0,2.7,4.0,1.91,2.7,4.33,1.9,2.7,4.3,2.0,1.61,0.87,1.96,-0.5,,,,,,,,,,,1529.49,1513.44
I2,02/10/04,Torino,Catania,2,1,H,0,0,D,1.66,3.0,5.5,1.6,2.9,6.5,1.62,2.95,6.0,1.6,2.9,5.5,1.62,2.8,6.5,1.62,3.0,5.75,1.72,2.75,5.4,1.8,1.8,1.88,1.83,-0.75,,,,,,,,,,,1526.13,1532.03
I2,02/10/04,Venezia,Pescara,1,1,D,0,0,D,1.9,2.87,4.0,1.8,2.75,5.0,1.85,2.7,4.65,1.8,2.7,4.4,1.83,2.75,4.5,1.91,2.75,4.2,1.9,2.7,4.3,1.95,1.66,1.85,1.71,-0.5,,,,,,,,,,,1419.29,1371.84
I2,06/10/04,Albinoleffe,Catanzaro,1,1,D,1,0,H,1.72,2.75,5.5,1.65,2.95,5.8,1.65,2.9,5.7,1.6,2.8,5.7,1.7,2.8,5.5,1.67,2.88,5.5,1.65,2.8,6.0,1.85,1.74,1.65,1.92,-0.5,,,,,,,,,,,1511.17,1453.58
I2,06/10/04,Catania,Ascoli,2,2,D,0,1,A,1.83,2.62,5.0,1.75,2.7,5.5,1.75,2.7,5.5,1.8,2.6,4.6,1.8,2.7,5.0,1.8,2.7,5.0,1.75,2.75,5.2,1.9,1.7,1.75,1.81,-0.5,,,,,,,,,,,1522.84,1500.56
I2,06/10/04,Crotone,Torino,2,1,H,0,0,D,3.25,2.6,2.3,3.3,2.7,2.25,3.3,2.7,2.2,3.0,2.6,2.3,3.3,2.62,2.25,3.4,2.6,2.25,3.25,2.65,2.25,1.95,1.66,1.49,2.2,0.5,,,,,,,,,,,1466.52,1535.32
I2,06/10/04,Genoa,Vicenza,5,2,H,2,1,H,1.72,2.75,5.5,1.6,2.95,6.5,1.65,2.9,5.7,1.65,2.9,5.0,1.7,2.8,5.5,1.7,2.88,5.25,1.65,2.8,6.0,1.7,1.9,1.65,1.92,-0.5,,,,,,,,,,,1492.39,1497.07
I2,06/10/04,Pescara,Modena,2,0,H,0,0,D,2.75,2.5,2.75,2.75,2.6,2.7,2.75,2.6,2.65,2.65,2.6,2.65,2.9,2.5,2.6,2.7,2.6,2.7,2.45,2.75,2.8,1.9,1.7,1.34,2.65,0.5,,,,,,,,,,,1376.85,1537.96
I2,06/10/04,Piacenza,Empoli,1,3,A,0,1,A,2.1,2.75,3.5,2.1,2.65,3.7,2.1,2.6,3.8,2.2,2.6,3.2,2.1,2.75,3.4,2.1,2.7,3.6,2.05,2.65,3.8,1.85,1.74,2.1,1.54,-0.5,,,,,,,,,,,1517.42,1589.3
I2,06/10/04,Salernitana,Perugia,0,2,A,0,1,A,2.7,2.75,2.6,2.75,2.6,2.7,2.7,2.6,2.7,2.75,2.55,2.6,2.75,2.62,2.6,2.7,2.6,2.7,2.62,2.7,2.65,1.8,1.8,2.7,1.32,-0.5,,,,,,,,,,,1422.01,1606.62
I2,06/10/04,Ternana,Arezzo,1,1,D,0,0,D,2.0,2.7,4.0,2.1,2.7,3.6,2.1,2.7,3.6,2.0,2.6,3.7,2.1,2.62,3.75,2.1,2.7,3.6,2.1,2.7,3.55,1.8,1.8,2.1,1.54,-0.5,,,,,,,,,,,1504.97,1474.49
I2,06/10/04,Triestina,Treviso,1,0,H,1,0,H,1.66,2.87,5.5,1.6,2.9,6.5,1.6,2.9,6.5,1.6,2.9,5.4,1.57,3.0,6.5,1.6,3.0,6.0,1.6,2.87,6.4,1.85,1.74,1.6,2.01,-0.5,,,,,,,,,,,1518.23,1437.65
I2,06/10/04,Venezia,Cesena,0,2,A,0,0,D,2.2,2.6,3.5,2.15,2.6,3.7,2.1,2.65,3.7,2.1,2.6,3.4,2.1,2.62,3.75,2.1,2.62,3.75,2.15,2.7,3.4,1.9,1.7,2.1,1.54,-0.5,,,,,,,,,,,1414.28,1474.71
I2,06/10/04,Verona,Bari,0,0,D,0,0,D,2.0,2.7,4.0,1.85,2.7,4.7,1.8,2.75,4.8,1.8,2.7,4.4,2.0,2.62,4.0,1.85,2.75,4.5,1.85,2.75,4.5,1.9,1.7,1.8,1.75,-0.5,,,,,,,,,,,1462.94,1442.08
I2,10/10/04,Arezzo,Crotone,3,0,H,0,0,D,1.83,2.75,4.5,1.77,2.75,5.2,1.85,2.75,4.6,2.0,2.6,3.7,1.8,2.7,5.0,1.85,2.75,4.5,1.9,2.75,4.2,1.85,1.74,1.85,1.72,-0.5,,,,,,,,,,,1478.98,1477.9
I2,10/10/04,Ascoli,Verona,2,1,H,0,0,D,1.83,2.62,5.0,1.85,2.55,5.3,1.83,2.65,5.0,1.85,2.7,4.2,1.8,2.7,5.0,1.85,2.75,4.5,1.83,2.7,4.8,1.9,1.7,1.83,1.73,-0.5,,,,,,,,,,,1504.79,1458.76
I2,10/10/04,Bari,Genoa,0,1,A,0,1,A,3.25,2.5,2.37,3.45,2.65,2.2,3.3,2.65,2.25,2.8,2.6,2.5,3.4,2.62,2.2,3.25,2.7,2.25,3.0,2.7,2.37,1.85,1.74,1.47,2.25,0.5,,,,,,,,,,,1446.26,1501.54
I2,10/10/04,Catania,Triestina,2,1,H,0,0,D,2.0,2.6,4.0,1.9,2.65,4.6,1.93,2.65,4.4,2.2,2.5,3.4,2.0,2.62,4.0,2.0,2.7,4.0,2.1,2.6,3.75,1.9,1.7,1.93,1.65,-0.5,,,,,,,,,,,1518.61,1524.76
I2,10/10/04,Catanzaro,Salernitana,3,0,H,2,0,H,1.72,2.87,5.0,1.7,2.85,5.5,1.8,2.85,4.6,1.9,2.7,4.0,1.72,2.87,5.0,1.73,2.88,5.0,1.83,2.7,4.8,1.8,1.8,1.8,1.76,-0.5,,,,,,,,,,,1458.89,1412.5
I2,10/10/04,Modena,Venezia,1,0,H,1,0,H,1.57,3.25,5.5,1.55,3.15,6.2,1.6,3.0,6.1,1.6,3.0,5.2,1.57,3.0,6.5,1.57,3.1,6.0,1.72,2.9,5.0,,,1.6,2.01,-0.5,,,,,,,,,,,1523.28,1400.36
I2,10/10/04,Perugia,Cesena,1,1,D,0,0,D,1.57,3.25,5.5,1.5,3.3,7.0,1.55,3.1,6.5,1.6,3.0,5.2,1.61,2.8,6.5,1.57,3.1,6.0,1.72,2.9,5.0,1.9,1.7,1.55,2.1,-0.5,,,,,,,,,,,1616.13,1488.63
