Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,EloHome,EloAway
P1,26/09/04,Gil Vicente,Moreirense,3,1,H,0,0,D,2.2,3.2,2.8,2.15,3.25,2.95,2.2,3.1,3.0,1.85,3.1,3.6,,,,2.2,3.2,2.8,2.2,3.1,2.87,1.95,1.71,1.85,1.95,-0.25,,,,,,,,,,,,,1407.99,1479.63
P1,26/09/04,Leiria,Penafiel,1,2,A,0,2,A,1.66,3.4,4.33,1.5,3.65,5.8,1.6,3.5,5.0,1.6,3.4,4.6,,,,1.62,3.4,4.75,1.6,3.4,4.5,1.83,1.83,2.0,1.8,-1.0,,,,,,,,,,,,,1520.78,1377.39
P1,26/09/04,Nacional,Academica,2,1,H,0,0,D,1.72,3.4,4.0,1.6,3.55,4.9,1.7,3.4,4.4,1.7,3.2,4.2,,,,1.62,3.4,4.75,1.72,3.4,4.0,1.83,1.83,1.8,2.0,-0.75,,,,,,,,,,,,,1500.19,1403.87
P1,26/09/04,Rio Ave,Sp Lisbon,0,0,D,0,0,D,3.0,3.2,2.1,3.3,3.25,2.0,3.1,3.2,2.1,3.1,3.0,2.1,,,,3.2,3.2,2.0,3.1,3.2,2.05,1.95,1.71,2.0,1.8,0.25,,,,,,,,,,,,,1479.88,1603.68
P1,27/09/04,Estoril,Belenenses,1,0,H,0,0,D,2.37,3.1,2.62,2.4,3.2,2.6,2.5,3.1,2.55,2.5,3.0,2.5,,,,2.38,3.1,2.6,2.5,3.1,2.5,2.0,1.65,1.9,1.9,0.0,,,,,,,,,,,,,1404.68,1445.77
P1,01/10/04,Boavista,Rio Ave,0,1,A,0,1,A,1.66,3.25,4.5,1.6,3.55,4.9,1.7,3.3,4.5,1.75,3.1,4.2,,,,1.73,3.25,4.2,1.75,3.25,4.0,2.1,1.6,1.95,1.85,-0.75,,,,,,,,,,,,,1504.47,1480.73
P1,03/10/04,Academica,Gil Vicente,2,1,H,2,1,H,2.0,3.2,3.2,2.15,3.25,2.95,2.1,3.2,3.1,2.1,3.0,3.1,,,,2.1,3.1,3.1,2.1,3.2,3.0,1.85,1.79,1.85,1.95,-0.25,,,,,,,,,,,,,1397.77,1419.47
P1,03/10/04,Guimaraes,Benfica,1,2,A,0,0,D,4.5,3.25,1.66,4.05,3.4,1.75,4.0,3.25,1.8,3.6,3.1,1.85,,,,3.75,3.3,1.8,3.75,3.3,1.8,1.95,1.71,1.79,1.8,0.5,,,,,,,,,,,,,1441.69,1701.18
P1,03/10/04,Moreirense,Setubal,2,2,D,1,0,H,2.1,3.2,3.0,1.95,3.25,3.4,2.1,3.2,3.1,2.0,3.0,3.3,,,,2.1,3.1,3.1,2.1,3.2,3.0,1.95,1.71,1.85,1.95,-0.25,,,,,,,,,,,,,1468.15,1413.41
P1,03/10/04,Penafiel,Estoril,2,1,H,2,1,H,2.1,3.2,3.0,1.9,3.3,3.55,2.0,3.2,3.35,2.1,3.0,3.1,,,,2.0,3.2,3.2,2.05,3.1,3.2,1.9,1.75,1.8,2.0,-0.25,,,,,,,,,,,,,1397.45,1415.08
P1,03/10/04,Porto,Belenenses,3,0,H,1,0,H,1.36,4.0,7.0,1.3,4.5,8.25,1.3,4.6,8.0,1.35,4.0,7.0,,,,1.33,4.0,8.0,1.3,4.33,8.0,1.71,1.95,1.3,2.92,-0.5,,,,,,,,,,,,,1731.36,1435.37
P1,04/10/04,Sp Lisbon,Leiria,2,2,D,1,1,D,1.44,3.6,6.5,1.35,4.2,7.5,1.45,3.75,6.4,1.4,3.7,6.5,,,,1.4,3.75,7.0,1.4,3.75,7.0,1.79,1.85,1.45,2.36,-0.5,,,,,,,,,,,,,1602.83,1500.72
P1,05/10/04,Sp Braga,Nacional,3,2,H,1,0,H,1.9,3.2,3.5,1.8,3.4,3.8,1.75,3.4,3.05,1.8,3.1,3.8,,,,1.85,3.25,3.6,1.83,3.2,3.75,2.0,1.65,1.75,1.85,-0.5,,,,,,,,,,,,,1521.78,1506.29
P1,10/10/04,Beira Mar,Maritimo,2,2,D,1,0,H,2.1,3.2,3.0,2.1,3.25,3.05,2.2,3.05,3.0,2.2,2.9,3.0,,,,2.25,3.0,2.88,2.25,3.0,2.87,1.85,1.79,2.2,1.51,-0.5,,,,,,,,,,,,,1430.5,1505.79
P1,15/10/04,Gil Vicente,Sp Braga,0,1,A,0,0,D,2.4,3.1,2.6,2.35,3.2,2.65,2.5,3.2,2.5,2.3,3.0,2.7,2.5,3.2,2.5,2.5,3.1,2.5,2.4,3.25,2.5,1.9,1.75,1.4,2.5,0.5,,,,,,,,,,,,,1409.74,1530.27
P1,16/10/04,Estoril,Sp Lisbon,1,4,A,0,2,A,3.5,3.2,1.9,3.4,3.25,1.95,3.5,3.2,1.95,3.5,3.1,1.9,,,,3.5,3.2,1.91,3.3,3.25,1.95,1.9,1.75,1.67,1.95,0.5,,,,,,,,,,,,,1405.49,1596.28
P1,16/10/04,Maritimo,Moreirense,1,0,H,0,0,D,1.53,3.5,5.5,1.55,3.6,5.3,1.5,3.6,5.9,1.55,3.5,4.8,,,,1.57,3.5,5.0,1.57,3.5,5.0,1.83,1.83,1.5,2.24,-0.5,,,,,,,,,,,,,1506.68,1462.92
P1,16/10/04,Nacional,Guimaraes,1,0,H,1,0,H,1.72,3.4,4.0,1.75,3.4,4.05,1.8,3.2,4.1,1.9,3.1,3.5,,,,1.8,3.1,4.0,1.8,3.4,3.6,1.83,1.83,1.8,1.8,-0.5,,,,,,,,,,,,,1497.8,1434.56
P1,17/10/04,Belenenses,Penafiel,4,1,H,0,1,A,1.66,3.4,4.33,1.7,3.45,4.3,1.7,3.3,4.5,1.7,3.2,4.2,,,,1.73,3.25,4.2,1.72,3.4,4.0,1.83,1.83,1.7,1.9,-0.5,,,,,,,,,,,,,1433.05,1407.04
P1,17/10/04,Benfica,Porto,0,1,A,0,1,A,2.37,3.0,2.75,2.3,3.2,2.75,2.3,3.0,2.9,2.1,3.0,3.1,,,,2.25,3.1,2.8,2.37,2.9,2.8,2.0,1.65,2.3,1.47,-0.5,,,,,,,,,,,,,1708.31,1733.68
P1,17/10/04,Leiria,Boavista,0,3,A,0,1,A,2.25,3.1,2.8,2.2,3.2,2.9,2.2,3.1,3.0,2.2,2.9,3.0,,,,2.3,3.2,2.62,2.25,3.2,2.75,1.9,1.75,2.2,1.52,-0.5,,,,,,,,,,,,,1507.27,1487.7
P1,17/10/04,Rio Ave,Beira Mar,1,1,D,1,0,H,1.83,3.2,3.75,2.0,3.25,3.3,1.85,3.1,4.0,1.85,3.1,3.6,,,,1.83,3.2,3.75,1.83,3.4,3.5,1.85,1.79,1.85,1.75,-0.5,,,,,,,,,,,,,1497.5,1429.61
P1,18/10/04,Setubal,Academica,1,0,H,0,0,D,1.66,3.3,4.5,1.7,3.45,4.3,1.75,3.3,4.2,1.8,3.1,3.8,1.667,3.25,4.5,1.75,3.2,4.2,1.72,3.4,4.0,1.83,1.83,1.75,1.85,-0.5,,,,,,,,,,,,,1418.64,1407.5
P1,22/10/04,Boavista,Estoril,0,0,D,0,0,D,1.44,3.75,6.5,1.4,4.0,6.75,1.5,3.6,6.0,1.5,3.5,5.4,1.5,3.4,6.0,1.5,3.6,5.5,1.44,3.6,6.5,2.0,1.65,1.5,2.25,-0.5,,,,,,,,,,,,,1504.34,1396.18
P1,23/10/04,Moreirense,Rio Ave,0,0,D,0,0,D,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.0,3.0,2.2,2.8,3.1,,,,2.25,3.2,2.75,2.1,3.2,3.0,1.95,1.71,2.25,1.5,-0.5,,,,,,,,,,,,,1455.32,1491.89
P1,23/10/04,Sp Braga,Setubal,2,3,A,2,1,H,1.72,3.2,4.33,1.8,3.4,3.8,1.75,3.3,4.25,1.75,3.2,4.0,,,,1.73,3.25,4.2,1.7,3.3,4.2,1.95,1.71,1.75,1.86,-0.5,,,,,,,,,,,,,1542.03,1427.27
P1,23/10/04,Sp Lisbon,Belenenses,2,0,H,0,0,D,1.5,3.6,5.5,1.4,4.0,6.75,1.45,3.75,6.5,1.4,3.9,6.0,,,,1.44,3.75,6.0,1.44,3.6,6.5,1.71,1.95,1.45,2.38,-0.5,,,,,,,,,,,,,1605.59,1441.21
P1,24/10/04,Academica,Maritimo,1,0,H,1,0,H,2.62,3.0,2.5,2.5,3.15,2.5,2.55,3.1,2.5,2.4,2.9,2.7,,,,2.5,3.1,2.5,2.6,3.1,2.4,1.9,1.75,1.4,2.5,0.5,,,,,,,,,,,,,1398.87,1514.28
P1,24/10/04,Beira Mar,Leiria,0,1,A,0,0,D,1.9,3.25,3.5,1.95,3.25,3.4,2.0,3.15,3.4,2.0,3.0,3.3,,,,2.0,3.2,3.2,2.0,3.2,3.2,1.9,1.75,2.0,1.64,-0.5,,,,,,,,,,,,,1435.22,1490.63
P1,24/10/04,Benfica,Nacional,2,1,H,0,0,D,1.33,4.33,7.5,1.25,5.0,9.0,1.3,4.5,8.5,1.33,4.0,7.5,,,,1.3,4.33,8.0,1.33,4.0,8.0,1.71,1.95,1.3,2.94,-0.5,,,,,,,,,,,,,1693.17,1504.82
P1,24/10/04,Guimaraes,Gil Vicente,2,1,H,2,0,H,1.8,3.2,4.0,1.8,3.4,3.8,1.8,3.25,4.0,1.8,3.1,3.8,,,,1.8,3.3,3.75,1.85,3.3,3.5,1.9,1.75,1.8,1.79,-0.5,,,,,,,,,,,,,1427.54,1397.98
P1,24/10/04,Porto,Penafiel,2,0,H,2,0,H,1.2,5.0,11.0,1.2,5.5,10.0,1.2,5.3,11.0,1.2,5.0,10.0,,,,1.2,5.0,11.0,,,,1.65,2.0,1.2,3.58,-0.5,,,,,,,,,,,,,1748.82,1398.88
P1,30/10/04,Nacional,Porto,2,2,D,0,1,A,4.33,3.25,1.72,3.8,3.4,1.8,4.0,3.25,1.8,3.8,3.1,1.8,4.0,3.4,1.727,3.75,3.3,1.8,3.75,3.2,1.83,1.83,1.83,1.79,1.8,0.5,,,,,,,,,,,,,1500.83,1750.56
P1,30/10/04,Penafiel,Sp Lisbon,0,3,A,0,0,D,4.33,3.25,1.72,4.0,3.45,1.75,4.0,3.45,1.75,4.4,3.3,1.65,4.333,3.2,1.727,4.0,3.4,1.73,4.2,3.25,1.72,1.9,1.75,1.85,1.75,0.5,,,,,,,,,,,,,1397.14,1610.07
P1,31/10/04,Belenenses,Boavista,1,2,A,1,1,D,2.2,3.2,2.8,2.15,3.25,2.95,2.25,3.3,2.75,2.3,2.9,2.8,,,,2.2,3.25,2.75,2.25,3.2,2.7,1.9,1.75,2.25,1.5,-0.5,,,,,,,,,,,,,1436.73,1497.63
P1,31/10/04,Estoril,Beira Mar,5,0,H,3,0,H,2.25,3.2,2.75,2.15,3.25,2.95,2.3,3.1,2.8,2.2,2.9,3.0,,,,2.25,3.25,2.7,2.25,3.2,2.7,1.83,1.83,2.3,1.47,-0.5,,,,,,,,,,,,,1402.89,1421.12
P1,31/10/04,Gil Vicente,Benfica,1,1,D,1,0,H,5.5,3.5,1.5,5.3,3.6,1.55,5.25,3.6,1.55,4.8,3.5,1.55,6.5,3.6,1.444,5.5,3.5,1.53,5.5,3.5,1.53,1.83,1.83,2.14,1.55,0.5,,,,,,,,,,,,,1389.94,1697.16
P1,31/10/04,Leiria,Moreirense,0,0,D,0,0,D,1.72,3.4,4.0,1.8,3.4,3.8,1.8,3.35,3.85,1.75,3.2,4.0,,,,1.75,3.3,4.0,1.75,3.3,4.0,1.83,1.83,1.8,1.79,-0.5,,,,,,,,,,,,,1504.73,1453.06
P1,31/10/04,Rio Ave,Academica,3,1,H,1,0,H,1.8,3.2,4.0,1.8,3.4,3.8,1.8,3.2,4.1,1.75,3.2,4.0,,,,1.8,3.25,3.8,1.75,3.3,4.0,2.0,1.65,1.8,1.8,-0.5,,,,,,,,,,,,,1494.15,1411.92
P1,01/11/04,Maritimo,Sp Braga,2,0,H,1,0,H,1.9,3.2,3.5,1.8,3.4,3.8,1.95,3.25,3.4,1.85,3.1,3.6,1.909,3.2,3.5,1.91,3.25,3.4,1.9,3.25,3.4,1.83,1.83,1.95,1.66,-0.5,,,,,,,,,,,,,1501.23,1522.66
P1,01/11/04,Setubal,Guimaraes,1,0,H,0,0,D,1.8,3.2,4.0,1.7,3.45,4.3,1.85,3.25,3.75,1.8,3.1,3.8,1.8,3.25,3.75,1.8,3.25,3.8,1.8,3.3,3.75,1.9,1.75,1.85,1.74,-0.5,,,,,,,,,,,,,1446.64,1435.58
P1,05/11/04,Beira Mar,Belenenses,3,3,D,1,1,D,2.1,3.2,3.0,2.1,3.25,3.05,2.15,3.25,2.95,2.2,2.9,3.0,2.1,3.2,3.0,2.1,3.2,3.0,2.2,3.25,2.75,1.9,1.75,2.15,1.55,-0.5,1.825,2.025,-0.25,,,,,,,,,,1411.51,1422.83
P1,06/11/04,Boavista,Penafiel,2,1,H,0,1,A,1.44,3.75,6.0,1.4,4.0,6.75,1.4,3.95,7.0,1.45,3.6,5.8,,,,1.44,3.75,6.0,1.4,3.75,7.0,1.9,1.75,1.4,2.53,-0.5,2.0,1.85,-1.25,,,,,,,,,,1511.53,1388.57
P1,06/11/04,Guimaraes,Maritimo,1,1,D,0,1,A,2.37,3.1,2.62,2.35,3.2,2.65,2.35,3.25,2.65,2.3,2.9,2.8,,,,2.3,3.1,2.7,2.3,3.2,2.65,2.0,1.65,2.35,1.46,-0.5,2.025,1.825,-0.25,,,,,,,,,,1426.94,1510.95
P1,07/11/04,Academica,Leiria,0,1,A,0,1,A,2.1,3.2,3.0,2.2,3.2,2.9,2.1,3.2,3.1,2.2,2.9,3.0,,,,2.1,3.2,3.0,2.0,3.2,3.2,1.95,1.71,2.1,1.57,-0.5,1.95,1.9,-0.25,,,,,,,,,,1405.43,1499.6
P1,07/11/04,Benfica,Setubal,4,0,H,1,0,H,1.4,3.75,7.0,1.45,3.8,6.25,1.4,4.0,6.75,1.45,3.6,5.8,,,,1.4,3.75,7.0,1.4,3.75,7.0,1.79,1.85,1.4,2.51,-0.5,2.025,1.825,-1.25,,,,,,,,,,1690.48,1455.28
P1,07/11/04,Moreirense,Estoril,1,2,A,1,0,H,2.0,3.2,3.2,1.9,3.3,3.55,2.0,3.1,3.45,1.9,3.1,3.5,,,,2.0,3.1,3.3,2.0,3.2,3.2,1.9,1.75,2.0,1.63,-0.5,2.025,1.825,-0.5,,,,,,,,,,1458.19,1412.5
