Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
SP1,19/09/04,Mallorca,Malaga,1,2,A,0,1,A,1.9,3.25,3.5,1.8,3.3,4.1,2.0,3.25,3.65,1.85,3.1,3.6,1.83,3.2,3.75,1.91,3.25,3.75,1.9,3.1,3.6,1.9,1.8,2.0,1.8,1.65,2.15,-0.25,2.04,1.8,-0.5,2.05,1.85,-0.5,,,,,,1703.0,1664.33
SP1,19/09/04,Numancia,Getafe,1,0,H,1,0,H,1.9,3.25,3.5,1.9,3.25,3.75,2.0,3.25,3.7,2.0,3.0,3.3,1.8,3.25,3.75,2.0,3.25,3.4,1.95,3.1,3.5,1.95,1.75,2.15,1.66,1.65,2.15,-0.25,1.98,1.86,-0.5,2.05,1.85,-0.5,,,,,,1642.0,1649.26
SP1,19/09/04,Santander,Villarreal,1,1,D,0,0,D,2.3,3.2,2.7,2.45,3.15,2.65,2.5,3.25,2.7,2.5,3.0,2.5,2.5,3.2,2.5,2.5,3.1,2.62,2.37,3.1,2.62,1.85,1.85,2.1,1.7,2.1,1.67,-0.25,1.84,2.0,0.0,1.825,2.075,0.0,,,,,,1606.94,1679.94
SP1,19/09/04,Sevilla,Levante,3,0,H,1,0,H,1.72,3.25,4.33,1.7,3.4,4.55,1.75,3.35,4.8,1.75,3.2,4.0,1.62,3.25,5.0,1.67,3.4,4.8,1.61,3.3,5.0,1.95,1.75,2.05,1.75,2.15,1.65,-1.0,1.94,1.9,-0.75,1.95,1.95,-0.75,,,,,,1718.7,1694.02
SP1,19/09/04,Zaragoza,Albacete,4,3,H,1,2,A,1.72,3.25,4.33,1.8,3.3,4.1,1.77,3.3,4.75,1.85,3.1,3.6,1.57,3.5,5.0,1.73,3.25,4.5,1.7,3.3,4.33,1.95,1.75,2.05,1.75,2.15,1.65,-1.0,1.84,2.0,-0.75,1.9,2.0,-0.75,,,,,,1689.89,1647.9
SP1,21/09/04,Real Madrid,Osasuna,1,0,H,0,0,D,1.44,3.75,6.5,1.4,4.0,7.0,1.42,4.25,7.0,1.4,3.9,6.0,1.36,4.0,7.0,1.44,4.2,6.0,1.4,3.75,7.0,1.65,2.05,1.8,2.0,1.85,1.85,-1.0,2.12,1.72,-1.25,1.9,2.0,-1.0,,,,,,1785.72,1678.15
SP1,22/09/04,Albacete,Mallorca,0,0,D,0,0,D,2.25,3.2,2.8,2.4,3.1,2.75,2.35,3.2,2.9,2.1,3.0,3.1,2.25,3.2,2.75,2.38,3.1,2.8,2.37,3.1,2.62,1.85,1.85,1.95,1.85,1.7,2.05,0.0,2.0,1.84,-0.25,1.975,1.925,-0.25,,,,,,1640.24,1685.76
SP1,22/09/04,Betis,Ath Bilbao,2,1,H,1,1,D,2.3,3.2,2.7,2.2,3.2,3.0,2.3,3.2,3.0,2.2,2.9,3.0,2.25,3.2,2.75,2.3,3.1,2.9,2.25,3.2,2.75,1.85,1.85,2.05,1.75,1.7,2.05,0.0,2.06,1.78,-0.25,2.1,1.8,-0.25,,,,,,1687.84,1708.66
SP1,22/09/04,Getafe,Espanol,1,0,H,1,0,H,2.62,3.2,2.37,2.65,3.25,2.35,2.85,3.2,2.4,2.8,2.9,2.3,2.75,3.2,2.25,2.75,3.2,2.38,2.6,3.1,2.4,1.95,1.75,2.05,1.75,2.3,1.55,-0.25,2.12,1.72,0.0,2.125,1.775,0.0,,,,,,1640.02,1693.0
SP1,22/09/04,La Coruna,Valencia,1,5,A,0,4,A,2.4,3.2,2.6,2.5,3.1,2.65,2.4,3.2,2.85,2.2,3.0,2.9,2.38,3.0,2.75,2.4,3.1,2.8,2.4,3.1,2.6,1.9,1.8,2.05,1.75,2.05,1.7,-0.25,1.84,2.0,0.0,1.875,2.025,0.0,,,,,,1798.37,1825.61
