Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GBAHH,GBAHA,GBAH,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
SC3,28/08/04,Cowdenbeath,East Stirling,2,1,H,0,1,A,1.2,5.5,9.0,1.2,5.75,8.5,1.2,5.2,8.0,1.3,4.2,6.5,1.2,5.5,9.0,1.2,5.5,9.0,1.2,6.0,8.0,1.2,3.15,-0.5,,,,,,,,,,,,,,,,1053.75,720.5
SC3,28/08/04,East Fife,Stenhousemuir,0,0,D,0,0,D,2.1,3.5,2.75,2.2,3.5,2.6,2.15,3.5,2.5,2.2,3.3,2.5,2.2,3.5,2.62,2.2,3.4,2.62,2.25,3.6,2.5,2.15,1.46,-0.5,,,,,,,,,,,,,,,,1085.49,1001.11
SC3,28/08/04,Elgin,Montrose,1,3,A,1,0,H,2.0,3.4,3.0,1.95,3.5,3.1,2.0,3.5,2.7,2.0,3.3,2.8,1.91,3.5,3.2,2.0,3.4,3.0,2.05,3.6,2.8,2.0,1.52,-0.5,,,,,,,,,,,,,,,,899.36,1003.22
SC3,28/08/04,Queens Park,Gretna,3,2,H,0,0,D,4.5,3.75,1.57,4.4,4.0,1.55,4.2,4.0,1.5,3.8,3.6,1.6,4.0,3.6,1.67,4.33,3.8,1.57,4.5,4.2,1.5,2.05,1.5,0.5,,,,,,,,,,,,,,,,976.85,1150.61
SC3,04/09/04,East Stirling,Elgin,0,1,A,0,0,D,4.33,3.6,1.61,3.75,3.75,1.7,4.0,3.75,1.6,3.4,3.6,1.7,5.0,3.75,1.53,4.33,3.75,1.6,3.6,4.0,1.66,1.94,1.6,0.5,,,,,,,,,,,,,,,,718.59,887.0
SC3,04/09/04,Gretna,Cowdenbeath,2,1,H,1,0,H,1.4,4.33,5.5,1.4,4.3,5.75,1.36,4.0,6.5,1.4,4.0,5.0,1.36,4.0,7.0,1.44,4.0,5.5,1.36,4.2,6.5,1.36,2.48,-0.5,,,,,,,,,,,,,,,,1135.5,1055.66
SC3,04/09/04,Montrose,Albion Rvs,1,1,D,0,1,A,2.1,3.5,2.75,2.0,3.5,3.0,2.1,3.4,2.7,2.1,3.3,2.6,2.1,3.5,2.75,2.1,3.5,2.75,2.15,3.6,2.62,2.1,1.5,-0.5,,,,,,,,,,,,,,,,1015.58,1005.09
SC3,04/09/04,Peterhead,East Fife,2,0,H,2,0,H,1.57,3.75,4.5,1.55,3.75,4.75,1.57,3.75,4.25,1.6,3.6,3.8,1.62,4.0,4.0,1.57,3.75,4.5,1.6,4.0,4.0,1.57,1.99,-0.5,,,,,,,,,,,,,,,,1141.95,1079.42
SC3,04/09/04,Stenhousemuir,Queens Park,1,1,D,1,0,H,1.83,3.5,3.4,1.9,3.5,3.2,1.8,3.5,3.3,1.9,3.3,3.0,1.73,3.5,3.75,1.8,3.5,3.5,2.05,3.6,2.8,1.8,1.7,-0.5,,,,,,,,,,,,,,,,1007.18,991.96
SC3,11/09/04,Albion Rvs,Stenhousemuir,1,0,H,1,0,H,2.3,3.6,2.4,2.4,3.45,2.4,2.5,3.25,2.25,2.4,3.2,2.3,2.375,3.5,2.375,2.5,3.5,2.25,2.5,3.6,2.25,1.41,2.25,0.5,,,,,,,,,,,,,,,,1008.94,1003.18
SC3,11/09/04,Cowdenbeath,Elgin,3,1,H,1,1,D,1.909,3.5,3.2,2.2,3.5,2.6,2.2,3.3,2.55,2.2,3.2,2.5,1.909,3.5,3.2,2.2,3.4,2.62,2.3,3.4,2.5,2.2,1.44,-0.5,,,,,,,,,,,,,,,,1049.11,897.07
SC3,11/09/04,East Fife,East Stirling,1,0,H,1,0,H,1.143,6.5,12.0,1.2,6.0,8.25,1.13,5.7,11.0,1.15,6.0,8.0,1.167,6.0,10.0,1.16,5.5,11.0,1.12,6.5,12.0,1.13,3.75,-0.5,,,,,,,,,,,,,,,,1072.38,708.52
SC3,11/09/04,Peterhead,Gretna,1,1,D,1,0,H,2.3,3.4,2.5,2.25,3.5,2.55,2.25,3.25,2.5,2.35,3.2,2.35,2.25,3.5,2.5,2.37,3.25,2.5,2.4,3.4,2.4,2.25,1.41,-0.5,,,,,,,,,,,,,,,,1148.99,1142.05
SC3,11/09/04,Queens Park,Montrose,1,2,A,1,1,D,2.0,3.4,3.0,1.9,3.5,3.2,1.97,3.3,2.9,2.0,3.2,2.8,1.833,3.5,3.4,2.0,3.4,3.0,2.1,3.6,2.7,1.97,1.54,-0.5,,,,,,,,,,,,,,,,995.96,1011.73
SC3,18/09/04,East Stirling,Queens Park,0,5,A,0,2,A,5.5,3.6,1.5,6.35,4.0,1.4,5.0,3.8,1.45,4.5,4.0,1.45,5.0,4.0,1.5,6.0,4.0,1.4,5.5,4.33,1.4,2.16,1.45,0.5,,,,,,,,,,,,,,,,706.9,980.49
SC3,18/09/04,Elgin,Albion Rvs,1,0,H,0,0,D,2.2,3.4,2.62,2.1,3.45,2.8,2.3,3.4,2.35,2.3,3.4,2.3,2.25,3.5,2.5,2.2,3.5,2.6,2.37,3.5,2.37,2.3,1.39,-0.5,,,,,,,,,,,,,,,,892.32,1017.75
SC3,18/09/04,Gretna,East Fife,5,1,H,1,1,D,1.4,4.33,5.5,1.6,3.65,4.5,1.45,3.8,5.0,1.45,4.0,4.5,1.4,4.33,5.5,1.44,4.0,5.5,1.44,4.33,5.0,1.45,2.16,-0.5,,,,,,,,,,,,,,,,1145.78,1074.0
SC3,18/09/04,Montrose,Cowdenbeath,3,1,H,1,1,D,2.3,3.4,2.5,2.2,3.5,2.6,2.3,3.15,2.5,2.2,3.3,2.5,2.2,3.5,2.62,2.3,3.4,2.5,2.3,3.4,2.5,2.3,1.39,-0.5,,,,,,,,,,,,,,,,1027.2,1053.86
SC3,18/09/04,Stenhousemuir,Peterhead,1,2,A,1,0,H,3.0,3.4,2.0,2.85,3.4,2.1,3.0,3.25,1.95,2.8,3.3,2.0,2.75,3.5,2.1,3.2,3.5,1.91,3.2,3.75,1.83,1.56,1.95,0.5,,,,,,,,,,,,,,,,994.37,1145.26
SC3,25/09/04,Albion Rvs,East Stirling,3,3,D,3,3,D,1.2,5.5,9.0,1.15,6.5,9.0,1.16,5.5,9.0,1.15,6.0,8.0,1.17,5.5,12.0,1.15,6.0,10.0,1.16,6.5,9.0,1.16,3.41,-0.5,,,,,,,,,,,,,,,,1004.34,700.17
SC3,25/09/04,East Fife,Queens Park,1,4,A,0,1,A,2.37,3.5,2.37,2.3,3.35,2.5,2.2,3.35,2.5,2.2,3.3,2.5,2.2,3.5,2.62,2.25,3.5,2.5,2.25,3.4,2.6,2.2,1.43,-0.5,,,,,,,,,,,,,,,,1067.22,987.22
SC3,25/09/04,Gretna,Elgin,3,0,H,2,0,H,1.44,3.75,6.0,1.4,4.0,6.0,1.38,3.8,6.0,1.45,4.0,4.5,1.33,4.33,7.0,1.4,4.0,6.0,1.36,4.5,6.0,1.38,2.33,-0.5,,,,,,,,,,,,,,,,1152.56,905.73
SC3,25/09/04,Montrose,Stenhousemuir,0,2,A,0,0,D,2.2,3.5,2.6,2.2,3.4,2.6,2.15,3.4,2.55,2.2,3.3,2.5,2.25,3.5,2.5,2.2,3.5,2.6,2.25,3.6,2.5,2.15,1.46,-0.5,,,,,,,,,,,,,,,,1037.1,983.69
SC3,25/09/04,Peterhead,Cowdenbeath,3,1,H,2,1,H,1.44,3.75,6.0,1.4,4.0,6.0,1.4,3.85,5.5,1.45,4.0,4.5,1.36,4.0,7.0,1.36,4.2,6.5,1.4,4.33,5.5,1.4,2.26,-0.5,,,,,,,,,,,,,,,,1155.94,1043.96
SC3,02/10/04,Cowdenbeath,Albion Rvs,2,0,H,1,0,H,2.1,3.5,2.75,2.1,3.5,2.7,2.05,3.5,2.65,2.1,3.3,2.6,2.0,3.4,3.0,2.1,3.4,2.8,2.05,3.6,2.8,2.05,1.51,-0.5,,,,,,,,,,,,,,,,1038.26,994.06
SC3,02/10/04,East Stirling,Montrose,1,1,D,1,0,H,7.0,3.75,1.4,8.0,4.8,1.25,5.5,3.85,1.4,4.5,3.8,1.45,5.5,4.33,1.4,7.0,4.0,1.36,5.5,4.33,1.4,2.26,1.4,0.5,,,,,,,,,,,,,,,,710.45,1019.41
SC3,02/10/04,Elgin,East Fife,2,1,H,2,1,H,1.9,3.5,3.2,1.9,3.5,3.1,2.05,3.5,2.65,2.1,3.3,2.6,2.1,3.5,2.75,2.1,3.5,2.75,2.1,3.6,2.7,2.05,1.51,-0.5,,,,,,,,,,,,,,,,902.74,1048.77
SC3,02/10/04,Queens Park,Peterhead,1,2,A,1,1,D,3.5,3.5,1.8,3.75,3.6,1.7,3.2,3.5,1.8,3.0,3.4,1.85,2.75,3.5,2.1,3.4,3.4,1.85,3.1,3.6,1.9,1.67,1.8,0.5,,,,,,,,,,,,,,,,1005.67,1161.64
SC3,02/10/04,Stenhousemuir,Gretna,0,3,A,0,1,A,4.0,3.6,1.66,3.75,3.6,1.7,3.7,3.5,1.67,3.3,3.5,1.75,3.4,3.5,1.83,3.8,3.6,1.7,3.8,3.6,1.7,1.8,1.67,0.5,,,,,,,,,,,,,,,,1001.38,1155.55
SC3,16/10/04,East Fife,Albion Rvs,1,0,H,0,0,D,2.0,3.4,3.0,2.0,3.2,3.15,2.05,3.35,2.65,2.1,3.3,2.7,2.1,3.5,2.75,2.1,3.4,2.8,2.2,3.5,2.62,2.05,1.48,-0.5,,,,,,,,,,,,,,,,1034.62,986.47
SC3,16/10/04,Gretna,East Stirling,8,1,H,4,1,H,1.1,7.0,13.0,1.1,6.5,14.0,1.1,6.0,13.0,1.15,5.5,9.0,1.1,7.0,15.0,1.1,7.0,13.0,1.08,7.5,15.0,1.1,4.11,-0.5,,,,,,,,,,,,,,,,1166.12,717.18
SC3,16/10/04,Peterhead,Montrose,3,2,H,2,1,H,1.36,4.5,6.0,1.4,3.8,6.5,1.3,4.3,6.5,1.35,3.9,6.0,1.33,4.33,7.0,1.36,4.0,7.0,1.36,4.2,6.5,1.3,2.59,-0.5,,,,,,,,,,,,,,,,1172.14,1012.68
SC3,16/10/04,Queens Park,Elgin,0,1,A,0,1,A,2.25,3.5,2.5,2.15,3.2,2.8,2.15,3.35,2.55,2.2,3.3,2.5,2.1,3.5,2.75,2.2,3.5,2.6,2.25,3.6,2.5,2.15,1.45,-0.5,,,,,,,,,,,,,,,,995.17,916.89
SC3,16/10/04,Stenhousemuir,Cowdenbeath,2,2,D,2,1,H,2.2,3.5,2.6,1.85,3.3,3.45,2.1,3.3,2.65,2.0,3.3,2.8,2.0,3.4,3.0,2.1,3.4,2.8,2.05,3.6,2.8,2.1,1.47,-0.5,,,,,,,,,,,,,,,,990.81,1045.85
SC3,23/10/04,Albion Rvs,Gretna,2,6,A,0,1,A,7.0,3.75,1.4,6.5,4.2,1.35,6.5,3.85,1.35,5.0,4.2,1.4,5.5,3.6,1.5,6.0,4.0,1.4,6.5,4.2,1.36,2.42,1.35,0.5,,,,,,,,,,,,,,,,979.0,1167.14
SC3,23/10/04,Cowdenbeath,Queens Park,2,1,H,2,1,H,2.25,3.5,2.5,2.3,3.45,2.45,2.3,3.4,2.35,2.35,3.2,2.35,2.2,3.5,2.62,2.25,3.5,2.5,2.37,3.5,2.37,2.3,1.39,-0.5,,,,,,,,,,,,,,,,1047.46,976.77
SC3,23/10/04,East Stirling,Peterhead,1,2,A,0,1,A,12.0,6.0,1.14,9.0,6.5,1.15,10.0,6.0,1.13,8.0,5.0,1.2,10.0,6.0,1.17,12.0,6.0,1.12,12.0,6.5,1.12,3.75,1.13,0.5,,,,,,,,,,,,,,,,716.16,1176.72
SC3,23/10/04,Elgin,Stenhousemuir,1,1,D,0,0,D,2.0,3.4,3.0,1.8,3.5,3.45,2.0,3.4,2.8,2.1,3.3,2.8,1.91,3.5,3.2,2.0,3.5,2.9,2.1,3.6,2.7,2.0,1.54,-0.5,,,,,,,,,,,,,,,,935.29,989.2
SC3,23/10/04,Montrose,East Fife,2,1,H,1,0,H,2.0,3.4,3.0,2.15,3.5,2.65,2.2,3.4,2.5,2.2,3.3,2.6,2.0,3.4,3.0,2.1,3.5,2.7,2.25,3.6,2.5,2.2,1.44,-0.5,,,,,,,,,,,,,,,,1008.1,1042.09
SC3,30/10/04,East Stirling,Cowdenbeath,0,2,A,0,1,A,7.0,5.0,1.28,,,,5.0,4.2,1.4,4.5,3.9,1.45,7.0,4.33,1.33,7.0,4.5,1.29,5.0,4.33,1.44,2.28,1.4,0.5,,,,,,,,,,,,,,,,713.37,1054.27
SC3,30/10/04,Gretna,Queens Park,4,1,H,3,0,H,1.25,5.0,8.0,,,,1.25,4.5,7.5,1.25,4.8,7.0,1.22,5.5,8.0,1.2,5.5,9.0,1.25,5.0,8.0,1.25,2.81,-0.5,,,,,,,,,,,,,,,,1176.54,969.96
SC3,30/10/04,Montrose,Elgin,2,0,H,1,0,H,2.3,3.4,2.5,,,,2.25,3.4,2.4,2.4,3.2,2.4,2.1,3.5,2.75,2.25,3.6,2.5,2.37,3.5,2.37,2.25,1.41,-0.5,,,,,,,,,,,,,,,,1018.25,933.64
SC3,30/10/04,Peterhead,Albion Rvs,4,1,H,2,0,H,1.2,5.5,9.0,,,,1.2,4.85,8.7,1.22,5.0,7.5,1.14,6.0,12.0,1.17,6.0,9.5,1.22,5.5,8.0,1.2,3.11,-0.5,,,,,,,,,,,,,,,,1179.51,969.6
SC3,30/10/04,Stenhousemuir,East Fife,5,2,H,1,1,D,2.0,3.4,3.0,,,,2.0,3.4,2.8,2.1,3.3,2.7,2.0,3.4,3.0,2.0,3.4,3.0,2.1,3.5,2.75,2.0,1.54,-0.5,,,,,,,,,,,,,,,,990.85,1031.94
SC3,06/11/04,Albion Rvs,Montrose,1,2,A,1,0,H,2.5,3.5,2.25,2.6,3.4,2.2,2.5,3.35,2.2,2.6,3.3,2.2,2.62,3.5,2.2,2.62,3.4,2.2,2.62,3.5,2.2,1.43,2.2,0.5,,,,,,,,,,,,,,,,966.0,1024.67
SC3,06/11/04,Cowdenbeath,Gretna,0,8,A,0,6,A,5.5,4.0,1.44,5.5,4.2,1.4,4.75,4.0,1.44,4.4,3.9,1.45,5.5,3.6,1.5,5.0,3.8,1.5,5.5,4.0,1.44,2.17,1.44,0.5,,,,,,,,,,,,,,,,1059.27,1180.19
SC3,06/11/04,East Fife,Peterhead,0,2,A,0,0,D,6.0,3.75,1.44,5.5,4.2,1.4,5.25,3.75,1.44,4.4,3.9,1.45,5.5,3.6,1.5,5.5,4.0,1.44,5.5,4.0,1.44,2.19,1.44,0.5,,,,,,,,,,,,,,,,1021.54,1183.11
SC3,06/11/04,Elgin,East Stirling,1,3,A,0,0,D,1.14,6.0,12.0,1.15,6.5,9.0,1.14,6.0,9.0,1.15,4.8,8.0,1.17,5.5,12.0,1.14,6.0,12.0,1.16,6.0,10.0,1.14,3.6,-0.5,,,,,,,,,,,,,,,,927.22,708.37
SC3,06/11/04,Queens Park,Stenhousemuir,4,3,H,0,2,A,2.1,3.5,2.75,2.2,3.4,2.6,2.2,3.45,2.45,2.3,3.3,2.3,2.25,3.5,2.5,2.2,3.4,2.62,2.37,3.5,2.37,2.2,1.43,-0.5,,,,,,,,,,,,,,,,966.31,1001.25
SC3,13/11/04,East Stirling,East Fife,1,1,D,1,1,D,3.2,3.5,1.9,3.2,3.4,1.9,3.2,3.5,1.9,3.1,3.5,1.85,4.0,4.0,1.62,3.4,3.5,1.83,3.1,3.6,1.9,1.67,1.9,0.5,,,,,,,,,,,,,,,,729.93,1011.23
SC3,13/11/04,Elgin,Cowdenbeath,0,4,A,0,1,A,2.2,3.5,2.6,2.1,3.4,2.75,2.25,3.4,2.6,2.2,3.3,2.6,2.0,3.4,3.0,2.2,3.5,2.6,2.3,3.4,2.5,2.25,1.47,-0.5,,,,,,,,,,,,,,,,905.66,1047.52
SC3,13/11/04,Gretna,Peterhead,2,1,H,1,1,D,1.8,3.5,3.5,2.0,3.5,2.9,1.9,3.45,3.25,2.0,3.3,2.9,1.91,3.5,3.2,1.91,3.2,3.5,1.9,3.4,3.25,1.83,1.72,-0.5,,,,,,,,,,,,,,,,1191.94,1193.42
SC3,13/11/04,Montrose,Queens Park,2,4,A,0,3,A,2.1,3.5,2.75,1.8,3.5,3.45,2.0,3.4,3.05,2.0,3.3,2.9,1.91,3.5,3.2,2.0,3.4,3.0,2.15,3.5,2.7,2.0,1.61,-0.5,,,,,,,,,,,,,,,,1038.65,976.5
SC3,13/11/04,Stenhousemuir,Albion Rvs,3,0,H,3,0,H,1.72,3.4,3.75,1.7,3.5,3.85,1.7,3.6,3.9,1.7,3.5,3.6,1.57,3.75,4.5,1.67,3.6,4.0,1.72,3.75,3.6,1.7,1.87,-0.5,,,,,,,,,,,,,,,,991.06,952.02
SC3,20/11/04,Gretna,Albion Rvs,6,2,H,2,1,H,1.11,6.5,13.0,1.12,6.5,12.0,1.11,6.0,12.0,1.12,5.7,10.0,1.1,7.0,15.0,1.12,6.5,12.0,1.12,6.5,12.0,,,,,,,,,,,,,,,,,,,1200.99,944.27
SC3,27/11/04,Albion Rvs,Elgin,2,2,D,0,1,A,2.5,3.4,2.3,,,,2.5,3.35,2.2,2.6,3.3,2.2,2.62,3.5,2.2,2.6,3.5,2.2,2.62,3.5,2.2,1.43,2.2,0.5,,,,,,,,,,,,,,,,941.43,894.66
SC3,27/11/04,East Fife,Gretna,1,3,A,1,2,A,7.0,5.0,1.28,,,,7.0,4.75,1.25,7.0,4.5,1.27,8.0,5.0,1.25,8.0,5.0,1.25,8.0,5.0,1.25,2.83,1.25,0.5,,,,,,,,,,,,,,,,1005.24,1203.83
SC3,27/11/04,Queens Park,East Stirling,0,0,D,0,0,D,1.28,5.0,7.0,,,,1.2,5.0,8.5,1.3,4.3,6.5,1.22,5.0,9.0,1.22,5.2,8.5,1.2,5.5,9.0,1.2,3.15,-0.5,,,,,,,,,,,,,,,,994.44,735.92
SC3,30/11/04,Cowdenbeath,Montrose,0,0,D,0,0,D,2.37,3.5,2.37,2.3,3.3,2.55,2.3,3.3,2.4,2.2,3.3,2.5,2.25,3.5,2.5,2.25,3.4,2.6,2.37,3.5,2.37,2.3,1.39,-0.5,,,,,,,,,,,,,,,,1058.52,1020.71
SC3,30/11/04,Peterhead,Stenhousemuir,5,0,H,2,0,H,1.36,4.33,6.0,1.35,4.25,6.5,1.3,4.3,6.5,1.35,4.4,5.6,1.33,4.33,7.0,1.33,4.33,7.0,1.3,4.8,7.0,1.3,2.59,-0.5,,,,,,,,,,,,,,,,1184.37,998.81
SC3,04/12/04,Cowdenbeath,Peterhead,0,4,A,0,0,D,4.5,3.75,1.57,4.5,3.5,1.6,4.5,3.5,1.55,4.2,3.7,1.55,5.5,3.6,1.5,4.5,3.75,1.57,4.5,3.75,1.57,1.97,1.55,0.5,,,,,,,,,,,,,,,,1053.81,1188.42
SC3,04/12/04,East Stirling,Albion Rvs,1,1,D,0,1,A,2.5,3.4,2.3,2.7,3.35,2.15,2.35,3.3,2.35,2.3,3.3,2.3,2.2,3.5,2.62,2.38,3.5,2.38,2.37,3.5,2.37,,,,,,,,,,,,,,,,,,,745.6,936.44
SC3,04/12/04,Elgin,Gretna,1,3,A,0,2,A,9.0,5.0,1.22,,,,7.5,4.5,1.25,6.5,4.8,1.25,8.0,5.0,1.25,8.0,5.0,1.25,8.0,5.0,1.25,2.81,1.25,0.5,,,,,,,,,,,,,,,,899.65,1212.88
SC3,04/12/04,Queens Park,East Fife,1,2,A,0,2,A,1.72,3.6,3.75,1.7,3.45,4.0,1.6,3.6,4.0,1.65,3.5,3.8,1.62,4.0,4.0,1.67,3.6,4.0,1.61,3.75,4.2,1.6,1.89,-0.5,,,,,,,,,,,,,,,,984.76,996.19
SC3,04/12/04,Stenhousemuir,Montrose,1,1,D,0,1,A,2.2,3.5,2.6,2.25,3.3,2.6,2.2,3.35,2.5,2.2,3.2,2.6,2.25,3.5,2.5,2.25,3.5,2.5,2.25,3.6,2.5,2.2,1.43,-0.5,,,,,,,,,,,,,,,,994.76,1025.42
SC3,18/12/04,Albion Rvs,Cowdenbeath,2,3,A,1,1,D,3.2,3.5,1.9,3.2,3.4,1.9,3.15,3.4,1.85,3.1,3.3,1.9,3.0,3.4,2.0,3.4,3.5,1.83,3.1,3.6,1.9,1.64,1.85,0.5,,,,,,,,,,,,,,,,933.24,1042.55
SC3,18/12/04,Gretna,Stenhousemuir,3,0,H,2,0,H,1.12,6.5,12.0,1.12,6.5,12.0,1.13,6.0,10.0,1.15,5.0,8.0,1.12,6.5,12.0,1.12,6.5,12.0,1.16,6.5,9.0,,,,,,,,,,,,,,,,,,,1218.55,992.3
SC3,18/12/04,Peterhead,Queens Park,2,2,D,1,0,H,1.25,5.0,8.0,1.3,4.5,7.0,1.25,4.45,8.0,1.25,4.8,7.0,1.2,5.5,9.0,1.25,5.0,8.0,1.25,5.0,8.0,,,,,,,,,,,,,,,,,,,1199.68,969.14
SC3,27/12/04,East Fife,Montrose,1,0,H,0,0,D,2.37,3.5,2.37,2.5,3.5,2.25,2.5,3.35,2.2,2.6,3.2,2.2,2.5,3.5,2.25,2.5,3.5,2.3,2.5,3.6,2.25,1.43,2.2,0.5,,,,,,,,,,,,,,,,1011.81,1027.88
SC3,27/12/04,Peterhead,East Stirling,3,0,H,2,0,H,1.1,7.0,15.0,1.11,6.5,13.0,1.1,5.55,15.0,1.12,5.5,11.0,1.12,6.5,12.0,1.12,6.5,12.0,1.11,6.5,15.0,1.1,4.05,-0.5,,,,,,,,,,,,,,,,1190.42,748.8
SC3,27/12/04,Queens Park,Cowdenbeath,2,3,A,1,2,A,2.25,3.4,2.6,2.25,3.35,2.6,2.2,3.35,2.5,2.2,3.2,2.6,2.2,3.5,2.62,2.25,3.4,2.6,2.3,3.4,2.5,2.2,1.43,-0.5,,,,,,,,,,,,,,,,978.4,1054.72
