Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LB,LB.1,LB.2,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,EloHome,EloAway
D2,17/09/04,Munich 1860,Duisburg,1,0,H,0,0,D,1.83,3.25,3.75,1.9,3.25,3.6,1.9,3.25,3.75,1.85,3.1,3.6,1.83,3.2,3.75,1.95,3.3,3.6,1.85,3.2,3.7,1.71,2.0,1.9,1.74,-0.5,,,,,,,1540.99,1531.0
D2,19/09/04,Aachen,FC Koln,2,3,A,1,0,H,2.37,3.0,2.75,2.4,3.1,2.7,2.4,3.1,2.75,2.3,2.9,2.8,,,,2.5,3.0,2.8,2.4,3.0,2.65,1.75,1.95,1.77,1.95,0.0,,,,,,,1545.22,1517.57
D2,19/09/04,Essen,Cottbus,4,2,H,1,0,H,2.62,3.2,2.37,2.8,3.2,2.25,2.9,3.2,2.25,2.5,3.0,2.5,,,,3.1,3.2,2.2,2.75,3.1,2.3,1.75,1.95,1.95,1.77,0.0,,,,,,,1460.39,1551.94
D2,19/09/04,Greuther Furth,Erfurt,2,0,H,2,0,H,1.66,3.4,4.33,1.65,3.4,4.7,1.7,3.4,4.5,1.7,3.1,4.4,,,,1.67,3.6,4.5,1.6,3.4,4.8,1.79,1.9,1.8,1.9,-0.75,,,,,,,1568.55,1493.29
D2,19/09/04,Oberhausen,Burghausen,1,2,A,1,0,H,2.0,3.2,3.2,1.9,3.25,3.6,1.9,3.2,3.8,2.0,3.0,3.3,,,,1.95,3.3,3.6,1.95,3.15,3.4,1.71,2.0,1.9,1.74,-0.5,,,,,,,1478.17,1494.1
D2,19/09/04,Saarbrucken,Ein Frankfurt,3,0,H,1,0,H,2.75,3.2,2.25,2.9,3.2,2.2,2.9,3.2,2.25,2.7,3.0,2.3,,,,3.0,3.2,2.25,2.8,3.1,2.25,1.71,2.0,1.77,1.95,0.25,,,,,,,1473.51,1557.49
D2,19/09/04,Unterhaching,Erzgebirge Aue,4,1,H,2,0,H,2.25,3.2,2.75,2.1,3.2,3.1,2.15,3.2,3.1,2.1,3.0,3.1,,,,2.2,3.2,3.1,2.1,3.1,3.1,1.65,2.05,1.8,1.9,-0.25,,,,,,,1465.3,1536.35
D2,24/09/04,Burghausen,Essen,3,2,H,2,1,H,1.83,3.25,3.6,1.75,3.4,4.1,1.8,3.35,4.1,1.8,3.1,3.8,1.8,3.2,4.0,1.75,3.5,4.2,1.8,3.1,4.0,1.65,2.05,1.8,1.84,-0.5,,,,,,,1509.57,1472.59
D2,24/09/04,Erfurt,Ahlen,1,1,D,0,0,D,1.9,3.2,3.5,1.9,3.25,3.6,2.0,3.2,3.5,2.0,2.9,3.4,1.91,3.2,3.5,2.0,3.3,3.4,2.1,3.0,3.2,1.85,1.85,2.0,1.67,-0.5,,,,,,,1486.61,1478.25
D2,24/09/04,Karlsruhe,Saarbrucken,1,1,D,0,1,A,2.0,3.2,3.2,1.9,3.25,3.6,2.0,3.2,3.5,2.0,2.9,3.4,1.91,3.2,3.5,1.9,3.3,3.75,2.0,3.1,3.3,1.71,2.0,2.0,1.67,-0.5,,,,,,,1457.08,1485.43
D2,26/09/04,Duisburg,Greuther Furth,1,0,H,1,0,H,2.1,3.2,3.0,1.95,3.25,3.4,2.05,3.2,3.35,2.1,2.9,3.2,,,,2.0,3.3,3.4,2.1,3.1,3.1,1.71,2.0,1.75,2.0,-0.25,,,,,,,1522.33,1575.23
D2,26/09/04,Ein Frankfurt,Oberhausen,6,2,H,1,1,D,1.57,3.5,5.0,1.55,3.7,5.1,1.55,3.7,5.5,1.6,3.4,4.6,,,,1.5,4.0,5.5,1.55,3.55,5.5,1.65,2.05,1.75,2.0,-0.75,,,,,,,1545.57,1462.7
D2,26/09/04,Ein Trier,Unterhaching,2,0,H,2,0,H,2.2,3.2,2.8,2.0,3.25,3.3,2.1,3.2,3.2,2.2,2.9,3.0,,,,2.2,3.2,3.1,2.15,3.05,3.0,1.65,2.05,1.7,2.0,-0.25,,,,,,,1494.2,1476.76
D2,26/09/04,Erzgebirge Aue,Aachen,1,1,D,0,0,D,2.25,3.2,2.75,2.3,3.25,2.7,2.4,3.2,2.7,2.4,2.9,2.7,,,,2.3,3.2,2.9,2.5,3.0,2.55,1.65,2.05,2.05,1.7,-0.25,,,,,,,1524.89,1528.32
D2,26/09/04,FC Koln,Dresden,3,2,H,0,2,A,1.57,3.5,5.0,1.5,3.8,5.5,1.5,3.8,5.9,1.5,3.7,5.0,,,,1.5,4.0,5.5,1.45,3.6,6.5,1.65,2.05,1.87,1.85,-1.0,,,,,,,1534.47,1456.03
D2,27/09/04,Cottbus,Munich 1860,1,1,D,0,1,A,2.2,3.2,2.8,2.2,3.1,3.0,2.2,3.2,3.0,2.2,3.0,2.9,2.25,3.0,2.88,2.25,3.0,3.2,,,,1.79,1.9,1.86,1.86,-0.25,,,,,,,1539.74,1549.66
D2,01/10/04,Ahlen,Duisburg,2,0,H,1,0,H,2.6,3.1,2.4,2.6,3.2,2.4,2.7,3.3,2.35,2.5,3.0,2.5,2.6,3.2,2.38,2.9,3.2,2.3,2.55,3.0,2.5,1.85,1.85,1.95,1.8,0.0,,,,,,,1482.03,1533.15
D2,01/10/04,Essen,Ein Frankfurt,4,4,D,2,2,D,2.5,3.2,2.4,2.8,3.2,2.25,2.75,3.2,2.35,2.9,3.0,2.2,2.75,3.0,2.38,2.9,3.2,2.3,2.75,3.0,2.35,1.65,2.05,1.95,1.8,0.0,,,,,,,1464.78,1552.04
D2,01/10/04,Unterhaching,Erfurt,4,0,H,2,0,H,2.0,3.2,3.2,1.85,3.3,3.7,1.85,3.25,3.95,1.85,3.1,3.6,1.83,3.2,3.75,1.9,3.3,3.75,1.9,3.1,3.6,1.79,1.9,1.85,1.75,-0.5,,,,,,,1468.33,1482.83
D2,03/10/04,Erzgebirge Aue,Ein Trier,1,2,A,0,0,D,1.9,3.2,3.5,1.9,3.25,3.6,1.9,3.3,3.7,1.9,3.1,3.5,,,,1.85,3.4,3.8,2.0,3.0,3.4,1.79,1.9,1.9,1.74,-0.5,,,,,,,1521.5,1502.63
D2,03/10/04,Greuther Furth,Cottbus,2,0,H,1,0,H,2.0,3.2,3.2,1.95,3.25,3.4,1.95,3.3,3.5,2.0,3.1,3.2,,,,2.05,3.25,3.3,1.95,3.1,3.5,1.85,1.85,1.95,1.7,-0.5,,,,,,,1564.41,1536.57
D2,03/10/04,Munich 1860,Burghausen,2,4,A,1,1,D,1.83,3.25,3.6,1.7,3.4,4.4,1.75,3.3,4.45,1.75,3.2,4.0,,,,1.73,3.5,4.33,1.7,3.2,4.5,1.79,1.9,2.0,1.75,-0.25,,,,,,,1552.83,1517.38
D2,03/10/04,Oberhausen,Karlsruhe,1,0,H,1,0,H,2.1,3.2,3.0,2.0,3.25,3.3,2.1,3.25,3.15,2.1,3.0,3.1,,,,2.1,3.25,3.2,2.2,3.0,3.0,1.79,1.9,1.85,1.9,-0.25,,,,,,,1456.23,1454.54
D2,03/10/04,Saarbrucken,FC Koln,2,0,H,1,0,H,2.8,3.2,2.2,3.2,3.2,2.05,3.0,3.2,2.2,2.9,3.0,2.2,,,,3.2,3.2,2.15,2.8,3.1,2.25,1.75,1.95,1.85,1.9,0.25,,,,,,,1487.97,1541.06
