Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
F1,21/08/04,Toulouse,Paris SG,2,1,H,0,0,D,2.75,3.25,2.25,3.1,3.0,2.2,2.9,3.0,2.3,2.9,2.8,2.3,2.75,3.2,2.25,2.88,3.0,2.3,2.8,3.1,2.25,2.1,1.6,1.47,2.3,0.5,,,,,,,,,,,,,,,,1658.23,1805.54
F1,22/08/04,Metz,Lyon,1,1,D,1,0,H,3.0,3.1,2.2,3.5,3.05,2.0,3.1,3.0,2.2,3.2,2.9,2.1,3.2,3.2,2.0,3.1,3.0,2.2,3.0,3.0,2.2,2.2,1.55,1.52,2.2,0.5,,,,,,,,,,,,,,,,1668.0,1863.41
F1,27/08/04,Nice,Bastia,1,1,D,1,0,H,1.83,3.25,3.75,2.0,3.05,3.5,1.9,3.1,3.8,1.9,3.1,3.5,2.0,3.0,3.4,1.91,3.1,3.75,1.9,3.1,3.6,2.3,1.5,1.9,1.71,-0.5,,,,,,,,,,,,,,,,1660.55,1632.29
F1,28/08/04,Ajaccio,Rennes,1,1,D,1,1,D,2.37,3.0,2.75,2.25,3.0,3.0,2.5,3.0,2.65,2.4,2.9,2.7,2.38,3.2,2.6,2.38,3.0,2.75,2.37,3.0,2.7,2.2,1.55,1.85,1.95,0.0,,,,,,,,,,,,,,,,1595.07,1706.34
F1,28/08/04,Auxerre,Caen,1,0,H,0,0,D,1.57,3.4,5.5,1.6,3.5,5.0,1.61,3.3,5.35,1.65,3.3,4.4,1.5,3.4,6.0,1.57,3.4,5.5,1.57,3.3,5.5,1.95,1.71,1.8,2.0,-0.75,,,,,,,,,,,,,,,,1781.71,1689.12
F1,28/08/04,Bordeaux,Sochaux,2,0,H,1,0,H,2.0,3.0,3.5,1.85,3.1,4.0,2.1,3.1,3.2,1.9,3.1,3.5,1.91,3.2,3.5,2.05,3.0,3.4,1.83,3.2,3.75,2.1,1.6,1.77,2.05,-0.25,,,,,,,,,,,,,,,,1701.03,1744.04
F1,28/08/04,Lens,Monaco,1,1,D,1,1,D,2.5,3.0,2.62,2.4,3.0,2.75,2.5,3.0,2.65,2.3,2.9,2.8,2.38,3.2,2.6,2.5,3.0,2.62,2.37,3.0,2.7,2.1,1.6,1.8,2.0,0.0,,,,,,,,,,,,,,,,1719.94,1803.21
F1,28/08/04,Lyon,Lille,1,0,H,1,0,H,1.53,3.4,6.0,1.55,3.5,5.5,1.53,3.4,6.1,1.55,3.5,4.8,1.44,3.6,6.5,1.53,3.4,6.0,1.5,3.4,6.0,1.95,1.71,1.95,1.85,-1.0,,,,,,,,,,,,,,,,1860.06,1680.11
F1,28/08/04,Marseille,Metz,1,3,A,1,1,D,1.53,3.4,6.0,1.5,3.4,6.5,1.53,3.4,6.1,1.45,3.6,5.8,1.5,3.4,6.0,1.53,3.4,6.0,1.5,3.4,6.0,1.85,1.79,2.0,1.8,-1.0,,,,,,,,,,,,,,,,1719.64,1671.35
F1,28/08/04,Nantes,Toulouse,2,2,D,1,2,A,1.72,3.25,4.33,1.75,3.15,4.5,1.8,3.1,4.25,2.0,3.1,3.2,1.83,3.2,2.75,1.83,3.1,4.0,1.9,3.1,3.6,2.2,1.55,1.8,1.79,-0.5,,,,,,,,,,,,,,,,1714.19,1672.42
