Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
SP2,13/10/02,Oviedo,Getafe,3,4,A,3,2,H,1.909,3.0,3.75,1.89,3.0,4.0,1.8,2.8,3.7,1.85,3.0,3.8,2.1,2.85,3.25,2.25,1.55,1473.44,1430.81
SP2,13/10/02,Salamanca,Elche,1,3,A,1,0,H,2.25,2.875,3.0,2.15,2.9,3.3,2.0,2.8,3.1,2.2,2.875,3.0,2.45,2.85,2.65,2.5,1.5,1442.01,1532.13
SP2,13/10/02,Tenerife,Eibar,1,0,H,1,0,H,1.8,2.875,4.5,1.8,3.0,4.4,1.75,2.9,3.8,1.8,3.0,4.0,1.8,3.05,4.0,2.15,1.65,1512.09,1498.44
SP2,19/10/02,Eibar,Ferrol,1,0,H,1,0,H,2.25,2.8,3.0,2.13,2.75,3.3,2.2,2.7,2.9,2.2,2.75,3.2,2.25,2.8,3.0,2.1,1.65,1489.89,1478.57
SP2,19/10/02,Elche,Cordoba,0,0,D,0,0,D,1.8,3.0,4.0,1.75,3.0,4.25,1.75,2.8,4.0,1.75,3.2,4.0,1.75,3.05,4.2,2.05,1.65,1544.99,1439.84
SP2,19/10/02,Las Palmas,Getafe,2,1,H,2,1,H,1.8,3.0,4.0,1.8,3.0,4.05,1.75,2.8,4.0,1.727,3.1,4.333,1.8,3.0,4.0,1.9,1.7,1545.85,1448.17
SP2,20/10/02,Almeria,Compostela,2,1,H,0,1,A,2.2,2.8,3.1,2.1,2.8,3.3,2.1,2.8,3.0,2.15,2.8,3.25,2.25,2.8,3.0,2.15,1.6,1448.45,1427.86
SP2,20/10/02,Badajoz,Murcia,1,0,H,1,0,H,2.2,2.8,3.1,2.2,2.85,3.0,2.2,2.7,2.9,2.2,2.9,3.0,2.3,2.85,2.85,2.25,1.5,1443.65,1499.06
SP2,20/10/02,Leganes,Albacete,1,1,D,0,0,D,2.2,2.8,3.1,2.2,2.8,3.05,2.2,2.7,2.9,2.2,2.8,3.1,2.25,2.8,3.0,2.15,1.55,1478.39,1495.0
SP2,20/10/02,Numancia,Levante,0,2,A,0,1,A,2.2,2.8,3.1,2.3,2.9,2.8,2.2,2.7,2.9,2.3,2.9,2.8,2.2,2.8,3.1,2.05,1.65,1461.36,1524.13
