Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC2,11/02/03,Airdrie Utd,Cowdenbeath,1.0,1.0,D,0.0,1.0,A,2.0,3.4,3.0,2.1,3.3,3.0,1.91,3.5,3.2,2.0,3.5,2.875,2.1,3.4,2.8,1226.69,1190.6
SC2,22/02/03,Berwick,Raith Rvs,1.0,1.0,D,1.0,1.0,D,2.375,3.5,2.375,2.55,3.35,2.35,2.38,3.5,2.38,2.5,3.3,2.3,2.5,3.4,2.3,1235.75,1300.16
SC2,22/02/03,Forfar,Stenhousemuir,3.0,3.0,D,1.0,1.0,D,2.1,3.5,2.75,2.15,3.4,2.8,1.91,3.5,3.2,2.1,3.4,2.75,2.0,3.4,3.0,1240.74,1169.35
SC2,25/02/03,Airdrie Utd,Forfar,0.0,0.0,D,0.0,0.0,D,2.2,3.5,2.6,2.25,3.4,2.6,2.2,3.25,2.75,2.2,3.4,2.6,2.3,3.4,2.5,1222.03,1235.03
SC2,25/02/03,Cowdenbeath,Stenhousemuir,3.0,3.0,D,0.0,1.0,A,2.3,3.4,2.5,2.25,3.5,2.55,2.2,3.5,2.62,2.3,3.5,2.4,2.25,3.4,2.6,1195.26,1175.06
SC2,25/02/03,Hamilton,Berwick,3.0,0.0,H,1.0,0.0,H,2.6,3.5,2.2,2.65,3.5,2.2,2.62,3.4,2.25,2.7,3.5,2.1,2.62,3.5,2.2,1201.3,1234.47
SC2,25/02/03,Stranraer,Brechin,2.0,3.0,A,1.0,3.0,A,2.1,3.5,2.75,2.1,3.5,2.75,2.0,3.4,3.0,1.909,3.5,3.1,2.1,3.5,2.75,1211.69,1215.55
SC2,01/03/03,Airdrie Utd,Stranraer,3.0,3.0,D,1.0,1.0,D,2.3,3.4,2.5,2.35,3.4,2.45,2.25,3.5,2.5,2.375,3.5,2.375,2.37,3.5,2.37,1218.96,1195.82
SC2,01/03/03,Brechin,Hamilton,4.0,1.0,H,3.0,0.0,H,1.833,3.5,3.4,1.85,3.4,3.4,1.8,3.5,3.5,1.833,3.5,3.4,1.9,3.5,3.2,1231.42,1211.42
SC2,01/03/03,Cowdenbeath,Forfar,2.0,2.0,D,1.0,0.0,H,2.3,3.4,2.5,2.35,3.4,2.45,2.25,3.5,2.5,2.375,3.5,2.375,2.37,3.5,2.37,1191.1,1238.1
