Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,EloHome,EloAway
D1,11/09/02,Kaiserslautern,Bielefeld,1.0,1.0,D,0.0,0.0,D,1.571,3.25,5.5,1.61,3.5,5.25,1.5,3.7,5.0,1.571,3.5,5.0,1.62,3.4,5.0,1.533,3.75,5.5,1.57,3.3,5.5,1.67,2.05,,,1683.52,1685.94
D1,11/09/02,Stuttgart,Schalke 04,1.0,1.0,D,1.0,0.0,H,2.5,3.1,2.5,2.54,3.05,2.73,2.5,3.0,2.5,2.375,3.2,2.6,2.5,3.2,2.5,2.3,3.25,2.7,2.5,3.1,2.5,1.7,1.95,,,1706.91,1787.19
D1,11/09/02,Wolfsburg,Hamburg,2.0,1.0,H,0.0,0.0,D,2.0,3.2,3.2,1.96,3.3,3.5,2.0,3.1,3.2,1.909,3.2,3.5,2.0,3.0,3.5,1.95,3.1,3.6,2.0,3.1,3.3,1.82,1.95,,,1691.56,1655.53
D1,14/09/02,Bielefeld,Hertha,0.0,1.0,A,0.0,0.0,D,2.625,3.1,2.375,2.7,3.3,2.45,2.5,3.0,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.5,2.5,3.1,2.5,1.8,1.9,,,1689.36,1764.74
D1,14/09/02,Cottbus,Werder Bremen,0.0,1.0,A,0.0,0.0,D,2.5,3.1,2.5,2.6,3.2,2.53,2.4,3.0,2.6,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.5,2.6,3.1,2.4,1.65,2.05,,,1609.32,1734.62
D1,14/09/02,Dortmund,Schalke 04,1.0,1.0,D,0.0,0.0,D,1.909,3.0,3.75,1.9,3.33,3.9,1.85,3.1,3.6,1.833,3.4,3.5,1.91,3.2,3.6,1.909,3.2,3.75,1.9,3.0,3.75,1.85,1.8,,,1821.43,1787.9
D1,14/09/02,Leverkusen,Hannover,1.0,3.0,A,1.0,1.0,D,1.333,4.0,8.0,1.3,4.5,10.0,1.35,4.0,7.0,1.25,4.5,10.0,1.29,4.33,10.0,1.3,4.333,9.5,1.3,4.2,8.5,1.65,2.1,,,1795.66,1644.4
D1,14/09/02,M'gladbach,Stuttgart,1.0,1.0,D,0.0,0.0,D,2.0,3.2,3.2,2.15,3.25,3.3,2.0,3.1,3.2,2.0,3.2,3.2,2.0,3.25,3.25,2.0,3.2,3.4,2.0,3.2,3.2,1.8,1.85,,,1679.49,1706.2
D1,14/09/02,Munich 1860,Wolfsburg,2.0,2.0,D,0.0,0.0,D,1.909,3.2,3.5,1.95,3.2,3.6,2.1,3.0,3.1,1.8,3.25,3.75,1.91,3.25,3.5,1.909,3.2,3.75,1.83,3.3,3.6,1.7,2.05,,,1704.31,1699.4
D1,14/09/02,Nurnberg,Bayern Munich,1.0,2.0,A,1.0,1.0,D,4.5,3.25,1.667,5.0,3.5,1.67,4.6,3.4,1.6,5.0,3.25,1.615,5.0,3.4,1.62,5.0,3.5,1.615,4.5,3.3,1.66,1.65,2.05,,,1599.05,1863.94
