Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
E2,17/08/02,Chesterfield,Port Vale,2,1,H,0,0,D,R Pearson,11.0,12.0,3.0,6.0,8.0,11.0,10.0,9.0,1,0,0,0,2.1,3.25,3.0,2.25,3.25,2.85,2.35,3.0,2.35,2.25,3.2,2.75,2.2,3.25,2.8,2.3,3.2,2.7,2.5,3.1,2.5,1272.61,1301.82
E2,17/08/02,Crewe,Colchester,2,0,H,1,0,H,G Salisbury,10.0,9.0,5.0,6.0,8.0,6.0,1.0,6.0,0,0,0,0,1.667,3.4,4.5,1.67,3.4,4.75,1.7,3.2,3.7,1.727,3.2,4.333,1.67,3.4,4.5,1.727,3.25,4.333,1.66,3.3,4.5,1350.78,1318.43
E2,17/08/02,Peterboro,Huddersfield,0,1,A,0,1,A,F Stretton,9.0,5.0,6.0,4.0,11.0,9.0,6.0,3.0,2,1,0,0,2.2,3.25,2.8,2.25,3.25,2.8,2.2,3.0,2.6,2.1,3.2,3.0,2.2,3.25,2.8,2.3,3.2,2.75,2.2,3.25,2.75,1305.68,1411.93
E2,17/08/02,Plymouth,Luton,2,1,H,0,0,D,T Parkes,7.0,4.0,5.0,2.0,9.0,13.0,8.0,9.0,1,4,0,1,1.909,3.25,3.5,2.0,3.25,3.3,1.9,3.1,3.0,1.833,3.4,3.5,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.2,3.2,1400.53,1364.79
E2,17/08/02,Stockport,Notts County,0,0,D,0,0,D,G Cain,10.0,9.0,2.0,3.0,10.0,6.0,4.0,8.0,0,0,0,0,2.0,3.25,3.25,2.08,3.25,3.2,2.1,3.0,2.8,1.909,3.25,3.4,1.91,3.25,3.5,2.2,3.2,2.875,2.2,3.2,2.8,1261.13,1333.1
E2,17/08/02,Tranmere,Cheltenham,1,0,H,0,0,D,M Cooper,9.0,11.0,7.0,7.0,19.0,9.0,6.0,5.0,1,1,0,0,1.667,3.4,4.5,1.67,3.4,4.75,1.6,3.3,4.0,1.667,3.25,4.5,1.67,3.4,4.5,1.727,3.25,4.333,1.66,3.3,4.5,1333.63,1313.33
E2,17/08/02,Wigan,Bristol City,2,0,H,0,0,D,U Rennie,18.0,4.0,16.0,3.0,12.0,16.0,3.0,6.0,3,1,0,1,1.727,3.25,4.333,1.75,3.3,4.25,1.7,3.2,3.7,1.727,3.5,3.75,1.73,3.25,4.33,1.8,3.25,4.0,1.72,3.2,4.33,1415.15,1367.54
E2,17/08/02,Wycombe,Mansfield,3,3,D,2,1,H,P Prosser,16.0,8.0,12.0,5.0,20.0,20.0,12.0,2.0,2,2,0,0,1.727,3.25,4.333,1.81,3.31,4.25,1.8,3.1,3.4,1.833,3.2,3.75,1.73,3.25,4.33,1.8,3.25,4.0,1.8,3.3,3.75,1333.38,1278.48
E2,23/08/02,Northampton,Blackpool,0,1,A,0,0,D,P Joslin,7.0,13.0,3.0,4.0,8.0,11.0,4.0,10.0,2,4,0,0,2.1,3.25,3.0,2.15,3.2,3.1,2.1,3.0,2.8,2.0,3.4,3.0,2.1,3.25,3.0,2.1,3.25,3.0,2.2,3.2,2.8,1317.54,1302.27
E2,24/08/02,Bristol City,Wycombe,3,0,H,1,0,H,P Walton,8.0,10.0,4.0,5.0,14.0,10.0,4.0,8.0,1,2,0,0,1.727,3.25,4.333,1.76,3.3,4.25,1.7,3.2,3.7,1.727,3.4,4.0,1.67,3.4,4.5,1.727,3.3,4.333,1.72,3.25,4.2,1360.05,1328.15
E2,24/08/02,Cheltenham,Plymouth,1,2,A,1,0,H,K Hill,12.0,10.0,6.0,3.0,19.0,10.0,6.0,4.0,3,1,0,0,2.5,3.2,2.5,2.5,3.15,2.55,2.35,3.0,2.35,2.4,3.25,2.5,2.5,3.2,2.5,2.6,3.2,2.4,2.5,3.1,2.5,1304.99,1408.38
E2,24/08/02,Colchester,Brentford,0,1,A,0,1,A,P Taylor,2.0,5.0,1.0,2.0,14.0,10.0,9.0,3.0,1,1,0,0,2.5,3.2,2.5,2.5,3.15,2.55,2.4,3.0,2.3,2.5,3.25,2.4,2.5,3.2,2.5,2.6,3.2,2.4,2.5,3.1,2.5,1310.47,1444.93
E2,24/08/02,Huddersfield,Crewe,1,1,D,1,1,D,M Pike,13.0,6.0,8.0,4.0,5.0,11.0,11.0,3.0,1,0,0,0,2.1,3.25,3.0,2.05,3.25,3.2,2.0,3.0,2.9,2.0,3.4,3.0,2.1,3.25,3.0,2.1,3.25,3.0,2.0,3.2,3.2,1424.21,1358.74
