Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
SC0,31/08/02,Motherwell,Hibernian,0,2,A,0,1,A,K Clarke,2.0,8.0,1.0,4.0,21.0,16.0,5.0,4.0,3,4,0,0,2.0,3.25,3.25,2.05,3.25,3.35,2.0,3.1,3.2,1.909,3.25,3.4,2.0,3.25,3.25,2.0,3.3,3.3,2.2,3.25,2.75,1.65,1.95,1536.6,1522.23
SC0,01/09/02,Aberdeen,Partick,0,1,A,0,1,A,J Rowbotham,5.0,6.0,2.0,5.0,14.0,19.0,3.0,7.0,2,4,1,0,1.667,3.4,4.5,1.7,3.4,4.5,1.8,3.1,3.8,1.615,3.5,4.5,1.67,3.4,4.5,1.7,3.4,4.5,1.61,3.3,5.0,1.75,1.85,1608.21,1539.07
SC0,01/09/02,Celtic,Livingston,2,0,H,2,0,H,A Freeland,18.0,6.0,8.0,0.0,16.0,15.0,14.0,1.0,0,1,0,0,1.143,6.5,12.0,1.17,5.9,15.0,1.15,6.0,12.0,1.167,5.5,12.0,1.17,5.5,12.0,1.143,6.0,13.0,1.14,6.0,12.0,2.0,1.6,1949.08,1617.83
SC0,01/09/02,Dunfermline,Rangers,0,6,A,0,3,A,D McDonald,6.0,12.0,3.0,11.0,16.0,15.0,5.0,11.0,2,1,0,0,7.5,4.333,1.333,7.75,4.2,1.41,6.0,3.9,1.4,7.0,3.75,1.4,7.5,4.0,1.36,8.0,4.0,1.364,8.0,3.75,1.36,1.55,2.1,1578.87,1850.97
SC0,10/09/02,Motherwell,Celtic,2,1,H,0,0,D,W Young,6.0,12.0,3.0,6.0,21.0,14.0,2.0,15.0,5,1,0,0,10.0,5.5,1.2,9.5,5.25,1.24,9.0,4.5,1.25,11.0,5.0,1.2,10.0,5.5,1.2,10.0,5.5,1.222,9.5,5.0,1.22,1.55,2.2,1520.13,1951.01
SC0,11/09/02,Aberdeen,Dundee United,1,2,A,1,2,A,H Dallas,12.0,12.0,4.0,7.0,12.0,19.0,4.0,2.0,1,3,0,0,1.909,3.25,3.5,1.95,3.3,3.5,1.9,3.1,3.5,2.0,3.2,3.2,1.83,3.25,3.75,2.0,3.25,3.25,1.8,3.4,3.6,1.7,1.9,1590.06,1534.09
SC0,11/09/02,Dundee,Livingston,2,1,H,0,1,A,C Richmond,16.0,6.0,10.0,1.0,8.0,24.0,6.0,6.0,1,3,0,0,2.2,3.25,2.8,2.15,3.25,2.95,2.2,3.0,2.9,2.25,3.2,2.75,2.2,3.25,2.8,2.3,3.2,2.8,2.2,3.2,2.8,1.75,1.85,1541.27,1615.9
SC0,11/09/02,Hibernian,Dunfermline,1,4,A,1,3,A,S Dougal,4.0,11.0,4.0,10.0,11.0,10.0,4.0,4.0,0,1,0,0,2.0,3.25,3.25,2.0,3.3,3.2,2.0,3.1,3.2,2.1,3.4,2.875,2.1,3.25,3.0,2.1,3.2,3.2,2.0,3.2,3.2,1.7,1.9,1538.7,1572.1
SC0,11/09/02,Kilmarnock,Partick,1,0,H,1,0,H,T Brown,14.0,7.0,5.0,3.0,10.0,14.0,4.0,2.0,2,0,0,0,1.727,3.25,4.333,1.76,3.3,4.0,1.9,3.1,3.5,1.667,3.4,4.333,1.73,3.25,4.33,1.727,3.4,4.333,1.72,3.4,4.0,1.65,1.95,1601.59,1557.22
SC0,11/09/02,Rangers,Hearts,2,0,H,1,0,H,M McCurry,12.0,19.0,5.0,5.0,16.0,15.0,11.0,7.0,2,1,0,0,1.2,5.5,10.0,1.23,5.25,9.5,1.2,5.0,10.0,1.25,4.5,10.0,1.2,5.5,10.0,1.222,5.5,10.0,1.22,5.0,9.5,1.5,2.2,1857.74,1610.72
SC0,14/09/02,Celtic,Hibernian,1,0,H,1,0,H,D McDonald,12.0,9.0,7.0,1.0,16.0,15.0,5.0,5.0,0,1,0,0,1.167,5.5,13.0,1.17,6.33,13.0,1.15,6.0,12.0,1.143,5.5,15.0,1.14,5.5,15.0,1.143,6.0,15.0,1.12,6.5,12.0,1.6,2.25,1929.25,1523.83
SC0,14/09/02,Dundee United,Dunfermline,1,2,A,0,2,A,C Thomson,19.0,6.0,9.0,4.0,15.0,18.0,1.0,5.0,0,2,0,0,2.2,3.25,2.8,2.22,3.2,2.95,2.1,3.0,3.1,2.1,3.2,3.0,2.2,3.2,2.88,2.25,3.2,2.875,2.2,3.2,2.8,1.7,1.9,1551.85,1586.97
SC0,14/09/02,Kilmarnock,Aberdeen,2,2,D,0,0,D,I Brines,14.0,10.0,5.0,6.0,23.0,13.0,9.0,4.0,2,2,0,0,1.8,3.25,4.0,1.9,3.3,3.65,1.85,3.1,3.6,2.0,3.4,3.0,1.8,3.2,4.0,1.8,3.3,4.0,1.9,3.3,3.3,1.75,1.85,1609.18,1572.3
SC0,14/09/02,Livingston,Rangers,0,2,A,0,0,D,K Clark,5.0,10.0,4.0,5.0,23.0,10.0,3.0,7.0,3,2,1,0,7.5,4.333,1.333,8.5,4.25,1.33,6.0,3.9,1.4,8.0,3.75,1.364,8.5,4.5,1.29,8.0,4.333,1.333,8.0,3.75,1.36,1.65,1.95,1604.31,1860.73
SC0,14/09/02,Partick,Dundee,1,1,D,1,0,H,A Freeland,14.0,9.0,9.0,5.0,10.0,13.0,7.0,2.0,0,2,0,0,2.2,3.25,2.8,2.25,3.2,2.88,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.25,3.25,2.8,2.2,3.2,2.8,1.8,1.8,1549.63,1552.86
SC0,15/09/02,Hearts,Motherwell,4,2,H,1,2,A,H Dallas,18.0,9.0,12.0,4.0,14.0,17.0,5.0,6.0,2,4,0,0,1.667,3.4,4.5,1.9,3.4,4.5,1.8,3.1,3.8,1.727,3.5,3.75,1.67,3.4,4.5,1.7,3.4,4.5,1.66,3.4,4.33,1.7,1.9,1607.73,1541.89
