Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
D2,11/09/02,Reutlingen,Union Berlin,0,1,A,0,0,D,2.25,3.2,2.75,2.28,3.15,2.68,2.3,3.0,2.7,2.25,3.2,2.7,2.3,3.2,2.55,1.76,1.91,1471.54,1535.52
D2,11/09/02,St Pauli,Braunschweig,7,1,H,2,1,H,1.909,3.25,3.4,1.91,3.2,3.75,1.75,3.2,4.0,1.909,3.2,3.5,1.95,3.3,3.1,1.72,1.92,1442.88,1464.44
D2,13/09/02,Aachen,Karlsruhe,2,0,H,0,0,D,1.909,3.25,3.4,1.95,3.35,3.48,1.85,3.1,3.6,1.909,3.25,3.4,2.1,3.2,2.85,,,1447.17,1434.34
D2,13/09/02,Ahlen,FC Koln,0,0,D,0,0,D,2.5,3.25,2.375,2.71,3.1,2.4,2.5,3.0,2.5,2.5,3.25,2.375,2.7,3.1,2.25,,,1506.87,1567.19
D2,13/09/02,Ein Trier,Duisburg,3,0,H,1,0,H,2.0,3.2,3.2,2.07,3.2,3.15,2.0,3.1,3.2,2.0,3.2,3.2,2.1,3.15,2.9,1.6,2.05,1512.06,1486.51
D2,15/09/02,Ein Frankfurt,Burghausen,0,2,A,0,1,A,1.444,3.75,6.0,1.46,3.75,6.25,1.5,3.7,5.0,1.4,3.75,7.0,1.4,3.7,6.5,1.8,1.9,1572.85,1466.29
D2,15/09/02,Lubeck,Greuther Furth,1,2,A,0,0,D,1.8,3.25,3.8,1.88,3.25,3.75,1.9,3.3,3.2,1.85,3.25,3.6,1.85,3.3,3.4,1.8,1.9,1504.66,1548.58
D2,15/09/02,Mainz,Reutlingen,1,3,A,0,2,A,1.533,3.25,5.2,1.58,3.6,5.2,1.55,3.5,4.8,1.571,3.5,5.0,1.5,3.5,5.4,1.75,1.95,1578.95,1457.75
D2,15/09/02,Mannheim,Oberhausen,1,0,H,1,0,H,1.909,3.2,3.2,2.13,3.15,3.11,2.0,3.1,3.2,2.1,3.2,3.0,2.0,3.2,3.1,1.95,1.75,1466.19,1520.88
D2,15/09/02,Union Berlin,St Pauli,4,2,H,0,1,A,1.727,3.25,4.2,1.82,3.38,3.85,1.8,3.1,3.8,1.8,3.3,3.75,1.75,3.4,3.7,1.9,1.85,1549.31,1452.6
D2,16/09/02,Braunschweig,Freiburg,0,2,A,0,1,A,2.875,3.3,2.1,3.2,3.2,2.11,3.1,3.0,2.1,3.0,3.2,2.1,2.8,3.15,2.15,1.7,1.95,1454.72,1557.8
D2,18/09/02,Mainz,Ein Trier,2,0,H,1,0,H,,,,1.92,3.2,3.3,1.9,3.1,3.5,1.75,3.3,3.8,1.8,3.2,3.75,1.7,1.95,1559.42,1520.23
D2,20/09/02,Burghausen,Ahlen,3,1,H,0,1,A,2.375,3.25,2.5,2.3,3.25,2.62,2.3,3.0,2.7,2.3,3.2,2.625,2.2,3.15,2.75,1.9,1.8,1485.45,1505.45
