Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
F2,24/08/02,Creteil,Grenoble,0,0,D,0,0,D,2.0,2.875,3.6,2.05,2.75,3.65,2.0,2.7,3.3,2.1,2.875,3.3,,,,2.1,1.6,1454.21,1454.79
F2,24/08/02,Le Mans,Toulouse,2,1,H,2,1,H,1.909,2.875,4.0,1.95,2.85,3.85,2.0,2.75,3.2,1.8,3.0,4.2,,,,2.0,1.65,1548.49,1555.4
F2,24/08/02,Metz,Lorient,2,1,H,1,1,D,2.1,2.75,3.5,2.05,2.8,3.6,2.0,2.7,3.3,2.0,2.875,3.6,,,,2.1,1.6,1533.11,1554.05
F2,24/08/02,Niort,Istres,1,3,A,1,2,A,1.727,2.875,5.0,1.76,3.0,4.65,1.7,2.75,4.2,1.7,3.0,5.0,,,,1.9,1.7,1493.09,1430.77
F2,24/08/02,Valence,Chateauroux,4,0,H,1,0,H,2.25,2.875,3.0,2.35,2.75,3.0,2.3,2.7,2.7,2.25,2.875,3.0,,,,1.9,1.7,1472.02,1497.5
F2,24/08/02,Wasquehal,Clermont,2,0,H,1,0,H,1.909,2.875,4.0,2.0,2.85,3.7,1.9,2.7,3.6,1.909,2.875,4.0,,,,2.1,1.6,1433.23,1477.66
F2,25/08/02,Nancy,Amiens,1,0,H,0,0,D,1.909,2.875,4.0,1.95,2.85,3.85,1.9,2.7,3.6,1.833,2.9,4.2,,,,2.1,1.6,1470.54,1433.4
F2,25/08/02,St Etienne,Reims,0,0,D,0,0,D,1.727,2.875,5.0,1.72,3.0,4.75,1.65,2.8,4.6,1.667,3.1,5.0,,,,1.9,1.7,1469.63,1457.94
F2,30/08/02,Clermont,Creteil,1,2,A,1,1,D,2.0,2.875,3.6,1.96,3.0,3.62,2.0,2.8,3.1,2.0,2.875,3.6,,,,2.1,1.5,1467.14,1450.73
F2,30/08/02,Grenoble,Beauvais,0,2,A,0,1,A,1.833,3.0,4.0,1.87,3.05,4.0,1.9,2.8,3.4,1.9,2.875,4.0,,,,2.35,1.45,1458.27,1489.69
F2,31/08/02,Amiens,Wasquehal,1,2,A,1,1,D,2.0,2.875,3.6,1.9,3.0,3.62,2.0,2.8,3.1,2.0,2.875,3.6,,,,2.1,1.55,1425.59,1443.75
F2,31/08/02,Chateauroux,Nancy,1,0,H,0,0,D,1.833,3.0,4.0,1.8,3.05,4.0,1.9,2.8,3.4,1.9,2.875,4.0,,,,2.1,1.55,1487.64,1478.35
F2,31/08/02,Gueugnon,St Etienne,0,2,A,0,1,A,2.4,2.875,2.75,2.35,2.85,2.8,2.4,2.6,2.7,2.5,2.875,2.625,,,,2.1,1.55,1396.85,1465.74
F2,31/08/02,Istres,Metz,1,1,D,1,0,H,2.75,2.875,2.4,2.72,2.85,2.4,2.65,2.65,2.4,2.8,2.875,2.375,,,,2.0,1.6,1448.72,1542.81
F2,31/08/02,Laval,Valence,1,2,A,0,1,A,1.727,3.1,4.5,1.68,3.15,4.5,1.7,2.9,4.0,1.75,3.0,4.5,,,,2.1,1.55,1481.46,1481.88
F2,31/08/02,Reims,Niort,1,1,D,0,0,D,2.2,2.875,3.1,2.2,2.8,3.1,2.2,2.7,2.9,2.2,2.875,3.1,,,,2.0,1.6,1461.83,1475.14
F2,31/08/02,Toulouse,Caen,2,0,H,1,0,H,2.0,2.875,3.6,2.0,2.8,3.6,2.0,2.7,3.3,2.1,2.875,3.3,,,,1.95,1.65,1546.17,1528.11
F2,01/09/02,Lorient,Le Mans,3,4,A,1,3,A,1.909,3.0,3.75,1.95,2.85,3.7,2.0,2.7,3.3,2.1,2.875,3.4,,,,2.0,1.6,1544.35,1557.72
F2,04/09/02,Beauvais,Istres,2,0,H,1,0,H,,,,1.75,3.1,4.44,1.7,2.8,4.2,1.85,3.0,4.0,,,,,,1504.63,1448.51
F2,04/09/02,Caen,Clermont,1,1,D,1,1,D,,,,1.6,3.25,5.5,1.6,2.8,5.0,1.667,3.1,5.0,,,,,,1519.7,1450.6
F2,04/09/02,Chateauroux,Gueugnon,2,1,H,1,0,H,,,,1.65,3.25,4.95,1.55,2.9,5.2,1.615,3.25,5.0,,,,,,1496.33,1383.23
F2,04/09/02,Creteil,Amiens,1,1,D,0,0,D,,,,1.91,2.9,3.75,1.9,2.8,3.4,1.85,3.0,4.0,,,,,,1467.27,1410.2
F2,04/09/02,Nancy,Laval,2,1,H,0,0,D,,,,2.27,2.9,2.9,2.2,2.7,2.9,2.3,2.9,2.9,,,,,,1469.66,1465.47
