Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
F1,31/08/02,Bastia,Rennes,3,1,H,2,1,H,1.727,3.2,4.333,1.72,3.25,4.75,1.75,3.1,4.2,1.727,3.2,4.333,1.75,3.2,4.5,1.66,3.3,4.5,1.9,1.7,1642.73,1631.01
F1,31/08/02,Guingamp,Bordeaux,0,0,D,0,0,D,2.5,2.875,2.625,2.55,3.1,2.65,2.6,2.8,2.6,2.375,3.0,2.75,2.6,3.0,2.6,2.62,2.9,2.5,1.97,1.65,1636.89,1723.43
F1,31/08/02,Lens,Monaco,1,0,H,1,0,H,1.727,3.2,4.333,1.82,3.25,4.25,1.75,3.1,4.2,1.727,3.2,4.333,1.8,3.1,4.333,1.72,3.2,4.33,2.05,1.6,1754.73,1656.35
F1,31/08/02,Montpellier,Le Havre,0,0,D,0,0,D,2.0,3.0,3.4,1.9,3.15,3.95,2.0,2.9,3.4,1.833,3.0,4.0,1.95,3.0,3.8,1.9,3.0,3.75,2.05,1.6,1623.26,1637.1
F1,31/08/02,Paris SG,Nice,1,1,D,0,0,D,1.533,3.25,6.0,1.5,3.45,7.0,1.45,3.6,5.8,1.571,3.25,5.5,1.533,3.3,6.5,1.53,3.25,6.0,1.85,1.75,1763.1,1650.24
F1,31/08/02,Sedan,Nantes,1,0,H,1,0,H,2.625,3.1,2.375,2.7,3.1,2.5,2.6,2.8,2.6,2.625,2.875,2.5,2.7,3.0,2.5,2.5,2.9,2.62,2.05,1.6,1635.29,1726.96
F1,31/08/02,Sochaux,Lyon,2,1,H,0,0,D,2.875,3.0,2.25,2.8,3.15,2.35,2.6,2.8,2.6,2.75,3.0,2.375,3.0,3.0,2.25,2.8,2.9,2.37,1.75,1.85,1689.88,1826.09
F1,31/08/02,Strasbourg,Lille,2,2,D,1,0,H,2.2,3.0,3.0,2.2,3.1,3.1,2.2,2.8,3.1,2.2,3.0,3.0,2.25,3.0,3.1,2.1,3.0,3.2,2.05,1.6,1635.67,1709.35
F1,31/08/02,Troyes,Ajaccio,1,0,H,1,0,H,1.727,3.2,4.333,1.8,3.25,4.25,1.9,2.9,3.8,1.909,3.0,3.75,1.833,3.1,4.0,1.83,3.0,4.0,1.97,1.65,1655.03,1657.63
F1,01/09/02,Marseille,Auxerre,0,0,D,0,0,D,2.2,3.0,3.0,2.2,3.05,3.15,2.2,2.8,3.1,2.2,3.0,3.0,2.25,3.0,3.1,2.1,3.1,3.1,2.05,1.6,1694.12,1737.51
F1,10/09/02,Lyon,Lens,1,0,H,1,0,H,1.5,3.4,6.0,1.63,3.5,5.5,1.6,3.4,4.6,1.571,3.25,5.5,1.533,3.4,6.0,1.5,3.4,6.0,1.72,1.9,1812.29,1760.78
F1,11/09/02,Ajaccio,Montpellier,0,0,D,0,0,D,2.0,3.0,3.4,2.1,3.1,3.32,2.0,2.9,3.4,2.1,3.0,3.2,2.1,3.0,3.4,1.9,3.1,3.6,2.15,1.6,1648.55,1620.22
F1,11/09/02,Auxerre,Bastia,1,0,H,0,0,D,1.533,3.4,5.5,1.61,3.45,6.0,1.45,3.8,5.4,1.5,3.4,6.0,1.533,3.4,6.5,1.5,3.4,6.0,1.9,1.75,1739.53,1651.34
F1,11/09/02,Bordeaux,Troyes,1,0,H,1,0,H,1.571,3.25,5.5,1.65,3.3,5.75,1.6,3.4,4.6,1.615,3.25,5.0,1.571,3.3,6.0,1.57,3.3,5.5,1.92,1.77,1723.91,1664.11
F1,11/09/02,Le Havre,Guingamp,1,2,A,1,1,D,2.0,3.0,3.4,2.16,3.0,3.3,2.0,2.9,3.3,2.0,2.875,3.6,2.05,3.1,3.3,2.1,2.9,3.3,2.0,1.65,1640.14,1636.41
F1,11/09/02,Lille,Paris SG,2,1,H,1,0,H,2.5,2.875,2.625,2.7,2.95,2.7,2.8,2.9,2.3,2.5,2.875,2.625,2.7,3.0,2.5,2.62,2.9,2.5,2.1,1.56,1710.3,1756.28
F1,11/09/02,Monaco,Nantes,2,1,H,1,1,D,1.909,3.0,3.75,1.92,3.15,3.75,1.9,3.0,3.6,1.8,3.0,4.333,1.833,3.2,4.0,1.83,3.2,3.75,2.0,1.86,1650.3,1714.76
F1,11/09/02,Nice,Marseille,2,0,H,0,0,D,2.375,2.875,2.8,2.35,3.1,3.0,2.2,2.9,3.0,2.375,2.875,2.8,2.3,3.0,3.0,2.4,2.8,2.87,2.0,1.6,1657.06,1692.1
F1,11/09/02,Rennes,Sochaux,2,2,D,0,1,A,2.375,3.0,2.7,2.4,3.0,2.85,2.3,2.8,2.9,2.375,2.8,2.875,2.5,3.0,2.7,2.4,2.87,2.8,2.0,1.6,1622.4,1703.68
F1,11/09/02,Strasbourg,Sedan,1,1,D,1,1,D,1.909,3.0,3.75,1.9,3.0,4.1,2.1,2.9,3.2,1.909,3.0,3.75,1.909,3.0,4.0,1.9,3.0,3.75,2.0,1.72,1634.72,1647.49
F1,14/09/02,Guingamp,Nice,0,0,D,0,0,D,2.1,3.0,3.2,2.15,3.1,3.55,2.0,2.9,3.4,2.0,3.0,3.4,2.1,3.0,3.4,1.9,3.0,3.75,1.95,1.65,1652.53,1667.25
F1,14/09/02,Lens,Rennes,1,0,H,0,0,D,1.4,3.6,7.5,1.6,3.55,6.0,1.5,3.5,5.4,,,,1.5,3.5,6.5,1.53,3.25,6.0,1.82,1.8,1753.41,1621.73
F1,14/09/02,Marseille,Bordeaux,2,1,H,1,0,H,2.3,2.875,2.9,2.25,3.0,3.15,2.4,2.8,2.8,2.1,3.0,3.2,2.25,2.875,3.2,2.2,2.87,3.1,2.2,1.55,1681.91,1731.03
F1,14/09/02,Montpellier,Lille,1,0,H,0,0,D,2.2,3.0,3.0,2.15,3.02,3.3,2.2,2.8,3.1,2.1,3.0,3.2,2.1,3.0,3.4,2.1,2.87,3.3,2.15,1.55,1624.64,1720.87
F1,14/09/02,Nantes,Lyon,1,0,H,1,0,H,2.4,2.9,2.75,2.5,2.93,3.0,2.4,2.9,2.7,2.5,2.875,2.625,2.6,2.875,2.7,2.5,2.87,2.62,1.85,1.82,1703.53,1819.66
F1,14/09/02,Paris SG,Strasbourg,3,0,H,2,0,H,1.444,3.6,6.5,1.52,3.6,6.25,1.55,3.4,5.0,1.571,3.25,5.5,1.533,3.3,6.5,1.57,3.25,5.5,1.8,1.8,1745.71,1631.65
F1,14/09/02,Sedan,Monaco,2,2,D,0,1,A,2.375,3.0,2.7,2.35,3.0,2.9,2.2,2.8,3.1,2.2,3.0,3.0,2.4,3.0,2.8,2.3,2.9,2.9,1.95,1.65,1650.56,1661.53
F1,14/09/02,Sochaux,Auxerre,1,1,D,1,0,H,2.3,3.0,2.8,2.3,3.0,3.0,2.2,2.8,3.1,2.1,3.0,3.2,2.375,2.875,3.0,2.3,2.9,2.9,1.95,1.65,1704.35,1745.85
F1,14/09/02,Troyes,Le Havre,1,1,D,1,0,H,1.8,3.1,4.0,1.95,3.1,3.75,1.9,2.9,3.8,1.8,3.2,4.0,1.909,3.0,4.0,1.9,3.0,3.75,1.95,1.65,1656.99,1624.02
F1,15/09/02,Bastia,Ajaccio,1,2,A,1,1,D,1.8,3.0,4.333,1.81,3.15,4.35,1.9,2.9,3.8,1.8,3.2,4.0,1.85,3.0,4.333,1.9,3.0,3.75,2.15,1.55,1645.02,1644.13
F1,21/09/02,Ajaccio,Sochaux,0,1,A,0,1,A,2.25,2.875,3.0,2.28,2.9,3.15,2.3,2.8,2.9,,,,2.25,3.0,3.0,2.2,2.8,3.2,2.05,1.6,1660.16,1702.26
F1,21/09/02,Bordeaux,Lens,1,0,H,0,0,D,1.833,3.0,4.0,1.85,3.1,4.15,1.85,3.1,3.6,,,,1.85,3.0,4.2,1.83,3.0,4.0,1.95,1.65,1720.35,1758.62
F1,21/09/02,Le Havre,Marseille,1,3,A,0,1,A,2.4,3.0,2.7,2.55,2.95,2.72,2.6,2.7,2.7,,,,2.5,2.875,2.75,2.6,2.8,2.6,2.1,1.55,1628.58,1692.59
F1,21/09/02,Lille,Guingamp,2,1,H,0,0,D,2.2,2.8,3.2,2.1,3.0,3.4,2.1,2.8,3.3,,,,2.1,3.0,3.3,2.1,2.8,3.4,1.9,1.7,1708.51,1649.52
F1,21/09/02,Lyon,Monaco,1,3,A,0,1,A,1.727,2.875,5.0,1.7,3.2,5.0,1.6,3.4,4.6,,,,1.667,3.2,5.0,1.57,3.3,5.5,,,1806.58,1664.66
F1,21/09/02,Nice,Troyes,1,0,H,1,0,H,1.727,3.2,4.333,1.77,3.1,5.0,1.8,3.0,4.0,,,,1.727,3.2,4.5,1.66,3.1,5.0,1.9,1.7,1670.26,1652.43
F1,21/09/02,Rennes,Nantes,1,0,H,0,0,D,2.625,2.875,2.5,2.55,2.95,2.7,2.6,2.8,2.6,,,,2.6,2.9,2.6,2.7,2.8,2.5,1.9,1.7,1616.52,1716.61
F1,21/09/02,Strasbourg,Montpellier,3,2,H,1,0,H,2.0,3.0,3.4,2.05,2.95,3.6,2.1,2.7,3.5,,,,2.0,3.0,3.5,2.0,2.87,3.6,2.05,1.6,1626.01,1637.0
F1,22/09/02,Paris SG,Bastia,1,1,D,0,0,D,1.444,3.6,6.5,1.43,3.6,7.5,1.4,3.9,6.0,,,,1.4,3.75,7.5,1.44,3.4,7.0,1.95,1.65,1751.35,1628.99
F1,27/09/02,Marseille,Ajaccio,3,1,H,2,1,H,1.5,3.4,6.0,1.5,3.5,6.5,1.55,3.4,5.0,1.5,3.4,6.0,1.53,3.4,6.0,1.5,3.4,6.0,2.0,1.65,1706.38,1645.6
F1,28/09/02,Bastia,Bordeaux,2,1,H,1,0,H,2.5,3.1,2.5,2.5,3.11,2.8,2.7,2.9,2.4,2.5,2.88,2.62,2.5,3.0,2.63,2.62,2.9,2.5,1.95,1.65,1636.05,1730.65
F1,28/09/02,Guingamp,Strasbourg,2,3,A,0,1,A,1.833,3.2,3.75,1.83,3.1,4.5,1.85,3.0,3.8,1.8,2.88,4.5,1.85,3.1,4.0,1.8,3.0,4.2,1.9,1.7,1642.37,1635.38
F1,28/09/02,Lens,Lille,0,0,D,0,0,D,1.8,3.1,4.0,1.75,3.15,4.75,1.8,3.0,4.0,1.83,3.0,4.0,1.7,3.1,4.75,1.8,2.9,4.5,2.05,1.6,1748.32,1715.66
F1,28/09/02,Monaco,Rennes,2,1,H,1,1,D,1.5,3.4,6.0,1.51,3.5,6.75,1.55,3.4,5.0,1.62,3.25,5.0,1.5,3.6,6.0,1.5,3.4,6.0,1.85,1.75,1684.69,1629.02
F1,28/09/02,Montpellier,Paris SG,1,1,D,1,0,H,2.5,3.1,2.5,2.65,3.11,2.5,2.7,2.9,2.4,2.5,2.88,2.62,2.6,3.0,2.5,2.62,2.9,2.5,2.05,1.6,1627.63,1744.29
F1,28/09/02,Nantes,Auxerre,1,4,A,1,3,A,,,,2.3,3.1,3.1,2.3,2.9,2.8,2.25,3.0,2.88,2.3,2.875,3.0,2.2,2.9,3.1,1.95,1.65,1704.11,1747.94
F1,28/09/02,Sedan,Le Havre,4,0,H,1,0,H,2.0,2.875,3.6,1.95,3.05,3.85,1.85,3.0,3.8,1.83,3.0,4.0,2.0,3.0,3.5,2.1,3.1,3.1,2.05,1.6,1647.43,1614.79
F1,28/09/02,Sochaux,Nice,1,0,H,0,0,D,1.909,3.0,3.75,1.9,3.25,3.75,1.85,3.0,3.8,2.0,3.0,3.4,2.0,3.1,3.4,1.9,3.1,3.6,1.95,1.65,1716.82,1678.68
F1,28/09/02,Troyes,Lyon,1,1,D,0,0,D,2.8,2.875,2.375,2.65,3.1,2.55,2.7,2.9,2.4,2.62,2.88,2.5,2.7,2.9,2.5,2.62,2.9,2.5,1.9,1.7,1644.01,1786.55
