Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,EloHome,EloAway
SP1,29/09/02,Ath Bilbao,Mallorca,0,2,A,0,1,A,1.727,3.2,4.333,1.71,3.35,4.3,1.7,3.2,4.2,1.8,3.25,3.75,1.73,3.25,4.33,1.73,3.25,4.5,1.72,3.25,4.2,1.8,1.8,,,1633.77,1645.7
SP1,29/09/02,Ath Madrid,Recreativo,1,1,D,1,1,D,1.364,3.75,8.0,1.38,3.9,8.0,1.4,3.9,6.0,1.33,4.0,8.0,1.36,3.75,8.5,1.36,4.0,8.5,1.36,3.75,8.0,1.65,1.95,,,1684.12,1599.49
SP1,29/09/02,Celta,Malaga,2,2,D,2,2,D,1.615,3.25,5.0,1.66,3.35,4.98,1.65,3.3,4.4,1.67,3.25,4.5,1.67,3.25,5.0,1.67,3.25,5.0,1.57,3.5,5.0,1.65,1.95,,,1760.22,1736.17
SP1,29/09/02,Espanol,Sevilla,0,0,D,0,0,D,2.1,3.0,3.2,2.13,3.2,3.1,2.1,2.9,3.2,2.2,3.25,2.75,2.2,3.0,3.1,2.2,3.2,3.0,2.0,3.1,3.3,1.9,1.7,,,1618.12,1672.99
SP1,29/09/02,Osasuna,Sociedad,2,3,A,1,1,D,2.3,3.2,2.625,2.38,3.25,2.7,2.5,3.0,2.5,2.6,3.2,2.38,2.38,3.0,2.75,2.5,3.1,2.5,2.37,3.0,2.7,1.8,1.8,,,1607.18,1694.79
SP1,29/09/02,Santander,Villarreal,1,1,D,0,0,D,1.833,3.2,3.75,1.98,3.4,3.75,2.1,2.9,3.2,2.0,3.2,3.2,1.91,3.25,3.5,1.909,3.25,3.6,1.9,3.2,3.5,1.9,1.7,,,1649.23,1602.51
SP1,29/09/02,Valencia,Vallecano,3,0,H,2,0,H,1.286,4.5,8.0,1.36,4.5,9.0,1.3,4.2,8.0,1.36,3.75,8.0,1.33,4.0,8.5,1.33,4.2,8.5,1.28,4.5,8.0,1.7,1.95,,,1843.43,1685.29
SP1,05/10/02,Recreativo,Ath Bilbao,1,2,A,0,0,D,2.5,3.0,2.625,2.45,3.25,2.6,2.3,3.0,2.7,2.38,3.2,2.6,2.38,3.2,2.63,2.375,3.2,2.7,2.37,3.0,2.7,1.8,1.8,,,1605.57,1618.17
SP1,06/10/02,Barcelona,Osasuna,2,2,D,2,2,D,1.286,4.5,8.0,1.27,4.85,10.5,1.2,5.0,10.0,1.25,4.5,10.0,1.29,4.5,8.5,1.286,4.5,9.5,1.25,4.5,10.0,1.45,2.35,,,1760.8,1594.23
SP1,06/10/02,La Coruna,Santander,0,2,A,0,1,A,1.333,4.0,8.0,1.33,4.5,9.25,1.3,4.2,8.0,1.3,4.0,9.0,1.3,4.33,8.5,1.3,4.333,9.5,1.28,4.33,8.5,1.65,1.95,,,1803.36,1644.24
SP1,06/10/02,Malaga,Ath Madrid,3,1,H,1,0,H,2.1,3.2,3.0,2.18,3.2,3.1,2.1,3.0,3.1,2.2,3.2,2.8,2.2,3.2,2.88,2.2,3.2,3.0,2.1,3.1,3.1,1.7,1.9,,,1740.45,1678.04
SP1,06/10/02,Mallorca,Espanol,2,0,H,0,0,D,1.909,3.2,3.5,2.05,3.2,3.45,1.9,3.1,3.5,1.83,3.2,3.75,1.91,3.25,3.5,1.909,3.25,3.6,1.9,3.0,3.75,1.8,1.8,,,1661.3,1616.51
SP1,06/10/02,Real Madrid,Alaves,5,2,H,2,1,H,1.25,4.5,10.0,1.26,4.85,10.5,1.25,4.5,9.0,1.25,4.5,10.0,1.25,5.0,8.5,1.25,5.0,9.5,1.22,5.0,9.5,1.45,2.35,,,1791.26,1640.39
SP1,06/10/02,Sevilla,Betis,1,1,D,0,1,A,2.75,3.2,2.25,2.98,3.16,2.25,3.0,2.9,2.2,2.88,3.0,2.25,2.75,3.0,2.38,3.0,3.0,2.25,2.9,2.8,2.37,1.8,1.8,,,1674.6,1741.7
SP1,06/10/02,Sociedad,Valladolid,2,1,H,0,0,D,1.667,3.3,4.5,1.72,3.35,4.65,1.65,3.3,4.4,1.62,3.25,5.0,1.67,3.4,4.5,1.6,3.4,5.0,1.61,3.1,5.5,1.75,1.85,,,1707.74,1656.53
SP1,06/10/02,Valencia,Celta,0,1,A,0,0,D,1.667,3.4,4.333,1.61,3.4,5.5,1.7,3.2,4.2,1.62,3.25,5.0,1.62,3.4,5.0,1.615,3.3,5.25,1.66,3.1,5.0,1.8,1.8,,,1848.04,1755.94
SP1,06/10/02,Vallecano,Villarreal,2,2,D,1,2,A,1.909,3.2,3.5,2.06,3.2,3.3,1.9,3.1,3.5,1.8,3.2,4.0,1.91,3.2,3.6,2.0,3.2,3.4,1.9,3.0,3.75,1.75,1.85,,,1680.68,1607.5
SP1,08/10/02,Betis,Real Madrid,1,1,D,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,1742.88,1796.03
SP1,19/10/02,Ath Madrid,Valencia,1,1,D,0,1,A,2.7,3.0,2.4,3.0,3.0,2.44,2.7,3.0,2.3,2.75,3.0,2.38,2.75,3.1,2.38,3.0,3.1,2.2,2.75,3.1,2.3,1.75,1.89,,,1670.99,1829.26
SP1,19/10/02,Santander,Real Madrid,2,0,H,1,0,H,4.5,3.25,1.667,4.75,3.5,1.65,4.2,3.2,1.7,4.33,3.2,1.73,4.33,3.25,1.73,4.5,3.4,1.667,4.2,3.25,1.72,1.7,1.93,,,1664.65,1797.71
SP1,19/10/02,Villarreal,La Coruna,3,1,H,0,1,A,3.0,3.0,2.2,,,,2.7,3.0,2.3,3.0,3.0,2.2,2.88,3.2,2.2,3.0,3.2,2.2,3.1,3.1,2.1,1.75,1.88,,,1613.26,1782.95
SP1,20/10/02,Alaves,Sociedad,2,2,D,1,1,D,2.5,3.1,2.5,2.5,3.1,2.65,2.3,3.0,2.7,2.6,3.2,2.38,2.4,3.2,2.62,2.4,3.2,2.625,2.37,3.1,2.62,1.75,1.91,,,1635.62,1715.12
SP1,20/10/02,Ath Bilbao,Malaga,1,1,D,1,0,H,2.3,3.2,2.625,2.51,3.15,2.8,2.3,3.0,2.7,2.38,3.2,2.6,2.38,3.2,2.62,2.375,3.2,2.7,2.25,3.1,2.8,1.75,1.95,,,1633.75,1747.5
SP1,20/10/02,Betis,Mallorca,0,1,A,0,1,A,1.667,3.3,4.5,1.7,3.4,4.8,1.55,3.5,4.8,1.57,3.5,5.0,1.67,3.4,4.5,1.667,3.4,4.75,1.66,3.3,4.5,1.7,1.95,,,1741.2,1668.87
SP1,20/10/02,Celta,Vallecano,0,1,A,0,1,A,1.444,3.6,6.5,1.41,4.0,7.2,1.45,3.8,5.4,1.4,3.75,7.0,1.44,3.5,7.0,1.444,3.75,7.0,1.4,3.6,7.5,1.65,2.1,,,1774.72,1674.92
SP1,20/10/02,Espanol,Recreativo,2,0,H,0,0,D,1.667,3.3,4.5,1.7,3.35,4.9,1.65,3.3,4.4,1.67,3.25,4.5,1.73,3.25,4.5,1.727,3.25,4.5,1.72,3.25,4.2,1.85,1.8,,,1608.94,1589.99
SP1,20/10/02,Osasuna,Sevilla,2,1,H,2,1,H,2.1,3.2,3.0,2.25,3.1,3.1,2.2,2.8,3.1,2.25,3.0,2.88,2.2,3.2,2.88,2.2,3.2,3.0,2.2,3.0,3.0,1.92,1.75,,,1602.3,1673.42
SP1,20/10/02,Valladolid,Barcelona,2,1,H,0,0,D,3.25,3.4,1.909,3.4,3.15,2.15,3.2,3.1,2.0,3.0,3.2,2.1,3.1,3.25,2.1,3.2,3.25,2.0,3.1,3.1,2.1,1.72,1.95,,,1649.15,1752.73
SP1,26/10/02,Barcelona,Alaves,6,1,H,4,0,H,1.4,3.75,7.0,1.45,4.0,7.75,1.35,4.0,7.0,1.4,3.75,7.0,1.4,3.75,7.5,1.4,3.75,7.5,1.36,3.75,8.0,1.55,2.15,,,1740.1,1634.88
SP1,26/10/02,Celta,Ath Madrid,0,0,D,0,0,D,1.727,3.2,4.333,1.87,3.25,4.15,1.8,3.1,3.8,1.73,3.2,4.33,1.73,3.2,4.33,1.75,3.2,4.333,1.66,3.3,4.5,1.65,1.95,,,1755.73,1673.07
SP1,26/10/02,Real Madrid,Villarreal,1,1,D,1,1,D,1.25,4.5,10.0,1.27,5.0,10.1,1.25,4.5,9.0,1.25,4.5,10.0,1.25,4.5,10.0,1.25,4.75,10.0,1.2,5.0,11.0,1.5,2.25,,,1784.02,1628.23
SP1,26/10/02,Recreativo,Betis,1,1,D,0,1,A,3.2,3.2,2.0,3.6,3.15,1.95,3.5,3.1,1.9,3.75,3.25,1.8,3.4,3.1,2.0,3.5,3.1,1.95,3.4,3.0,2.0,1.75,1.85,,,1581.61,1722.96
SP1,26/10/02,Valencia,Ath Bilbao,5,1,H,4,0,H,1.4,3.75,7.0,1.48,4.0,7.75,1.4,3.9,6.0,1.4,3.75,7.0,1.4,3.75,7.5,1.4,3.75,7.5,1.36,3.75,8.0,1.7,1.9,,,1827.18,1634.24
SP1,26/10/02,Vallecano,La Coruna,1,2,A,0,1,A,2.625,3.2,2.3,2.85,3.0,2.6,2.5,3.0,2.5,2.6,3.2,2.38,2.8,3.1,2.3,2.625,3.1,2.375,2.87,3.0,2.25,1.75,1.85,,,1693.91,1767.98
SP1,27/10/02,Malaga,Espanol,3,4,A,3,1,H,1.727,3.2,4.333,1.7,3.5,4.65,1.7,3.2,4.2,1.73,3.2,4.33,1.73,3.2,4.5,1.667,3.2,5.0,1.72,3.25,4.2,1.7,1.9,,,1747.01,1617.32
SP1,27/10/02,Mallorca,Osasuna,2,0,H,0,0,D,1.8,3.1,4.0,1.8,3.2,4.25,1.8,3.1,3.8,1.53,3.4,5.5,1.73,3.2,4.5,1.727,3.2,4.5,1.61,3.3,5.0,1.7,1.9,,,1687.11,1613.76
SP1,27/10/02,Sevilla,Valladolid,2,1,H,2,0,H,2.1,3.2,3.0,2.05,3.1,3.4,2.0,2.9,3.4,2.1,3.2,3.0,2.1,3.0,3.3,2.1,3.0,3.3,2.0,3.1,3.3,1.9,1.7,,,1661.96,1661.78
