Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
P1,09/11/02,Setubal,Porto,0,1,A,0,1,A,3.75,3.25,1.72,4.0,3.3,1.85,3.5,3.1,1.9,3.75,3.3,1.8,3.75,3.2,1.8,1.75,1.9,1447.84,1678.01
P1,10/11/02,Beira Mar,Varzim,2,1,H,2,0,H,2.2,3.2,2.87,2.15,3.2,3.05,2.1,3.0,3.1,2.2,3.2,2.8,2.1,3.2,2.9,1.83,1.83,1418.56,1432.41
P1,10/11/02,Benfica,Pacos Ferreira,7,0,H,3,0,H,1.36,3.75,7.5,1.46,4.0,7.5,1.4,3.9,6.0,1.4,3.75,7.0,1.4,3.4,8.0,1.55,2.15,1583.52,1477.97
P1,10/11/02,Leiria,Santa Clara,3,1,H,2,1,H,1.8,3.25,3.75,1.75,3.4,4.2,1.75,3.1,4.2,1.75,3.4,3.8,1.7,3.4,4.0,1.83,1.83,1493.56,1378.7
P1,10/11/02,Nacional,Academica,3,2,H,1,2,A,,,,1.9,3.3,3.65,2.0,2.9,3.4,1.85,3.25,3.6,1.8,3.2,3.75,1.88,1.78,1391.68,1397.54
P1,11/11/02,Gil Vicente,Belenenses,3,1,H,2,1,H,2.5,3.2,2.4,2.47,3.25,2.6,2.3,2.9,2.8,2.375,3.1,2.625,2.2,3.1,2.8,1.85,1.75,1423.91,1538.47
P1,15/11/02,Sp Lisbon,Maritimo,2,0,H,0,0,D,1.4,3.75,7.0,1.43,3.95,7.4,1.35,4.0,7.0,1.364,4.0,7.0,1.35,3.75,8.0,1.65,1.95,1648.17,1504.14
P1,16/11/02,Varzim,Benfica,2,1,H,1,1,D,3.2,3.2,2.0,3.25,3.25,2.05,3.2,3.1,2.0,3.2,3.2,2.0,3.2,3.1,2.0,1.75,1.85,1422.95,1589.38
P1,17/11/02,Academica,Setubal,1,1,D,0,0,D,2.375,3.25,2.5,2.45,3.3,2.55,2.4,2.9,2.7,2.375,3.1,2.6,2.3,3.1,2.65,1.9,1.7,1388.35,1439.82
P1,17/11/02,Belenenses,Guimaraes,1,0,H,0,0,D,2.1,3.3,2.875,2.1,3.25,3.15,2.0,3.1,3.2,2.1,3.25,2.9,2.0,3.1,3.2,1.75,1.85,1525.45,1462.62
P1,17/11/02,Pacos Ferreira,Leiria,1,0,H,0,0,D,1.727,3.4,4.0,1.75,3.4,4.25,1.75,3.2,4.0,1.727,3.4,4.0,1.7,3.2,4.2,1.85,1.75,1472.11,1499.18
P1,17/11/02,Santa Clara,Nacional,2,3,A,2,1,H,2.0,3.2,3.2,1.96,3.3,3.5,1.9,3.1,3.5,1.909,3.4,3.25,1.9,3.1,3.45,1.9,1.7,1373.08,1400.87
P1,17/11/02,Sp Braga,Beira Mar,0,0,D,0,0,D,1.727,3.4,4.0,1.75,3.4,4.25,1.75,3.2,4.0,1.7,3.25,4.333,1.7,3.2,4.2,1.8,1.8,1453.67,1428.02
P1,18/11/02,Boavista,Gil Vicente,0,1,A,0,0,D,1.571,3.5,5.0,1.65,3.45,4.85,1.65,3.3,4.4,1.6,3.6,4.5,1.65,3.25,4.5,1.7,1.9,1588.74,1436.93
P1,18/11/02,Moreirense,Porto,0,1,A,0,0,D,4.5,3.5,1.615,4.85,3.45,1.65,4.6,3.4,1.6,4.75,3.4,1.615,4.2,3.4,1.65,1.7,1.9,1386.06,1686.03
P1,30/11/02,Beira Mar,Sp Lisbon,1,3,A,1,1,D,4.0,3.2,1.8,3.5,3.35,1.9,3.5,3.1,1.9,3.6,3.25,1.85,3.3,3.3,1.9,1.8,1.8,1432.35,1653.1
P1,30/11/02,Benfica,Sp Braga,3,0,H,2,0,H,1.333,4.0,8.0,1.38,4.0,7.5,1.35,3.8,7.5,1.364,4.0,7.0,1.35,3.75,8.0,1.65,1.95,1574.52,1449.34
P1,30/11/02,Gil Vicente,Moreirense,2,1,H,2,1,H,1.533,3.5,5.0,1.46,4.0,6.0,1.55,3.4,5.0,1.5,3.6,5.5,1.5,3.5,5.5,1.85,1.75,1457.18,1380.05
P1,30/11/02,Setubal,Santa Clara,0,0,D,0,0,D,1.533,3.5,5.0,1.65,3.4,4.75,1.65,3.1,4.8,1.615,3.4,4.75,1.65,3.4,4.2,1.9,1.7,1441.55,1358.02
P1,01/12/02,Leiria,Varzim,3,1,H,1,0,H,2.2,3.2,2.8,2.2,3.2,2.9,2.1,2.9,3.2,2.2,3.2,2.8,1.95,3.2,3.25,1.9,1.7,1489.27,1437.81
P1,01/12/02,Maritimo,Belenenses,2,1,H,2,0,H,2.2,3.2,2.8,2.17,3.15,3.0,2.3,2.9,2.8,2.2,3.2,2.8,2.0,3.3,3.0,1.9,1.7,1499.21,1532.49
P1,01/12/02,Nacional,Pacos Ferreira,4,0,H,0,0,D,2.1,3.2,3.0,1.9,3.3,3.6,2.1,2.9,3.2,1.909,3.25,3.4,1.9,3.3,3.3,2.05,1.6,1415.93,1482.02
P1,02/12/02,Guimaraes,Boavista,3,1,H,1,1,D,2.2,3.2,2.8,2.05,3.3,3.1,,,,2.2,3.2,2.8,2.1,3.5,2.7,1.7,1.9,1455.58,1568.49
P1,02/12/02,Porto,Academica,4,1,H,0,1,A,1.222,5.0,10.0,1.21,5.25,11.0,,,,1.2,5.0,11.0,1.2,5.0,10.0,1.52,2.4,1692.04,1386.62
P1,04/12/02,Benfica,Gil Vicente,3,1,H,2,1,H,1.5,3.6,5.5,1.5,3.75,5.5,1.45,3.8,5.4,1.5,3.6,5.5,1.5,3.5,5.4,1.6,2.05,1579.89,1463.81
P1,04/12/02,Santa Clara,Maritimo,2,1,H,0,1,A,2.375,3.25,2.5,2.3,3.15,2.75,2.4,2.9,2.7,2.375,3.3,2.5,2.3,3.0,2.7,1.75,1.85,1364.07,1509.34
P1,06/12/02,Belenenses,Beira Mar,3,2,H,1,1,D,1.533,3.4,5.5,1.61,3.46,6.01,1.65,3.2,4.6,1.533,3.4,5.5,1.5,3.4,6.0,1.85,1.75,1522.36,1424.03
P1,07/12/02,Sp Lisbon,Benfica,0,2,A,0,2,A,2.0,3.0,3.4,2.1,3.2,3.15,2.1,2.9,3.2,2.1,3.1,3.1,2.0,3.0,3.4,1.75,1.85,1661.42,1585.48
P1,08/12/02,Boavista,Maritimo,3,0,H,2,0,H,1.727,3.2,4.333,1.7,3.35,4.55,1.75,3.1,4.2,1.727,3.2,4.2,1.7,3.3,4.2,1.7,1.9,1555.53,1495.22
P1,08/12/02,Moreirense,Academica,1,0,H,0,0,D,1.909,3.25,3.4,2.0,3.2,3.4,1.9,2.9,3.8,2.0,3.2,3.2,1.8,3.3,3.75,1.8,1.8,1373.42,1384.41
P1,08/12/02,Pacos Ferreira,Setubal,1,2,A,0,1,A,1.833,3.25,3.75,2.0,3.2,3.4,2.0,2.8,3.6,1.909,3.2,3.5,1.8,3.3,3.75,1.75,1.85,1470.74,1435.5
P1,08/12/02,Santa Clara,Porto,1,3,A,0,1,A,4.5,3.5,1.615,5.75,3.5,1.55,4.8,3.5,1.55,5.0,3.5,1.571,4.6,3.5,1.6,1.8,1.8,1378.19,1694.25
P1,08/12/02,Sp Braga,Leiria,1,1,D,1,1,D,1.727,3.4,4.0,1.71,3.35,4.55,1.8,3.0,4.0,1.727,3.25,4.2,1.7,3.3,4.2,1.75,1.85,1443.97,1496.64
P1,08/12/02,Varzim,Nacional,1,0,H,0,0,D,1.727,3.4,4.0,1.71,3.35,4.55,1.75,3.1,4.2,1.727,3.25,4.2,1.7,3.3,4.2,1.7,1.9,1430.44,1427.21
