Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC1,19/10/02,St Johnstone,St Mirren,2.0,0.0,H,2.0,0.0,H,1.727,3.6,3.75,1.73,3.5,3.75,1.7,3.2,3.7,1.8,3.4,3.6,1.7,3.6,3.8,1.72,3.6,3.75,1375.87,1383.94
SC1,26/10/02,Arbroath,Alloa,0.0,1.0,A,0.0,0.0,D,1.833,3.5,3.4,1.85,3.5,3.3,1.9,3.2,2.9,1.91,3.5,3.2,1.833,3.5,3.25,2.0,3.4,3.0,1361.3,1301.36
SC1,26/10/02,Ayr,Clyde,1.0,1.0,D,1.0,1.0,D,2.0,3.4,3.0,2.0,3.4,3.0,2.0,3.1,2.8,2.1,3.4,2.88,2.1,3.4,2.75,2.1,3.4,2.8,1446.14,1426.61
SC1,26/10/02,Inverness C,St Johnstone,2.0,1.0,H,1.0,0.0,H,2.2,3.4,2.625,2.15,3.5,2.65,2.2,3.1,2.5,2.0,3.4,3.0,2.1,3.4,2.75,2.25,3.4,2.6,1446.26,1385.14
SC1,26/10/02,Queen of Sth,Ross County,2.0,0.0,H,1.0,0.0,H,2.375,3.5,2.375,2.52,3.25,2.37,2.3,3.1,2.3,2.5,3.5,2.25,2.375,3.4,2.375,2.37,3.3,2.5,1341.56,1426.79
SC1,26/10/02,St Mirren,Falkirk,4.0,4.0,D,0.0,3.0,A,3.2,3.5,1.909,3.3,3.5,1.85,2.9,3.2,1.9,3.5,3.5,1.8,3.25,3.5,1.833,3.0,3.4,2.0,1374.67,1442.68
SC1,02/11/02,Alloa,St Johnstone,1.0,3.0,A,1.0,1.0,D,3.2,3.5,1.909,3.45,3.5,1.81,3.4,3.3,1.75,3.5,3.5,1.8,3.5,3.4,1.833,4.0,3.4,1.72,1319.24,1378.05
SC1,02/11/02,Clyde,Ross County,2.0,1.0,H,2.0,1.0,H,2.0,3.4,3.0,1.91,3.5,3.15,1.9,3.2,2.9,1.83,3.5,3.4,1.909,3.4,3.25,2.0,3.4,3.0,1430.75,1414.82
SC1,02/11/02,Inverness C,St Mirren,4.0,1.0,H,2.0,0.0,H,1.571,3.5,5.0,1.55,3.75,4.6,1.6,3.4,3.9,1.53,3.75,5.0,1.571,3.6,4.75,1.61,3.6,4.33,1453.35,1373.52
SC1,02/11/02,Queen of Sth,Falkirk,1.0,1.0,D,1.0,0.0,H,3.5,3.5,1.8,3.45,3.5,1.81,3.3,3.2,1.8,3.5,3.5,1.8,3.5,3.4,1.833,3.2,3.5,1.9,1353.53,1443.83
