Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
I2,13/10/02,Triestina,Cosenza,1.0,0.0,H,1.0,0.0,H,2.1,2.5,4.0,2.07,2.55,4.0,2.0,2.6,3.5,,,,2.1,2.625,3.6,2.0,2.7,3.75,1.9,1.75,1468.98,1479.95
I2,13/10/02,Venezia,Genoa,0.0,1.0,A,0.0,0.0,D,1.909,2.7,4.333,1.91,2.65,4.42,1.9,2.7,3.6,,,,1.909,2.7,4.2,1.85,2.7,4.4,1.9,1.7,1470.03,1482.75
I2,13/10/02,Verona,Napoli,2.0,2.0,D,1.0,1.0,D,2.25,2.75,3.2,2.32,2.65,3.2,2.2,2.6,3.0,,,,2.3,2.7,3.0,2.15,2.7,3.3,1.9,1.7,1532.03,1559.22
I2,19/10/02,Ancona,Sampdoria,1.0,1.0,D,1.0,1.0,D,2.5,2.625,2.875,2.7,2.57,3.0,2.5,2.5,2.7,2.62,2.5,2.9,2.5,2.625,2.875,2.6,2.5,2.75,1.85,1.75,1497.67,1540.37
I2,19/10/02,Cagliari,Verona,2.0,1.0,H,1.0,0.0,H,1.833,2.875,4.333,1.85,2.8,4.65,1.85,2.7,3.7,1.91,2.62,4.5,1.85,2.8,4.333,1.8,2.7,4.5,1.9,1.7,1526.57,1529.45
I2,19/10/02,Catania,Salernitana,2.0,1.0,H,1.0,0.0,H,2.0,2.875,3.6,2.0,2.95,3.75,2.0,2.7,3.3,2.0,2.88,3.6,2.1,2.8,3.4,2.0,2.8,3.5,1.75,1.85,1474.27,1471.38
I2,19/10/02,Cosenza,Ascoli,1.0,0.0,H,0.0,0.0,D,1.909,2.7,4.333,1.95,2.72,4.25,1.9,2.6,3.8,1.9,2.7,4.33,2.0,2.8,3.75,1.9,2.65,4.2,1.95,1.65,1470.58,1474.29
I2,19/10/02,Genoa,Messina,1.0,1.0,D,1.0,1.0,D,1.667,2.875,5.5,1.72,2.9,5.25,1.7,2.8,4.2,1.73,2.88,5.0,1.7,2.875,5.2,1.65,2.8,5.5,1.9,1.7,1498.33,1456.02
I2,19/10/02,Lecce,Triestina,1.0,1.0,D,1.0,1.0,D,1.5,3.25,6.5,1.51,3.2,7.25,1.45,3.1,6.0,1.5,3.2,7.0,1.5,3.25,6.5,1.45,3.3,6.5,1.75,1.85,1531.32,1478.35
I2,19/10/02,Napoli,Livorno,0.0,1.0,A,0.0,1.0,A,1.571,3.25,5.5,1.56,3.05,7.0,1.5,3.0,5.5,1.57,3.0,6.5,1.571,3.1,6.0,1.55,3.0,6.0,1.75,1.85,1561.8,1470.71
I2,19/10/02,Siena,Bari,1.0,1.0,D,1.0,1.0,D,2.375,2.5,3.25,2.35,2.55,3.35,2.3,2.5,2.9,2.4,2.5,3.2,2.3,2.625,3.2,2.25,2.6,3.2,2.05,1.6,1515.13,1512.41
I2,19/10/02,Ternana,Venezia,1.0,1.0,D,1.0,0.0,H,1.8,2.9,4.5,1.75,2.9,5.0,1.75,2.8,4.0,1.8,2.88,4.5,1.75,2.875,4.75,1.75,2.85,4.5,1.85,1.75,1545.79,1454.45
I2,19/10/02,Vicenza,Palermo,1.0,3.0,A,0.0,1.0,A,2.1,2.75,3.5,2.25,2.7,3.35,2.2,2.6,3.0,2.1,2.75,3.5,2.2,2.7,3.3,2.2,2.6,3.3,1.9,1.7,1467.17,1455.96
I2,26/10/02,Ascoli,Ternana,2.0,0.0,H,1.0,0.0,H,2.25,2.6,3.4,2.35,2.65,3.25,2.2,2.6,3.0,2.5,2.6,2.9,2.25,2.625,3.2,2.25,2.65,3.1,2.05,1.6,1465.17,1539.53
I2,26/10/02,Bari,Sampdoria,1.0,1.0,D,1.0,0.0,H,2.5,2.5,3.1,2.8,2.55,2.9,2.45,2.5,2.75,2.5,2.5,3.0,2.5,2.5,3.0,2.45,2.5,3.0,1.95,1.65,1516.0,1542.41
I2,26/10/02,Cosenza,Siena,0.0,0.0,D,0.0,0.0,D,1.909,2.7,4.333,2.0,2.8,4.1,1.9,2.6,3.8,2.0,2.6,4.2,1.95,2.6,4.2,2.0,2.6,3.9,1.95,1.65,1479.7,1511.54
I2,26/10/02,Genoa,Lecce,0.0,0.0,D,0.0,0.0,D,2.375,2.7,3.0,2.6,2.6,3.0,2.3,2.6,2.8,2.3,2.62,3.25,2.3,2.625,3.1,2.3,2.6,3.1,1.9,1.7,1493.48,1526.15
I2,26/10/02,Livorno,Venezia,2.0,1.0,H,2.0,0.0,H,1.9,2.7,4.33,1.85,2.75,4.5,1.85,2.65,3.8,1.9,2.7,4.33,1.833,2.7,4.5,1.9,2.7,4.0,1.85,1.75,1489.47,1460.71
I2,26/10/02,Messina,Verona,2.0,1.0,H,2.0,0.0,H,2.25,2.6,3.4,2.25,2.65,3.25,2.2,2.6,3.0,2.2,2.62,3.4,2.25,2.625,3.2,2.25,2.65,3.1,1.9,1.7,1460.87,1520.36
I2,26/10/02,Palermo,Cagliari,1.0,1.0,D,1.0,0.0,H,2.1,2.75,3.5,2.07,2.6,4.1,2.0,2.6,3.5,2.0,2.62,4.0,2.0,2.6,4.0,2.1,2.65,3.4,1.9,1.7,1472.33,1535.66
I2,26/10/02,Triestina,Catania,4.0,0.0,H,2.0,0.0,H,2.0,2.75,3.8,2.1,2.6,3.75,2.0,2.6,3.5,2.1,2.62,3.75,2.0,2.7,3.8,1.95,2.65,4.0,1.9,1.7,1483.52,1483.17
I2,28/10/02,Salernitana,Ancona,0.0,2.0,A,0.0,0.0,D,2.2,2.625,3.4,2.3,2.75,3.3,2.1,2.6,3.3,2.2,2.62,3.4,2.15,2.7,3.3,2.05,2.7,3.5,1.8,1.8,1462.48,1495.63
I2,28/10/02,Vicenza,Napoli,3.0,3.0,D,1.0,2.0,A,2.25,2.75,3.2,2.45,2.6,3.15,2.35,2.6,2.75,2.3,2.6,3.25,2.3,2.7,3.0,2.35,2.65,2.9,1.85,1.85,1450.8,1543.04
