Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
SC2,27/09/03,Dumbarton,Stenhousemuir,0.0,1.0,A,0.0,0.0,D,2.1,3.5,2.75,2.1,3.5,2.75,,,,1.909,3.5,3.2,,,,2.1,3.4,2.8,2.1,3.5,2.75,,,,,,,,,,,,,,,,,,,,,1213.03,1162.91
SC2,27/09/03,Hamilton,East Fife,2.0,2.0,D,1.0,0.0,H,2.0,3.4,3.0,2.1,3.5,2.75,,,,2.25,3.5,2.5,,,,2.1,3.4,2.8,2.1,3.5,2.75,,,,,,,,,,,,,,,,,,,,,1226.55,1232.2
SC2,04/10/03,East Fife,Dumbarton,1.0,0.0,H,0.0,0.0,D,1.72,3.6,3.75,1.7,3.6,3.8,,,,1.667,3.6,4.0,,,,1.72,3.6,3.75,1.66,3.6,4.0,,,,,,,,,,,,,,,,,,,,,1235.51,1195.44
SC2,04/10/03,Forfar,Airdrie Utd,1.0,1.0,D,1.0,0.0,H,2.5,3.5,2.25,2.5,3.5,2.25,,,,2.5,3.5,2.25,,,,2.6,3.4,2.25,2.75,3.5,2.1,,,,,,,,,,,,,,,,,,,,,1222.33,1288.01
SC2,04/10/03,Hamilton,Alloa,3.0,4.0,A,0.0,3.0,A,1.9,3.5,3.2,1.9,3.45,3.2,,,,1.727,3.5,3.75,,,,1.9,3.5,3.2,1.9,3.5,3.2,,,,,,,,,,,,,,,,,,,,,1223.24,1226.75
SC2,04/10/03,Morton,Berwick,1.0,3.0,A,0.0,1.0,A,1.72,3.6,3.75,1.7,3.6,3.8,,,,1.615,4.0,4.0,,,,1.66,3.6,4.0,1.66,3.6,4.0,,,,,,,,,,,,,,,,,,,,,1306.56,1219.71
SC2,04/10/03,Stenhousemuir,Arbroath,1.0,0.0,H,1.0,0.0,H,2.3,3.4,2.5,2.25,3.5,2.5,,,,2.25,3.5,2.5,,,,2.25,3.5,2.5,2.3,3.4,2.5,,,,,,,,,,,,,,,,,,,,,1180.5,1137.86
SC2,11/10/03,Alloa,Airdrie Utd,1.0,4.0,A,1.0,3.0,A,2.37,3.5,2.37,2.5,3.4,2.3,,,,2.5,3.5,2.25,,,,2.5,3.4,2.3,2.6,3.4,2.25,,,,,,,,,,,,,,,,,,,,,1242.63,1289.24
SC2,18/10/03,Airdrie Utd,Stenhousemuir,2.0,0.0,H,1.0,0.0,H,1.72,3.6,3.75,1.67,3.6,4.0,,,,1.667,3.6,4.0,,,,1.72,3.6,3.75,1.72,3.6,3.75,,,,,,,,,,,,,,,,,,,,,1303.65,1188.14
SC2,18/10/03,Alloa,Morton,0.0,1.0,A,0.0,0.0,D,2.75,3.5,2.1,3.2,3.5,1.9,,,,3.2,3.5,1.909,,,,2.87,3.6,2.0,3.3,3.6,1.83,,,,,,,,,,,,,,,,,,,,,1228.22,1287.92
SC2,18/10/03,Arbroath,East Fife,0.0,1.0,A,0.0,1.0,A,2.5,3.5,2.25,2.55,3.45,2.25,,,,2.625,3.5,2.2,,,,2.5,3.5,2.25,2.6,3.4,2.25,,,,,,,,,,,,,,,,,,,,,1130.22,1243.23
SC2,18/10/03,Berwick,Forfar,0.0,4.0,A,0.0,1.0,A,2.0,3.4,3.0,1.9,3.5,3.2,,,,1.8,3.5,3.5,,,,1.9,3.5,3.2,2.0,3.4,3.0,,,,,,,,,,,,,,,,,,,,,1238.35,1221.1
SC2,18/10/03,Dumbarton,Hamilton,0.0,3.0,A,0.0,1.0,A,2.5,3.5,2.25,2.5,3.3,2.35,,,,2.375,3.5,2.375,,,,2.37,3.5,2.37,2.5,3.3,2.37,,,,,,,,,,,,,,,,,,,,,1187.72,1207.36
SC2,25/10/03,Arbroath,Dumbarton,2.0,1.0,H,1.0,0.0,H,2.1,3.5,2.75,2.1,3.4,2.8,,,,2.1,3.5,2.75,,,,2.1,3.4,2.8,2.1,3.5,2.75,,,,,,,,,,,,,,,,,,,,,1118.19,1172.38
SC2,25/10/03,East Fife,Forfar,2.0,3.0,A,2.0,2.0,D,2.0,3.4,3.0,1.9,3.5,3.15,,,,1.727,3.75,3.5,,,,1.85,3.6,3.25,1.9,3.6,3.1,,,,,,,,,,,,,,,,,,,,,1255.26,1237.67
SC2,25/10/03,Hamilton,Berwick,2.0,2.0,D,0.0,1.0,A,2.2,3.4,2.62,2.2,3.4,2.65,,,,2.2,3.5,2.625,,,,2.2,3.5,2.6,2.25,3.4,2.6,,,,,,,,,,,,,,,,,,,,,1222.7,1221.78
SC2,25/10/03,Morton,Stenhousemuir,5.0,2.0,H,2.0,1.0,H,1.5,3.6,5.5,1.55,3.55,5.0,,,,1.615,4.0,4.0,,,,1.53,3.6,5.0,1.53,3.6,5.0,,,,,,,,,,,,,,,,,,,,,1301.86,1182.53
SC2,01/11/03,Airdrie Utd,Morton,1.0,6.0,A,0.0,3.0,A,2.37,3.5,2.37,2.35,3.4,2.45,,,,2.38,3.5,2.38,,,,2.3,3.4,2.5,2.3,3.4,2.5,,,,,,,,,,,,,,,,,,,,,1309.26,1307.37
