Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,EloHome,EloAway
T1,30/08/03,Malatyaspor,Samsunspor,5,0,H,3,0,H,1.615,3.5,4.5,1.7,3.25,4.25,1.7,3.2,4.2,1.727,3.4,4.0,1.66,3.3,4.75,1.7,3.35,4.0,1.65,2.0,1.92,1.85,-0.75,1510.32,1426.9
T1,31/08/03,Ankaragucu,Bursaspor,2,0,H,1,0,H,1.667,3.4,4.333,1.8,3.2,3.8,1.7,3.2,4.2,1.727,3.4,4.0,1.8,3.25,4.0,1.8,3.3,3.6,1.6,2.1,1.8,1.98,-0.5,1489.16,1422.55
T1,31/08/03,Galatasaray,Genclerbirligi,2,1,H,2,0,H,1.364,4.0,7.0,1.35,4.0,7.0,1.35,4.0,7.0,1.3,4.5,7.5,1.36,4.2,7.0,1.36,4.0,7.0,1.55,2.2,1.82,1.95,-1.25,1721.33,1550.32
T1,31/08/03,Istanbulspor,Rizespor,3,0,H,1,0,H,1.571,3.5,5.0,1.66,3.4,4.3,1.8,3.1,3.8,1.571,3.75,4.5,1.7,3.25,4.5,1.65,3.5,4.1,1.6,2.1,1.8,1.98,-0.75,1493.32,1443.07
T1,31/08/03,Trabzonspor,A. Sebatspor,2,1,H,1,0,H,1.333,4.333,7.0,1.3,4.25,7.5,1.35,4.0,7.0,1.444,3.75,6.0,1.3,4.33,8.5,1.28,4.25,8.0,,,1.88,1.9,-1.5,1488.54,1368.1
T1,12/09/03,Besiktas,Malatyaspor,3,1,H,1,1,D,1.25,4.5,10.0,1.25,4.5,9.0,1.25,4.5,9.0,1.286,4.333,9.0,1.28,4.33,9.5,1.25,4.5,10.0,1.5,2.3,2.0,1.7,-2.0,1744.72,1516.77
T1,13/09/03,Adanaspor,Diyarbakirspor,2,1,H,0,0,D,1.9,3.2,3.5,1.95,3.25,3.25,1.9,3.3,3.3,2.0,3.2,3.2,2.0,3.2,3.3,1.9,3.4,3.15,1.71,1.95,1.9,1.8,-0.5,1402.49,1403.5
T1,13/09/03,Konyaspor,Galatasaray,1,0,H,0,0,D,5.0,3.6,1.53,5.25,3.6,1.5,4.6,3.4,1.6,5.0,3.75,1.533,5.5,3.5,1.53,6.0,3.4,1.5,1.55,2.2,1.83,1.9,1.0,1408.31,1725.67
T1,13/09/03,Rizespor,Trabzonspor,1,0,H,0,0,D,2.7,3.2,2.25,2.6,3.2,2.3,2.5,3.2,2.3,2.5,3.25,2.4,2.7,3.2,2.3,2.65,3.1,2.3,1.75,1.9,2.0,1.7,0.0,1435.66,1494.03
T1,13/09/03,Samsunspor,Istanbulspor,3,3,D,1,2,A,2.5,3.25,2.37,2.6,3.2,2.3,2.3,3.2,2.5,2.5,3.25,2.4,2.62,3.2,2.37,2.55,3.2,2.3,1.65,2.0,1.83,1.85,0.0,1420.45,1500.73
T1,14/09/03,A. Sebatspor,Elazigspor,3,1,H,1,1,D,2.3,3.2,2.62,2.25,3.1,2.75,2.1,3.2,2.9,2.2,3.25,2.75,,,,2.45,3.3,2.35,1.65,2.0,1.9,1.81,-0.25,1362.61,1411.14
T1,14/09/03,Ankaragucu,Denizlispor,1,1,D,1,0,H,1.72,3.4,4.0,1.7,3.4,3.9,1.7,3.3,4.0,1.667,3.6,4.0,1.66,3.4,4.5,1.8,3.3,3.6,1.65,2.0,1.9,1.79,-0.75,1496.09,1445.09
T1,14/09/03,Bursaspor,Genclerbirligi,0,0,D,0,0,D,2.5,3.1,2.5,2.35,3.25,2.5,2.3,3.2,2.5,2.4,3.25,2.5,2.3,3.2,2.7,2.4,3.3,2.4,1.6,2.1,1.75,1.95,0.0,1415.62,1545.98
T1,14/09/03,Fenerbahce,Gaziantepspor,3,1,H,0,0,D,1.44,3.75,6.0,1.4,3.75,6.5,1.35,4.0,7.0,1.4,3.75,7.0,1.4,3.75,7.5,1.36,4.0,7.0,1.55,2.2,1.9,1.77,-1.5,1567.78,1530.94
T1,19/09/03,Trabzonspor,Samsunspor,2,1,H,0,0,D,1.53,3.4,5.5,1.45,3.75,5.8,1.45,3.8,5.4,1.5,3.6,5.5,1.53,3.6,5.5,1.5,3.5,5.4,1.6,2.1,2.1,1.65,-1.5,1483.02,1419.74
T1,20/09/03,Gaziantepspor,Adanaspor,1,0,H,1,0,H,1.61,3.5,4.5,1.6,3.5,4.75,1.55,3.5,4.8,1.615,3.6,4.5,1.57,3.4,5.5,1.55,3.4,5.0,1.65,2.0,2.05,1.7,-1.0,1523.12,1411.52
T1,20/09/03,Genclerbirligi,Konyaspor,4,0,H,3,0,H,1.57,3.5,5.0,1.55,3.5,5.25,1.55,3.5,4.8,1.667,3.6,4.0,1.57,3.6,5.0,1.5,3.4,5.6,1.55,2.2,2.1,1.65,-1.25,1544.89,1427.75
T1,20/09/03,Istanbulspor,Besiktas,1,1,D,0,1,A,3.75,3.2,1.83,3.5,3.3,1.85,3.8,3.1,1.8,3.25,3.4,1.909,4.0,3.25,1.8,4.0,3.4,1.72,1.6,2.1,1.65,2.1,1.0,1501.44,1748.01
T1,20/09/03,Malatyaspor,Ankaragucu,1,0,H,0,0,D,1.8,3.25,3.75,1.8,3.3,3.7,1.75,3.3,3.8,1.727,3.4,4.0,1.85,3.25,3.75,1.75,3.3,3.8,1.6,2.1,2.05,1.7,-0.75,1513.48,1490.98
T1,21/09/03,Denizlispor,Bursaspor,4,0,H,2,0,H,1.9,3.25,3.4,2.2,3.3,2.75,2.3,2.9,2.8,2.0,3.4,3.0,1.9,3.25,3.5,2.3,3.3,2.5,1.65,2.0,1.65,2.1,0.0,1450.2,1416.71
T1,21/09/03,Diyarbakirspor,A. Sebatspor,1,0,H,1,0,H,1.72,3.4,4.0,1.7,3.4,4.25,1.65,3.3,4.4,1.667,3.4,4.333,1.75,3.4,4.0,1.6,3.4,4.6,1.6,2.1,1.95,1.75,-0.75,1394.47,1373.27
T1,21/09/03,Elazigspor,Rizespor,1,1,D,0,1,A,2.1,3.2,3.0,2.2,3.15,2.8,2.1,3.1,3.0,2.1,3.4,2.8,2.25,3.1,2.87,2.2,3.25,2.65,1.6,2.1,1.9,1.8,-0.25,1400.48,1446.67
T1,21/09/03,Galatasaray,Fenerbahce,2,2,D,1,1,D,1.9,3.2,3.5,1.85,3.3,3.5,2.0,3.1,3.2,1.833,3.25,3.75,1.9,3.25,3.5,2.0,3.2,3.2,1.65,2.0,2.2,1.6,-0.75,1706.23,1575.6
T1,26/09/03,Adanaspor,Galatasaray,0,2,A,0,2,A,4.5,3.75,1.57,4.5,3.45,1.6,4.4,3.3,1.65,4.5,3.6,1.615,6.0,3.4,1.53,4.5,3.5,1.61,1.61,2.0,1.87,1.83,1.0,1405.81,1698.97
T1,27/09/03,Ankaragucu,Istanbulspor,2,1,H,0,1,A,2.37,3.25,2.5,2.4,3.1,2.55,2.2,3.1,2.8,2.4,3.25,2.5,2.5,3.2,2.5,2.4,3.1,2.5,1.66,1.95,1.98,1.8,-0.25,1482.71,1506.42
T1,27/09/03,Bursaspor,Konyaspor,2,1,H,0,0,D,2.0,3.2,3.2,1.9,3.25,3.3,1.8,3.3,3.6,2.1,3.2,3.0,2.0,3.2,3.3,1.8,3.3,3.6,1.61,2.0,1.78,2.0,-0.5,1408.79,1422.18
T1,27/09/03,Fenerbahce,Genclerbirligi,1,0,H,0,0,D,1.44,3.75,6.0,1.35,4.0,6.9,1.45,3.8,5.4,1.3,4.5,7.5,1.44,3.75,6.5,1.36,4.0,7.0,1.56,2.1,1.95,1.82,-1.25,1582.86,1550.46
T1,27/09/03,Samsunspor,Elazigspor,2,0,H,1,0,H,1.83,3.3,3.6,1.75,3.4,3.7,1.7,3.3,4.0,1.833,3.4,3.5,1.83,3.3,3.75,1.7,3.3,4.2,1.66,1.95,1.9,1.87,-0.75,1412.72,1398.56
T1,28/09/03,A. Sebatspor,Gaziantepspor,1,2,A,1,1,D,2.62,3.1,2.37,2.55,3.25,2.3,2.4,3.2,2.4,2.4,3.25,2.5,2.7,3.25,2.3,2.5,3.3,2.3,1.66,1.95,1.83,1.95,0.25,1364.96,1528.83
T1,28/09/03,Besiktas,Trabzonspor,5,0,H,2,0,H,1.44,3.75,6.0,1.4,3.8,6.25,1.45,3.8,5.4,1.4,3.75,7.0,1.5,3.6,6.0,1.36,4.0,7.0,1.66,1.95,1.92,1.85,-1.25,1743.03,1490.04
T1,28/09/03,Denizlispor,Malatyaspor,1,0,H,0,0,D,2.25,3.2,2.75,2.15,3.25,2.75,2.0,3.1,3.2,2.2,3.25,2.75,2.25,3.25,2.75,2.2,3.3,2.62,1.61,2.0,1.9,1.88,-0.25,1458.12,1521.75
T1,28/09/03,Rizespor,Diyarbakirspor,2,1,H,0,0,D,1.66,3.4,4.33,1.6,3.5,4.45,1.7,3.3,4.0,1.571,3.75,4.5,1.72,3.4,4.2,1.66,3.4,4.2,1.61,2.0,1.8,2.0,-0.75,1448.59,1402.78
T1,03/10/03,Konyaspor,Fenerbahce,2,4,A,1,2,A,4.33,3.4,1.66,4.6,3.4,1.6,4.8,3.5,1.55,4.0,3.6,1.667,5.5,3.6,1.53,5.0,3.5,1.57,1.55,2.2,1.9,1.8,1.0,1412.73,1590.81
T1,04/10/03,Galatasaray,A. Sebatspor,4,3,H,1,0,H,1.14,6.0,12.0,1.15,5.75,11.0,1.12,6.5,13.0,1.083,7.5,15.0,1.11,7.0,13.0,1.12,6.5,12.0,1.45,2.45,1.8,1.9,-2.25,1705.16,1354.73
T1,04/10/03,Genclerbirligi,Adanaspor,6,0,H,0,0,D,1.57,3.5,5.0,1.45,3.7,5.75,1.5,3.7,5.0,1.533,3.75,5.0,1.44,3.75,6.5,1.5,3.5,5.5,1.55,2.2,1.8,1.9,-1.0,1542.51,1399.62
