Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,EloHome,EloAway
P1,14/09/03,Benfica,Belenenses,3,3,D,1,0,H,1.28,4.5,8.0,1.3,4.6,8.5,1.35,4.0,7.0,1.3,4.5,8.0,1.3,4.15,8.0,1.67,2.0,2.0,1.8,-1.5,,,,,,,,,,,,,,,,,,1663.66,1470.25
P1,14/09/03,Rio Ave,Beira Mar,1,1,D,1,1,D,2.0,3.2,3.2,2.0,3.3,3.3,1.9,3.1,3.5,2.0,3.25,3.25,2.0,3.4,2.9,2.0,1.65,2.0,1.8,-0.5,,,,,,,,,,,,,,,,,,1383.49,1431.06
P1,14/09/03,Sp Lisbon,Nacional,2,0,H,2,0,H,1.33,4.0,8.0,1.35,4.2,8.0,1.35,4.0,7.0,1.3,4.5,8.0,1.3,4.15,8.0,1.65,2.0,2.0,1.8,-1.5,,,,,,,,,,,,,,,,,,1607.98,1442.42
P1,15/09/03,Alverca,Boavista,1,1,D,0,0,D,2.7,3.25,2.25,2.85,3.25,2.25,3.2,2.9,2.1,3.0,3.25,2.1,2.85,3.2,2.1,2.1,1.6,1.9,1.9,0.25,,,,,,,,,,,,,,,,,,1366.07,1558.45
P1,19/09/03,Maritimo,Sp Braga,1,1,D,0,1,A,1.66,3.25,4.5,1.7,3.4,4.5,1.7,3.2,4.2,1.66,3.4,4.5,1.6,3.5,4.4,2.0,1.65,1.9,1.9,-0.75,,,,,,,,,,,,,,,,,,1518.25,1472.22
P1,20/09/03,Boavista,Academica,0,0,D,0,0,D,1.5,3.4,6.0,1.55,3.55,5.65,1.45,3.6,5.8,1.53,3.5,5.5,1.5,3.5,5.4,1.95,1.71,1.95,1.85,-1.0,,,,,,,,,,,,,,,,,,1555.2,1457.66
P1,20/09/03,Moreirense,Sp Lisbon,1,0,H,0,0,D,4.0,3.4,1.72,4.15,3.35,1.77,3.8,3.1,1.8,4.0,3.4,1.75,3.75,3.3,1.8,1.75,1.9,1.85,1.95,0.75,,,,,,,,,,,,,,,,,,1436.53,1612.43
P1,21/09/03,Alverca,Rio Ave,1,0,H,0,0,D,1.83,3.2,3.75,1.77,3.3,4.25,1.8,3.1,3.8,1.75,3.4,4.0,1.65,3.4,4.2,2.1,1.6,1.95,1.85,-0.75,,,,,,,,,,,,,,,,,,1369.32,1381.62
P1,21/09/03,Beira Mar,Pacos Ferreira,4,1,H,2,1,H,2.0,3.2,3.2,1.9,3.2,3.8,2.0,3.1,3.2,1.9,3.2,3.6,1.9,3.3,3.25,2.0,1.65,1.9,1.9,-0.5,,,,,,,,,,,,,,,,,,1432.93,1455.21
P1,21/09/03,Gil Vicente,Est Amadora,5,1,H,1,1,D,1.66,3.25,4.5,1.68,3.5,4.5,1.7,3.2,4.2,1.66,3.4,4.5,1.55,3.5,4.8,1.75,1.95,1.9,1.9,-0.75,,,,,,,,,,,,,,,,,,1416.21,1377.24
