Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,EloHome,EloAway
I2,14/09/03,Vicenza,Fiorentina,1,1,D,1.0,1.0,D,2.1,2.62,3.75,2.1,2.6,3.8,2.1,2.6,3.2,2.1,2.625,3.6,2.1,2.7,3.6,2.0,2.6,4.0,,,,,,,,,,,,,,,1510.51,1515.61
I2,20/09/03,Albinoleffe,Fiorentina,1,0,H,0.0,0.0,D,2.75,2.62,2.62,2.7,2.65,2.65,2.6,2.5,2.6,2.75,2.6,2.6,2.75,2.62,2.62,2.8,2.55,2.5,2.0,1.61,,,,,,,,,,,,,1460.95,1518.94
I2,20/09/03,Avellino,Napoli,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482.11,1493.1
I2,20/09/03,Ascoli,Pescara,2,1,H,1.0,0.0,H,1.83,2.62,5.0,1.82,2.7,4.9,1.8,2.7,3.9,1.833,2.75,4.5,1.85,2.75,4.5,1.8,2.75,4.4,2.0,1.61,,,,,,,,,,,,,1479.88,1480.79
I2,20/09/03,Cagliari,Treviso,1,1,D,1.0,1.0,D,1.4,3.6,7.5,1.4,3.65,7.25,1.4,3.2,6.5,1.4,3.6,7.0,1.44,3.6,6.5,1.4,3.4,7.25,1.85,1.74,,,,,,,,,,,,,1526.04,1482.51
I2,20/09/03,Como,Torino,0,2,A,0.0,1.0,A,2.62,2.62,2.75,2.7,2.6,2.7,2.6,2.5,2.6,2.8,2.625,2.5,2.6,2.62,2.8,2.45,2.6,2.8,2.1,1.56,,,,,,,,,,,,,1520.51,1510.31
I2,20/09/03,Genoa,Atalanta,0,3,A,0.0,3.0,A,2.5,2.62,2.87,2.4,2.55,3.15,2.3,2.6,2.8,2.25,2.625,3.2,2.4,2.6,3.1,2.35,2.55,3.05,2.1,1.56,,,,,,,,,,,,,1407.14,1636.18
I2,20/09/03,Messina,Vicenza,1,1,D,0.0,0.0,D,2.25,2.6,3.4,2.25,2.55,3.45,2.2,2.6,3.0,2.25,2.625,3.2,2.25,2.6,3.4,2.15,2.65,3.3,2.1,1.56,,,,,,,,,,,,,1462.13,1507.18
I2,20/09/03,Palermo,Ternana,2,1,H,1.0,0.0,H,1.8,2.7,5.0,1.7,2.75,5.8,1.75,2.7,4.2,1.667,2.8,5.5,1.75,2.8,5.0,1.7,2.8,5.0,1.95,1.66,,,,,,,,,,,,,1548.38,1542.42
I2,20/09/03,Piacenza,Venezia,1,0,H,1.0,0.0,H,1.72,2.75,5.5,1.68,2.85,5.6,1.7,2.7,4.4,1.667,2.8,5.5,1.72,2.87,5.0,1.7,2.8,5.0,2.0,1.61,,,,,,,,,,,,,1554.45,1442.24
I2,20/09/03,Salernitana,Catania,1,2,A,0.0,2.0,A,2.2,2.62,3.4,2.2,2.65,3.4,2.2,2.6,3.0,2.2,2.6,3.4,2.2,2.62,3.4,2.05,2.7,3.45,1.95,1.66,,,,,,,,,,,,,1350.41,1467.47
I2,20/09/03,Triestina,Livorno,4,3,H,0.0,2.0,A,2.2,2.62,3.4,2.25,2.55,3.45,2.2,2.6,3.0,2.25,2.625,3.2,2.25,2.6,3.4,2.05,2.75,3.4,2.0,1.61,,,,,,,,,,,,,1522.46,1478.28
I2,20/09/03,Verona,Bari,4,3,H,2.0,1.0,H,2.3,2.62,3.2,2.38,2.55,3.2,2.4,2.5,2.8,2.25,2.5,3.4,2.37,2.6,3.1,2.2,2.7,3.1,2.1,1.56,,,,,,,,,,,,,1498.3,1539.84
I2,23/09/03,Albinoleffe,Livorno,1,1,D,1.0,0.0,H,2.5,2.62,2.87,2.55,2.55,2.92,2.4,2.5,2.8,2.6,2.6,2.75,2.6,2.6,2.8,2.6,2.6,2.65,,,,,,,,,,,,,,,1471.95,1470.69
I2,23/09/03,Avellino,Torino,1,3,A,1.0,1.0,D,2.5,2.62,2.87,2.62,2.6,2.75,2.6,2.5,2.6,2.6,2.6,2.75,2.62,2.62,2.75,2.55,2.6,2.7,,,,,,,,,,,,,,,1491.48,1526.65
I2,23/09/03,Bari,Ternana,1,2,A,1.0,0.0,H,1.9,2.62,4.5,2.0,2.65,4.0,1.9,2.6,3.8,2.1,2.6,3.75,2.0,2.6,4.2,1.9,2.65,4.1,,,,,,,,,,,,,,,1529.42,1533.62
I2,23/09/03,Cagliari,Ascoli,3,0,H,1.0,0.0,H,1.57,3.0,6.5,1.52,3.15,6.6,1.6,2.9,4.8,1.571,3.0,6.0,1.53,3.25,6.0,1.55,3.1,5.5,,,,,,,,,,,,,,,1521.15,1488.91
I2,23/09/03,Como,Pescara,1,1,D,1.0,0.0,H,1.8,2.7,5.0,1.85,2.75,4.5,1.8,2.7,3.9,1.9,2.625,4.333,1.9,2.75,4.2,1.8,2.7,4.5,,,,,,,,,,,,,,,1504.17,1471.76
I2,23/09/03,Fiorentina,Atalanta,1,1,D,1.0,0.0,H,2.5,2.62,2.87,2.5,2.6,2.92,2.5,2.5,2.7,2.6,2.6,2.75,2.5,2.62,2.87,2.3,2.7,2.9,,,,,,,,,,,,,,,1507.94,1644.24
I2,23/09/03,Genoa,Treviso,0,0,D,0.0,0.0,D,1.9,2.62,4.5,2.0,2.65,4.0,1.9,2.6,3.8,2.0,2.625,4.0,2.0,2.7,4.0,1.9,2.7,4.0,,,,,,,,,,,,,,,1399.08,1487.4
I2,23/09/03,Messina,Triestina,1,1,D,1.0,1.0,D,2.25,2.6,3.4,2.25,2.65,3.25,2.3,2.4,3.0,2.25,2.6,3.25,2.25,2.62,3.3,2.2,2.6,3.25,,,,,,,,,,,,,,,1460.17,1530.05
I2,23/09/03,Piacenza,Vicenza,1,0,H,1.0,0.0,H,1.8,2.6,5.5,1.8,2.68,5.0,1.8,2.6,4.2,1.833,2.75,4.5,1.83,2.62,5.0,1.8,2.7,4.5,,,,,,,,,,,,,,,1560.14,1509.14
I2,23/09/03,Salernitana,Palermo,1,1,D,0.0,0.0,D,3.0,2.7,2.37,3.15,2.65,2.3,2.7,2.5,2.5,3.2,2.6,2.3,3.25,2.62,2.3,2.8,2.7,2.4,,,,,,,,,,,,,,,1338.52,1557.18
I2,23/09/03,Venezia,Catania,0,3,A,0.0,0.0,D,2.2,2.62,3.4,2.15,2.65,3.5,2.1,2.5,3.3,2.2,2.625,3.4,2.2,2.62,3.4,2.15,2.7,3.2,,,,,,,,,,,,,,,1436.55,1479.36
I2,23/09/03,Verona,Napoli,1,1,D,0.0,0.0,D,2.1,2.62,3.75,2.05,2.65,3.85,1.9,2.6,3.8,2.0,2.625,4.0,2.1,2.7,3.6,2.05,2.7,3.45,,,,,,,,,,,,,,,1508.72,1483.73
I2,27/09/03,Atalanta,Cagliari,2,1,H,2.0,1.0,H,2.37,2.5,3.25,2.3,2.45,3.5,2.3,2.4,3.0,2.25,2.5,3.5,2.4,2.5,3.25,2.25,2.5,3.3,1.95,1.66,2.0,1.73,-0.25,,,,,,,,,,1642.94,1529.11
I2,27/09/03,Bari,Albinoleffe,0,1,A,0.0,1.0,A,1.66,2.87,5.5,1.55,3.05,6.5,1.65,2.8,4.6,1.571,2.875,6.5,1.61,2.9,6.0,1.55,3.0,6.0,1.95,1.66,1.75,1.97,-0.75,,,,,,,,,,1513.56,1468.41
I2,27/09/03,Catania,Messina,1,0,H,1.0,0.0,H,1.8,2.7,5.0,1.85,2.6,5.0,1.9,2.6,3.7,1.833,2.6,5.0,1.85,2.6,5.0,1.75,2.7,4.8,1.9,1.7,1.85,1.86,-0.5,,,,,,,,,,1493.9,1459.09
I2,27/09/03,Fiorentina,Piacenza,2,1,H,1.0,1.0,D,2.37,2.5,3.25,2.4,2.42,3.35,2.3,2.4,3.0,2.4,2.5,3.2,2.4,2.5,3.25,2.3,2.5,3.2,2.0,1.61,1.77,1.95,0.0,,,,,,,,,,1509.24,1567.53
I2,27/09/03,Livorno,Salernitana,2,0,H,1.0,0.0,H,1.72,2.75,5.5,1.7,2.75,5.7,1.75,2.7,4.2,1.727,2.8,5.0,1.72,2.8,5.25,1.7,2.75,5.1,1.9,1.7,1.95,1.77,-0.75,,,,,,,,,,1474.23,1342.63
I2,27/09/03,Napoli,Ascoli,1,1,D,0.0,0.0,D,1.9,2.62,4.5,1.82,2.65,5.0,1.9,2.6,3.7,1.909,2.6,4.5,1.9,2.6,4.6,1.8,2.7,4.5,2.0,1.61,,,,,,,,,,,,,1488.04,1480.95
