Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
B1,30/08/03,Louvieroise,Charleroi,0,0,D,0,0,D,1.615,3.5,4.5,1.65,3.45,4.5,1.6,3.4,4.6,1.66,3.25,4.5,1.65,3.4,4.25,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1505.46,1449.28
B1,30/08/03,St Truiden,Westerlo,0,0,D,0,0,D,1.615,3.5,4.5,1.63,3.55,4.5,1.6,3.4,4.6,1.61,3.4,5.0,1.55,3.65,4.6,1.55,2.2,,,,,,,,,,,,,,,,,,,,,,,1629.68,1504.56
B1,31/08/03,Bergen,Lokeren,1,1,D,0,1,A,2.5,3.2,2.5,2.45,3.2,2.5,2.3,3.2,2.5,2.4,3.3,2.5,2.35,3.4,2.4,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1492.51,1608.03
B1,31/08/03,Genk,Mouscron,2,0,H,1,0,H,1.571,3.5,5.0,1.53,3.7,5.1,1.65,3.3,4.4,1.53,3.5,5.5,1.45,4.0,5.0,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1659.11,1499.34
B1,31/08/03,Gent,Heusden Zolder,2,0,H,1,0,H,1.4,3.75,7.0,1.43,3.8,6.3,1.45,3.8,5.4,1.4,4.0,6.5,1.4,4.25,5.3,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1587.63,1483.42
B1,12/09/03,Heusden Zolder,St Truiden,0,1,A,0,1,A,2.75,3.25,2.2,2.8,3.2,2.2,2.8,3.3,2.1,2.8,3.2,2.25,2.6,3.25,2.25,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1477.52,1622.55
B1,13/09/03,Charleroi,Antwerp,0,1,A,0,1,A,2.2,3.25,2.75,2.02,3.25,3.1,2.2,3.1,2.8,2.1,3.25,3.0,2.1,3.3,2.8,1.55,2.2,,,,,,,,,,,,,,,,,,,,,,,1454.55,1478.5
B1,13/09/03,Club Brugge,Gent,1,1,D,1,0,H,1.25,5.0,8.0,1.25,4.75,8.5,1.3,4.2,8.0,1.28,4.5,8.5,1.28,5.0,7.0,1.4,2.6,,,,,,,,,,,,,,,,,,,,,,,1796.68,1593.53
B1,13/09/03,Germinal,Louvieroise,0,0,D,0,0,D,1.9,3.25,3.4,1.95,3.25,3.3,1.85,3.3,3.4,1.9,3.25,3.5,1.85,3.35,3.35,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1511.65,1500.19
B1,13/09/03,Lokeren,Anderlecht,0,6,A,0,2,A,4.0,3.6,1.66,4.35,3.4,1.67,4.0,3.5,1.65,4.5,3.4,1.66,4.5,3.5,1.61,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1607.47,1794.37
B1,13/09/03,Westerlo,Beveren,3,2,H,0,2,A,1.8,3.4,3.6,1.8,3.35,3.75,1.85,3.3,3.4,1.8,3.4,3.75,1.85,3.35,3.35,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1511.69,1439.92
B1,14/09/03,Bergen,Lierse,1,3,A,0,2,A,2.37,3.25,2.5,2.6,3.1,2.4,2.6,3.3,2.2,2.5,3.3,2.4,2.5,3.4,2.25,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1493.07,1581.52
B1,14/09/03,Mouscron,Cercle Brugge,4,0,H,2,0,H,1.57,3.5,5.0,1.5,3.5,6.0,1.55,3.7,4.4,1.57,3.4,5.5,1.75,3.4,3.7,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1494.76,1508.94
B1,14/09/03,Standard,Genk,0,2,A,0,1,A,1.72,3.4,4.0,1.75,3.4,3.85,1.65,3.5,4.0,1.75,3.4,4.0,1.72,3.5,3.8,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1652.18,1663.69
B1,20/09/03,Anderlecht,Westerlo,5,1,H,3,0,H,1.2,5.0,11.0,1.15,5.85,12.0,1.17,5.5,11.0,1.16,5.75,12.0,1.14,6.0,12.0,1.4,2.6,,,,,,,,,,,,,,,,,,,,,,,1803.81,1518.47
B1,20/09/03,Beveren,Heusden Zolder,2,0,H,1,0,H,1.72,3.4,4.0,1.7,3.4,4.2,1.7,3.3,4.0,1.75,3.4,4.0,1.75,3.35,3.75,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1433.14,1466.63
B1,20/09/03,Cercle Brugge,Standard,2,0,H,1,0,H,3.6,3.4,1.8,3.85,3.45,1.75,3.8,3.4,1.7,4.0,3.4,1.75,4.33,3.4,1.66,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1499.47,1636.56
B1,20/09/03,Genk,Bergen,0,0,D,0,0,D,1.28,4.5,8.0,1.23,5.0,9.0,1.35,4.0,7.0,1.25,4.75,9.5,1.25,5.0,7.25,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1679.31,1480.15
B1,20/09/03,Gent,Charleroi,1,1,D,0,0,D,1.44,3.75,6.0,1.4,4.0,6.3,1.45,3.8,5.4,1.4,3.8,7.0,1.35,4.5,5.8,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1602.31,1439.36
B1,20/09/03,Louvieroise,Mouscron,1,2,A,0,1,A,1.9,3.4,3.25,1.9,3.35,3.35,2.2,3.1,2.8,2.0,3.25,3.25,2.0,3.1,3.15,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1504.07,1504.23
B1,21/09/03,Antwerp,Germinal,0,4,A,0,3,A,2.2,3.4,2.62,2.15,3.2,2.9,2.1,3.2,2.9,2.1,3.25,3.0,2.0,3.3,3.0,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1493.69,1507.77
B1,21/09/03,Lierse,Lokeren,2,1,H,0,0,D,1.72,3.4,4.0,1.7,3.35,4.25,1.7,3.4,3.8,1.7,3.4,4.33,1.65,3.4,4.2,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1594.44,1598.03
B1,21/09/03,St Truiden,Club Brugge,3,2,H,1,1,D,4.33,3.4,1.66,4.5,3.5,1.62,3.6,3.4,1.75,4.5,3.4,1.66,5.0,3.5,1.57,1.6,2.3,,,,,,,,,,,,,,,,,,,,,,,1633.44,1787.9
B1,26/09/03,Germinal,Gent,0,2,A,0,1,A,2.25,3.4,2.6,2.33,3.15,2.7,2.2,3.1,2.8,2.3,3.4,2.5,2.2,3.25,2.65,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1523.3,1594.32
B1,26/09/03,Heusden Zolder,Anderlecht,2,4,A,0,1,A,7.0,4.0,1.36,7.5,4.15,1.35,7.0,4.5,1.3,7.0,4.0,1.36,,,,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1456.49,1806.26
B1,27/09/03,Bergen,Cercle Brugge,0,0,D,0,0,D,1.83,3.25,3.75,1.85,3.3,3.7,1.8,3.3,3.6,1.85,3.25,3.6,2.0,3.25,3.05,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1488.86,1513.3
B1,27/09/03,Charleroi,St Truiden,1,1,D,1,0,H,2.87,3.4,2.1,2.9,3.15,2.2,3.0,3.3,2.0,2.75,3.25,2.2,2.65,3.25,2.2,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1447.35,1647.88
B1,27/09/03,Club Brugge,Beveren,3,0,H,0,0,D,1.2,5.5,9.0,1.17,5.6,12.0,1.17,5.5,11.0,1.2,5.5,9.0,1.14,6.0,12.0,1.45,2.45,,,,,,,,,,,,,,,,,,,,,,,1773.46,1443.28
B1,27/09/03,Lierse,Genk,3,5,A,3,1,H,2.3,3.25,2.62,2.4,3.15,2.62,2.3,3.1,2.6,2.37,3.25,2.5,2.25,3.3,2.55,1.75,1.9,,,,,,,,,,,,,,,,,,,,,,,1603.56,1670.6
B1,27/09/03,Mouscron,Antwerp,2,0,H,2,0,H,1.66,3.6,4.0,1.6,3.6,4.7,1.55,3.5,4.8,1.61,3.5,4.5,1.7,3.4,3.9,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1520.23,1478.16
B1,27/09/03,Standard,Louvieroise,0,2,A,0,1,A,1.53,3.5,5.5,1.52,3.75,5.25,1.45,3.8,5.4,1.5,3.6,5.5,1.5,3.6,5.5,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1622.73,1488.07
B1,28/09/03,Lokeren,Westerlo,1,3,A,0,2,A,1.9,3.25,3.5,1.83,3.3,3.75,1.85,3.3,3.4,1.85,3.25,3.6,1.85,3.3,3.4,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1588.91,1516.02
B1,04/10/03,Beveren,Charleroi,1,0,H,0,0,D,1.8,3.3,3.75,1.85,3.33,3.65,2.0,3.3,3.0,1.8,3.4,3.75,1.8,3.3,3.6,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1441.34,1450.87
B1,04/10/03,Genk,Lokeren,3,1,H,1,0,H,1.4,3.75,7.0,1.43,3.85,6.5,1.4,3.9,6.0,1.4,3.75,7.0,1.45,3.9,5.25,1.45,2.45,,,,,,,,,,,,,,,,,,,,,,,1684.28,1570.66
B1,04/10/03,Gent,Mouscron,0,0,D,0,0,D,1.9,3.25,3.4,1.95,3.2,3.45,2.0,3.3,3.0,1.9,3.25,3.5,1.8,3.3,3.6,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1607.86,1527.89
B1,04/10/03,Louvieroise,Bergen,1,1,D,0,0,D,1.61,3.5,4.5,1.6,3.45,5.0,1.7,3.2,4.2,1.66,3.4,4.5,1.75,3.45,3.6,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1507.93,1486.18
B1,04/10/03,Westerlo,Heusden Zolder,2,0,H,1,0,H,1.61,3.5,4.5,1.55,3.65,5.1,1.5,3.7,5.0,1.53,3.75,5.0,1.5,3.6,5.2,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1534.27,1451.69
B1,05/10/03,Anderlecht,Club Brugge,1,1,D,1,0,H,1.9,3.25,3.4,1.9,3.25,3.55,1.8,3.1,3.8,1.9,3.25,3.5,1.9,3.3,3.3,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,1811.06,1775.4
B1,05/10/03,Antwerp,Standard,0,4,A,0,2,A,2.7,3.25,2.25,2.88,3.2,2.2,2.5,3.2,2.3,2.8,3.25,2.2,2.87,3.3,2.1,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1470.5,1602.87
B1,05/10/03,Cercle Brugge,Lierse,0,0,D,0,0,D,2.6,3.25,2.3,2.88,3.2,2.2,2.5,3.2,2.3,2.62,3.3,2.3,2.65,3.25,2.2,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1515.98,1589.88
B1,05/10/03,St Truiden,Germinal,0,0,D,0,0,D,1.83,3.3,3.6,1.6,3.45,5.0,1.7,3.2,4.2,1.66,3.4,4.5,1.7,3.5,3.8,1.45,2.45,,,,,,,,,,,,,,,,,,,,,,,1644.36,1509.76
