Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC3,18/10/03,Elgin,Albion Rvs,1.0,5.0,A,1.0,2.0,A,3.2,3.5,1.9,2.9,3.5,2.0,,,,2.5,3.5,2.25,,,,2.6,3.5,2.2,3.1,3.6,1.9,919.69,1130.67
SC3,18/10/03,Montrose,Stirling,2.0,3.0,A,0.0,2.0,A,4.33,3.6,1.61,3.7,3.6,1.73,,,,4.0,3.6,1.667,,,,3.75,3.6,1.72,4.5,3.75,1.57,958.53,1132.84
SC3,18/10/03,Peterhead,Cowdenbeath,0.0,1.0,A,0.0,0.0,D,1.61,3.6,4.33,1.62,3.7,4.2,,,,1.615,3.5,4.5,,,,1.61,3.75,4.2,1.72,3.6,3.75,1145.9,1042.93
SC3,18/10/03,Stranraer,Queens Park,1.0,0.0,H,0.0,0.0,D,1.66,3.6,4.0,1.67,3.7,3.9,,,,1.727,3.5,3.75,,,,1.66,3.6,4.0,1.66,3.6,4.0,1137.38,976.99
SC3,25/10/03,Albion Rvs,Cowdenbeath,1.0,2.0,A,0.0,0.0,D,1.83,3.5,3.4,1.8,3.6,3.4,,,,1.727,3.75,3.5,,,,1.8,3.6,3.4,1.8,3.6,3.4,1139.31,1062.0
SC3,25/10/03,Elgin,Queens Park,2.0,2.0,D,1.0,0.0,H,2.37,3.5,2.37,2.45,3.5,2.3,,,,2.5,3.5,2.25,,,,2.5,3.5,2.3,2.5,3.6,2.25,911.05,972.43
SC3,25/10/03,Gretna,Peterhead,3.0,2.0,H,0.0,1.0,A,2.37,3.5,2.37,2.4,3.5,2.35,,,,2.375,3.5,2.375,,,,2.37,3.5,2.37,2.5,3.4,2.3,1059.17,1126.83
SC3,25/10/03,Montrose,East Stirling,5.0,1.0,H,1.0,1.0,D,1.61,3.6,4.33,1.63,3.6,4.3,,,,1.571,3.75,4.5,,,,1.66,3.5,4.33,1.8,3.5,3.5,948.66,799.5
SC3,25/10/03,Stirling,Stranraer,1.0,0.0,H,1.0,0.0,H,1.9,3.5,3.2,1.9,3.5,3.2,,,,1.727,3.5,3.75,,,,1.9,3.5,3.2,1.9,3.6,3.1,1142.71,1141.94
SC3,01/11/03,Cowdenbeath,Stirling,2.0,0.0,H,0.0,0.0,D,3.2,3.5,1.9,3.3,3.5,1.85,,,,3.5,3.75,1.73,,,,3.5,3.5,1.8,3.4,3.6,1.8,1080.38,1151.68
SC3,01/11/03,East Stirling,Elgin,3.0,1.0,H,1.0,0.0,H,3.0,3.4,2.0,3.05,3.5,1.95,,,,3.2,3.5,1.91,,,,3.2,3.5,1.91,3.1,3.6,1.9,794.69,909.67
SC3,01/11/03,Peterhead,Montrose,0.0,0.0,D,0.0,0.0,D,1.57,3.75,4.5,1.6,3.7,4.33,,,,1.67,3.6,4.0,,,,1.62,3.6,4.33,1.5,3.8,5.0,1115.49,953.47
SC3,01/11/03,Queens Park,Gretna,0.0,1.0,A,0.0,0.0,D,2.5,3.4,2.3,2.4,3.6,2.3,,,,2.5,3.5,2.25,,,,2.38,3.5,2.38,2.62,3.5,2.2,973.81,1070.51
SC3,01/11/03,Stranraer,Albion Rvs,5.0,0.0,H,1.0,0.0,H,1.9,3.5,3.2,1.9,3.5,3.2,,,,1.8,3.5,3.5,,,,1.91,3.5,3.2,2.0,3.6,2.87,1132.97,1120.93
SC3,08/11/03,East Stirling,Stranraer,1.0,4.0,A,1.0,1.0,D,6.0,3.75,1.44,5.0,3.85,1.5,,,,5.5,3.6,1.5,,,,5.2,3.75,1.5,5.5,4.0,1.44,807.73,1141.57
SC3,08/11/03,Gretna,Elgin,2.0,2.0,D,2.0,1.0,H,1.44,3.75,6.0,1.5,3.85,5.0,,,,1.533,3.75,5.0,,,,1.5,3.6,5.5,1.5,3.8,5.0,1083.13,896.63
SC3,08/11/03,Montrose,Albion Rvs,1.0,0.0,H,0.0,0.0,D,2.5,3.5,2.25,2.55,3.5,2.25,,,,2.75,3.5,2.1,,,,2.6,3.4,2.25,3.1,3.6,1.9,961.44,1112.33
SC3,08/11/03,Peterhead,Stirling,2.0,2.0,D,0.0,2.0,A,2.5,3.5,2.25,2.55,3.5,2.25,,,,3.0,3.4,2.0,,,,2.6,3.4,2.25,2.75,3.5,2.1,1107.52,1140.21
SC3,08/11/03,Queens Park,Cowdenbeath,0.0,0.0,D,0.0,0.0,D,2.5,3.5,2.25,2.55,3.5,2.25,,,,2.625,3.5,2.2,,,,2.5,3.4,2.3,2.8,3.4,2.1,961.19,1091.85
SC3,14/11/03,Albion Rvs,Gretna,1.0,3.0,A,0.0,1.0,A,2.37,3.5,2.37,2.4,3.4,2.4,,,,2.38,3.5,2.38,,,,2.38,3.5,2.38,2.38,3.5,2.38,1098.01,1074.66
SC3,14/11/03,Cowdenbeath,East Stirling,2.0,1.0,H,0.0,0.0,D,1.33,4.5,6.5,1.35,4.35,6.3,,,,1.36,4.33,6.5,,,,1.3,4.33,8.0,1.3,4.33,8.0,1090.75,802.57
SC3,15/11/03,Elgin,Montrose,2.0,3.0,A,1.0,1.0,D,2.5,3.4,2.3,2.5,3.4,2.3,,,,2.38,3.5,2.38,,,,2.5,3.4,2.3,2.5,3.4,2.3,905.1,975.76
