Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,EloHome,EloAway
SC1,01/11/03,Ayr,Clyde,2,2,D,0,1,A,2.5,3.5,2.25,2.5,3.4,2.3,2.4,3.3,2.2,2.38,3.5,2.38,,,,2.6,3.4,2.25,2.6,3.4,2.25,,,,,,,,,,,,,,,,,,,,,,,,,1380.73,1504.24
SC1,01/11/03,Brechin,Ross County,4,2,H,1,2,A,3.4,3.5,1.83,3.5,3.5,1.8,3.3,3.4,1.75,3.4,3.5,1.83,,,,4.0,3.4,1.73,3.4,3.5,1.83,,,,,,,,,,,,,,,,,,,,,,,,,1253.29,1377.44
SC1,01/11/03,Inverness C,Falkirk,1,2,A,0,0,D,2.0,3.4,3.0,2.1,3.4,2.8,2.1,3.3,2.5,2.0,3.4,3.0,,,,2.2,3.4,2.62,2.1,3.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,1481.88,1489.33
SC1,01/11/03,Queen of Sth,St Johnstone,1,1,D,1,0,H,2.37,3.5,2.37,2.5,3.4,2.3,2.4,3.3,2.2,2.2,3.5,2.62,,,,2.38,3.5,2.38,2.5,3.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,1441.65,1461.37
SC1,01/11/03,St Mirren,Raith Rvs,2,1,H,1,1,D,2.3,3.4,2.5,2.25,3.35,2.6,2.1,3.3,2.5,2.2,3.5,2.62,,,,2.25,3.4,2.6,2.25,3.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,1335.81,1336.57
SC1,05/11/03,Clyde,Inverness C,1,0,H,0,0,D,2.37,3.5,2.37,2.3,3.4,2.5,2.2,3.3,2.4,2.2,3.5,2.625,,,,2.25,3.25,2.75,2.3,3.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,1503.4,1466.13
SC1,08/11/03,Ayr,Inverness C,0,3,A,0,2,A,2.6,3.5,2.2,2.6,3.5,2.2,2.4,3.3,2.2,2.5,3.5,2.25,,,,2.6,3.4,2.25,2.62,3.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,1381.57,1458.33
SC1,08/11/03,Raith Rvs,Queen of Sth,0,1,A,0,0,D,2.37,3.5,2.37,2.45,3.4,2.35,2.4,3.3,2.2,2.5,3.5,2.25,,,,2.5,3.4,2.3,2.5,3.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,1327.55,1438.81
SC1,08/11/03,Ross County,Falkirk,1,2,A,1,2,A,2.37,3.5,2.37,2.5,3.45,2.3,2.4,3.3,2.2,2.375,3.5,2.375,,,,2.4,3.4,2.4,2.5,3.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,1364.07,1505.08
SC1,08/11/03,St Johnstone,Clyde,3,0,H,2,0,H,1.8,3.5,3.5,1.9,3.4,3.25,1.85,3.3,3.0,1.833,3.5,3.4,,,,1.83,3.4,3.5,2.0,3.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1464.21,1511.2
SC1,08/11/03,St Mirren,Brechin,0,0,D,0,0,D,1.66,3.6,4.0,1.65,3.7,4.0,1.6,3.4,3.8,1.533,3.75,5.0,,,,1.61,3.5,4.5,1.72,3.5,3.8,,,,,,,,,,,,,,,,,,,,,,,,,1344.83,1266.66
SC1,14/11/03,Clyde,St Mirren,2,0,H,1,0,H,1.83,3.5,3.4,1.85,3.5,3.3,1.9,3.2,2.9,1.73,3.5,3.75,,,,1.83,3.5,3.4,1.83,3.5,3.4,,,,,,,,,,,,,,,,,,,,,,,,,1500.59,1338.93
SC1,14/11/03,Falkirk,Raith Rvs,3,2,H,2,1,H,1.66,3.6,4.0,1.65,3.5,4.3,1.6,3.4,3.8,1.57,3.5,5.0,,,,1.62,3.6,4.33,1.62,3.6,4.33,,,,,,,,,,,,,,,,,,,,,,,,,1516.11,1315.45
SC1,14/11/03,Inverness C,Ross County,3,3,D,3,1,H,1.8,3.5,3.5,1.9,3.5,3.2,1.85,3.3,3.0,1.8,3.4,3.6,,,,1.85,3.4,3.4,1.85,3.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,,1471.66,1353.04
SC1,16/11/03,Brechin,St Johnstone,0,1,A,0,1,A,4.33,3.6,1.61,4.3,3.5,1.65,3.4,3.3,1.7,3.75,3.5,1.73,,,,4.0,3.6,1.67,4.0,3.6,1.67,,,,,,,,,,,,,,,,,,,,,,,,,1272.56,1474.82
SC1,16/11/03,Queen of Sth,Ayr,1,0,H,0,0,D,1.66,3.6,4.0,1.73,3.45,3.85,1.7,3.3,3.4,1.62,3.5,4.5,,,,1.62,3.5,4.6,1.62,3.5,4.6,,,,,,,,,,,,,,,,,,,,,,,,,1450.91,1368.24
SC1,22/11/03,Brechin,Ayr,3,1,H,2,0,H,2.37,3.5,2.37,2.4,3.25,2.47,2.25,3.3,2.25,2.5,3.5,2.25,,,,2.38,3.5,2.38,2.25,3.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,1263.64,1361.77
SC1,22/11/03,Clyde,Queen of Sth,3,1,H,0,1,A,2.25,3.5,2.5,2.33,3.25,2.55,2.2,3.3,2.4,2.25,3.5,2.5,,,,2.3,3.5,2.5,2.37,3.5,2.37,,,,,,,,,,,,,,,,,,,,,,,,,1505.13,1457.38
