Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,EloHome,EloAway
E3,23/08/03,Huddersfield,York,0,1,A,0,1,A,J Ross,9,7,5,3,11,15,7,3,1,1,0,0,1.8,3.4,3.75,1.75,3.4,4.1,1.7,3.2,3.7,1.667,3.4,4.333,1.73,3.4,4.0,1.72,3.4,4.2,1.72,3.4,4.0,,,,,,,,,1216.46,1176.27
E3,23/08/03,Hull,Cheltenham,3,3,D,2,3,A,G Laws,13,13,7,4,8,14,8,5,0,3,0,0,1.615,3.6,4.5,1.57,3.45,5.5,1.55,3.3,4.5,1.5,3.4,6.0,1.62,3.4,5.0,1.61,3.4,5.0,1.53,3.4,5.5,,,,,,,,,1137.74,1198.54
E3,23/08/03,Kidderminster,Bury,0,2,A,0,1,A,L Probert,17,8,6,3,11,12,8,2,1,5,0,0,1.8,3.25,4.0,1.85,3.3,3.8,1.8,3.1,3.4,1.8,3.25,3.75,1.73,3.4,4.0,1.72,3.4,4.2,1.8,3.3,3.75,,,,,,,,,1170.69,1167.63
E3,23/08/03,Leyton Orient,Yeovil,2,0,H,1,0,H,B Curson,13,6,7,3,15,15,10,6,2,0,0,0,2.75,3.25,2.25,2.65,3.15,2.4,2.4,3.0,2.3,2.75,3.2,2.25,2.6,3.2,2.4,2.6,3.2,2.4,2.62,3.1,2.37,,,,,,,,,1095.56,1255.98
E3,23/08/03,Lincoln,Doncaster,0,0,D,0,0,D,B Knight,4,12,2,5,15,15,7,9,3,3,0,0,2.375,3.2,2.625,2.35,3.2,2.7,2.3,3.0,2.4,2.375,3.2,2.6,2.25,3.25,2.75,2.25,3.25,2.75,2.25,3.2,2.75,,,,,,,,,1157.66,1255.7
E3,23/08/03,Macclesfield,Torquay,1,1,D,1,0,H,A Penn,16,7,16,7,5,10,4,2,1,0,0,0,2.375,3.2,2.625,2.35,3.2,2.7,2.3,3.0,2.4,2.4,3.25,2.5,2.38,3.2,2.62,2.37,3.2,2.62,2.25,3.2,2.75,,,,,,,,,1126.36,1180.51
E3,23/08/03,Rochdale,Cambridge,2,2,D,0,2,A,K Friend,9,11,8,10,14,13,5,4,1,2,1,0,2.375,3.2,2.625,2.35,3.2,2.7,2.3,3.0,2.4,2.4,3.25,2.5,2.3,3.2,2.7,2.3,3.2,2.7,2.37,3.1,2.62,,,,,,,,,1105.67,1145.89
E3,23/08/03,Scunthorpe,Oxford,1,1,D,0,1,A,M Ryan,9,6,4,3,9,12,6,4,1,0,0,0,2.375,3.2,2.625,2.4,3.25,2.6,2.3,3.0,2.4,2.5,3.2,2.5,2.3,3.2,2.7,2.3,3.2,2.7,2.25,3.2,2.75,,,,,,,,,1217.03,1175.88
E3,23/08/03,Southend,Mansfield,0,3,A,0,1,A,C Penton,11,18,5,12,12,19,5,6,2,2,0,0,2.1,3.25,3.0,2.15,3.25,2.95,2.1,3.0,2.8,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,2.8,2.1,3.2,3.0,,,,,,,,,1087.5,1149.95
E3,25/08/03,Boston,Carlisle,1,0,H,1,0,H,A Marriner,14,2,7,1,10,7,11,4,1,3,0,1,1.8,3.4,3.75,1.8,3.3,4.1,1.75,3.2,3.5,1.909,3.25,3.4,1.8,3.25,4.0,1.8,3.25,4.0,1.8,3.3,3.75,,,,,,,,,1162.84,1068.34
E3,25/08/03,Bristol Rvs,Macclesfield,2,2,D,2,2,D,J Ross,15,10,6,4,21,15,5,4,0,2,0,0,1.667,3.5,4.333,1.67,3.5,4.55,1.65,3.2,3.9,1.727,3.4,4.0,1.62,3.4,5.0,1.61,3.4,5.0,1.66,3.4,4.33,,,,,,,,,1151.79,1124.72
E3,25/08/03,Bury,Lincoln,2,1,H,0,1,A,K Wright,13,10,6,7,11,21,9,12,1,1,0,0,1.909,3.25,3.5,2.1,3.25,3.15,2.1,3.0,2.8,2.0,3.4,3.0,2.0,3.25,3.25,2.0,3.25,3.25,2.25,3.2,2.75,,,,,,,,,1183.73,1157.59
E3,25/08/03,Cambridge,Hull,0,2,A,0,2,A,P Joslin,8,13,5,7,15,15,9,7,2,1,0,0,2.5,3.2,2.5,2.6,3.2,2.45,2.35,3.0,2.35,2.5,3.25,2.4,2.63,3.2,2.38,2.62,3.2,2.37,2.5,3.1,2.5,,,,,,,,,1148.02,1136.34
E3,25/08/03,Cheltenham,Kidderminster,2,1,H,0,0,D,G Hegley,13,5,9,2,11,18,6,2,2,2,0,1,2.1,3.25,3.0,2.1,3.25,3.15,2.1,3.0,2.8,2.25,3.2,2.75,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.2,3.0,,,,,,,,,1199.94,1154.59
E3,25/08/03,Darlington,Leyton Orient,2,1,H,0,0,D,C Boyeson,11,14,6,8,16,15,6,7,2,1,0,0,2.2,3.25,2.8,2.25,3.25,2.85,2.2,3.0,2.6,2.25,3.4,2.625,2.25,3.25,2.75,2.25,3.25,2.75,2.25,3.2,2.75,,,,,,,,,1086.71,1110.21
E3,25/08/03,Doncaster,Huddersfield,1,1,D,0,1,A,M Fletcher,11,6,3,2,15,16,7,3,2,3,0,1,2.1,3.25,3.0,2.25,3.25,2.85,2.2,3.0,2.6,2.1,3.2,3.0,2.25,3.25,2.75,2.25,3.25,2.75,2.25,3.2,2.75,,,,,,,,,1255.77,1199.17
E3,25/08/03,Oxford,Swansea,3,0,H,0,0,D,M Atkinson,13,13,5,5,14,10,4,6,1,2,0,0,1.8,3.4,3.75,1.8,3.3,4.1,1.8,3.1,3.4,1.8,3.25,3.75,1.83,3.25,3.75,1.83,3.25,3.75,1.8,3.3,3.75,,,,,,,,,1180.7,1147.97
E3,25/08/03,Torquay,Rochdale,1,3,A,0,0,D,T Kettle,17,11,5,4,16,12,8,6,4,4,1,1,1.727,3.5,4.0,1.75,3.5,4.0,1.7,3.2,3.7,1.727,3.4,4.0,1.8,3.25,4.0,1.8,3.25,4.0,1.72,3.4,4.0,,,,,,,,,1182.15,1103.54
E3,25/08/03,Yeovil,Northampton,0,2,A,0,2,A,S Tomlin,24,6,12,5,12,20,12,4,2,4,0,0,1.909,3.25,3.5,2.1,3.25,3.15,2.0,3.0,2.9,1.8,3.4,3.6,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.2,3.0,,,,,,,,,1241.33,1115.87
E3,26/08/03,Mansfield,Scunthorpe,5,0,H,2,0,H,A Penn,23,10,18,7,5,10,5,5,1,1,0,0,2.2,3.25,2.8,2.2,3.25,2.9,2.2,3.0,2.6,2.0,3.4,3.0,2.2,3.25,2.8,2.2,3.25,2.8,2.2,3.2,2.8,,,,,,,,,1163.8,1212.21
E3,26/08/03,York,Southend,2,0,H,1,0,H,R Pearson,13,13,8,4,13,9,6,0,1,2,0,0,1.727,3.5,4.0,1.75,3.5,4.0,1.8,3.1,3.4,1.667,3.4,4.333,1.83,3.25,3.75,1.83,3.25,3.75,1.9,3.25,3.4,,,,,,,,,1193.56,1073.65
E3,30/08/03,Carlisle,Cambridge,0,0,D,0,0,D,A Leake,9,5,6,0,15,8,6,10,2,1,0,0,2.625,3.2,2.375,2.6,3.25,2.4,2.4,3.0,2.3,2.5,3.25,2.4,2.75,3.25,2.25,2.7,3.2,2.3,2.62,3.1,2.37,,,,,,,,,1062.19,1131.63
E3,30/08/03,Huddersfield,Bristol Rvs,2,1,H,1,0,H,G Salisbury,14,6,8,2,15,8,3,1,3,1,0,0,2.25,3.2,2.8,2.2,3.25,2.9,2.2,3.0,2.6,2.0,3.2,3.2,2.2,3.25,2.8,2.2,3.25,2.8,2.2,3.2,2.8,,,,,,,,,1204.45,1147.41
E3,30/08/03,Hull,Boston,2,1,H,1,0,H,P Prosser,18,9,5,4,18,16,5,2,4,2,0,1,1.533,3.4,6.0,1.5,3.6,6.0,1.5,3.3,4.8,1.5,3.4,6.0,1.53,3.6,5.5,1.53,3.6,5.5,1.5,3.4,6.0,,,,,,,,,1152.73,1168.99
E3,30/08/03,Kidderminster,Oxford,1,1,D,0,0,D,T Parkes,13,8,9,3,4,8,3,3,0,0,0,0,2.7,3.2,2.3,2.72,3.25,2.3,2.4,3.0,2.3,2.75,3.2,2.25,2.62,3.2,2.38,2.7,3.2,2.3,2.62,3.2,2.3,,,,,,,,,1147.03,1188.64
E3,30/08/03,Leyton Orient,Cheltenham,1,4,A,1,4,A,Richard Beeby,6,12,2,9,16,5,4,6,1,1,1,0,2.25,3.25,2.75,2.2,3.25,2.9,2.1,3.0,2.8,2.1,3.2,3.0,2.25,3.25,2.75,2.25,3.25,2.75,2.2,3.25,2.75,,,,,,,,,1100.42,1207.5
E3,30/08/03,Lincoln,York,3,0,H,1,0,H,Kevin Friend,6,7,4,4,16,17,4,2,1,4,0,1,2.625,3.2,2.375,2.5,3.25,2.5,2.35,3.0,2.35,2.4,3.25,2.5,2.62,3.2,2.38,2.62,3.2,2.37,2.5,3.1,2.5,,,,,,,,,1149.44,1199.06
E3,30/08/03,Macclesfield,Yeovil,4,1,H,2,0,H,E Ilderton,13,9,10,6,8,11,2,5,2,2,0,0,2.5,3.2,2.5,2.55,3.25,2.45,2.35,3.0,2.35,2.5,3.25,2.4,2.62,3.2,2.38,2.6,3.2,2.4,2.6,3.1,2.4,,,,,,,,,1129.1,1221.69
E3,30/08/03,Northampton,Doncaster,1,0,H,0,0,D,Clive Penton,7,7,7,6,11,12,5,9,2,2,0,0,1.727,3.25,4.333,1.75,3.35,4.2,1.75,3.2,3.5,1.727,3.4,4.0,1.67,3.4,4.5,1.66,3.4,4.5,1.72,3.25,4.2,,,,,,,,,1135.51,1250.49
E3,30/08/03,Rochdale,Darlington,4,2,H,2,2,D,P Robinson,16,10,10,2,9,19,5,4,0,2,0,0,1.909,3.25,3.5,1.95,3.25,3.45,2.0,3.0,2.9,1.833,3.4,3.6,2.0,3.25,3.25,2.0,3.25,3.25,2.1,3.2,3.0,,,,,,,,,1121.95,1096.5
