season,file,round,matches,correct,brier,logloss,rps,accuracy
1993-94,D1_elo.csv,21,9,5,0.5409280919601325,0.9047144734541666,0.24692461963124193,0.555556
1993-94,D1_elo.csv,22,9,1,0.9243438514422814,1.4927618535917815,0.23512292928585923,0.111111
1993-94,D1_elo.csv,23,9,5,0.5453191863640515,0.9225728528662912,0.21837426863985684,0.555556
1993-94,D1_elo.csv,24,9,8,0.4222630378518131,0.7497549381074531,0.18877242239981973,0.888889
1993-94,D1_elo.csv,25,9,4,0.7147738399643642,1.172770468995285,0.23434347462625857,0.444444
1993-94,D1_elo.csv,26,9,4,0.5793858497399808,0.9799998909434952,0.2033811646713804,0.444444
1993-94,D1_elo.csv,27,10,5,0.5660231236111857,0.9668461618257187,0.19765675548560552,0.5
1993-94,D1_elo.csv,28,18,11,0.534795898620108,0.9168439805807647,0.19577794700263124,0.611111
1993-94,D1_elo.csv,29,9,5,0.5451035377378012,0.9306242559533826,0.18991707064754604,0.555556
1993-94,D1_elo.csv,30,8,3,0.7315777636276405,1.1789274987610499,0.2739587028389475,0.375
1993-94,D1_elo.csv,31,9,5,0.5882438494802955,1.0053334111425953,0.17615518906202673,0.555556
1993-94,D1_elo.csv,32,9,5,0.542252207442712,0.9034795501320908,0.25008461089883016,0.555556
1993-94,D2_elo.csv,1,20,11,0.6009283149959982,1.0049466139743122,0.22055439327162807,0.55
1993-94,D2_elo.csv,2,10,2,0.7501552681820997,1.1969089307765777,0.29522509716676193,0.2
1993-94,D2_elo.csv,3,10,6,0.5834548030663399,0.9804708306847576,0.2132877728474424,0.6
1993-94,D2_elo.csv,4,10,6,0.6194692333464797,1.0515044764585242,0.17337689701793998,0.6
1993-94,D2_elo.csv,5,10,7,0.5390707455513197,0.9408028232289853,0.15865681102263612,0.7
1993-94,D2_elo.csv,6,10,3,0.7397210874661139,1.2190631207399913,0.2049819989886641,0.3
1993-94,D2_elo.csv,7,10,7,0.4917457118365909,0.8603877032724856,0.17012342343680556,0.7
1993-94,D2_elo.csv,8,10,6,0.5550193202129272,0.9418659355801559,0.20142611250281167,0.6
1993-94,D2_elo.csv,9,10,5,0.6152457287386385,1.0225346357184726,0.2281241175483463,0.5
1993-94,D2_elo.csv,10,10,4,0.6641950265089653,1.1093894253213805,0.19642011802167098,0.4
1993-94,D2_elo.csv,11,10,7,0.5416054754231616,0.9242951052979282,0.19374995290884836,0.7
1993-94,D2_elo.csv,12,10,5,0.6266270044137248,1.0537312881428673,0.20204538747812523,0.5
1993-94,D2_elo.csv,13,10,4,0.6837637389056639,1.1349274427631029,0.2240488434448264,0.4
1993-94,D2_elo.csv,14,10,7,0.5465950061050464,0.9263412956880828,0.20057379467519332,0.7
1993-94,D2_elo.csv,15,10,2,0.789265165493691,1.2915886983594937,0.22137545851218224,0.2
1993-94,D2_elo.csv,16,10,5,0.5922083446271282,0.9979802227068746,0.19472268217894584,0.5
1993-94,D2_elo.csv,17,10,5,0.6668162167480987,1.12726805782675,0.14884313496741985,0.5
1993-94,D2_elo.csv,18,10,6,0.6204493219066631,1.0185211026166163,0.23981638316112167,0.6
1993-94,D2_elo.csv,19,10,4,0.716555596220431,1.176486198077551,0.22415519360553132,0.4
1993-94,D2_elo.csv,20,7,2,0.7369929249729097,1.2064380261949135,0.2244269178503536,0.285714
1993-94,D2_elo.csv,21,10,7,0.5817652749858561,0.9886413147386166,0.20480137799789402,0.7
1993-94,D2_elo.csv,22,9,1,0.8312694627348556,1.356803391161351,0.2034277482213591,0.111111
1993-94,D2_elo.csv,23,9,5,0.5430468836601956,0.9112673811643008,0.22242382183605208,0.555556
1993-94,D2_elo.csv,24,10,1,0.7613397288778496,1.2423070999542225,0.22026256530984972,0.1
1993-94,D2_elo.csv,25,10,5,0.6235579583906042,1.0424453586463072,0.22441000446104767,0.5
1993-94,D2_elo.csv,26,20,11,0.5907698616426428,1.0097429607226034,0.17329225538724694,0.55
1993-94,D2_elo.csv,27,8,5,0.5365220531563366,0.9058689482782688,0.215954783626592,0.625
1993-94,D2_elo.csv,28,13,6,0.658439292983397,1.093905295049081,0.23159222817915784,0.461538
1993-94,D2_elo.csv,29,10,3,0.7327453541286555,1.1897810846738668,0.2551782613688106,0.3
