season,file,round,matches,correct,accuracy,logloss,brier,rps
1993-94,D2_elo.csv,5,10,3,0.3,1.678752630490095,1.04,0.4005000000000001
1993-94,D2_elo.csv,6,10,5,0.5,1.2628643221541278,0.76,0.25500000000000006
1993-94,D2_elo.csv,7,10,2,0.2,1.8866967846580789,1.1800000000000002,0.3850000000000001
1993-94,D2_elo.csv,8,10,6,0.6,1.0549201679861444,0.62,0.23199999999999998
1993-94,D2_elo.csv,9,10,3,0.3,1.6787526304900955,1.0400000000000003,0.43500000000000005
1993-94,D2_elo.csv,10,10,5,0.5,1.2628643221541278,0.76,0.3335
1993-94,D2_elo.csv,11,10,5,0.5,1.2628643221541278,0.7599999999999999,0.21500000000000002
1993-94,D2_elo.csv,12,10,2,0.2,1.8866967846580789,1.1800000000000002,0.5050000000000001
1993-94,D2_elo.csv,13,10,4,0.4,1.4708084763221116,0.9,0.32500000000000007
1993-94,D2_elo.csv,14,10,5,0.5,1.2628643221541274,0.7599999999999999,0.255
1993-94,D2_elo.csv,15,10,4,0.4,1.4708084763221112,0.9,0.36500000000000005
1993-94,D2_elo.csv,16,10,4,0.4,1.4708084763221112,0.9000000000000001,0.2835
1993-94,D2_elo.csv,17,10,5,0.5,1.2628643221541278,0.7599999999999999,0.262
1993-94,D2_elo.csv,18,10,3,0.3,1.6787526304900955,1.04,0.2750000000000001
1993-94,D2_elo.csv,19,10,3,0.3,1.678752630490095,1.0400000000000003,0.43500000000000005
1993-94,D2_elo.csv,20,10,4,0.4,1.4708084763221116,0.9,0.29900000000000004
1993-94,D2_elo.csv,21,7,1,0.14285714285714285,2.0055220156112123,1.26,0.40857142857142864
1993-94,D2_elo.csv,22,11,4,0.36363636363636365,1.5464245323831967,0.9509090909090911,0.33272727272727276
1993-94,D2_elo.csv,23,10,2,0.2,1.8866967846580789,1.1800000000000002,0.3450000000000001
1993-94,D2_elo.csv,24,9,5,0.5555555555555556,1.1473397920608035,0.6822222222222223,0.24722222222222223
1993-94,D2_elo.csv,25,9,4,0.4444444444444444,1.3783888522474521,0.8377777777777777,0.2805555555555556
1993-94,D2_elo.csv,26,11,6,0.5454545454545454,1.1683442520777718,0.6963636363636364,0.2340909090909091
