country,season,file,round,round_start,history_mode,matches,correct,accuracy,logloss,brier,rps
England,1998-99,E1,30,1999-01-30,5season,12,3,0.25,1.1478258184104415,0.7108453317910226,0.2061636069234906
England,1998-99,E1,31,1999-02-06,5season,11,7,0.6363636363636364,0.9183529326414472,0.5424695119290958,0.17204113373777585
England,1998-99,E1,32,1999-02-13,5season,13,4,0.3076923076923077,1.0567605564262248,0.6406300003935154,0.16262027536973575
England,1998-99,E1,33,1999-02-20,5season,11,4,0.36363636363636365,1.1511983093235765,0.6906327839080283,0.2260759611047642
England,1998-99,E1,34,1999-02-26,5season,9,3,0.3333333333333333,1.076748949230652,0.6529252087446316,0.2383710050051955
England,1998-99,E1,35,1999-03-02,5season,14,7,0.5,0.9702125151460035,0.5764495806196336,0.17046542145973081
England,1998-99,E1,36,1999-03-06,5season,11,6,0.5454545454545454,0.9298342593066589,0.5459042202164182,0.1937996006034586
England,1998-99,E1,37,1999-03-13,5season,13,6,0.46153846153846156,1.034181784006018,0.6183261027320953,0.20230083600125678
England,1998-99,E1,38,1999-03-20,5season,12,8,0.6666666666666666,0.9152268206212292,0.542023348086482,0.1584730461641491
England,1998-99,E1,39,1999-03-24,5season,10,4,0.4,1.0509719085133604,0.6291215608068942,0.20937198041475616
England,1998-99,E1,40,1999-04-03,5season,14,5,0.35714285714285715,1.1629556776902434,0.6967624066447787,0.2620923508180094
England,1998-99,E1,41,1999-04-05,5season,13,6,0.46153846153846156,1.0689204240322896,0.6456787308308644,0.21593498018261778
England,1998-99,E1,42,1999-04-10,5season,13,6,0.46153846153846156,1.0395476230647263,0.6318147399872712,0.19207092235074133
England,1998-99,E1,43,1999-04-16,5season,11,4,0.36363636363636365,1.1505138711713079,0.6908761238596144,0.22625319846576797
England,1998-99,E1,44,1999-04-23,5season,14,7,0.5,1.130558538130045,0.688696232026141,0.2579663805583719
England,1998-99,E1,45,1999-04-30,5season,13,8,0.6153846153846154,0.9431584598160617,0.5635756408037756,0.15795463837137194
England,1998-99,E1,46,1999-05-09,5season,12,9,0.75,0.9034611119978365,0.5303029686917118,0.20766072994664161
England,1998-99,E2,1,1998-08-08,5season,12,5,0.4166666666666667,1.0986193509424262,0.6559736798335947,0.2888671302781089
England,1998-99,E2,2,1998-08-14,5season,12,7,0.5833333333333334,1.0252023284180931,0.6084066339285016,0.210032480507791
England,1998-99,E2,3,1998-08-22,5season,12,3,0.25,1.1715767123722367,0.7185454436887379,0.24672317400719332
England,1998-99,E2,4,1998-08-29,5season,12,7,0.5833333333333334,0.9350538484342102,0.5533334506515792,0.16412915627163588
England,1998-99,E2,5,1998-08-31,5season,11,4,0.36363636363636365,1.068943629431637,0.6513041107550285,0.20642710494919933
England,1998-99,E2,6,1998-09-05,5season,10,5,0.5,1.0778613582272754,0.6450236604235078,0.26136444245628604
England,1998-99,E2,7,1998-09-08,5season,11,4,0.36363636363636365,1.117162551002817,0.679035515212756,0.2203013770701587
