Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,EloHome,EloAway
N1,14/12/97,Groningen,NAC Breda,1,1,D,1.0,0.0,H,,,,,,,,,,,,1461.79,1476.22
N1,14/12/97,Volendam,Ajax,0,3,A,0.0,1.0,A,,,,,,,,,,,,1402.08,1782.89
N1,14/12/97,Waalwijk,For Sittard,1,2,A,0.0,0.0,D,,,,,,,,,,,,1430.66,1493.21
N1,19/12/97,For Sittard,Roda JC,1,1,D,0.0,1.0,A,,,,,,,,,,,,1507.05,1534.36
N1,20/12/97,Graafschap,Groningen,2,3,A,0.0,1.0,A,,,,,,,,,,,,1467.33,1458.77
N1,20/12/97,MVV Maastricht,Utrecht,0,0,D,0.0,0.0,D,,,,,,,,,,,,1464.05,1486.34
N1,20/12/97,Nijmegen,Sparta,2,0,H,0.0,0.0,D,,,,,,,,,,,,1432.54,1526.21
N1,21/12/97,Ajax,PSV Eindhoven,3,4,A,1.0,1.0,D,,,,,,,,,,,,1787.03,1728.05
N1,21/12/97,Feyenoord,Willem II,4,2,H,1.0,0.0,H,,,,,,,,,,,,1637.04,1522.43
N1,21/12/97,Vitesse,Twente,2,1,H,1.0,1.0,D,,,,,,,,,,,,1620.46,1551.94
N1,21/12/97,Volendam,NAC Breda,0,3,A,0.0,1.0,A,,,,,,,,,,,,1397.94,1479.24
N1,05/02/98,For Sittard,Sparta,2,1,H,2.0,0.0,H,,,,,,,,,,,,1504.47,1513.94
N1,06/02/98,MVV Maastricht,Groningen,1,0,H,1.0,0.0,H,,,,,,,,,,,,1461.3,1475.05
N1,06/02/98,Twente,Nijmegen,1,0,H,0.0,0.0,D,,,,,,,,,,,,1545.07,1444.81
N1,07/02/98,NAC Breda,Heerenveen,0,2,A,0.0,0.0,D,,,,,,,,,,,,1492.41,1595.46
N1,07/02/98,Willem II,Vitesse,1,0,H,0.0,0.0,D,,,,,,,,,,,,1516.8,1627.33
N1,08/02/98,Graafschap,PSV Eindhoven,1,2,A,1.0,0.0,H,,,,,,,,,,,,1451.05,1745.9
N1,08/02/98,Utrecht,Feyenoord,2,3,A,1.0,2.0,A,,,,,,,,,,,,1489.09,1642.67
N1,08/02/98,Volendam,Roda JC,1,4,A,0.0,2.0,A,,,,,,,,,,,,1384.77,1536.94
N1,08/02/98,Waalwijk,Ajax,1,5,A,0.0,2.0,A,,,,,,,,,,,,1416.82,1769.18
N1,11/02/98,PSV Eindhoven,Utrecht,4,1,H,2.0,1.0,H,,,,,,,,,,,,1752.04,1478.5
N1,13/02/98,For Sittard,Willem II,2,1,H,2.0,0.0,H,,,,,,,,,,,,1513.78,1529.68
N1,14/02/98,Graafschap,Vitesse,3,3,D,3.0,2.0,H,,,,,,,,,,,,1444.91,1614.45
N1,14/02/98,NAC Breda,MVV Maastricht,2,0,H,0.0,0.0,D,,,,,,,,,,,,1480.02,1470.76
N1,14/02/98,Nijmegen,Groningen,0,2,A,0.0,0.0,D,,,,,,,,,,,,1438.81,1465.59
N1,14/02/98,Roda JC,Waalwijk,1,2,A,0.0,2.0,A,,,,,,,,,,,,1547.58,1412.08
N1,15/02/98,PSV Eindhoven,Ajax,1,1,D,0.0,1.0,A,,,,,,,,,,,,1754.65,1773.92
N1,15/02/98,Sparta,Heerenveen,2,4,A,0.0,2.0,A,,,,,,,,,,,,1504.63,1607.85
N1,15/02/98,Twente,Feyenoord,0,0,D,0.0,0.0,D,,,,,,,,,,,,1551.07,1653.26
N1,15/02/98,Utrecht,Volendam,4,1,H,2.0,1.0,H,,,,,,,,,,,,1475.89,1374.13
N1,22/02/98,Groningen,Graafschap,0,3,A,0.0,1.0,A,,,,,,,,,,,,1480.69,1447.38
N1,25/02/98,Heerenveen,Roda JC,3,1,H,1.0,1.0,D,,,,,,,,,,,,1620.23,1527.7
N1,27/02/98,Waalwijk,Vitesse,0,1,A,0.0,1.0,A,,,,,,,,,,,,1431.96,1611.98
N1,28/02/98,Ajax,Nijmegen,3,0,H,3.0,0.0,H,,,,,,,,,,,,1776.77,1423.71
N1,28/02/98,Graafschap,For Sittard,1,0,H,1.0,0.0,H,,,,,,,,,,,,1464.45,1523.31
N1,28/02/98,MVV Maastricht,Twente,2,2,D,2.0,2.0,D,,,,,,,,,,,,1462.07,1551.15
N1,01/03/98,Feyenoord,Heerenveen,2,0,H,2.0,0.0,H,,,,,,,,,,,,1653.18,1626.43
N1,01/03/98,Groningen,Sparta,1,1,D,0.0,0.0,D,,,,,,,,,,,,1463.62,1492.25
N1,01/03/98,Utrecht,NAC Breda,1,3,A,0.0,3.0,A,,,,,,,,,,,,1481.85,1488.71
N1,01/03/98,Volendam,Willem II,4,1,H,2.0,0.0,H,,,,,,,,,,,,1368.17,1520.15
N1,04/03/98,Twente,Waalwijk,2,0,H,0.0,0.0,D,,,,,,,,,,,,1551.54,1422.29
N1,06/03/98,For Sittard,MVV Maastricht,4,1,H,2.0,0.0,H,,,,,,,,,,,,1512.28,1461.68
N1,07/03/98,Heerenveen,Nijmegen,0,3,A,0.0,3.0,A,,,,,,,,,,,,1618.3,1421.99
N1,07/03/98,Willem II,Graafschap,1,1,D,0.0,0.0,D,,,,,,,,,,,,1505.79,1475.48
N1,08/03/98,Groningen,Waalwijk,3,1,H,2.0,0.0,H,,,,,,,,,,,,1461.09,1417.02
N1,08/03/98,Utrecht,PSV Eindhoven,0,1,A,0.0,1.0,A,,,,,,,,,,,,1466.08,1751.8
N1,08/03/98,Volendam,Sparta,1,1,D,1.0,0.0,H,,,,,,,,,,,,1382.53,1494.78
N1,09/03/98,Roda JC,Feyenoord,1,2,A,0.0,1.0,A,,,,,,,,,,,,1521.5,1661.31
N1,13/03/98,Heerenveen,Willem II,1,3,A,1.0,1.0,D,,,,,,,,,,,,1597.14,1501.31
N1,13/03/98,Roda JC,For Sittard,0,0,D,0.0,0.0,D,,,,,,,,,,,,1510.43,1519.68
N1,14/03/98,Ajax,Volendam,6,1,H,2.0,0.0,H,,,,,,,,,,,,1778.49,1382.97
N1,14/03/98,NAC Breda,Twente,1,0,H,1.0,0.0,H,,,,,,,,,,,,1504.48,1556.81
N1,14/03/98,Nijmegen,MVV Maastricht,2,1,H,2.0,0.0,H,,,,,,,,,,,,1443.15,1454.28
N1,15/03/98,Utrecht,Sparta,3,0,H,2.0,0.0,H,,,,,,,,,,,,1459.69,1494.34
N1,15/03/98,Waalwijk,PSV Eindhoven,0,1,A,0.0,1.0,A,,,,,,,,,,,,1409.43,1758.19
N1,20/03/98,For Sittard,Utrecht,3,1,H,0.0,0.0,D,,,,,,,,,,,,1522.87,1469.87
N1,21/03/98,Graafschap,Volendam,2,1,H,1.0,0.0,H,,,,,,,,,,,,1479.96,1381.61
N1,21/03/98,PSV Eindhoven,Vitesse,3,2,H,1.0,2.0,A,,,,,,,,,,,,1763.01,1621.65
N1,21/03/98,Willem II,MVV Maastricht,2,0,H,0.0,0.0,D,,,,,,,,,,,,1520.19,1444.91
N1,22/03/98,Groningen,Twente,0,1,A,0.0,0.0,D,,,,,,,,,,,,1468.68,1546.01
N1,22/03/98,NAC Breda,Ajax,0,2,A,0.0,0.0,D,,,,,,,,,,,,1515.28,1779.85
N1,22/03/98,Sparta,Waalwijk,1,0,H,0.0,0.0,D,,,,,,,,,,,,1484.16,1404.61
N1,25/03/98,For Sittard,Feyenoord,0,2,A,0.0,1.0,A,,,,,,,,,,,,1530.2,1672.38
N1,25/03/98,MVV Maastricht,Graafschap,2,1,H,0.0,0.0,D,,,,,,,,,,,,1438.23,1486.01
N1,25/03/98,PSV Eindhoven,Roda JC,2,0,H,1.0,0.0,H,,,,,,,,,,,,1768.0,1507.24
