Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
SP1,23/09/01,Zaragoza,Osasuna,0,1,A,0,1,A,,,,1.55,3.3,4.5,1.61,3.25,5.0,1.62,3.4,5.0,1.67,3.4,4.33,,,,1653.29,1615.46
SP1,29/09/01,Espanol,Vallecano,3,1,H,1,0,H,,,,1.8,3.0,3.5,1.8,3.2,4.0,1.85,3.2,3.7,1.8,3.25,3.75,1.72,3.2,4.33,1638.8,1579.61
SP1,29/09/01,Malaga,Ath Bilbao,1,2,A,0,1,A,,,,2.1,2.9,2.9,2.1,3.2,3.0,2.1,3.1,3.1,2.0,3.2,3.2,2.1,3.2,3.0,1697.1,1640.28
SP1,29/09/01,Real Madrid,Valladolid,2,2,D,2,1,H,,,,1.25,4.3,8.0,1.25,4.5,10.0,1.22,5.0,9.0,1.22,5.0,9.0,1.22,5.0,9.5,1798.4,1636.89
SP1,29/09/01,Sociedad,Barcelona,0,2,A,0,1,A,,,,3.1,3.0,1.9,3.75,3.25,1.8,3.75,3.1,1.91,3.75,3.2,1.83,3.5,3.2,1.9,1621.86,1760.06
SP1,30/09/01,Betis,Las Palmas,1,0,H,0,0,D,,,,1.65,3.1,4.0,1.73,3.2,4.33,1.62,3.3,5.0,1.73,3.2,4.33,1.61,3.1,5.5,1686.02,1628.31
SP1,30/09/01,La Coruna,Celta,2,2,D,0,1,A,,,,1.7,3.0,4.0,1.8,3.2,4.0,1.85,3.2,3.75,1.8,3.2,4.0,1.72,3.1,4.5,1795.14,1763.1
SP1,30/09/01,Mallorca,Villarreal,0,1,A,0,1,A,,,,1.7,3.0,4.0,1.91,3.2,3.5,1.85,3.2,3.8,1.8,3.25,3.75,1.83,3.2,3.75,1765.51,1697.32
SP1,30/09/01,Osasuna,Sevilla,1,0,H,0,0,D,,,,2.2,2.8,2.8,2.25,3.2,2.75,2.2,3.0,3.0,2.1,3.1,3.1,,,,1632.67,1666.23
SP1,30/09/01,Tenerife,Zaragoza,0,0,D,0,0,D,,,,2.0,2.8,3.1,2.1,3.2,3.0,2.1,3.1,3.1,2.2,3.1,2.88,2.1,3.2,3.0,1600.57,1636.08
SP1,30/09/01,Valencia,Alaves,0,0,D,0,0,D,,,,1.55,3.3,4.5,1.53,3.4,5.5,1.57,3.3,5.5,1.53,3.4,5.5,1.53,3.4,5.5,1749.99,1662.91
SP1,03/10/01,Alaves,Malaga,1,0,H,0,0,D,,,,1.75,3.1,3.6,1.8,3.2,4.0,1.73,3.25,4.33,,,,1.66,3.3,4.5,1669.06,1679.31
SP1,03/10/01,Ath Bilbao,Betis,0,0,D,0,0,D,,,,1.85,2.9,3.4,1.91,3.2,3.5,1.91,3.2,3.5,,,,1.9,3.2,3.5,1658.07,1693.21
SP1,03/10/01,Barcelona,Mallorca,3,0,H,3,0,H,,,,1.45,3.5,5.0,1.33,4.0,8.0,1.4,3.8,7.0,,,,1.4,3.75,7.0,1771.19,1747.39
SP1,03/10/01,Las Palmas,Real Madrid,4,2,H,2,2,D,,,,3.2,2.9,1.9,4.0,3.0,1.83,3.75,3.2,1.85,,,,3.75,3.2,1.83,1621.12,1790.44
SP1,03/10/01,Vallecano,Osasuna,0,1,A,0,1,A,,,,1.8,2.9,3.6,2.0,3.2,3.2,1.95,3.2,3.4,,,,,,,1572.47,1642.81
SP1,03/10/01,Sevilla,Tenerife,2,0,H,1,0,H,,,,1.65,3.1,4.0,1.8,3.2,4.0,1.75,3.2,4.33,,,,1.72,3.2,4.33,1656.09,1598.28
SP1,03/10/01,Valladolid,Espanol,0,1,A,0,1,A,,,,2.0,2.9,3.0,2.0,3.2,3.2,2.0,3.2,3.25,,,,2.0,3.2,3.2,1644.85,1645.94
SP1,03/10/01,Villarreal,La Coruna,1,1,D,1,0,H,,,,2.4,2.9,2.4,2.6,3.2,2.37,2.5,3.1,2.5,,,,2.4,3.1,2.6,1715.44,1790.61
SP1,03/10/01,Zaragoza,Sociedad,3,2,H,1,1,D,,,,1.85,2.9,3.4,1.61,3.25,5.0,1.62,3.25,5.0,,,,1.72,3.2,4.33,1638.37,1610.73
SP1,04/10/01,Celta,Valencia,1,1,D,0,1,A,,,,1.9,2.9,3.2,2.1,3.0,3.2,1.91,3.2,3.5,,,,2.0,3.2,3.2,1767.63,1743.84
SP1,06/10/01,La Coruna,Barcelona,2,1,H,0,1,A,,,,2.1,2.9,2.9,2.2,3.25,2.75,2.25,3.2,2.75,2.2,3.2,2.8,2.25,3.1,2.8,1791.5,1779.42
SP1,06/10/01,Real Madrid,Ath Bilbao,2,0,H,0,0,D,,,,1.6,3.3,4.0,1.5,3.4,6.0,1.4,3.75,7.0,1.44,3.75,6.0,1.44,3.6,6.5,1775.48,1655.76
