Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
D1,08/09/01,St Pauli,Schalke 04,0,2,A,0,1,A,20725,Jörg Kessler ,9,6,4,3,0,0,6,2,11,12,3,7,0,2,0,0,0,20,,,,3.0,2.9,2.0,2.87,3.25,2.1,3.1,3.1,2.1,3.0,3.2,2.1,3.0,3.2,2.1,1620.02,1738.54
D1,08/09/01,Stuttgart,Hertha,0,0,D,0,0,D,20500,Peter Gagelmann,4,7,2,1,0,0,0,4,13,24,2,7,4,4,1,0,65,40,,,,2.3,2.9,2.5,2.2,3.2,2.8,2.4,3.1,2.6,2.38,3.2,2.62,2.37,3.1,2.62,1654.06,1707.25
D1,09/09/01,FC Koln,Hamburg,2,1,H,0,1,A,30000,Herbert Fandel,23,11,5,4,0,1,8,3,14,22,1,0,1,1,0,0,10,10,,,,2.2,2.9,2.7,2.0,3.25,3.2,2.2,3.1,2.9,2.2,3.2,2.8,2.2,3.25,2.75,1656.71,1660.95
D1,09/09/01,Kaiserslautern,Werder Bremen,2,1,H,0,1,A,41582,Hermann Albrecht,17,10,10,4,0,0,8,6,15,19,1,4,1,5,0,0,10,50,,,,1.7,3.1,3.8,1.57,3.75,4.5,1.62,3.3,5.0,1.67,3.25,4.5,1.66,3.3,4.5,1730.52,1699.22
D1,15/09/01,Bayern Munich,Freiburg,1,0,H,0,0,D,40000,Michael Weiner,26,5,11,1,0,0,10,4,21,12,3,5,1,1,0,0,10,10,,,,1.3,4.0,7.0,1.3,4.5,7.5,1.3,4.33,8.0,1.3,4.33,8.0,1.28,4.5,8.0,1837.49,1705.99
D1,15/09/01,Hamburg,M'gladbach,3,3,D,2,1,H,53000,Hellmut Krug,9,12,5,7,0,0,8,6,15,19,2,1,3,1,0,0,30,10,,,,1.75,3.1,3.6,1.91,3.25,3.4,,,,1.8,3.25,3.75,1.83,3.3,3.6,1651.81,1676.68
D1,15/09/01,Leverkusen,St Pauli,3,1,H,1,0,H,20000,Uwe Kemmling,17,4,6,2,0,0,8,1,16,20,3,3,5,4,1,0,75,40,,,,1.25,4.3,8.0,1.2,5.0,11.0,1.25,4.75,9.0,1.3,4.33,8.0,1.28,4.5,8.0,1801.42,1608.19
D1,15/09/01,Nurnberg,Kaiserslautern,0,2,A,0,0,D,30000,Torsten Koop,10,5,4,3,0,1,10,5,11,23,3,5,3,1,0,0,30,10,,,,2.7,2.9,2.2,2.87,3.25,2.1,2.75,3.2,2.25,2.5,3.25,2.38,2.62,3.2,2.3,1612.97,1738.51
D1,15/09/01,Schalke 04,Dortmund,1,0,H,1,0,H,60204,Herbert Fandel,12,9,6,3,1,1,3,6,27,26,2,2,1,4,0,0,10,40,,,,2.2,2.8,2.8,2.2,3.25,2.75,2.4,3.1,2.62,2.38,3.25,2.5,2.4,2.87,2.8,1750.37,1759.28
D1,15/09/01,Werder Bremen,FC Koln,1,1,D,0,1,A,26700,Florian Meyer,16,7,9,5,1,0,6,2,18,13,3,1,3,2,0,0,30,20,,,,1.8,3.0,3.5,1.8,3.25,3.75,1.83,3.2,3.8,1.83,3.2,3.75,1.72,3.4,4.0,1691.23,1665.85
D1,15/09/01,Wolfsburg,Stuttgart,0,2,A,0,1,A,12500,Jürgen Aust,9,5,3,5,0,0,1,1,19,14,4,0,3,1,0,0,30,10,,,,2.0,2.9,3.0,2.1,3.25,2.87,2.1,3.0,3.2,2.1,3.2,3.0,2.1,3.2,3.0,1679.9,1652.39
D1,16/09/01,Hansa Rostock,Cottbus,0,0,D,0,0,D,23000,Helmut Fleischer,13,7,7,3,0,0,10,4,10,15,1,2,1,3,0,1,10,55,,,,1.9,2.9,3.2,2.1,3.2,3.0,2.0,3.2,3.2,2.1,3.2,3.0,2.1,3.1,3.1,1643.76,1648.18
D1,16/09/01,Hertha,Munich 1860,2,1,H,0,1,A,30000,Lutz Wagner ,15,6,7,3,0,0,9,3,20,23,0,2,1,4,1,2,35,90,,,,1.6,3.2,4.2,1.61,3.5,4.5,1.62,3.4,4.75,1.73,3.4,4.0,1.53,3.3,5.0,1708.92,1666.57
D1,22/09/01,Cottbus,Bayern Munich,0,3,A,0,2,A,20500,Jürgen Aust,10,13,4,8,0,1,8,8,12,22,0,4,1,3,0,0,10,30,,,,3.0,2.9,2.0,3.2,3.2,2.0,3.5,3.25,1.91,3.75,3.2,1.83,3.3,3.1,2.0,1651.53,1842.71
D1,22/09/01,Dortmund,Leverkusen,1,1,D,1,0,H,68600,Jürgen Jansen ,7,8,3,5,0,0,4,4,24,28,5,2,3,3,0,0,30,30,,,,2.1,2.9,2.9,2.1,3.25,2.87,2.2,3.0,3.0,2.0,3.2,3.2,2.0,3.1,3.3,1749.98,1805.32
D1,22/09/01,FC Koln,Nurnberg,1,2,A,1,2,A,29000,Edgar Steinborn,16,12,5,4,0,0,6,1,19,15,2,5,2,0,0,0,20,0,,,,1.65,3.1,4.0,1.57,3.5,5.0,1.6,3.4,5.0,1.73,3.4,4.0,1.66,3.3,4.5,1670.17,1601.39
D1,22/09/01,Freiburg,Schalke 04,2,0,H,0,0,D,25000,Peter Gagelmann,12,15,6,6,0,0,3,5,7,16,4,2,0,2,0,0,0,20,,,,2.7,2.9,2.2,2.5,3.25,2.4,2.7,3.2,2.3,2.5,3.2,2.4,2.5,3.1,2.5,1700.77,1759.67
D1,22/09/01,Hamburg,Werder Bremen,0,4,A,0,2,A,43000,Lutz Michael Fröhlich ,16,12,5,7,0,0,15,6,15,22,4,0,3,1,0,0,30,10,,,,2.0,2.9,3.0,1.91,3.25,3.4,1.91,3.2,3.5,1.91,3.25,3.4,2.0,2.9,3.6,1649.15,1686.91
D1,22/09/01,Kaiserslautern,Hertha,4,1,H,1,0,H,41500,Hartmut Strampe,12,11,8,4,1,1,10,8,20,19,0,2,2,2,0,0,20,20,,,,1.9,2.9,3.2,1.73,3.5,3.75,1.9,3.25,3.5,1.8,3.25,4.0,1.9,3.1,3.6,1750.09,1716.57
D1,22/09/01,Stuttgart,Hansa Rostock,2,1,H,0,1,A,15000,Jörg Kessler ,18,4,7,1,0,0,5,0,24,26,1,6,5,3,1,1,75,55,,,,1.7,3.1,3.8,1.73,3.4,4.0,1.73,3.2,4.33,1.73,3.4,4.0,1.72,3.2,4.33,1669.28,1640.41
D1,23/09/01,M'gladbach,St Pauli,2,2,D,0,0,D,23000,Franz-Xaver Wack,23,3,12,3,0,0,10,5,29,24,1,3,2,3,0,0,20,30,,,,1.6,3.2,4.2,1.5,3.4,6.0,,,,1.57,3.25,5.5,1.5,3.6,5.5,1679.34,1604.29
D1,23/09/01,Munich 1860,Wolfsburg,2,1,H,1,0,H,7000,Thorsten Kinhöfer ,13,16,4,3,0,0,8,6,20,29,2,1,3,2,0,2,30,70,,,,1.8,3.0,3.5,1.67,3.4,4.33,1.75,3.25,4.2,1.73,3.4,4.0,1.66,3.3,4.5,1658.92,1663.01
D1,29/09/01,Hansa Rostock,Munich 1860,2,2,D,1,1,D,16000,Herbert Fandel,18,12,7,3,0,2,9,10,14,15,0,1,2,0,0,0,20,0,,,,2.2,2.9,2.7,,,,2.3,3.1,2.75,2.25,3.1,2.8,2.25,3.2,2.75,1632.34,1668.05
D1,29/09/01,Hertha,FC Koln,3,0,H,1,0,H,25000,Hellmut Krug,9,10,4,1,0,0,4,13,27,17,2,1,2,0,0,0,20,0,,,,1.6,3.2,4.2,,,,1.57,3.4,5.0,1.67,3.25,4.5,1.66,3.4,4.33,1708.65,1652.03
D1,29/09/01,Nurnberg,Hamburg,0,0,D,0,0,D,31200,Uwe Kemmling,11,7,3,4,0,1,3,1,12,21,8,4,2,3,0,0,20,30,,,,2.2,2.9,2.7,,,,2.2,3.2,2.88,2.2,3.1,2.88,2.1,3.2,3.0,1619.53,1634.43
D1,29/09/01,Schalke 04,Cottbus,2,0,H,2,0,H,60204,Hermann Albrecht,15,10,4,5,1,0,15,5,20,21,3,1,2,3,0,0,20,30,,,,1.45,3.5,5.0,,,,1.44,3.6,6.5,1.4,4.0,6.5,1.44,3.6,6.5,1748.64,1642.24
