Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,EloHome,EloAway
G1,09/12/01,Iraklis,Akratitos,1.0,1.0,D,0.0,1.0,A,1.3,3.8,8.0,1.3,4.0,7.0,1488.66,1399.63
G1,09/12/01,Panathinaikos,PAOK,1.0,2.0,A,1.0,0.0,H,1.3,4.15,7.0,1.3,4.0,7.0,1705.14,1555.65
G1,09/12/01,Panionios,AEK,2.0,6.0,A,1.0,2.0,A,4.1,3.5,1.6,4.0,3.3,1.6,1445.81,1687.63
G1,09/12/01,Xanthi,Egaleo,4.0,2.0,H,3.0,1.0,H,1.3,4.2,6.8,1.3,4.0,7.0,1472.09,1362.17
G1,15/12/01,Akratitos,Olympiakos,2.0,3.0,A,2.0,2.0,D,6.5,4.5,1.28,9.0,4.7,1.2,1405.83,1812.82
G1,15/12/01,Panahaiki,Iraklis,1.0,1.0,D,0.0,1.0,A,2.4,3.0,2.5,2.3,2.9,2.5,1390.75,1482.46
G1,16/12/01,AEK,Aris,4.0,2.0,H,1.0,1.0,D,1.2,4.75,10.0,1.2,4.7,9.0,1695.29,1517.18
G1,16/12/01,Egaleo,Eth Asteras,1.0,0.0,H,1.0,0.0,H,2.05,3.1,3.0,1.9,3.0,3.1,1356.42,1434.47
G1,16/12/01,Ionikos,Panathinaikos,0.0,2.0,A,0.0,0.0,D,4.85,3.5,1.5,5.0,3.5,1.45,1448.99,1684.94
G1,16/12/01,PAOK,OFI,3.0,2.0,H,0.0,1.0,A,1.3,3.9,8.25,1.3,4.0,7.0,1575.85,1509.71
G1,16/12/01,Xanthi,Panionios,3.0,1.0,H,2.0,1.0,H,1.45,3.6,5.7,1.5,3.4,4.7,1477.84,1438.15
G1,12/01/02,Eth Asteras,Xanthi,0.0,0.0,D,0.0,0.0,D,2.05,3.1,3.0,2.0,3.0,2.9,1422.76,1485.57
G1,13/01/02,Akratitos,PAOK,1.0,2.0,A,1.0,2.0,A,3.6,3.2,1.8,3.2,3.1,1.85,1402.18,1582.79
G1,13/01/02,Iraklis,AEK,3.0,2.0,H,2.0,0.0,H,2.75,3.1,2.15,2.8,3.0,2.1,1482.76,1699.49
G1,13/01/02,OFI,Ionikos,4.0,0.0,H,1.0,0.0,H,1.32,3.75,8.0,1.35,3.8,6.2,1502.77,1441.15
G1,13/01/02,Olympiakos,Panahaiki,4.0,0.0,H,1.0,0.0,H,1.05,8.25,14.0,1.1,6.5,13.0,1816.47,1390.45
G1,13/01/02,Panathinaikos,Egaleo,2.0,1.0,H,0.0,0.0,D,1.05,8.25,14.0,1.1,6.5,13.0,1692.78,1368.13
G1,13/01/02,Panionios,Aris,1.0,0.0,H,0.0,0.0,D,2.25,3.0,2.7,2.3,2.9,2.5,1430.42,1512.98
G1,20/01/02,AEK,Olympiakos,2.0,3.0,A,2.0,1.0,H,2.35,3.0,2.62,2.4,2.9,2.4,1682.94,1817.62
G1,20/01/02,Aris,Iraklis,1.0,1.0,D,1.0,1.0,D,2.2,3.0,2.85,2.2,2.9,2.7,1501.11,1499.31
G1,20/01/02,Egaleo,OFI,0.0,0.0,D,0.0,0.0,D,2.2,3.1,2.75,2.35,3.0,2.35,1366.13,1509.84
G1,20/01/02,Eth Asteras,Panionios,0.0,2.0,A,0.0,1.0,A,1.95,3.1,3.3,1.9,3.1,3.0,1421.43,1442.29
G1,20/01/02,Ionikos,Akratitos,2.0,1.0,H,1.0,0.0,H,1.75,3.2,3.9,1.75,3.1,3.6,1434.08,1392.53
G1,20/01/02,Panahaiki,PAOK,3.0,3.0,D,0.0,2.0,A,,,,,,,1389.3,1592.44
G1,20/01/02,Xanthi,Panathinaikos,1.0,2.0,A,1.0,1.0,D,3.2,3.05,2.0,3.0,3.1,1.9,1486.9,1694.78
G1,26/01/02,Akratitos,Egaleo,0.0,1.0,A,0.0,1.0,A,1.75,3.2,3.75,1.9,3.0,3.1,1384.86,1367.69
G1,27/01/02,OFI,Xanthi,0.0,1.0,A,0.0,0.0,D,1.55,3.3,5.1,1.6,3.2,4.2,1508.28,1478.16
G1,27/01/02,Olympiakos,Aris,0.0,1.0,A,0.0,0.0,D,1.15,5.25,11.0,1.15,5.5,11.0,1828.88,1497.55
G1,27/01/02,Panahaiki,Ionikos,0.0,2.0,A,0.0,1.0,A,,,,,,,1392.91,1441.75
G1,27/01/02,Panathinaikos,Eth Asteras,1.0,0.0,H,0.0,0.0,D,1.05,7.0,18.0,1.05,8.0,16.0,1703.52,1406.13
G1,27/01/02,Panionios,Iraklis,0.0,1.0,A,0.0,0.0,D,2.15,2.9,2.9,2.2,2.9,2.7,1457.59,1502.87
G1,27/01/02,PAOK,AEK,3.0,2.0,H,2.0,2.0,D,2.15,2.9,2.9,2.1,2.9,2.9,1588.83,1671.68
G1,02/02/02,Aris,PAOK,2.0,3.0,A,1.0,2.0,A,2.45,2.85,2.55,2.3,2.9,2.5,1520.62,1600.71
G1,03/02/02,AEK,Ionikos,4.0,0.0,H,1.0,0.0,H,1.1,6.0,12.5,1.1,6.5,13.0,1659.8,1456.08
G1,03/02/02,Egaleo,Panahaiki,2.0,1.0,H,1.0,0.0,H,1.6,3.4,4.25,1.65,3.1,4.0,1384.25,1378.58
G1,03/02/02,Eth Asteras,OFI,2.0,3.0,A,2.0,1.0,H,2.15,3.0,2.8,2.1,2.9,2.9,1403.83,1491.31
G1,03/02/02,Iraklis,Olympiakos,1.0,1.0,D,0.0,0.0,D,3.1,3.0,2.0,3.0,2.9,2.0,1517.32,1805.81
G1,03/02/02,Panathinaikos,Panionios,2.0,1.0,H,1.0,0.0,H,1.15,5.5,10.0,1.15,5.5,11.0,1705.82,1443.14
G1,03/02/02,Xanthi,Akratitos,3.0,0.0,H,0.0,0.0,D,1.23,4.5,8.5,1.25,4.3,8.0,1495.13,1368.3
G1,09/02/02,OFI,Panathinaikos,0.0,1.0,A,0.0,0.0,D,4.0,3.5,1.66,3.3,3.0,1.85,1504.26,1708.58
G1,10/02/02,Egaleo,AEK,1.0,3.0,A,1.0,1.0,D,6.0,3.85,1.4,6.2,3.8,1.35,1393.06,1663.51
G1,10/02/02,Ionikos,Aris,1.0,0.0,H,1.0,0.0,H,2.4,3.1,2.5,2.3,2.9,2.5,1452.37,1507.4
G1,10/02/02,Panahaiki,Xanthi,1.0,3.0,A,0.0,2.0,A,,,,,,,1369.77,1500.46
G1,10/02/02,Panionios,Olympiakos,3.0,1.0,H,3.0,1.0,H,6.6,4.0,1.35,6.2,3.8,1.35,1440.38,1799.62
G1,10/02/02,PAOK,Iraklis,3.0,0.0,H,1.0,0.0,H,1.65,3.2,4.5,1.65,3.1,4.0,1613.93,1523.51
G1,16/02/02,Iraklis,Ionikos,3.0,0.0,H,2.0,0.0,H,1.25,4.75,7.25,1.2,4.7,9.0,1517.25,1463.26
G1,16/02/02,Panathinaikos,Akratitos,1.0,0.0,H,1.0,0.0,H,1.05,7.5,16.0,1.05,8.0,16.0,1717.44,1362.97
G1,17/02/02,Aris,Egaleo,1.0,0.0,H,1.0,0.0,H,1.25,4.5,8.0,1.35,3.8,6.2,1496.51,1386.24
G1,17/02/02,Eth Asteras,Panahaiki,1.0,1.0,D,1.0,0.0,H,1.55,3.4,4.8,1.55,3.3,4.5,1390.88,1358.37
G1,17/02/02,OFI,Panionios,0.0,0.0,D,0.0,0.0,D,1.6,3.4,4.35,1.55,3.3,4.5,1495.4,1460.79
G1,17/02/02,Olympiakos,PAOK,3.0,2.0,H,3.0,0.0,H,1.4,3.75,5.5,1.5,3.4,4.7,1779.21,1620.19
G1,17/02/02,Xanthi,AEK,1.0,1.0,D,1.0,0.0,H,2.85,3.0,2.15,2.8,3.0,2.1,1511.86,1670.33
G1,23/02/02,Panahaiki,Panathinaikos,0.0,0.0,D,0.0,0.0,D,,,,,,,1362.92,1719.14
G1,24/02/02,AEK,Eth Asteras,1.0,0.0,H,1.0,0.0,H,1.1,6.7,13.0,1.05,8.0,16.0,1668.25,1386.33
G1,24/02/02,Akratitos,OFI,1.0,2.0,A,1.0,2.0,A,2.45,3.0,2.5,2.5,2.9,2.3,1361.27,1490.79
G1,24/02/02,Egaleo,Iraklis,2.0,1.0,H,0.0,0.0,D,2.4,3.0,2.55,2.6,3.0,2.2,1380.5,1524.55
G1,24/02/02,Ionikos,Olympiakos,0.0,2.0,A,0.0,0.0,D,7.2,4.4,1.3,7.0,4.0,1.3,1455.96,1783.8
G1,24/02/02,Panionios,PAOK,1.0,1.0,D,1.0,1.0,D,3.3,3.2,1.9,3.4,3.1,1.8,1465.4,1615.6
G1,24/02/02,Xanthi,Aris,1.0,0.0,H,1.0,0.0,H,1.7,3.3,4.0,1.65,3.1,4.0,1513.94,1502.25
G1,27/02/02,Akratitos,Eth Asteras,1.0,0.0,H,1.0,0.0,H,,,,,,,1349.83,1383.83
G1,02/03/02,PAOK,Ionikos,2.0,0.0,H,1.0,0.0,H,1.15,5.0,10.0,1.1,6.5,13.0,1613.81,1450.65
G1,03/03/02,Akratitos,Panionios,1.0,4.0,A,1.0,3.0,A,2.35,3.2,2.45,2.3,2.9,2.5,1359.98,1467.19
G1,03/03/02,Eth Asteras,Aris,2.0,2.0,D,1.0,1.0,D,2.3,3.15,2.55,2.2,3.0,2.6,1373.68,1493.64
G1,03/03/02,Iraklis,Xanthi,1.0,1.0,D,1.0,1.0,D,1.8,3.25,3.65,1.7,3.1,3.8,1510.47,1522.55
G1,03/03/02,OFI,Panahaiki,2.0,2.0,D,1.0,1.0,D,1.3,4.1,7.5,1.25,4.3,8.0,1502.23,1370.77
G1,03/03/02,Olympiakos,Egaleo,3.0,0.0,H,1.0,0.0,H,1.07,6.0,15.0,1.05,8.0,16.0,1789.11,1394.58
G1,03/03/02,Panathinaikos,AEK,2.0,0.0,H,2.0,0.0,H,2.0,3.1,3.15,2.1,3.0,2.8,1711.29,1670.75
