Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
I1,14/10/01,Milan,Venezia,1,1,D,1,0,H,,,,1.2,5.0,10.0,1.2,5.0,11.0,,,,1.2,5.0,11.0,1.2,5.0,11.0,1766.19,1602.07
I1,14/10/01,Parma,Piacenza,2,2,D,1,0,H,,,,1.55,3.4,5.0,1.5,3.4,6.0,,,,1.53,3.25,6.0,1.5,3.25,6.5,1759.7,1661.98
I1,14/10/01,Udinese,Inter,1,1,D,0,0,D,,,,3.3,2.8,2.1,3.2,3.0,2.1,,,,3.4,3.0,2.0,3.75,2.8,2.0,1635.29,1772.86
I1,14/10/01,Verona,Bologna,0,1,A,0,1,A,,,,2.1,2.8,3.3,2.25,2.87,3.0,,,,2.25,2.88,3.0,2.2,2.8,3.2,1657.28,1672.82
I1,20/10/01,Bologna,Juventus,0,0,D,0,0,D,3.05,3.0,2.2,3.2,2.9,2.1,,,,,,,3.0,3.0,2.2,3.1,2.8,2.25,1688.3,1870.38
I1,21/10/01,Atalanta,Udinese,1,5,A,0,1,A,1.95,3.0,3.7,2.1,2.9,3.2,2.1,2.8,3.4,,,,1.91,3.0,3.75,2.0,2.9,3.6,1637.79,1636.64
I1,21/10/01,Chievo,Parma,1,0,H,1,0,H,2.45,2.85,2.8,2.5,2.8,2.7,2.25,3.0,2.87,,,,2.38,2.88,2.8,2.4,2.8,2.87,1700.45,1753.27
I1,21/10/01,Fiorentina,Verona,0,2,A,0,1,A,1.75,3.2,4.3,1.75,3.2,4.0,1.61,3.25,5.0,,,,1.73,3.2,4.33,1.72,3.1,4.5,1663.84,1641.8
I1,21/10/01,Inter,Milan,2,4,A,1,0,H,,,,2.3,2.8,2.9,2.5,2.87,2.62,,,,2.5,2.88,2.62,2.5,2.8,2.7,1771.51,1758.18
I1,21/10/01,Piacenza,Brescia,0,1,A,0,1,A,2.1,2.9,3.4,2.2,2.8,3.1,2.2,2.75,3.25,,,,2.1,3.0,3.2,2.1,2.8,3.4,1668.41,1687.16
I1,21/10/01,Roma,Lecce,5,1,H,2,0,H,1.32,4.1,8.0,1.35,4.0,7.0,1.3,4.33,8.0,,,,1.3,4.33,8.0,1.33,4.0,8.0,1834.82,1661.39
