Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
I2,08/10/01,Sampdoria,Bari,3,0,H,1,0,H,,,,2.2,2.6,3.0,2.0,2.5,4.33,2.1,2.6,3.6,1531.58,1455.55
I2,08/10/01,Vicenza,Cosenza,3,2,H,0,1,A,,,,1.6,2.7,5.5,1.5,3.25,6.5,1.5,3.1,7.0,1559.55,1495.21
I2,12/10/01,Bari,Genoa,1,0,H,1,0,H,,,,,,,2.5,2.62,3.0,2.4,2.5,3.1,1448.89,1551.57
I2,14/10/01,Cittadella,Napoli,1,2,A,0,1,A,,,,2.55,2.5,2.65,2.5,2.7,2.8,2.5,2.75,2.7,1459.26,1552.15
I2,14/10/01,Messina,Palermo,2,0,H,1,0,H,,,,2.4,2.4,2.9,2.3,2.5,3.4,2.4,2.5,3.1,1481.23,1500.97
I2,14/10/01,Modena,Cagliari,3,0,H,1,0,H,,,,1.8,2.7,3.9,1.73,2.88,5.0,1.9,2.75,4.0,1521.82,1435.99
I2,14/10/01,Reggina,Empoli,1,0,H,0,0,D,,,,,,,2.0,2.5,4.33,,,,1592.9,1584.65
I2,14/10/01,Salernitana,Cosenza,2,1,H,1,1,D,,,,1.9,2.5,3.8,1.73,2.88,5.0,1.8,2.75,4.6,1437.45,1488.22
I2,14/10/01,Sampdoria,Pistoiese,2,0,H,2,0,H,,,,1.5,2.9,5.5,1.5,3.25,6.5,1.5,3.1,7.0,1538.24,1413.3
I2,14/10/01,Siena,Como,0,1,A,0,0,D,,,,2.3,2.4,3.0,2.1,2.6,3.75,2.2,2.5,3.6,1466.0,1490.27
I2,14/10/01,Ternana,Ancona,0,1,A,0,0,D,,,,1.8,2.7,3.9,1.8,2.7,5.0,1.8,2.75,4.6,1532.78,1488.8
I2,15/10/01,Crotone,Vicenza,3,4,A,1,1,D,,,,2.6,2.4,2.7,2.88,2.5,2.62,2.7,2.5,2.75,1467.4,1566.54
I2,26/10/01,Cagliari,Reggina,0,0,D,0,0,D,2.62,2.65,2.7,2.5,2.5,2.7,2.6,2.6,2.8,2.6,2.6,2.7,1429.6,1601.63
I2,28/10/01,Ancona,Cittadella,0,1,A,0,0,D,1.63,2.95,5.65,1.6,2.8,5.0,1.57,3.0,6.5,1.6,2.9,6.0,1506.2,1446.5
I2,28/10/01,Como,Messina,2,1,H,0,0,D,1.75,2.85,4.85,1.65,2.8,4.6,1.67,2.88,5.5,1.75,2.65,5.25,1505.45,1490.89
I2,28/10/01,Cosenza,Siena,2,1,H,2,0,H,1.87,2.75,4.35,1.8,2.7,3.9,1.83,2.62,5.0,1.75,2.65,5.25,1477.48,1450.82
I2,28/10/01,Empoli,Crotone,1,0,H,0,0,D,1.58,3.05,5.9,1.55,2.9,5.2,1.5,3.2,7.0,1.55,3.0,6.5,1575.92,1454.87
I2,28/10/01,Genoa,Salernitana,4,0,H,1,0,H,1.72,2.85,4.85,1.7,2.8,4.2,1.73,2.88,5.0,1.7,2.85,5.0,1538.97,1448.19
I2,28/10/01,Napoli,Sampdoria,1,1,D,0,1,A,2.1,2.7,3.55,2.1,2.5,3.3,1.91,2.7,4.33,2.0,2.7,3.8,1564.91,1543.62
I2,28/10/01,Pistoiese,Bari,1,0,H,1,0,H,2.62,2.6,2.75,2.5,2.5,2.7,2.5,2.6,2.9,2.6,2.5,2.85,1407.92,1461.49
I2,28/10/01,Vicenza,Modena,0,5,A,0,3,A,1.85,2.75,4.45,1.8,2.6,4.2,1.8,2.7,5.0,1.75,2.65,5.25,1579.07,1528.21
I2,29/10/01,Palermo,Ternana,3,0,H,2,0,H,2.15,2.65,3.5,2.2,2.4,3.1,2.2,2.5,3.75,2.2,2.5,3.6,1491.31,1515.38
I2,01/11/01,Napoli,Vicenza,0,0,D,0,0,D,2.15,2.7,3.4,,,,,,,2.1,2.6,3.6,1560.72,1561.46
I2,02/11/01,Modena,Empoli,0,1,A,0,0,D,1.95,2.55,4.25,2.0,2.5,3.5,,,,1.8,2.7,4.6,1545.82,1581.39
I2,04/11/01,Bari,Napoli,0,1,A,0,1,A,2.2,2.55,3.4,2.3,2.5,2.9,,,,2.4,2.6,2.95,1450.65,1557.24
I2,04/11/01,Cittadella,Cagliari,0,2,A,0,2,A,2.2,2.6,3.3,2.3,2.5,2.9,,,,2.3,2.6,3.2,1464.37,1432.15
I2,04/11/01,Como,Vicenza,1,0,H,0,0,D,2.4,2.5,3.1,2.4,2.5,2.8,,,,2.3,2.5,3.25,1513.97,1564.94
I2,04/11/01,Crotone,Reggina,1,2,A,0,0,D,2.8,2.45,2.65,2.7,2.4,2.6,,,,2.7,2.5,2.7,1449.4,1599.08
I2,04/11/01,Messina,Cosenza,3,1,H,0,0,D,2.1,2.5,3.8,2.1,2.4,3.5,,,,2.0,2.6,4.0,1482.37,1485.61
I2,04/11/01,Salernitana,Ancona,2,0,H,0,0,D,2.0,2.65,3.8,2.0,2.5,3.5,,,,1.95,2.75,3.8,1441.94,1488.33
I2,04/11/01,Siena,Palermo,1,1,D,1,1,D,2.1,2.55,3.65,2.1,2.5,3.5,,,,2.2,2.6,3.4,1442.69,1501.12
I2,04/11/01,Ternana,Pistoiese,0,1,A,0,0,D,1.7,2.9,4.85,1.65,2.8,4.5,,,,1.65,2.9,5.5,1505.57,1418.76
I2,05/11/01,Genoa,Sampdoria,1,0,H,0,0,D,2.4,2.5,3.1,2.4,2.8,2.8,,,,2.5,2.6,2.85,1545.22,1547.81
I2,08/11/01,Pistoiese,Como,0,1,A,0,0,D,2.6,2.5,2.9,2.6,2.4,2.7,,,,2.6,2.45,2.9,1437.4,1524.72
I2,09/11/01,Napoli,Crotone,0,0,D,0,0,D,1.6,3.0,5.85,1.6,2.8,5.0,,,,1.6,2.9,6.0,1569.5,1438.68
I2,11/11/01,Cagliari,Ternana,1,1,D,0,0,D,1.85,2.7,4.6,1.85,2.6,3.9,,,,1.8,2.75,4.6,1449.19,1486.93
I2,11/11/01,Cosenza,Genoa,2,1,H,1,1,D,2.6,2.5,2.9,2.5,2.4,2.8,,,,2.55,2.5,2.9,1476.5,1554.3
I2,11/11/01,Empoli,Salernitana,3,1,H,1,0,H,1.7,3.0,4.8,1.65,2.9,4.4,,,,1.65,2.95,5.2,1596.18,1452.53
I2,11/11/01,Palermo,Modena,2,1,H,1,0,H,2.45,2.55,3.1,2.3,2.4,3.0,,,,2.4,2.6,2.95,1502.61,1531.03
I2,12/11/01,Vicenza,Ancona,2,1,H,2,0,H,1.72,3.1,4.3,1.6,2.9,4.8,,,,1.55,3.05,6.0,1554.19,1477.74
I2,16/11/01,Cittadella,Bari,0,1,A,0,1,A,2.35,2.75,2.95,2.3,2.6,2.8,,,,2.35,2.75,2.9,1447.33,1438.39
I2,18/11/01,Ancona,Cosenza,2,3,A,1,1,D,1.9,2.8,4.1,1.9,2.6,3.8,,,,1.9,2.65,4.3,1471.09,1488.2
I2,18/11/01,Como,Palermo,3,0,H,2,0,H,1.8,2.8,4.65,1.8,2.6,4.0,,,,1.8,2.75,4.5,1537.68,1512.57
I2,18/11/01,Crotone,Sampdoria,1,1,D,1,0,H,2.45,2.7,2.85,2.5,2.5,2.7,,,,2.4,2.7,2.85,1445.95,1538.73
I2,18/11/01,Messina,Napoli,2,1,H,1,0,H,2.7,2.65,2.63,2.5,2.4,2.8,,,,2.5,2.6,2.85,1491.48,1562.23
I2,18/11/01,Modena,Reggina,3,1,H,3,0,H,2.25,2.7,3.2,2.2,2.5,3.1,,,,2.2,2.6,3.35,1521.07,1609.8
I2,18/11/01,Salernitana,Cagliari,1,0,H,0,0,D,2.1,2.75,3.4,2.0,2.6,3.5,,,,1.9,2.8,3.9,1447.59,1446.97
I2,18/11/01,Siena,Pistoiese,0,0,D,0,0,D,1.95,2.7,4.05,1.9,2.6,3.8,,,,2.0,2.6,4.0,1441.2,1424.44
I2,18/11/01,Ternana,Empoli,1,1,D,1,0,H,2.55,2.65,2.8,2.4,2.5,2.8,,,,2.5,2.6,2.85,1489.15,1601.12
I2,19/11/01,Genoa,Vicenza,2,2,D,1,2,A,2.1,2.7,3.6,1.9,2.6,3.8,,,,2.0,2.7,3.75,1542.6,1560.84
I2,21/11/01,Bari,Siena,1,0,H,0,0,D,1.65,2.8,5.6,1.65,2.7,5.0,,,,1.65,2.75,6.0,1454.69,1437.15
I2,21/11/01,Reggina,Messina,0,0,D,0,0,D,1.6,2.8,6.25,1.65,2.7,5.0,,,,1.7,2.8,5.25,1597.71,1502.93
I2,21/11/01,Sampdoria,Cittadella,2,1,H,0,1,A,1.52,3.2,5.8,1.4,3.4,6.0,,,,1.5,3.3,6.0,1538.99,1431.03
