Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,Unnamed: 25,Unnamed: 26,EloHome,EloAway
B1,13/10/01,St Truiden,Lokeren,1,0,H,1,0,H,,,,2.35,3.0,2.35,2.0,3.3,3.1,2.1,3.4,2.8,2.05,3.4,2.8,,,1516.96,1619.77
B1,13/10/01,Standard,Antwerp,4,2,H,2,1,H,,,,1.4,3.6,5.5,1.4,3.75,7.0,1.4,4.0,6.5,1.45,3.75,5.5,,,1617.63,1503.46
B1,14/10/01,Aalst,Lierse,0,2,A,0,0,D,,,,2.0,2.9,3.0,1.85,3.4,3.4,1.91,3.4,3.25,1.95,3.45,3.0,,,1483.73,1512.71
B1,14/10/01,Germinal,Club Brugge,1,2,A,0,1,A,,,,3.1,3.0,1.9,3.1,3.2,2.05,3.25,3.4,1.91,3.15,3.4,1.9,,,1577.55,1761.82
B1,20/10/01,Anderlecht,Charleroi,2,1,H,1,0,H,1.32,4.25,7.5,1.25,4.3,8.0,1.333,4.2,7.5,,,,1.3,4.3,7.3,,,1783.94,1507.74
B1,20/10/01,Antwerp,Molenbeek,1,2,A,0,1,A,1.7,3.4,4.2,1.6,3.3,4.0,1.667,3.5,4.2,,,,1.65,3.55,4.0,,,1497.82,1439.6
B1,20/10/01,Genk,Lommel,4,2,H,2,1,H,1.45,3.7,6.0,1.45,3.5,5.0,1.444,3.75,6.0,,,,1.4,3.75,6.5,,,1606.88,1477.97
B1,20/10/01,Lokeren,Mouscron,2,1,H,1,0,H,2.0,3.2,3.3,2.0,3.0,2.9,2.0,3.2,3.2,,,,1.85,3.4,3.3,,,1607.17,1551.87
B1,21/10/01,Beveren,St Truiden,3,2,H,0,0,D,2.5,3.15,2.45,2.35,3.0,2.35,2.5,3.2,2.4,,,,2.4,3.3,2.4,,,1397.03,1529.56
B1,21/10/01,Club Brugge,Aalst,3,0,H,2,0,H,1.15,4.65,9.0,1.25,4.3,8.0,1.364,3.75,8.0,,,,1.25,4.6,8.5,,,1771.35,1468.71
B1,21/10/01,Louvieroise,Standard,3,1,H,1,1,D,3.58,3.3,1.85,3.6,3.2,1.7,3.5,3.3,1.85,,,,,,,,,1429.86,1623.27
B1,21/10/01,Lierse,Gent,1,2,A,1,1,D,2.48,3.15,2.48,2.4,2.9,2.4,2.5,3.2,2.4,,,,2.45,3.3,2.35,,,1527.73,1666.27
B1,21/10/01,Westerlo,Germinal,1,2,A,0,0,D,1.9,3.25,3.5,1.85,3.0,3.3,1.909,3.25,3.4,,,,1.8,3.55,3.3,,,1561.57,1568.02
B1,27/10/01,Charleroi,Genk,0,3,A,0,2,A,2.6,3.05,2.45,2.6,3.0,2.2,2.5,3.25,2.4,2.5,3.2,2.4,2.3,3.3,2.5,,,1505.17,1612.16
B1,27/10/01,Germinal,Aalst,4,0,H,1,0,H,1.6,3.5,5.0,1.7,3.1,3.8,1.8,3.25,3.8,1.73,3.4,4.0,1.65,3.45,4.2,,,1583.81,1466.47
B1,27/10/01,Molenbeek,Louvieroise,1,0,H,0,0,D,1.85,3.3,3.6,1.9,3.0,3.1,1.8,3.4,3.6,1.8,3.4,3.6,,,,,,1457.43,1445.64
B1,27/10/01,St Truiden,Antwerp,3,1,H,1,0,H,1.7,3.4,4.15,1.75,3.1,3.6,1.73,3.4,4.0,1.67,3.4,4.33,1.65,3.55,4.0,,,1515.89,1479.99
B1,27/10/01,Standard,Anderlecht,1,0,H,0,0,D,2.55,3.05,2.5,2.35,3.0,2.35,2.5,3.25,2.4,2.4,3.4,2.4,2.5,3.3,2.37,,,1607.49,1786.51
B1,27/10/01,Westerlo,Lokeren,0,1,A,0,0,D,2.2,3.1,2.9,2.1,2.9,2.9,2.0,3.3,3.1,2.1,3.25,2.88,2.0,3.4,2.9,,,1545.78,1614.43
B1,28/10/01,Gent,Club Brugge,2,2,D,1,0,H,2.6,3.05,2.45,2.35,3.0,2.35,2.5,3.2,2.4,2.38,3.25,2.5,2.6,3.3,2.3,,,1677.39,1773.59
B1,28/10/01,Lommel,Lierse,2,2,D,2,1,H,2.2,3.15,2.85,2.3,2.9,2.5,2.1,3.25,2.9,2.1,3.4,2.8,2.1,3.35,2.75,,,1472.69,1516.61
B1,28/10/01,Mouscron,Beveren,3,0,H,1,0,H,1.65,3.4,4.3,1.55,3.3,4.5,1.62,3.5,4.5,1.62,3.5,4.5,1.65,3.55,4.0,,,1544.61,1410.7
B1,31/10/01,Lokeren,Charleroi,1,0,H,0,0,D,1.7,3.55,3.85,1.7,3.1,3.8,1.8,3.3,3.75,,,,1.7,3.5,3.8,,,1628.05,1492.92
B1,03/11/01,Anderlecht,Molenbeek,2,2,D,1,1,D,1.25,4.8,9.0,1.25,4.3,8.0,1.25,5.0,8.0,1.2,5.5,9.0,1.25,4.75,8.0,,,1771.22,1466.04
B1,03/11/01,Antwerp,Mouscron,2,1,H,1,1,D,2.25,3.2,2.7,2.3,3.0,2.4,2.2,3.4,2.62,2.2,3.4,2.62,2.2,3.4,2.6,,,1472.14,1549.77
B1,03/11/01,Beveren,Westerlo,1,1,D,1,0,H,2.45,3.1,2.55,2.6,3.0,2.2,2.4,3.2,2.5,2.4,3.4,2.4,2.25,3.4,2.5,,,1405.54,1532.16
B1,03/11/01,Lierse,Charleroi,1,2,A,1,1,D,1.75,3.5,3.8,1.7,3.1,3.8,1.83,3.4,3.5,1.83,3.4,3.5,1.8,3.5,3.4,,,1518.61,1487.79
B1,03/11/01,Lokeren,Germinal,3,2,H,1,0,H,1.8,3.4,3.6,1.8,3.0,3.5,1.85,3.4,3.4,1.91,3.25,3.4,1.8,3.4,3.5,,,1633.18,1589.37
B1,04/11/01,Aalst,Gent,1,3,A,0,2,A,3.4,3.25,1.9,3.1,3.0,1.9,3.25,3.3,1.95,3.0,3.4,2.0,3.4,3.5,1.8,,,1460.91,1677.25
B1,04/11/01,Club Brugge,Lommel,3,1,H,2,0,H,1.22,5.0,9.5,1.2,4.7,9.0,1.2,5.0,11.0,1.25,5.0,8.0,1.3,4.5,7.0,,,1773.73,1470.69
B1,04/11/01,Genk,Standard,1,1,D,0,1,A,1.73,3.55,3.8,1.8,3.0,3.5,1.83,3.4,3.5,1.8,3.4,3.6,1.75,3.5,3.6,,,1624.41,1622.78
