Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,LBH,LBD,LBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
SC2,08/09/01,Stranraer,Queen of Sth,2.0,2.0,D,2.0,1.0,H,896.0,Charlie Richmond,9.0,7.0,4.0,3.0,0.0,0.0,7.0,7.0,12.0,18.0,0.0,5.0,4.0,2.0,0.0,0.0,40.0,20.0,,,,,,,2.1,3.5,2.75,2.3,3.5,2.5,1235.79,1190.52
SC2,15/09/01,Alloa,Clydebank,1.0,0.0,H,1.0,0.0,H,626.0,J. D. K. Smith,6.0,11.0,3.0,4.0,0.0,0.0,6.0,6.0,12.0,13.0,3.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,,,,,,,2.1,3.5,2.75,2.2,3.5,2.62,1263.13,1223.55
SC2,15/09/01,Cowdenbeath,Queen of Sth,1.0,1.0,D,1.0,1.0,D,364.0,J. Gillmore,9.0,9.0,5.0,3.0,1.0,2.0,6.0,9.0,10.0,11.0,2.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,,,,,,,2.88,3.75,1.91,2.75,3.5,2.1,1227.75,1195.46
SC2,15/09/01,Morton,Forfar,1.0,3.0,A,1.0,1.0,D,1231.0,,14.0,11.0,6.0,6.0,1.0,0.0,3.0,1.0,8.0,14.0,3.0,5.0,1.0,1.0,0.0,0.0,10.0,10.0,,,,,,,1.83,3.5,3.4,1.83,3.6,3.3,1233.47,1169.71
SC2,15/09/01,Stenhousemuir,Hamilton,2.0,0.0,H,0.0,0.0,D,618.0,C Thompson,13.0,13.0,6.0,6.0,2.0,1.0,4.0,8.0,21.0,13.0,4.0,4.0,3.0,2.0,0.0,0.0,30.0,20.0,,,,,,,2.4,3.75,2.2,2.37,3.5,2.37,1177.65,1301.73
SC2,15/09/01,Stranraer,Berwick,0.0,2.0,A,0.0,2.0,A,422.0,R. Orr,12.0,9.0,4.0,2.0,1.0,1.0,6.0,4.0,8.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.62,3.75,4.0,1.8,3.6,3.4,1230.85,1192.11
SC2,18/09/01,Hamilton,Stranraer,0.0,1.0,A,0.0,0.0,D,1539.0,W. S. G. Young,18.0,12.0,8.0,3.0,0.0,0.0,10.0,3.0,13.0,5.0,2.0,4.0,1.0,1.0,0.0,0.0,10.0,10.0,,,,2.1,3.5,2.75,1.83,3.5,3.4,2.1,3.4,2.8,1288.37,1213.61
SC2,19/09/01,Clydebank,Cowdenbeath,3.0,2.0,H,1.0,1.0,D,151.0,G. T. Clyde,24.0,3.0,16.0,2.0,1.0,0.0,10.0,3.0,12.0,13.0,2.0,3.0,1.0,1.0,0.0,0.0,10.0,10.0,,,,,,,,,,,,,1215.82,1223.21
SC2,22/09/01,Alloa,Hamilton,2.0,1.0,H,2.0,1.0,H,645.0,I. Brines,9.0,10.0,8.0,6.0,0.0,1.0,10.0,4.0,19.0,16.0,4.0,2.0,2.0,3.0,0.0,0.0,20.0,30.0,,,,1.67,3.6,4.0,1.73,3.75,3.6,1.8,3.6,3.4,1270.86,1270.06
SC2,22/09/01,Berwick,Queen of Sth,0.0,4.0,A,0.0,1.0,A,460.0,I. G. Frickleton,7.0,15.0,2.0,7.0,0.0,0.0,2.0,2.0,24.0,16.0,1.0,3.0,3.0,2.0,1.0,0.0,55.0,20.0,,,,2.37,3.5,2.37,2.5,3.25,2.38,2.5,3.5,2.25,1209.35,1200.0
SC2,22/09/01,Morton,Cowdenbeath,0.0,2.0,A,0.0,1.0,A,1184.0,B. W. Cassidy,11.0,12.0,5.0,6.0,0.0,0.0,8.0,1.0,16.0,21.0,3.0,4.0,1.0,5.0,0.0,0.0,10.0,50.0,,,,1.83,3.5,3.4,1.8,3.6,3.4,2.0,3.4,3.0,1215.48,1213.97
SC2,22/09/01,Stenhousemuir,Clydebank,2.0,2.0,D,0.0,2.0,A,415.0,A Hunter,14.0,13.0,8.0,7.0,1.0,0.0,9.0,7.0,21.0,18.0,5.0,4.0,2.0,2.0,0.0,0.0,20.0,20.0,,,,2.37,3.5,2.37,2.38,3.5,2.38,2.37,3.5,2.37,1191.01,1225.06
SC2,22/09/01,Stranraer,Forfar,2.0,0.0,H,0.0,0.0,D,397.0,A. C. Gemmill,15.0,7.0,8.0,2.0,0.0,0.0,7.0,4.0,7.0,8.0,2.0,4.0,0.0,3.0,0.0,2.0,0.0,80.0,,,,1.91,3.5,3.2,2.1,3.5,2.75,2.1,3.5,2.75,1231.92,1187.7
SC2,29/09/01,Clydebank,Stranraer,1.0,3.0,A,0.0,2.0,A,250.0,E. D. Mack,7.0,7.0,4.0,3.0,0.0,0.0,4.0,10.0,19.0,12.0,1.0,1.0,5.0,0.0,0.0,0.0,50.0,0.0,,,,,,,1.83,3.75,3.2,2.1,3.5,2.75,1227.4,1239.51
SC2,29/09/01,Cowdenbeath,Stenhousemuir,1.0,1.0,D,0.0,0.0,D,354.0,C. Murray,18.0,7.0,6.0,4.0,0.0,0.0,5.0,5.0,10.0,8.0,10.0,3.0,1.0,1.0,0.0,1.0,10.0,35.0,,,,,,,2.5,3.6,2.25,2.6,3.5,2.2,1230.02,1188.67
