Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
N1,13/10/01,Heerenveen,AZ Alkmaar,2,1,H,1,1,D,,,,1.55,3.3,4.5,,,,1.67,3.4,4.33,1.7,3.5,3.8,1617.67,1508.4
N1,13/10/01,Waalwijk,Ajax,0,2,A,0,1,A,,,,2.8,3.0,2.1,,,,2.75,3.25,2.2,3.0,3.3,2.0,1594.73,1695.74
N1,14/10/01,Graafschap,Twente,4,2,H,1,1,D,,,,2.35,3.0,2.35,,,,2.2,3.25,2.75,2.1,3.3,2.8,1455.58,1549.13
N1,14/10/01,Feyenoord,Groningen,1,0,H,0,0,D,,,,1.25,4.3,8.0,,,,1.2,5.0,11.0,1.2,5.0,10.0,1672.4,1464.85
N1,14/10/01,NAC Breda,Den Bosch,0,0,D,0,0,D,,,,1.85,2.9,3.4,,,,1.62,3.6,4.33,1.75,3.5,3.6,1559.71,1489.15
N1,14/10/01,Nijmegen,Vitesse,1,0,H,0,0,D,,,,2.9,3.0,2.0,,,,2.8,3.4,2.1,2.8,3.3,2.1,1468.75,1688.72
N1,14/10/01,Utrecht,Willem II,3,1,H,2,1,H,,,,2.1,3.0,2.8,,,,1.91,3.4,3.25,1.9,3.4,3.2,1617.7,1594.1
N1,17/10/01,NAC Breda,Willem II,1,1,D,1,1,D,,,,,,,,,,,,,,,,1554.02,1585.87
N1,17/10/01,Vitesse,Groningen,1,0,H,0,0,D,1.33,4.3,7.55,1.3,4.0,7.0,,,,,,,1.35,3.75,8.0,1672.07,1461.21
N1,20/10/01,AZ Alkmaar,Feyenoord,1,3,A,1,3,A,3.05,3.15,2.1,3.3,3.0,1.85,,,,,,,3.1,3.3,1.95,1502.63,1676.04
N1,20/10/01,PSV Eindhoven,Graafschap,4,0,H,2,0,H,1.3,4.25,8.0,1.25,4.3,8.0,,,,,,,1.3,4.0,8.5,1769.66,1467.85
N1,20/10/01,Sparta,Roda JC,0,3,A,0,1,A,2.1,3.15,3.05,2.1,3.0,2.8,,,,,,,2.1,3.3,2.8,1433.48,1560.36
N1,20/10/01,Vitesse,NAC Breda,1,0,H,0,0,D,1.44,3.75,6.15,1.4,3.6,5.5,,,,,,,1.45,3.75,5.5,1675.65,1551.6
N1,20/10/01,Willem II,Waalwijk,3,1,H,1,1,D,1.85,3.2,3.7,1.9,3.0,3.1,,,,,,,1.8,3.3,3.6,1588.29,1582.27
N1,21/10/01,Den Bosch,Utrecht,1,1,D,0,0,D,2.2,3.15,2.85,2.3,2.9,2.5,,,,,,,2.35,3.25,2.5,1494.84,1625.93
N1,21/10/01,Groningen,Heerenveen,1,1,D,1,1,D,2.48,3.15,2.48,2.7,2.9,2.2,,,,,,,2.5,3.2,2.35,1457.63,1623.44
