Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
P1,07/10/01,Santa Clara,Boavista,0,2,A,0,1,A,,,,3.4,2.9,1.85,,,,,,,2.9,3.15,2.1,1383.18,1663.22
P1,12/10/01,Guimaraes,Boavista,2,0,H,2,0,H,,,,3.0,2.9,2.0,,,,,,,3.15,3.1,2.0,1418.75,1669.77
P1,13/10/01,Porto,Salgueiros,3,0,H,2,0,H,,,,1.25,4.3,8.0,,,,1.25,4.5,10.0,1.25,4.5,8.5,1677.08,1376.25
P1,13/10/01,Santa Clara,Pacos Ferreira,1,1,D,0,0,D,,,,2.1,2.9,2.9,,,,2.1,3.2,3.0,2.1,3.1,2.95,1376.63,1438.92
P1,13/10/01,Sp Braga,Sp Lisbon,2,1,H,0,0,D,,,,2.7,2.9,2.2,,,,2.8,3.0,2.3,2.65,3.15,2.25,1471.3,1585.49
P1,13/10/01,Leiria,Benfica,1,1,D,1,0,H,,,,2.7,2.9,2.2,,,,2.88,3.1,2.2,2.65,3.1,2.3,1529.33,1542.16
P1,14/10/01,Alverca,Setubal,1,1,D,0,1,A,,,,1.9,2.9,3.2,,,,1.91,3.1,3.6,1.8,3.2,3.75,1432.01,1397.69
P1,14/10/01,Gil Vicente,Varzim,1,0,H,1,0,H,,,,1.55,3.3,4.5,,,,1.73,3.2,4.33,1.65,3.25,4.5,1447.86,1382.02
P1,14/10/01,Farense,Maritimo,2,1,H,1,0,H,,,,2.2,2.9,2.7,,,,2.1,3.2,3.0,2.2,3.05,2.8,1391.38,1459.66
P1,15/10/01,Belenenses,Beira Mar,1,5,A,0,2,A,,,,1.65,3.1,4.0,,,,1.8,3.25,3.75,1.75,3.25,3.85,1466.01,1463.9
P1,19/10/01,Maritimo,Guimaraes,2,0,H,0,0,D,1.83,3.3,3.7,1.9,2.9,3.2,,,,,,,1.75,3.25,3.85,1448.3,1436.37
P1,20/10/01,Boavista,Sp Braga,3,0,H,1,0,H,1.32,4.25,7.5,1.35,3.8,6.2,,,,,,,1.45,3.5,6.1,1652.15,1484.31
P1,20/10/01,Porto,Belenenses,1,2,A,0,1,A,1.3,4.4,8.0,1.3,4.0,7.0,,,,,,,1.3,4.1,8.0,1679.34,1449.94
P1,20/10/01,Benfica,Gil Vicente,2,0,H,0,0,D,1.27,4.6,8.0,1.3,4.0,7.0,,,,,,,1.25,5.0,8.0,1545.23,1454.81
