Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,Unnamed: 25,Unnamed: 26,EloHome,EloAway
T1,24/11/01,Trabzonspor,Antalyaspor,2,0,H,0,0,D,1.52,3.5,5.25,1.45,3.5,5.0,1.57,3.3,5.0,,,,1.55,3.6,4.7,,,1515.14,1400.57
T1,25/11/01,Ankaragucu,Kocaelispor,2,0,H,1,0,H,2.25,3.15,2.7,2.2,3.0,2.6,2.3,3.2,2.6,,,,2.25,3.25,2.6,,,1483.19,1482.32
T1,25/11/01,Besiktas,Malatyaspor,3,1,H,1,1,D,1.15,5.75,11.5,1.15,5.5,11.0,1.15,5.5,12.0,,,,1.2,5.25,9.0,,,1608.12,1385.87
T1,25/11/01,Bursaspor,Rizespor,1,0,H,1,0,H,1.57,3.4,5.0,1.65,3.2,3.9,1.62,3.5,4.33,,,,1.5,3.5,5.5,,,1474.42,1434.35
T1,25/11/01,Gaziantepspor,Genclerbirligi,5,0,H,3,0,H,1.2,5.0,10.0,1.2,4.7,9.0,1.2,5.0,10.0,,,,1.25,4.6,8.5,,,1573.44,1431.5
T1,30/11/01,Galatasaray,Istanbulspor,4,1,H,1,0,H,1.3,4.2,8.0,1.45,3.5,5.0,1.36,3.75,7.0,1.36,4.0,7.0,1.4,3.7,6.5,,,1706.27,1466.41
T1,01/12/01,Denizlispor,Samsunspor,4,1,H,3,0,H,1.95,3.1,3.35,1.8,3.0,3.5,2.05,3.2,3.0,,,,2.05,3.2,3.0,,,1448.15,1466.62
T1,01/12/01,Kocaelispor,Gaziantepspor,0,0,D,0,0,D,1.97,3.1,3.3,2.1,3.0,2.8,1.9,3.25,3.3,1.91,3.25,3.4,1.85,3.25,3.45,,,1473.35,1578.41
T1,01/12/01,Rizespor,Diyarbakirspor,2,0,H,0,0,D,1.83,3.2,3.65,1.8,3.0,3.5,1.8,3.2,3.75,1.8,3.4,3.6,1.8,3.25,3.65,,,1426.63,1388.66
T1,01/12/01,Yozgatspor,Ankaragucu,0,2,A,0,1,A,2.25,3.1,2.75,2.3,3.0,2.4,2.25,3.25,2.6,2.2,3.2,2.8,2.3,3.25,2.5,,,1439.41,1492.16
T1,02/12/01,Antalyaspor,Bursaspor,3,0,H,2,0,H,2.35,3.0,2.65,2.2,3.0,2.6,2.3,3.2,2.6,2.3,3.2,2.62,2.4,3.2,2.45,,,1394.94,1482.14
T1,02/12/01,Fenerbahce,Besiktas,1,2,A,0,0,D,1.85,3.25,3.5,2.0,3.0,3.3,1.85,3.3,3.4,1.8,3.25,3.75,1.8,3.3,3.75,,,1692.47,1611.5
T1,02/12/01,Genclerbirligi,Goztep,0,1,A,0,0,D,1.9,3.2,3.4,2.0,2.9,3.0,1.85,3.25,3.5,,,,1.85,3.25,3.5,,,1426.53,1387.06
