Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,EloHome,EloAway
F2,15/09/01,Nimes,Niort,0,0,D,0,0,D,,,,2.5,2.6,2.6,,,,1444.19,1512.22
F2,15/09/01,St Etienne,Gueugnon,1,1,D,0,0,D,,,,2.0,2.8,3.1,,,,1509.33,1522.87
F2,16/09/01,Beauvais,Strasbourg,1,0,H,0,0,D,,,,2.3,2.7,2.7,,,,1527.34,1548.75
F2,21/09/01,Istres,Caen,0,3,A,0,1,A,,,,2.5,2.7,2.5,,,,1469.57,1471.91
F2,22/09/01,Amiens,Ajaccio,1,1,D,1,1,D,,,,2.2,2.8,2.8,,,,1473.0,1536.26
F2,22/09/01,Gueugnon,Wasquehal,1,2,A,0,0,D,,,,1.6,2.8,4.8,,,,1525.92,1442.18
F2,22/09/01,Laval,Chateauroux,2,1,H,1,1,D,,,,2.4,2.9,2.4,,,,1419.67,1523.91
F2,22/09/01,Le Havre,Le Mans,3,0,H,3,0,H,,,,1.9,2.7,3.5,,,,1513.3,1458.96
F2,22/09/01,Martigues,Grenoble,0,1,A,0,1,A,,,,2.1,2.7,3.1,,,,1409.18,1473.12
F2,22/09/01,Nice,St Etienne,1,1,D,0,1,A,,,,2.2,2.8,2.8,,,,1439.47,1506.28
F2,22/09/01,Nimes,Creteil,1,1,D,0,0,D,,,,2.3,2.6,2.8,,,,1443.04,1423.13
F2,23/09/01,Niort,Beauvais,0,0,D,0,0,D,,,,2.3,2.7,2.7,,,,1513.37,1537.06
F2,23/09/01,Strasbourg,Nancy,2,2,D,1,2,A,,,,1.45,3.2,5.5,,,,1539.03,1491.76
F2,28/09/01,Le Mans,Laval,0,3,A,0,1,A,,,,2.0,2.7,3.2,,,,1451.67,1432.32
F2,29/09/01,Ajaccio,Istres,1,1,D,0,0,D,,,,1.5,3.0,5.3,,,,1537.58,1453.65
F2,29/09/01,Beauvais,Nimes,1,3,A,1,2,A,,,,1.4,3.2,6.2,,,,1539.76,1438.89
F2,29/09/01,Caen,Le Havre,0,0,D,0,0,D,,,,1.85,2.8,3.5,,,,1487.83,1520.59
F2,29/09/01,Chateauroux,Martigues,2,3,A,2,2,D,,,,1.6,2.9,4.6,,,,1511.26,1395.39
F2,29/09/01,Creteil,Nice,0,2,A,0,1,A,,,,1.85,2.8,3.5,,,,1427.28,1438.28
F2,29/09/01,Grenoble,Gueugnon,0,0,D,0,0,D,,,,2.0,2.8,3.1,,,,1486.91,1507.36
F2,29/09/01,Nancy,Niort,2,0,H,0,0,D,,,,1.9,2.8,3.3,,,,1496.76,1510.67
F2,29/09/01,Wasquehal,Amiens,0,0,D,0,0,D,,,,2.4,2.7,2.6,,,,1460.74,1471.68
F2,30/09/01,St Etienne,Strasbourg,1,1,D,0,1,A,,,,2.4,2.7,2.6,,,,1507.47,1534.03
F2,04/10/01,Nimes,Nancy,2,2,D,0,0,D,,,,,,,,,,1457.91,1506.22
F2,05/10/01,Beauvais,St Etienne,3,0,H,1,0,H,,,,2.0,2.6,3.3,,,,1520.74,1504.87
F2,05/10/01,Gueugnon,Amiens,2,1,H,0,0,D,,,,2.0,2.6,3.3,,,,1510.17,1474.82
F2,05/10/01,Istres,Le Mans,0,1,A,0,1,A,,,,2.0,2.6,3.3,,,,1459.71,1435.04
F2,05/10/01,Laval,Creteil,2,1,H,1,0,H,,,,1.75,2.8,4.0,,,,1448.95,1411.65
F2,05/10/01,Le Havre,Wasquehal,1,0,H,0,0,D,,,,1.7,2.8,4.2,,,,1522.98,1457.6
F2,05/10/01,Martigues,Ajaccio,0,1,A,0,1,A,,,,2.6,2.6,2.5,,,,1414.79,1531.52
F2,05/10/01,Nice,Grenoble,4,1,H,1,0,H,,,,1.9,2.6,3.6,,,,1453.91,1484.1
F2,05/10/01,Niort,Chateauroux,1,2,A,1,1,D,,,,2.0,2.6,3.3,,,,1501.21,1491.86
F2,05/10/01,Strasbourg,Caen,3,1,H,2,1,H,,,,1.8,2.7,3.9,,,,1536.63,1485.44
F2,12/10/01,Ajaccio,Gueugnon,1,1,D,0,0,D,,,,1.9,2.7,3.5,1.8,3.0,4.33,1543.42,1518.03
F2,12/10/01,Grenoble,Istres,0,5,A,0,2,A,,,,1.7,2.9,4.0,1.67,3.2,4.5,1474.08,1442.91
F2,12/10/01,Le Mans,Nice,1,0,H,0,0,D,,,,2.2,2.6,3.0,2.1,2.9,3.25,1451.84,1463.93
F2,12/10/01,Wasquehal,Laval,0,2,A,0,0,D,,,,2.1,2.8,3.0,2.2,2.8,3.2,1450.64,1456.75
F2,13/10/01,Amiens,Martigues,4,0,H,1,0,H,,,,1.8,2.7,3.9,1.73,3.1,4.5,1466.96,1402.89
F2,13/10/01,Caen,Niort,2,1,H,0,0,D,,,,1.65,2.8,4.6,1.8,3.1,4.0,1478.06,1484.9
F2,13/10/01,Chateauroux,Nimes,0,0,D,0,0,D,,,,1.85,2.7,3.9,1.73,3.1,4.5,1508.17,1456.06
F2,13/10/01,Creteil,Strasbourg,0,0,D,0,0,D,,,,2.8,2.6,2.3,2.88,2.8,2.38,1403.85,1544.01
F2,13/10/01,Nancy,Beauvais,2,2,D,1,0,H,,,,2.2,2.6,3.0,2.2,2.88,3.1,1508.07,1529.22
F2,13/10/01,St Etienne,Le Havre,0,1,A,0,1,A,,,,2.2,2.6,3.0,2.2,2.8,3.2,1496.39,1529.94
F2,19/10/01,Istres,Wasquehal,2,1,H,0,0,D,1.9,2.9,3.7,2.0,2.8,3.1,,,,1459.92,1434.84
F2,19/10/01,Strasbourg,Le Mans,2,0,H,1,0,H,1.47,3.3,6.3,1.45,3.3,5.5,,,,1542.57,1461.24
F2,20/10/01,Beauvais,Grenoble,1,0,H,0,0,D,1.6,3.1,5.2,1.5,3.2,5.0,,,,1532.01,1457.07
F2,20/10/01,Laval,St Etienne,1,1,D,0,0,D,1.85,2.9,3.9,1.75,2.9,3.8,,,,1472.55,1481.53
F2,20/10/01,Le Havre,Amiens,2,1,H,0,0,D,1.8,3.0,4.0,2.0,2.7,3.3,,,,1544.8,1473.96
F2,20/10/01,Martigues,Gueugnon,2,0,H,0,0,D,2.55,2.65,2.7,2.5,2.7,2.5,,,,1395.89,1522.36
F2,20/10/01,Nancy,Chateauroux,2,0,H,0,0,D,2.0,2.85,3.45,2.0,2.8,3.1,,,,1505.28,1503.02
F2,20/10/01,Nice,Ajaccio,3,1,H,2,0,H,2.45,2.7,2.75,2.5,2.7,2.5,,,,1454.53,1539.09
F2,20/10/01,Nimes,Caen,2,2,D,0,1,A,2.45,2.6,2.9,2.5,2.6,2.6,,,,1461.21,1487.29
F2,20/10/01,Niort,Creteil,1,1,D,1,0,H,1.8,2.9,4.2,1.9,2.8,3.4,,,,1475.67,1405.29
F2,24/10/01,Wasquehal,Martigues,2,1,H,2,1,H,,,,,,,,,,1426.66,1409.34
F2,26/10/01,Grenoble,Nimes,1,1,D,0,0,D,2.0,2.75,3.7,2.1,2.7,3.1,,,,1450.38,1458.59
F2,27/10/01,Ajaccio,Strasbourg,2,1,H,1,0,H,2.35,2.7,2.95,2.3,2.7,2.7,,,,1527.15,1549.08
F2,27/10/01,Amiens,Laval,1,1,D,0,0,D,2.05,2.8,3.5,2.0,2.8,3.1,,,,1467.15,1469.35
F2,27/10/01,Chateauroux,Beauvais,0,0,D,0,0,D,2.4,2.65,2.95,2.3,2.8,2.6,,,,1494.1,1538.7
F2,27/10/01,Creteil,Istres,1,1,D,1,0,H,2.25,2.7,3.15,2.2,2.7,2.9,,,,1410.97,1468.1
F2,27/10/01,Gueugnon,Le Havre,1,1,D,0,1,A,2.25,2.7,3.15,2.1,2.7,3.1,,,,1508.91,1551.61
F2,27/10/01,Le Mans,Niort,3,1,H,1,0,H,2.0,2.7,3.8,2.1,2.7,3.1,,,,1454.73,1469.99
F2,27/10/01,St Etienne,Martigues,1,0,H,0,0,D,1.82,2.9,4.2,1.8,2.8,3.8,,,,1484.73,1400.91
F2,28/10/01,Caen,Nancy,1,0,H,0,0,D,1.85,2.9,4.05,1.9,2.7,3.6,,,,1489.91,1514.2
F2,28/10/01,Wasquehal,Nice,1,1,D,1,1,D,2.4,2.7,2.9,2.3,2.7,2.7,,,,1435.09,1466.47
F2,31/10/01,Strasbourg,Nimes,1,0,H,0,0,D,1.45,3.4,6.6,1.4,3.0,7.0,,,,1539.34,1461.82
F2,08/11/01,Beauvais,Caen,1,1,D,0,0,D,1.97,2.9,3.55,1.85,2.8,3.5,1.91,2.88,4.0,1540.68,1499.73
F2,09/11/01,Chateauroux,Creteil,1,0,H,1,0,H,1.7,3.0,4.85,1.65,2.9,4.4,1.67,3.1,5.0,1492.12,1409.44
F2,09/11/01,Istres,Amiens,1,2,A,0,0,D,2.3,2.7,3.1,2.2,2.8,2.8,2.2,2.8,3.2,1469.63,1463.72
F2,09/11/01,Laval,Ajaccio,2,1,H,0,0,D,2.35,2.75,2.95,2.3,2.8,2.6,2.25,2.8,3.1,1472.78,1536.89
F2,09/11/01,Le Havre,Martigues,5,0,H,2,0,H,1.5,3.3,6.25,1.45,3.3,5.5,1.5,3.25,6.5,1553.65,1394.47
F2,09/11/01,Nancy,Grenoble,1,0,H,0,0,D,1.75,3.0,4.5,1.7,2.9,4.0,1.73,3.1,4.5,1504.38,1447.15
F2,09/11/01,Nice,Gueugnon,3,0,H,2,0,H,2.0,2.75,3.8,1.9,2.8,3.4,2.0,2.88,3.6,1468.91,1506.87
F2,09/11/01,Nimes,Le Mans,1,0,H,0,0,D,2.3,2.55,3.3,2.3,2.6,2.8,2.2,2.6,3.5,1455.2,1464.24
F2,09/11/01,Niort,St Etienne,0,2,A,0,1,A,2.25,2.65,3.25,2.3,2.6,2.8,2.2,2.75,3.25,1460.48,1491.17
F2,09/11/01,Strasbourg,Wasquehal,1,0,H,1,0,H,1.37,3.75,7.6,1.35,3.5,7.0,1.4,3.75,7.0,1545.96,1432.65
F2,13/11/01,Ajaccio,Le Havre,3,0,H,1,0,H,2.0,2.85,3.6,2.1,2.6,3.2,,,,1525.68,1558.24
F2,13/11/01,Caen,Chateauroux,1,1,D,0,0,D,1.8,2.95,4.3,1.8,2.8,3.7,,,,1504.54,1498.59
F2,13/11/01,Creteil,Nancy,1,3,A,1,3,A,2.35,2.75,2.95,2.5,2.6,2.6,,,,1402.97,1511.58
F2,13/11/01,Grenoble,Strasbourg,0,3,A,0,2,A,2.7,2.85,2.45,2.7,2.7,2.3,,,,1439.95,1551.62
F2,13/11/01,Gueugnon,Istres,1,1,D,0,1,A,1.8,2.95,4.3,1.85,2.8,3.5,,,,1496.58,1453.43
F2,13/11/01,Le Mans,Beauvais,2,2,D,0,0,D,2.45,2.85,2.7,2.4,2.7,2.6,,,,1454.94,1535.87
