Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
E2,27/08/01,Stoke,Tranmere,1,2,A,0,1,A,12031.0,S. J. Baines,16,8,4,5,0,0,12,6,12,20,0,6,0,4,0,0,0,40,,,,1.7,3.1,3.8,1.73,3.5,4.0,,,,1.73,3.5,4.0,1.72,3.25,4.33,1439.32,1273.31
E2,27/08/01,Wycombe,QPR,1,0,H,0,0,D,9217.0,D. J. Gallagher ,9,6,6,4,0,0,6,4,7,14,5,5,1,0,0,0,10,0,,,,2.35,3.0,2.35,2.37,3.2,2.6,,,,2.38,3.4,2.5,,,,1329.62,1370.64
E2,28/08/01,Oldham,Northampton,4,2,H,2,0,H,4941.0,F. G. Stretton ,19,14,11,9,0,0,7,9,12,14,0,3,0,0,0,0,0,0,,,,1.8,3.1,3.4,1.73,3.25,4.33,,,,1.8,3.4,3.75,1.83,3.3,3.75,1350.94,1259.11
E2,30/08/01,QPR,Bristol City,0,0,D,0,0,D,11655.0,L. E. Cable ,9,9,4,4,0,1,4,9,14,11,0,3,2,0,1,0,45,0,,,,2.1,3.0,2.8,2.37,3.2,2.6,2.25,3.25,2.75,2.38,3.2,2.62,,,,1360.24,1409.74
E2,31/08/01,Northampton,Brighton,2,0,H,1,0,H,5408.0,R. D. Furnandiz,12,12,5,5,1,0,4,6,7,11,4,3,1,3,0,0,10,30,,,,2.8,3.0,2.1,3.25,3.25,2.0,3.0,3.25,2.1,2.88,3.4,2.1,3.0,3.25,2.1,1252.89,1383.57
E2,01/09/01,Cambridge,Bournemouth,2,2,D,0,0,D,2754.0,P. J. Joslin,10,18,4,7,1,0,7,7,11,14,0,1,2,1,0,0,20,10,,,,2.3,3.0,2.4,2.37,3.2,2.62,2.25,3.25,2.75,2.38,3.25,2.6,2.37,3.2,2.62,1265.49,1398.13
E2,01/09/01,Chesterfield,Peterboro,0,1,A,0,0,D,3555.0,M. Ryan,8,11,5,7,0,0,8,7,8,18,7,7,1,4,0,0,10,40,,,,2.1,3.0,2.8,2.2,3.25,2.87,2.2,3.25,2.8,2.2,3.25,2.8,2.1,3.25,3.0,1306.73,1317.89
E2,01/09/01,Port Vale,Reading,0,2,A,0,1,A,5196.0,M. S. Pike,6,15,2,7,0,1,1,5,9,14,3,4,1,4,0,0,10,40,,,,2.35,3.0,2.35,2.62,3.2,2.37,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.2,2.5,1354.9,1478.55
E2,01/09/01,Swindon,Colchester,1,0,H,0,0,D,4889.0,R. J. Harris,11,7,4,4,0,0,5,6,16,15,2,2,1,2,0,0,10,20,,,,2.3,3.0,2.4,2.37,3.4,2.5,2.3,3.2,2.7,2.38,3.25,2.6,2.3,3.3,2.62,1300.48,1353.2
E2,01/09/01,Tranmere,Oldham,2,2,D,1,1,D,8716.0,M. Fletcher,11,9,6,4,1,0,7,1,27,26,3,3,5,6,0,0,50,60,,,,1.9,3.0,3.1,1.91,3.4,3.4,1.91,3.25,3.5,1.91,3.2,3.6,1.8,3.2,4.0,1293.86,1357.16
E2,02/09/01,Huddersfield,Wycombe,2,1,H,1,1,D,9750.0,A. R. Leake,17,9,10,5,0,0,4,2,12,16,3,5,0,3,0,0,0,30,,,,1.65,3.2,3.8,1.67,3.4,4.5,1.62,3.4,5.0,1.57,3.6,5.0,1.66,3.4,4.5,1427.93,1340.02
E2,08/09/01,Bournemouth,Swindon,0,0,D,0,0,D,3770.0,R. J. Beeby,11,10,3,3,0,0,3,9,11,10,4,2,3,1,0,0,30,10,,,,2.1,3.0,2.8,2.1,3.25,3.0,2.2,3.25,2.8,2.25,3.4,2.62,2.2,3.25,2.8,1396.96,1311.29
E2,08/09/01,Brentford,Tranmere,4,0,H,1,0,H,5211.0,P. Walton,15,5,9,3,1,0,9,5,24,15,5,3,1,0,0,0,10,0,,,,1.9,3.1,3.0,1.8,3.4,3.75,2.0,3.25,3.25,2.1,3.4,2.88,2.0,3.25,3.25,1351.94,1292.54
E2,08/09/01,Brighton,QPR,2,1,H,0,0,D,6820.0,W. M. Jordan,14,9,4,4,1,1,9,4,10,21,8,3,0,3,0,0,0,30,,,,2.1,3.0,2.8,2.1,3.25,3.0,2.1,3.2,3.1,2.1,3.4,2.88,,,,1369.97,1358.44
E2,08/09/01,Bristol City,Port Vale,1,1,D,0,1,A,12560.0,A. R. Hall,10,7,7,3,0,0,11,1,12,13,2,1,1,1,0,0,10,10,,,,1.6,3.3,4.0,1.57,3.5,5.0,1.62,3.4,5.0,1.62,3.6,4.5,1.61,3.4,5.0,1411.54,1343.25
E2,08/09/01,Bury,Wigan,0,2,A,0,1,A,4175.0,R. Pearson,10,12,1,9,0,1,9,6,13,11,3,5,1,4,0,0,10,40,,,,2.4,2.9,2.4,2.75,3.25,2.25,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.2,2.5,1292.64,1381.08
E2,08/09/01,Colchester,Northampton,3,1,H,3,0,H,3705.0,P. Rejer,10,8,6,4,0,0,0,2,7,20,4,2,1,4,1,0,35,40,,,,1.7,3.2,3.6,1.67,3.4,4.5,1.67,3.4,4.5,1.67,3.5,4.33,1.72,3.25,4.33,1342.39,1266.49
E2,08/09/01,Notts County,Wrexham,2,2,D,2,1,H,4776.0,A. Bates,13,14,5,8,0,0,7,4,12,16,2,1,2,2,0,0,20,20,,,,1.6,3.3,4.0,1.67,3.4,4.5,1.67,3.4,4.5,1.67,3.5,4.33,1.66,3.4,4.5,1379.7,1337.78
E2,08/09/01,Oldham,Blackpool,2,1,H,1,0,H,6650.0,M. Ryan,9,9,5,5,0,0,6,6,9,17,5,2,5,3,0,1,50,55,,,,1.8,3.1,3.4,1.8,3.25,4.0,1.8,3.25,4.0,1.8,3.4,3.75,1.8,3.4,3.75,1358.48,1281.37
E2,08/09/01,Peterboro,Cambridge,1,0,H,0,0,D,8656.0,U. D. Rennie,18,2,4,1,1,0,9,7,15,15,3,4,1,2,0,0,10,20,,,,1.9,3.1,3.0,1.8,3.25,4.0,1.91,3.25,3.5,1.83,3.4,3.6,2.0,3.25,3.25,1333.52,1266.66
E2,08/09/01,Reading,Cardiff,1,2,A,1,2,A,13017.0,D. Pugh,10,5,3,2,2,2,11,6,19,24,3,8,3,6,1,0,55,60,,,,1.65,3.2,3.8,1.73,3.25,4.33,1.73,3.25,4.33,1.67,3.5,4.33,1.66,3.4,4.5,1490.2,1329.61
E2,08/09/01,Stoke,Huddersfield,1,1,D,0,1,A,13319.0,C. Webster,10,8,4,7,0,0,13,2,17,17,1,2,0,3,0,0,0,30,,,,2.3,3.0,2.4,2.25,3.25,2.75,2.25,3.25,2.75,2.25,3.4,2.62,2.2,3.25,2.8,1418.77,1434.26
E2,08/09/01,Wycombe,Chesterfield,0,0,D,0,0,D,5644.0,K. D. Hill,10,7,6,4,0,0,2,9,14,13,3,5,2,4,0,0,20,40,,,,1.65,3.2,3.8,1.67,3.4,4.5,1.62,3.4,5.0,1.57,3.6,5.0,1.66,3.4,4.5,1333.69,1291.1
E2,11/09/01,Wrexham,Bury,1,0,H,0,0,D,2470.0,M. A. Cooper,9,9,6,5,0,0,11,10,13,9,6,4,3,5,0,0,30,50,,,,1.8,3.1,3.4,1.73,3.25,4.33,1.8,3.25,4.0,1.73,3.5,4.0,1.8,3.4,3.75,1342.62,1279.72
E2,14/09/01,Wrexham,Brighton,1,2,A,0,0,D,3434.0,G. Laws,10,5,6,0,0,0,7,4,16,19,2,3,2,3,0,0,20,30,,,,2.35,3.0,2.35,2.62,3.2,2.37,2.4,3.2,2.6,,,,2.5,3.2,2.5,1349.65,1378.59
E2,15/09/01,Bournemouth,Bury,3,2,H,2,2,D,3004.0,P. Walton,10,8,5,2,0,0,2,5,9,17,8,1,1,3,0,0,10,30,,,,1.9,3.0,3.1,1.73,3.25,4.33,1.83,3.25,3.75,1.8,3.4,3.75,1.9,3.3,3.5,1390.85,1272.69
E2,15/09/01,Bristol City,Colchester,3,1,H,1,1,D,9992.0,R. J. Olivier,9,7,4,2,0,1,7,10,10,11,4,2,1,2,0,0,10,20,,,,1.7,3.2,3.6,1.67,3.4,4.5,1.73,3.25,4.33,1.67,3.5,4.33,1.66,3.4,4.5,1405.92,1349.05
E2,15/09/01,Cambridge,Cardiff,2,1,H,1,0,H,3454.0,F. G. Stretton,14,12,7,7,0,1,4,7,10,13,1,1,2,3,0,0,20,30,,,,2.6,3.0,2.2,3.0,3.25,2.1,3.0,3.25,2.1,2.8,3.25,2.2,2.87,3.2,2.2,1259.74,1350.05
E2,15/09/01,Huddersfield,Blackpool,2,4,A,1,2,A,10691.0,P. J. Joslin,8,8,4,6,0,0,6,7,15,12,1,2,3,1,0,0,30,10,,,,1.5,3.5,4.5,1.5,3.6,6.0,1.53,3.4,6.0,1.53,3.5,5.5,1.57,3.4,5.5,1437.24,1274.74
E2,15/09/01,Northampton,Chesterfield,0,2,A,0,1,A,4535.0,M. J. Jones,6,11,2,6,0,1,1,6,14,11,0,8,4,2,1,0,65,20,,,,2.0,3.0,2.9,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.25,3.0,1259.83,1295.96
E2,15/09/01,Notts County,Brentford,0,0,D,0,0,D,5043.0,S. W. Mathieson,10,6,4,2,0,0,5,8,5,13,3,3,0,0,0,0,0,0,,,,2.2,3.0,2.6,2.37,3.2,2.62,2.3,3.2,2.7,2.25,3.25,2.75,2.1,3.25,3.0,1374.86,1359.08
E2,15/09/01,Oldham,Peterboro,2,0,H,0,0,D,4855.0,A. R. Leake,13,13,9,7,0,0,7,1,9,13,2,6,0,1,0,0,0,10,,,,1.8,3.1,3.4,1.8,3.25,4.0,1.8,3.25,4.0,1.8,3.4,3.75,1.72,3.3,4.33,1365.11,1340.44
E2,15/09/01,QPR,Port Vale,4,1,H,0,0,D,9295.0,P. Samson,17,6,7,3,0,0,4,1,11,14,1,3,1,1,0,1,10,35,,,,1.75,3.2,3.5,1.73,3.25,4.33,1.83,3.25,3.75,1.83,3.4,3.6,,,,1349.82,1348.87
E2,15/09/01,Stoke,Reading,2,0,H,2,0,H,11752.0,E. K. Wolstenholme,14,9,10,3,1,1,10,7,14,10,10,6,1,2,0,0,10,20,,,,2.35,3.0,2.35,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.37,3.2,2.62,1415.79,1469.76
