Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
F1,22/09/01,Metz,Lyon,2,0,H,1,0,H,,,,2.7,2.7,2.3,2.75,3.2,2.25,2.75,3.1,2.3,,,,3.1,2.87,2.2,1637.86,1836.35
F1,22/09/01,Monaco,Lens,3,0,H,1,0,H,,,,2.1,2.8,3.0,2.4,3.25,2.5,2.25,3.1,2.8,,,,2.2,3.0,3.0,1651.86,1716.07
F1,22/09/01,Rennes,Troyes,0,1,A,0,0,D,,,,1.75,3.1,3.6,1.73,3.2,4.33,1.9,3.1,3.6,,,,1.83,3.2,3.75,1657.01,1644.37
F1,23/09/01,Lorient,Bordeaux,0,2,A,0,0,D,,,,2.5,2.7,2.5,2.5,3.2,2.5,2.38,3.0,2.75,,,,2.37,3.0,2.7,1667.33,1734.84
F1,23/09/01,Sochaux,Sedan,3,0,H,1,0,H,,,,2.0,2.7,3.2,1.8,3.2,4.0,1.91,3.1,3.6,,,,1.9,3.0,3.75,1703.97,1678.67
F1,29/09/01,Bastia,Monaco,1,0,H,1,0,H,,,,2.4,2.8,2.5,2.25,3.2,2.75,2.2,3.0,3.0,,,,2.37,2.87,2.8,1637.64,1663.08
F1,29/09/01,Guingamp,Marseille,1,0,H,1,0,H,,,,2.1,2.7,3.1,2.25,3.2,2.75,2.1,3.0,3.2,,,,2.25,2.87,3.0,1641.35,1638.03
F1,29/09/01,Lens,Auxerre,1,1,D,1,1,D,,,,2.1,2.7,3.1,2.1,3.0,3.2,2.0,3.0,3.4,,,,1.9,2.87,4.0,1704.85,1684.04
F1,29/09/01,Lyon,Rennes,4,0,H,3,0,H,,,,1.5,3.2,5.0,1.44,3.6,6.5,1.44,3.6,6.5,,,,1.44,3.5,7.0,1820.4,1640.59
F1,29/09/01,Montpellier,Lorient,1,3,A,0,2,A,,,,1.8,2.8,3.8,2.1,3.0,3.2,1.91,3.2,3.5,,,,1.9,2.87,4.0,1629.17,1653.66
