Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
D2,21/09/01,Karlsruhe,Bielefeld,0,1,A,0,0,D,9200,Peter Sippel,1.0,4.0,1.0,4.0,0.0,0.0,5.0,9.0,17.0,15.0,2.0,2.0,3,4,0,0,30,40,,,,2.2,2.9,2.7,,,,,,,2.35,3.1,2.55,1445.28,1514.26
D2,21/09/01,Unterhaching,Reutlingen,3,2,H,0,1,A,6500,Alfons Berg,12.0,8.0,8.0,3.0,1.0,0.0,7.0,9.0,13.0,15.0,1.0,0.0,0,2,0,1,0,45,,,,1.75,3.1,3.6,,,,,,,1.65,3.3,4.4,1533.57,1476.0
D2,22/09/01,Bochum,Babelsberg,4,1,H,2,0,H,10773,Babak Rafati,13.0,6.0,9.0,4.0,1.0,0.0,10.0,5.0,5.0,2.0,1.0,2.0,0,2,0,0,0,20,,,,1.55,3.3,4.5,,,,,,,1.5,3.45,5.5,1510.65,1491.34
D2,22/09/01,Mainz,Ahlen,5,1,H,3,1,H,6258,Uwe Kemmling,16.0,6.0,11.0,3.0,1.0,0.0,4.0,1.0,12.0,17.0,3.0,1.0,1,1,0,1,10,35,,,,1.9,2.9,3.2,,,,,,,1.85,3.25,3.45,1514.53,1557.79
D2,23/09/01,Aachen,Mannheim,1,0,H,1,0,H,10000,Hellmut Krug,13.0,4.0,5.0,2.0,0.0,0.0,8.0,1.0,23.0,25.0,3.0,1.0,3,4,0,3,30,115,,,,2.2,2.9,2.7,,,,,,,2.25,3.1,2.7,1449.72,1544.25
D2,23/09/01,Greuther Furth,Saarbrucken,3,1,H,0,1,A,5250,Volker Wezel,15.0,9.0,9.0,3.0,0.0,0.0,5.0,5.0,15.0,24.0,0.0,0.0,0,5,0,1,0,75,,,,1.7,3.1,3.8,,,,,,,1.6,3.3,4.8,1560.56,1459.22
D2,23/09/01,Union Berlin,Schweinfurt,3,0,H,2,0,H,8199,Peter Lange,10.0,4.0,4.0,3.0,0.0,0.0,5.0,6.0,7.0,17.0,0.0,3.0,2,3,0,0,20,30,,,,1.5,3.4,4.7,,,,,,,1.55,3.4,5.0,1508.45,1483.52
D2,24/09/01,Duisburg,Ein Frankfurt,1,1,D,0,1,A,5000,Michael Weiner,22.0,8.0,7.0,5.0,0.0,0.0,7.0,5.0,20.0,24.0,4.0,12.0,2,3,0,1,20,55,,,,2.7,2.9,2.2,,,,,,,2.85,3.1,2.15,1431.01,1550.35
D2,28/09/01,Bielefeld,Duisburg,2,2,D,1,2,A,11000,Lutz Wagner,12.0,8.0,6.0,5.0,0.0,1.0,4.0,8.0,20.0,13.0,3.0,1.0,0,2,0,0,0,20,,,,1.55,3.3,4.5,,,,,,,1.5,3.6,5.2,1527.87,1431.71
D2,28/09/01,Oberhausen,Karlsruhe,1,2,A,1,1,D,3000,Manuel Gräfe ,17.0,7.0,9.0,5.0,1.0,0.0,5.0,1.0,9.0,11.0,3.0,2.0,2,2,0,0,20,20,,,,2.1,2.9,2.9,,,,,,,2.15,3.15,2.8,1432.34,1431.67
D2,28/09/01,Reutlingen,Bochum,3,0,H,1,0,H,7000,Stefan Weber,16.0,13.0,6.0,7.0,0.0,1.0,7.0,3.0,14.0,9.0,3.0,2.0,1,3,0,1,10,55,,,,2.4,2.9,2.4,,,,,,,2.85,3.1,2.15,1468.81,1519.02
D2,29/09/01,Mannheim,Unterhaching,0,1,A,0,1,A,4600,Christian Schüssling ,8.0,5.0,3.0,2.0,0.0,0.0,1.0,3.0,10.0,6.0,3.0,0.0,1,0,0,0,10,0,,,,2.0,2.9,3.0,,,,,,,2.1,3.15,2.9,1531.95,1540.76
