Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
F1,06/09/00,Nantes,Bordeaux,0,5,A,0,2,A,1.95,3.2,3.4,1.9,2.9,3.2,,,,1.9,3.25,3.5,1.9,3.1,3.65,1684.67,1716.34
F1,06/09/00,St Etienne,Lyon,2,2,D,1,2,A,2.0,3.0,3.45,2.1,2.8,3.0,,,,2.1,3.2,3.1,2.25,2.8,3.1,1677.95,1719.26
F1,06/09/00,Troyes,Paris SG,5,3,H,1,2,A,3.1,3.0,2.15,2.9,2.9,2.1,,,,3.0,3.0,2.2,3.15,2.85,2.2,1621.43,1725.87
F1,09/09/00,Auxerre,Nantes,2,2,D,0,1,A,1.85,3.1,3.5,1.8,3.0,3.5,,,,1.83,3.25,3.75,1.83,3.2,3.75,1631.27,1669.74
F1,09/09/00,Bordeaux,Guingamp,0,2,A,0,1,A,1.5,3.3,6.0,1.5,3.2,5.0,,,,1.44,3.6,7.0,1.4,3.6,7.5,1731.27,1614.82
F1,09/09/00,Lille,Troyes,1,2,A,1,2,A,1.66,3.2,4.5,1.6,3.2,4.2,,,,1.75,3.4,4.0,1.61,3.5,4.5,1712.94,1634.09
F1,09/09/00,Lyon,Lens,3,0,H,0,0,D,2.0,3.15,3.1,2.0,2.8,3.1,,,,2.1,3.1,3.2,1.9,3.2,3.5,1721.35,1742.46
F1,09/09/00,Paris SG,St Etienne,5,1,H,1,0,H,1.47,3.3,6.4,1.4,3.6,5.5,,,,1.53,3.5,5.5,1.57,3.5,5.0,1713.21,1675.86
F1,09/09/00,Rennes,Metz,0,1,A,0,1,A,1.8,3.15,3.75,1.85,2.8,3.5,,,,1.83,3.1,4.0,1.72,3.2,4.33,1649.95,1676.87
F1,09/09/00,Sedan,Monaco,1,0,H,0,0,D,2.5,3.1,2.35,2.4,2.9,2.4,,,,2.63,3.1,2.4,2.7,3.0,2.37,1666.69,1750.82
F1,09/09/00,Strasbourg,Bastia,1,4,A,1,1,D,2.2,3.1,2.75,2.1,2.9,2.9,,,,2.25,3.2,2.8,2.37,3.1,2.62,1613.85,1677.04
F1,10/09/00,Toulouse,Marseille,2,0,H,2,0,H,2.65,3.0,2.3,2.45,2.8,2.45,,,,2.8,3.1,2.3,2.8,2.9,2.37,1573.55,1700.07
F1,16/09/00,Bastia,Rennes,0,2,A,0,0,D,1.5,3.55,5.1,1.6,3.2,4.2,,,,1.57,3.4,5.5,1.53,3.6,5.0,1690.86,1634.86
F1,16/09/00,Guingamp,Auxerre,1,0,H,1,0,H,2.35,3.15,2.65,2.3,2.8,2.6,,,,2.38,3.2,2.63,2.37,3.1,2.62,1634.24,1629.08
F1,16/09/00,Lens,Paris SG,1,1,D,0,0,D,2.15,3.15,3.0,2.2,2.8,2.8,,,,2.25,3.1,2.88,2.25,3.1,2.8,1732.75,1721.01
F1,16/09/00,Marseille,Bordeaux,0,1,A,0,0,D,1.85,3.3,3.5,1.85,2.9,3.4,,,,1.91,3.2,3.6,1.72,3.4,4.0,1686.62,1711.85
F1,16/09/00,Metz,Sedan,1,0,H,0,0,D,1.8,3.3,3.5,1.7,3.1,3.8,,,,1.73,3.25,4.33,1.8,3.3,3.75,1691.96,1678.62
F1,16/09/00,Monaco,Toulouse,3,0,H,2,0,H,1.35,3.85,6.5,1.45,3.5,5.0,,,,1.4,3.75,7.5,1.5,3.6,5.5,1738.89,1587.0
F1,16/09/00,Troyes,Strasbourg,0,1,A,0,1,A,1.7,3.1,4.5,1.6,3.2,4.2,,,,1.62,3.5,4.75,1.61,3.5,4.5,1652.51,1600.03
