Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
N1,24/09/00,Twente,Graafschap,3,1,H,2,0,H,1.57,3.6,4.6,1.5,3.4,4.7,1.53,3.6,5.0,1.45,3.75,5.5,1617.79,1462.95
N1,01/10/00,Graafschap,Feyenoord,2,3,A,2,1,H,3.8,3.3,1.75,4.0,3.3,1.6,3.75,3.5,1.75,3.7,3.4,1.75,1458.26,1714.65
N1,01/10/00,Groningen,PSV Eindhoven,0,1,A,0,0,D,5.0,3.8,1.45,5.0,3.5,1.45,4.5,3.5,1.62,4.5,3.7,1.55,1485.26,1774.81
N1,01/10/00,Waalwijk,Twente,1,1,D,0,1,A,2.25,3.2,2.6,2.3,3.1,2.3,2.4,3.3,2.4,2.4,3.3,2.4,1478.08,1622.48
N1,01/10/00,Roda JC,AZ Alkmaar,4,2,H,1,0,H,1.7,3.4,4.0,1.7,3.2,3.6,1.8,3.4,3.6,1.8,3.4,3.45,1606.71,1548.78
N1,01/10/00,Sparta,Willem II,1,2,A,0,0,D,2.3,3.2,2.55,2.35,3.0,2.35,2.38,3.25,2.5,2.35,3.3,2.45,1440.01,1568.56
N1,01/10/00,Vitesse,Utrecht,2,1,H,0,1,A,1.3,4.8,6.0,1.3,4.0,7.0,1.4,3.75,7.0,1.45,3.8,5.4,1676.78,1519.58
N1,02/10/00,Heerenveen,Ajax,2,2,D,1,0,H,2.6,3.2,2.3,2.3,3.1,2.3,2.63,3.25,2.3,2.62,3.25,2.3,1657.84,1619.22
N1,13/10/00,AZ Alkmaar,NAC Breda,3,1,H,2,0,H,1.85,3.4,3.3,1.7,3.2,3.6,1.8,3.5,3.5,1.75,3.45,3.6,1541.6,1481.23
N1,14/10/00,Heerenveen,Waalwijk,1,1,D,1,0,H,1.6,3.55,4.6,1.45,3.5,5.0,1.5,3.6,5.5,1.45,3.9,5.2,1653.1,1479.67
N1,14/10/00,PSV Eindhoven,Nijmegen,0,0,D,0,0,D,1.25,5.3,7.6,1.25,4.3,8.0,1.25,4.75,8.5,1.3,4.2,7.5,1781.1,1463.26
N1,14/10/00,Roda JC,Groningen,2,0,H,1,0,H,1.55,3.6,4.9,1.45,3.5,5.0,1.5,3.6,5.0,1.35,4.1,6.5,1613.89,1478.97
N1,14/10/00,Twente,For Sittard,1,1,D,1,0,H,1.35,4.1,6.2,1.3,4.0,7.0,1.36,4.0,7.0,1.35,4.2,6.3,1620.89,1487.67
N1,14/10/00,Willem II,Utrecht,6,2,H,2,0,H,1.75,3.3,4.0,1.55,3.3,4.5,1.73,3.4,4.0,1.75,3.4,3.65,1580.04,1514.95
N1,15/10/00,Roosendaal,Graafschap,2,4,A,2,3,A,2.3,3.35,2.6,2.3,3.0,2.4,2.4,3.2,2.5,2.45,3.25,2.35,1450.96,1451.04
N1,15/10/00,Sparta,Feyenoord,1,4,A,1,1,D,5.5,3.4,1.55,4.5,3.3,1.55,5.0,3.5,1.57,4.5,3.5,1.61,1428.53,1721.87
N1,15/10/00,Vitesse,Ajax,3,2,H,1,1,D,2.2,3.25,2.7,2.0,3.0,2.9,2.3,3.2,2.63,2.2,3.25,2.65,1681.41,1623.96
N1,20/10/00,Ajax,Roda JC,4,2,H,2,0,H,1.4,3.9,6.1,1.55,3.3,4.5,1.5,3.7,5.25,1.45,3.75,5.5,1616.77,1619.03
N1,21/10/00,Graafschap,Willem II,1,1,D,0,0,D,2.4,3.1,2.6,2.7,3.1,2.1,2.4,3.4,2.4,2.4,3.3,2.4,1467.04,1587.01
N1,21/10/00,Feyenoord,Heerenveen,2,0,H,1,0,H,1.45,3.65,5.3,1.45,3.5,5.0,1.4,3.8,6.75,1.5,3.6,5.5,1728.05,1644.89
N1,21/10/00,Twente,Sparta,3,1,H,1,1,D,1.4,4.1,6.3,1.35,3.8,6.2,1.44,3.75,6.0,1.4,3.6,6.5,1613.57,1422.35
N1,22/10/00,AZ Alkmaar,Vitesse,0,2,A,0,1,A,2.75,3.15,2.2,2.7,3.1,2.1,2.6,3.25,2.3,2.45,3.3,2.35,1548.71,1688.6
N1,22/10/00,Groningen,For Sittard,4,0,H,1,0,H,1.85,3.25,3.6,1.8,3.0,3.5,1.75,3.4,3.8,1.75,3.4,3.65,1473.83,1494.99
N1,22/10/00,Utrecht,Roosendaal,5,3,H,3,2,H,1.6,3.6,4.5,1.4,3.6,5.5,1.53,3.6,5.0,1.35,4.0,6.7,1507.98,1434.96
N1,27/10/00,AZ Alkmaar,Twente,5,0,H,2,0,H,2.3,3.15,2.6,2.35,3.0,2.35,2.3,3.2,2.63,2.25,3.25,2.6,1537.64,1617.51
N1,27/10/00,For Sittard,NAC Breda,1,2,A,0,2,A,2.75,3.0,2.3,2.35,3.0,2.35,2.4,3.25,2.4,2.35,3.25,2.45,1485.28,1474.12
N1,28/10/00,Heerenveen,Graafschap,1,0,H,0,0,D,1.65,3.2,4.65,1.4,3.6,5.5,1.5,3.6,5.25,1.45,3.7,5.5,1638.43,1467.76
N1,29/10/00,Nijmegen,Willem II,3,0,H,1,0,H,2.3,3.3,2.55,2.4,2.9,2.4,2.25,3.3,2.6,2.3,3.25,2.55,1473.69,1586.29
N1,29/10/00,PSV Eindhoven,Ajax,1,1,D,0,1,A,1.9,3.3,3.2,1.8,3.0,3.5,1.8,3.3,3.75,1.8,3.25,3.75,1770.67,1625.84
N1,29/10/00,Roda JC,Waalwijk,0,1,A,0,1,A,1.65,3.3,4.5,1.5,3.4,4.7,1.62,3.4,4.5,1.6,3.45,4.5,1609.96,1487.88
N1,29/10/00,Sparta,Groningen,2,0,H,1,0,H,2.2,2.8,3.2,2.1,3.0,2.8,2.0,3.3,3.2,1.85,3.3,3.4,1418.41,1483.54
N1,29/10/00,Utrecht,Feyenoord,1,1,D,0,1,A,4.8,3.2,1.65,3.6,3.2,1.7,4.5,3.4,1.62,4.2,3.4,1.65,1514.72,1734.51
N1,01/11/00,Heerenveen,Sparta,1,1,D,1,0,H,1.45,3.6,6.0,1.35,3.8,6.2,1.4,3.75,6.5,1.45,4.0,5.0,1642.78,1429.66
N1,01/11/00,Nijmegen,Graafschap,2,1,H,0,0,D,1.8,3.2,3.8,1.85,3.0,3.3,1.67,3.4,4.2,1.65,3.4,4.2,1486.64,1463.41
N1,01/11/00,PSV Eindhoven,Vitesse,2,0,H,1,0,H,1.8,3.2,4.0,1.7,3.2,3.6,1.7,3.4,4.0,1.7,3.35,4.0,1763.08,1699.67
N1,01/11/00,Waalwijk,Utrecht,4,1,H,2,0,H,2.0,2.8,3.6,2.0,3.0,2.9,1.85,3.25,3.5,1.95,3.4,3.0,1507.43,1518.87
N1,01/11/00,Roda JC,For Sittard,1,0,H,1,0,H,1.4,3.8,6.3,1.35,3.8,6.2,1.36,3.75,7.5,1.4,4.0,5.7,1590.41,1468.91
N1,02/11/00,Feyenoord,Roosendaal,5,1,H,2,0,H,1.15,6.0,10.0,1.1,7.0,14.0,1.13,6.0,12.0,1.1,6.5,13.0,1730.36,1428.22
N1,04/11/00,NAC Breda,Nijmegen,2,2,D,2,1,H,1.95,3.2,3.5,1.9,3.0,3.1,1.85,3.2,3.5,1.95,3.4,3.0,1490.49,1494.88
N1,04/11/00,Twente,PSV Eindhoven,0,2,A,0,1,A,3.1,3.2,2.05,2.9,3.0,2.0,3.1,3.1,2.05,3.5,3.2,1.9,1605.73,1770.1
N1,05/11/00,Graafschap,Vitesse,1,2,A,0,2,A,3.3,3.1,2.05,3.3,3.0,1.85,3.4,3.2,1.9,3.4,3.3,1.85,1455.17,1692.65
N1,05/11/00,Feyenoord,Roda JC,4,2,H,3,1,H,1.35,4.2,7.3,1.4,3.6,5.5,1.4,3.6,7.0,1.4,3.75,7.0,1732.61,1595.87
N1,05/11/00,Groningen,AZ Alkmaar,1,2,A,1,1,D,2.15,3.2,2.95,2.3,3.0,2.4,2.1,3.2,2.88,2.2,3.25,2.65,1472.29,1549.42
N1,05/11/00,Roosendaal,For Sittard,3,1,H,2,1,H,2.2,3.1,2.9,2.0,3.0,2.9,2.2,3.2,2.7,2.3,3.25,2.5,1425.97,1463.45
N1,05/11/00,Utrecht,Sparta,1,1,D,0,0,D,1.66,3.4,4.45,1.6,3.3,4.0,1.67,3.4,4.2,1.65,3.4,4.2,1509.49,1438.62
N1,05/11/00,Willem II,Ajax,0,1,A,0,1,A,2.7,3.25,2.3,2.35,3.0,2.35,2.63,3.2,2.3,2.62,3.3,2.25,1573.34,1633.43
N1,10/11/00,Roosendaal,Willem II,2,1,H,0,0,D,3.1,3.3,2.0,3.5,3.0,1.8,3.1,3.3,2.0,3.15,3.4,1.9,1436.24,1559.41
N1,11/11/00,For Sittard,Waalwijk,0,0,D,0,0,D,3.15,3.3,2.0,2.9,3.0,2.0,2.9,3.4,2.05,3.0,3.3,2.0,1453.18,1516.81
N1,12/11/00,Ajax,Graafschap,4,1,H,1,1,D,1.2,5.2,9.5,1.2,4.7,9.0,1.2,5.0,11.0,1.2,5.2,9.0,1647.36,1447.37
N1,12/11/00,AZ Alkmaar,Utrecht,2,1,H,0,1,A,1.7,3.3,4.2,1.6,3.3,4.0,1.67,3.6,4.0,1.6,3.5,4.4,1562.74,1503.79
N1,12/11/00,PSV Eindhoven,Feyenoord,1,0,H,0,0,D,2.15,3.2,2.9,2.0,2.9,3.0,2.0,3.2,3.2,1.9,3.25,3.4,1780.31,1737.7
N1,12/11/00,Roda JC,Heerenveen,3,1,H,2,0,H,2.05,3.5,2.85,2.0,2.9,3.0,2.0,3.25,3.1,2.05,3.3,2.9,1590.78,1633.82
N1,12/11/00,Sparta,Nijmegen,0,2,A,0,1,A,2.65,3.0,2.4,2.4,2.9,2.4,2.5,3.2,2.4,2.5,3.0,2.45,1444.32,1498.24
N1,12/11/00,Twente,NAC Breda,4,0,H,1,0,H,1.9,3.0,3.8,1.75,3.1,3.6,1.8,3.4,3.6,1.65,3.55,4.0,1595.52,1487.13
N1,12/11/00,Vitesse,Groningen,2,2,D,0,2,A,1.25,4.8,8.5,1.2,4.7,9.0,1.22,4.75,10.0,1.25,4.7,8.0,1700.45,1458.97
N1,17/11/00,Roda JC,Utrecht,2,1,H,0,0,D,1.6,3.5,4.8,1.5,3.4,4.7,1.57,3.5,4.8,1.6,3.4,4.5,1601.25,1496.64
N1,18/11/00,For Sittard,AZ Alkmaar,1,1,D,0,1,A,3.05,3.3,2.05,2.9,3.0,2.0,3.1,3.2,2.0,3.05,3.2,2.0,1451.88,1569.89
N1,18/11/00,Heerenveen,PSV Eindhoven,1,4,A,0,3,A,2.95,3.3,2.1,2.8,3.0,2.1,3.0,3.2,2.05,3.0,3.2,2.1,1623.35,1787.95
N1,18/11/00,Vitesse,Roosendaal,2,1,H,0,0,D,1.2,5.5,10.0,1.15,5.5,11.0,1.25,4.75,8.5,1.3,4.5,6.5,1691.02,1449.57
N1,18/11/00,Willem II,Twente,2,2,D,1,1,D,2.1,3.25,3.0,1.9,3.0,3.1,2.05,3.4,2.88,2.15,3.2,2.75,1546.08,1601.31
N1,19/11/00,NAC Breda,Ajax,0,3,A,0,1,A,3.0,3.25,2.1,3.3,3.0,1.85,3.1,3.25,2.0,3.25,3.3,1.9,1481.34,1651.13
N1,19/11/00,Nijmegen,Feyenoord,1,3,A,0,2,A,2.85,3.25,2.15,3.0,2.9,2.0,3.0,3.1,2.1,3.15,3.1,2.0,1512.39,1730.06
N1,19/11/00,Waalwijk,Graafschap,1,0,H,1,0,H,1.5,3.7,5.4,1.6,3.3,4.0,1.53,3.5,5.25,1.55,3.4,5.0,1518.11,1443.6
N1,25/11/00,AZ Alkmaar,Sparta,1,1,D,0,0,D,1.5,3.6,5.8,1.45,3.5,5.0,1.5,3.75,5.0,1.45,4.0,5.0,1569.24,1430.17
N1,25/11/00,Graafschap,For Sittard,5,1,H,2,0,H,1.7,3.3,4.4,1.7,3.1,3.8,1.73,3.4,3.75,1.75,3.4,3.65,1436.9,1452.53
N1,25/11/00,Roosendaal,Roda JC,0,4,A,0,3,A,3.2,3.0,2.1,3.1,3.0,1.9,2.7,3.5,2.1,2.6,3.35,2.2,1446.5,1607.14
N1,26/11/00,Feyenoord,Willem II,1,0,H,1,0,H,1.25,4.5,8.0,1.35,3.8,6.2,1.25,4.6,8.5,1.3,4.3,7.3,1738.48,1544.48
N1,26/11/00,Nijmegen,Heerenveen,0,0,D,0,0,D,1.9,3.2,3.6,2.0,2.9,3.0,1.85,3.4,3.3,1.85,3.35,3.35,1503.97,1613.15
N1,26/11/00,PSV Eindhoven,NAC Breda,2,1,H,1,0,H,1.23,5.2,8.0,1.2,4.7,9.0,1.22,5.0,8.5,1.25,4.5,8.5,1798.15,1471.32
N1,26/11/00,Twente,Groningen,3,0,H,0,0,D,1.53,3.4,5.2,1.45,3.5,5.0,1.5,3.75,5.0,1.55,3.6,4.6,1602.91,1468.4
N1,26/11/00,Utrecht,Ajax,2,1,H,1,0,H,3.7,3.2,1.8,3.5,3.0,1.8,3.75,3.4,1.75,3.85,3.25,1.75,1490.75,1661.15
N1,28/11/00,Roda JC,Vitesse,2,3,A,0,1,A,2.2,3.45,2.65,2.2,3.0,2.6,2.25,3.4,2.6,2.2,3.3,2.65,1617.48,1694.09
N1,29/11/00,Feyenoord,Sparta,2,1,H,1,0,H,1.2,5.3,10.0,1.35,3.8,6.2,1.22,5.5,8.0,1.25,4.5,8.5,1742.37,1437.63
N1,29/11/00,Heerenveen,AZ Alkmaar,1,1,D,1,0,H,1.9,3.3,3.4,1.9,3.0,3.1,1.85,3.4,3.4,1.85,3.3,3.4,1612.82,1561.78
N1,29/11/00,Roosendaal,NAC Breda,0,1,A,0,1,A,2.4,3.3,2.5,2.8,3.0,2.1,2.4,3.4,2.4,2.4,3.25,2.4,1436.16,1469.35
N1,30/11/00,Ajax,Waalwijk,3,0,H,1,0,H,1.33,4.4,7.0,1.3,4.0,7.0,1.33,4.0,8.0,1.4,3.7,6.5,1646.15,1524.81
N1,01/12/00,Roda JC,PSV Eindhoven,1,2,A,0,0,D,3.0,3.2,2.0,2.8,3.0,2.1,3.0,3.2,2.05,3.1,3.1,2.05,1604.14,1800.12
N1,02/12/00,For Sittard,Utrecht,0,1,A,0,0,D,2.6,3.4,2.3,2.8,3.0,2.1,2.5,3.2,2.38,2.6,3.3,2.2,1443.01,1505.75
N1,02/12/00,Sparta,Graafschap,2,1,H,2,1,H,1.9,3.25,3.5,2.0,3.0,2.9,1.85,3.4,3.4,1.85,3.35,3.35,1435.41,1446.42
N1,02/12/00,Willem II,AZ Alkmaar,1,1,D,1,0,H,2.05,3.25,3.1,1.9,3.0,3.1,2.1,3.2,2.9,2.15,3.25,2.75,1540.59,1566.9
N1,03/12/00,Ajax,Heerenveen,6,2,H,3,1,H,1.33,3.9,6.8,1.4,3.6,5.5,1.36,4.0,7.0,1.3,4.2,8.5,1651.61,1607.7
N1,03/12/00,Nijmegen,Twente,1,0,H,0,0,D,2.1,2.8,3.4,2.2,2.9,2.7,2.0,3.25,3.1,2.05,3.25,2.9,1504.3,1608.06
N1,03/12/00,Waalwijk,Groningen,0,0,D,0,0,D,1.5,3.6,5.0,1.55,3.3,4.5,1.53,3.4,5.25,1.5,3.65,5.0,1519.35,1463.25
N1,09/12/00,AZ Alkmaar,Nijmegen,0,0,D,0,0,D,2.0,3.15,3.3,2.0,2.9,3.0,1.95,3.2,3.2,1.9,3.1,3.5,1569.51,1516.94
N1,09/12/00,Graafschap,Groningen,0,4,A,0,0,D,1.95,3.25,3.4,1.8,3.0,3.5,1.8,3.4,3.5,1.85,3.35,3.35,1437.05,1468.52
N1,09/12/00,For Sittard,Sparta,2,1,H,1,1,D,2.5,3.3,2.4,2.35,3.0,2.35,2.4,3.3,2.4,2.45,3.3,2.35,1429.17,1444.78
N1,09/12/00,Roda JC,Willem II,0,1,A,0,0,D,1.6,3.5,4.8,1.7,3.1,3.8,1.62,3.4,4.5,1.6,3.45,4.5,1595.01,1537.98
N1,10/12/00,Feyenoord,Ajax,3,1,H,1,0,H,1.9,3.2,3.5,1.9,2.9,3.2,1.85,3.3,3.5,1.9,3.2,3.5,1744.59,1659.21
N1,10/12/00,Utrecht,NAC Breda,5,0,H,3,0,H,1.95,3.2,3.35,1.9,3.0,3.1,1.85,3.25,3.5,1.8,3.35,3.5,1519.59,1484.22
N1,10/12/00,Vitesse,Heerenveen,0,0,D,0,0,D,1.4,4.1,6.4,1.35,3.8,6.2,1.4,3.8,6.25,1.4,3.85,6.0,1707.43,1600.1
N1,12/12/00,Waalwijk,PSV Eindhoven,1,1,D,1,1,D,4.6,3.4,1.66,4.0,3.3,1.6,4.5,3.25,1.67,4.0,3.6,1.65,1514.08,1809.25
N1,12/12/00,Twente,Roda JC,0,2,A,0,1,A,2.05,3.1,3.3,2.1,3.0,2.8,2.0,3.1,3.3,1.9,3.3,3.25,1595.42,1577.22
N1,13/12/00,For Sittard,Feyenoord,2,4,A,1,3,A,6.3,4.0,1.4,6.2,3.8,1.35,6.75,3.75,1.4,6.0,3.55,1.45,1438.69,1750.99
N1,13/12/00,Heerenveen,Willem II,0,1,A,0,1,A,1.95,3.2,3.35,1.9,3.0,3.1,1.95,3.2,3.3,1.85,3.35,3.4,1606.78,1555.77
N1,13/12/00,Sparta,NAC Breda,1,2,A,0,0,D,2.2,3.25,2.8,2.1,3.0,2.8,2.1,3.25,2.88,2.1,3.25,2.85,1435.26,1476.36
N1,13/12/00,Vitesse,AZ Alkmaar,3,2,H,1,0,H,1.47,3.7,5.7,1.4,3.6,5.5,1.44,3.75,6.0,1.5,3.5,5.5,1700.75,1564.35
N1,16/12/00,NAC Breda,Vitesse,1,1,D,0,0,D,3.0,3.5,2.0,3.1,3.0,1.9,3.0,3.3,2.0,3.25,3.3,1.9,1490.96,1705.85
N1,16/12/00,Willem II,For Sittard,3,1,H,1,0,H,1.4,4.0,6.5,1.35,3.8,6.2,1.4,4.0,6.0,1.35,4.2,6.2,1573.38,1433.0
N1,17/12/00,Ajax,Twente,5,1,H,4,0,H,1.4,3.7,7.3,1.4,3.6,5.5,1.36,4.0,6.75,1.3,4.5,7.5,1652.81,1578.82
N1,17/12/00,AZ Alkmaar,PSV Eindhoven,0,5,A,0,3,A,4.5,3.4,1.65,3.6,3.2,1.7,4.0,3.4,1.7,3.7,3.35,1.75,1559.25,1802.88
