Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SP1,19/11/00,Celta,Santander,1,1,D,1,0,H,1.45,3.4,6.8,1.45,3.5,5.0,1.5,3.25,6.5,1.4,3.75,7.0,1.44,3.6,6.5,1685.25,1618.01
SP1,19/11/00,Espanol,Ath Bilbao,2,1,H,1,0,H,1.9,3.0,3.8,1.9,2.9,3.2,1.9,3.0,3.75,1.83,3.2,3.75,1.9,3.25,3.4,1663.84,1669.12
SP1,19/11/00,Oviedo,Valladolid,4,1,H,1,0,H,1.9,3.1,3.8,2.0,2.9,3.0,1.85,3.25,3.6,1.8,3.1,4.0,1.8,3.3,3.75,1637.0,1677.76
SP1,19/11/00,Sociedad,Numancia,4,1,H,3,0,H,2.0,2.9,3.5,1.85,2.9,3.4,1.8,3.25,3.75,2.0,3.1,3.3,1.9,3.25,3.4,1639.82,1617.12
SP1,19/11/00,Vallecano,Malaga,4,2,H,2,1,H,1.8,3.0,4.2,1.7,3.1,3.8,1.85,3.2,3.75,1.73,3.2,4.33,1.72,3.2,4.33,1670.98,1652.75
SP1,19/11/00,Zaragoza,Barcelona,3,1,H,1,0,H,3.2,3.05,2.1,2.4,2.9,2.4,2.8,3.2,2.2,3.1,3.1,2.1,3.0,3.0,2.2,1705.31,1740.75
SP1,25/11/00,Mallorca,Villarreal,2,1,H,0,1,A,1.75,3.25,4.1,1.65,3.1,4.0,1.61,3.25,5.0,1.7,3.25,4.5,1.66,3.3,4.5,1698.14,1634.24
SP1,26/11/00,Ath Bilbao,Vallecano,4,2,H,3,1,H,2.05,3.25,3.1,2.0,2.9,3.0,1.91,3.0,3.75,2.0,3.1,3.3,2.1,3.2,3.0,1659.95,1679.38
SP1,26/11/00,Barcelona,Osasuna,2,0,H,0,0,D,1.2,5.0,8.6,1.2,4.7,9.0,1.28,4.5,8.0,1.25,4.75,9.0,,,,1730.55,1586.57
SP1,26/11/00,La Coruna,Celta,1,0,H,0,0,D,1.65,3.4,4.4,1.7,2.9,4.0,1.5,3.4,6.0,1.5,3.4,6.0,1.53,3.4,5.5,1764.32,1679.66
SP1,26/11/00,Malaga,Alaves,3,1,H,2,0,H,2.3,3.05,2.8,2.2,2.8,2.8,2.25,3.0,2.87,2.25,3.0,2.88,2.37,3.1,2.62,1644.35,1709.27
SP1,26/11/00,Numancia,Las Palmas,0,1,A,0,0,D,1.9,3.2,3.6,1.85,2.9,3.4,2.0,3.2,3.2,1.9,3.1,3.6,1.9,3.2,3.5,1608.86,1649.6
SP1,26/11/00,Santander,Espanol,1,2,A,0,1,A,2.3,2.9,3.0,2.1,2.9,2.9,2.25,3.2,2.75,2.25,2.88,3.0,2.2,3.0,3.0,1623.6,1673.01
SP1,26/11/00,Valencia,Oviedo,2,0,H,0,0,D,1.35,3.9,6.8,1.45,3.5,5.0,1.33,4.0,8.0,1.36,3.8,7.5,1.36,3.75,8.0,1782.05,1647.39
SP1,26/11/00,Valladolid,Sociedad,2,1,H,2,0,H,1.9,3.2,3.65,1.9,2.9,3.2,1.91,3.2,3.5,1.9,3.2,3.5,1.83,3.3,3.6,1667.37,1648.08
SP1,02/12/00,Celta,Barcelona,3,3,D,3,1,H,2.65,3.0,2.4,2.3,2.9,2.5,,,,2.5,3.1,2.5,2.5,3.1,2.5,1673.24,1735.48
SP1,02/12/00,Espanol,La Coruna,0,2,A,0,0,D,2.65,2.9,2.55,2.4,2.9,2.4,,,,2.7,3.0,2.38,2.5,3.1,2.5,1687.32,1770.74
SP1,02/12/00,Osasuna,Real Madrid,2,3,A,1,1,D,4.0,3.2,1.8,3.2,2.9,1.9,,,,3.75,3.1,1.85,,,,1581.64,1761.69
SP1,02/12/00,Vallecano,Santander,4,1,H,1,1,D,1.61,3.2,5.3,1.65,3.1,4.0,,,,1.53,3.4,5.5,1.53,3.4,5.5,1669.73,1609.29
SP1,02/12/00,Valladolid,Valencia,0,0,D,0,0,D,2.7,3.1,2.35,2.4,2.9,2.4,,,,2.8,3.1,2.25,2.75,3.1,2.3,1675.74,1787.19
SP1,03/12/00,Alaves,Ath Bilbao,2,1,H,0,1,A,1.85,3.05,4.0,1.9,2.9,3.2,1.8,3.2,4.0,1.85,3.1,3.8,1.9,3.0,3.75,1698.03,1669.6
SP1,03/12/00,Oviedo,Malaga,3,2,H,1,2,A,1.7,3.2,4.0,1.8,2.9,3.6,1.8,3.2,4.0,1.7,3.25,4.33,1.8,3.3,3.75,1642.25,1655.59
SP1,03/12/00,Sociedad,Las Palmas,1,1,D,0,0,D,1.95,3.1,3.6,1.85,3.0,3.3,2.1,3.2,3.0,1.91,3.2,3.5,2.0,3.2,3.2,1639.71,1664.21
SP1,03/12/00,Villarreal,Numancia,0,0,D,0,0,D,1.85,3.2,3.8,1.8,2.9,3.6,1.67,3.25,4.5,1.73,3.2,4.33,1.72,3.4,4.0,1627.24,1594.25
SP1,03/12/00,Zaragoza,Mallorca,1,1,D,1,0,H,2.15,3.15,3.0,1.9,2.9,3.2,2.1,3.2,3.0,2.1,3.1,3.0,2.0,3.2,3.2,1715.51,1705.14
SP1,09/12/00,Las Palmas,Villarreal,1,5,A,0,2,A,1.85,3.2,3.8,1.9,2.8,3.3,1.67,3.25,4.5,1.8,3.25,3.75,1.83,3.2,3.75,1666.88,1622.68
SP1,09/12/00,Numancia,Zaragoza,1,1,D,1,1,D,2.35,3.0,2.75,2.2,2.8,2.8,2.62,2.87,2.5,2.3,3.0,2.8,2.2,3.0,3.0,1598.81,1711.67
SP1,09/12/00,Valencia,Sociedad,2,0,H,0,0,D,1.33,4.2,7.6,1.4,3.6,5.5,1.36,3.75,8.0,1.33,4.0,8.0,1.36,3.75,8.0,1786.78,1637.04
SP1,10/12/00,Ath Bilbao,Oviedo,4,0,H,0,0,D,1.7,3.25,4.45,1.7,3.1,3.8,1.67,3.25,4.5,1.67,3.25,4.5,1.66,3.3,4.5,1661.52,1651.7
