Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
B1,12/11/00,Club Brugge,Beveren,6,0,H,2,0,H,1.17,5.8,10.0,1.15,5.5,11.0,1.17,5.5,10.0,1.15,6.0,10.0,1773.69,1477.36
B1,12/11/00,Louvieroise,Antwerp,2,2,D,1,2,A,2.2,3.2,2.7,2.1,3.0,2.8,2.2,3.4,2.63,2.3,3.4,2.45,1442.01,1491.59
B1,12/11/00,Mouscron,Genk,2,0,H,0,0,D,1.85,3.0,3.9,1.7,3.2,3.6,1.8,3.3,3.6,1.7,3.5,3.75,1623.49,1575.49
B1,12/11/00,Standard,Anderlecht,1,1,D,0,0,D,2.5,3.6,2.2,2.35,3.0,2.35,2.4,3.3,2.4,2.4,3.25,2.5,1615.61,1771.59
B1,17/11/00,Charleroi,Club Brugge,0,4,A,0,1,A,3.2,3.4,1.9,2.8,3.0,2.1,3.25,3.3,1.91,3.4,3.5,1.8,1511.64,1776.01
B1,18/11/00,Gent,Mouscron,1,0,H,0,0,D,2.15,3.2,2.8,2.2,3.0,2.6,2.1,3.3,2.8,1.9,3.5,3.1,1610.89,1630.97
B1,18/11/00,Anderlecht,Louvieroise,2,0,H,1,0,H,1.15,6.8,10.0,1.1,7.0,14.0,1.14,6.0,11.0,1.15,6.0,10.0,1769.59,1440.21
B1,18/11/00,Beveren,Mechelen,1,1,D,1,0,H,1.66,3.4,4.4,1.55,3.3,4.5,1.6,3.5,4.5,1.7,3.4,3.9,1475.04,1419.68
B1,18/11/00,Genk,Lokeren,0,0,D,0,0,D,1.75,3.2,4.2,1.75,3.2,3.4,1.73,3.3,4.0,1.65,3.5,4.0,1568.01,1562.56
B1,18/11/00,Lierse,Standard,1,1,D,0,0,D,2.65,3.2,2.3,2.3,3.0,2.4,2.6,3.2,2.3,2.6,3.2,2.25,1556.82,1617.61
