Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA,EloHome,EloAway
I2,11/12/00,Sampdoria,Cosenza,1,0,H,1,0,H,1.85,2.65,4.7,1.8,2.4,4.7,1.75,2.6,5.5,1558.07,1516.7
I2,13/12/00,Salernitana,Pistoiese,1,0,H,1,0,H,1.75,2.9,4.8,1.75,2.7,4.2,,,,1482.76,1458.98
I2,15/12/00,Piacenza,Chievo,1,0,H,0,0,D,2.0,2.7,3.8,2.0,2.5,3.6,1.95,2.55,4.2,1480.98,1526.56
I2,17/12/00,Ancona,Cagliari,1,1,D,0,1,A,2.35,2.7,3.0,2.3,2.4,3.0,2.35,2.45,3.3,1520.93,1514.34
I2,17/12/00,Cosenza,Ternana,0,0,D,0,0,D,1.7,2.9,5.2,1.7,2.6,4.7,1.85,2.6,4.7,1509.02,1515.98
I2,17/12/00,Genoa,Cittadella,3,1,H,2,0,H,1.77,2.8,4.8,1.6,2.7,5.2,1.65,2.8,5.7,1492.4,1479.28
I2,17/12/00,Monza,Ravenna,0,1,A,0,0,D,1.9,2.7,4.5,1.85,2.3,4.7,1.9,2.6,4.4,1417.87,1403.93
I2,17/12/00,Pescara,Treviso,0,3,A,0,2,A,1.85,2.75,4.6,1.7,2.6,4.7,1.85,2.5,5.0,1434.19,1456.54
I2,17/12/00,Salernitana,Crotone,0,1,A,0,1,A,1.9,2.8,4.1,1.7,2.6,4.7,1.7,2.8,5.2,1490.99,1488.31
I2,17/12/00,Siena,Pistoiese,1,0,H,1,0,H,1.8,2.9,4.4,1.8,2.5,4.3,1.8,2.6,5.0,1496.32,1450.75
I2,17/12/00,Torino,Empoli,1,0,H,1,0,H,1.75,2.9,4.8,1.6,2.7,5.2,1.6,2.8,6.3,1522.5,1490.98
I2,18/12/00,Venezia,Sampdoria,2,2,D,1,0,H,2.0,2.7,3.8,2.1,2.3,3.5,2.2,2.4,3.75,1550.07,1565.75
I2,23/12/00,Cagliari,Siena,0,0,D,0,0,D,1.55,3.0,6.0,1.5,2.9,5.7,1.55,3.1,5.8,1518.06,1503.87
I2,23/12/00,Chievo,Venezia,2,1,H,1,0,H,2.4,2.55,3.0,2.4,2.5,2.8,2.4,2.35,3.35,1516.0,1547.09
I2,23/12/00,Cittadella,Salernitana,1,1,D,0,1,A,2.2,2.6,3.3,2.2,2.4,3.2,2.25,2.4,3.6,1470.71,1474.9
I2,23/12/00,Crotone,Genoa,0,0,D,0,0,D,2.1,2.55,3.6,2.0,2.3,4.0,2.15,2.4,3.85,1504.4,1500.97
I2,23/12/00,Empoli,Monza,4,2,H,1,0,H,1.5,3.2,6.0,1.5,2.9,5.7,1.5,3.1,6.7,1483.0,1401.41
I2,23/12/00,Pistoiese,Cosenza,1,1,D,0,0,D,2.55,2.45,2.9,2.4,2.4,2.9,2.4,2.5,3.1,1443.2,1505.75
I2,23/12/00,Ravenna,Ancona,1,0,H,0,0,D,2.3,2.6,3.05,2.4,2.4,2.9,2.25,2.45,3.5,1420.39,1517.21
I2,23/12/00,Sampdoria,Piacenza,0,1,A,0,1,A,1.9,2.7,4.0,1.9,2.4,4.2,1.9,2.6,4.35,1568.73,1491.54
I2,23/12/00,Torino,Pescara,1,0,H,0,0,D,1.47,3.2,6.5,1.5,2.9,5.7,1.45,3.25,7.0,1530.48,1418.94
I2,23/12/00,Treviso,Ternana,1,1,D,0,0,D,2.35,2.5,3.15,2.4,2.3,3.0,2.3,2.35,3.6,1471.79,1519.25
I2,12/01/01,Ternana,Cagliari,1,0,H,0,0,D,2.25,2.4,3.5,2.3,2.4,3.0,2.2,2.6,3.35,1521.13,1514.09
I2,14/01/01,Cosenza,Torino,0,2,A,0,1,A,2.25,2.5,3.4,2.3,2.4,3.0,2.35,2.45,3.3,1507.09,1536.19
I2,14/01/01,Genoa,Treviso,0,0,D,0,0,D,1.8,2.7,4.5,1.65,2.6,5.0,1.65,2.85,5.5,1504.59,1469.91
I2,14/01/01,Monza,Sampdoria,0,4,A,0,2,A,3.2,2.5,2.3,3.0,2.6,2.2,3.3,2.5,2.3,1394.91,1550.36
I2,14/01/01,Pescara,Crotone,1,2,A,1,1,D,2.05,2.8,3.5,2.0,2.5,3.5,2.0,2.65,3.8,1413.23,1500.78
I2,14/01/01,Piacenza,Pistoiese,1,0,H,0,0,D,1.45,3.2,6.8,1.4,3.2,6.2,1.45,3.25,7.0,1509.91,1441.86
I2,14/01/01,Salernitana,Chievo,1,1,D,1,0,H,2.25,2.6,3.1,2.1,2.5,3.2,2.0,2.55,4.0,1478.26,1526.05
I2,14/01/01,Siena,Cittadella,1,1,D,1,0,H,1.8,2.6,4.8,1.65,2.6,5.0,1.75,2.65,5.3,1507.84,1467.35
I2,14/01/01,Venezia,Ravenna,0,0,D,0,0,D,1.5,2.9,7.3,1.4,3.0,7.0,1.55,2.7,8.0,1537.04,1432.78
