Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
P1,22/10/00,Alverca,Aves,5,1,H,4,0,H,1.8,3.2,4.0,1.65,3.2,3.8,1.7,3.25,4.33,1.65,3.25,4.5,1391.04,1374.45
P1,22/10/00,Belenenses,Sp Braga,2,1,H,1,0,H,2.3,3.0,2.8,2.1,2.9,2.9,2.25,3.1,2.8,2.25,3.0,2.75,1430.99,1518.11
P1,22/10/00,Gil Vicente,Salgueiros,0,2,A,0,1,A,2.5,2.95,2.65,2.3,2.9,2.5,2.6,3.1,2.4,2.45,2.9,2.6,1428.15,1417.6
P1,22/10/00,Maritimo,Est Amadora,2,0,H,0,0,D,1.6,3.25,5.1,1.5,3.4,4.7,1.5,3.4,6.0,1.5,3.4,5.6,1472.28,1414.66
P1,22/10/00,Farense,Leiria,1,1,D,0,0,D,1.9,3.1,3.8,1.7,3.1,3.8,1.83,3.2,3.75,1.8,3.1,3.85,1408.66,1461.21
P1,22/10/00,Guimaraes,Beira Mar,1,1,D,1,1,D,1.5,3.55,5.3,1.4,3.6,5.5,1.44,3.6,6.5,1.35,3.8,7.5,1429.96,1341.86
P1,27/10/00,Sp Braga,Salgueiros,2,0,H,2,0,H,1.85,3.2,3.8,1.8,3.0,3.5,1.8,3.2,3.75,1.7,3.15,4.3,1506.07,1433.95
P1,29/10/00,Aves,Gil Vicente,1,0,H,1,0,H,1.9,2.8,4.0,1.9,2.9,3.2,1.83,3.2,3.6,1.8,3.2,3.7,1365.99,1411.8
P1,29/10/00,Beira Mar,Sp Lisbon,0,1,A,0,0,D,3.9,3.25,1.8,4.7,3.4,1.5,5.0,3.6,1.53,4.8,3.5,1.55,1348.04,1645.4
P1,29/10/00,Belenenses,Pacos Ferreira,0,0,D,0,0,D,2.0,2.9,3.5,1.65,3.1,4.0,1.67,3.25,4.5,1.7,3.2,4.2,1443.03,1427.81
P1,29/10/00,Est Amadora,Farense,1,2,A,1,1,D,2.35,2.9,2.8,2.0,2.9,3.0,2.25,3.0,2.88,2.0,3.1,3.2,1407.47,1406.96
P1,29/10/00,Benfica,Campomaiorense,2,0,H,0,0,D,1.25,4.5,9.0,1.25,4.3,8.0,1.2,5.0,10.0,1.2,5.0,9.5,1588.44,1366.57
P1,29/10/00,Leiria,Guimaraes,1,1,D,0,1,A,2.15,3.2,2.8,2.1,2.9,2.9,2.0,3.1,3.25,1.95,3.0,3.45,1462.91,1423.78
P1,30/10/00,Boavista,Maritimo,3,1,H,1,1,D,1.65,3.2,4.8,1.45,3.5,5.0,1.44,3.6,6.0,1.45,3.5,6.0,1547.52,1479.47
P1,30/10/00,Porto,Alverca,6,0,H,3,0,H,1.2,4.5,9.8,1.15,5.5,11.0,1.17,5.5,11.0,1.15,6.0,10.0,1699.06,1399.5
