Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
T1,19/10/00,Antalyaspor,Gaziantepspor,2,2,D,2,2,D,,,,2.3,3.0,2.4,2.38,3.1,2.38,,,,1439.55,1573.6
T1,20/10/00,Adanaspor,Fenerbahce,1,1,D,0,1,A,,,,3.6,3.2,1.7,4.5,3.4,1.53,4.5,3.4,1.6,1424.6,1617.74
T1,21/10/00,Besiktas,Galatasaray,3,1,H,1,1,D,,,,2.35,3.0,2.35,2.4,3.0,2.4,2.25,3.0,2.9,1655.96,1702.98
T1,21/10/00,Denizlispor,Kocaelispor,2,1,H,2,1,H,,,,1.45,3.5,5.0,1.7,3.0,4.2,1.6,3.5,4.5,1432.65,1387.0
T1,21/10/00,Genclerbirligi,Bursaspor,0,1,A,0,0,D,,,,1.45,3.5,5.0,1.4,3.5,6.0,1.45,3.75,5.5,1541.76,1375.33
T1,21/10/00,Istanbulspor,Samsunspor,0,0,D,0,0,D,,,,1.9,3.0,3.1,2.0,3.0,3.0,2.0,3.2,3.1,1438.84,1465.84
T1,21/10/00,Rizespor,Ankaragucu,1,1,D,0,1,A,,,,1.9,3.0,3.1,2.0,3.0,3.0,2.1,3.2,2.9,1404.83,1424.09
T1,21/10/00,Siirt Jet-PA,Erzurumspor,1,1,D,1,1,D,,,,2.1,3.0,2.8,2.2,3.0,2.63,2.2,3.1,2.8,1347.73,1383.57
T1,21/10/00,Yozgatspor,Trabzonspor,1,1,D,0,1,A,,,,3.3,3.1,1.8,4.5,3.5,1.53,4.0,3.2,1.75,1387.62,1559.16
T1,27/10/00,Fenerbahce,Denizlispor,5,2,H,1,1,D,,,,1.25,4.3,8.0,1.14,5.5,11.0,1.25,4.7,8.0,1614.47,1440.2
T1,28/10/00,Ankaragucu,Adanaspor,4,0,H,1,0,H,,,,1.85,3.0,3.3,2.0,2.8,3.25,1.85,3.25,3.45,1426.94,1427.87
T1,28/10/00,Bursaspor,Siirt Jet-PA,3,2,H,3,1,H,,,,1.5,3.4,4.7,1.5,3.25,5.0,1.6,3.4,4.6,1395.89,1345.45
T1,28/10/00,Erzurumspor,Besiktas,1,3,A,1,1,D,,,,4.5,3.3,1.55,5.5,3.1,1.5,4.6,3.6,1.55,1385.85,1666.57
T1,28/10/00,Trabzonspor,Antalyaspor,4,0,H,1,0,H,,,,1.3,4.0,7.0,1.29,3.75,7.5,1.35,4.0,6.8,1556.62,1440.77
T1,29/10/00,Gaziantepspor,Rizespor,2,1,H,1,1,D,,,,1.4,3.6,5.5,1.33,3.6,7.0,1.35,4.1,6.5,1572.38,1401.98
T1,29/10/00,Galatasaray,Yozgatspor,3,0,H,1,0,H,,,,1.2,4.7,9.0,1.14,5.5,11.0,1.15,5.5,12.0,1692.37,1390.16
T1,29/10/00,Kocaelispor,Istanbulspor,1,1,D,0,1,A,,,,2.0,3.0,2.9,2.0,3.0,2.9,2.4,3.2,2.4,1379.45,1436.25
T1,29/10/00,Samsunspor,Genclerbirligi,1,2,A,0,1,A,,,,2.1,3.0,2.8,2.0,3.0,2.9,2.15,3.2,2.75,1468.43,1521.2
T1,03/11/00,Rizespor,Trabzonspor,2,1,H,0,0,D,,,,3.8,3.1,1.7,4.5,3.1,1.62,3.4,3.3,1.85,1397.63,1562.22
T1,04/11/00,Besiktas,Bursaspor,2,1,H,1,1,D,,,,1.2,4.7,9.0,1.14,5.5,9.5,1.2,5.0,9.5,1673.1,1403.29
T1,04/11/00,Denizlispor,Istanbulspor,0,4,A,0,3,A,,,,1.85,3.0,3.3,1.8,3.2,3.4,1.9,3.25,3.3,1435.93,1437.8
T1,04/11/00,Genclerbirligi,Kocaelispor,0,0,D,0,0,D,,,,1.35,3.8,6.2,1.36,3.8,6.0,1.4,3.6,6.8,1535.39,1377.9
T1,05/11/00,Adanaspor,Gaziantepspor,0,1,A,0,0,D,,,,2.35,3.0,2.35,2.6,3.0,2.25,2.5,3.1,2.4,1418.84,1576.73
T1,05/11/00,Fenerbahce,Ankaragucu,5,1,H,3,0,H,,,,1.2,4.7,9.0,1.14,5.5,9.5,1.25,4.5,8.5,1618.74,1435.97
T1,05/11/00,Siirt Jet-PA,Samsunspor,1,2,A,0,0,D,,,,2.9,3.0,2.0,2.63,3.0,2.2,2.75,3.15,2.2,1338.05,1454.24
T1,05/11/00,Yozgatspor,Erzurumspor,4,0,H,0,0,D,,,,1.6,3.3,4.0,1.5,3.1,5.5,1.9,3.25,3.3,1387.91,1379.32
T1,10/11/00,Gaziantepspor,Fenerbahce,2,1,H,2,0,H,2.6,3.0,2.4,2.35,3.0,2.35,3.5,3.0,1.8,2.45,3.15,2.4,1587.17,1622.84
T1,11/11/00,Bursaspor,Yozgatspor,1,4,A,1,1,D,1.75,3.2,4.0,1.65,3.2,3.8,1.8,3.1,3.4,1.8,3.3,3.55,1400.63,1396.63
T1,11/11/00,Erzurumspor,Antalyaspor,0,1,A,0,0,D,2.35,3.0,2.7,2.35,3.0,2.35,2.6,3.0,2.25,2.35,3.15,2.5,1370.6,1435.17
T1,11/11/00,Galatasaray,Rizespor,2,0,H,1,0,H,1.15,6.8,9.0,1.15,5.5,11.0,1.14,5.5,9.0,1.15,5.5,11.0,1694.62,1412.43
T1,11/11/00,Istanbulspor,Genclerbirligi,2,1,H,1,1,D,2.25,3.1,2.7,2.2,3.0,2.6,2.25,3.0,2.6,2.2,3.15,2.75,1453.74,1527.52
T1,12/11/00,Ankaragucu,Denizlispor,3,1,H,2,0,H,1.8,3.1,4.0,1.65,3.2,3.8,1.5,3.4,5.0,1.85,3.3,3.4,1431.87,1419.99
T1,12/11/00,Kocaelispor,Siirt Jet-PA,1,1,D,1,0,H,1.67,3.4,4.2,1.6,3.2,4.2,1.33,3.5,7.5,1.6,3.3,4.8,1385.77,1326.13
T1,12/11/00,Samsunspor,Besiktas,2,3,A,1,2,A,4.2,3.4,1.7,3.6,3.1,1.75,5.0,3.5,1.44,3.85,3.25,1.75,1466.16,1675.76
T1,12/11/00,Trabzonspor,Adanaspor,3,3,D,0,1,A,1.2,5.0,9.5,1.2,4.7,9.0,1.2,4.2,9.5,1.25,4.5,8.5,1547.42,1408.4
T1,17/11/00,Besiktas,Kocaelispor,3,2,H,2,1,H,1.15,5.25,11.0,1.15,5.5,11.0,1.15,5.0,10.0,1.15,6.0,10.0,1684.44,1380.4
T1,18/11/00,Adanaspor,Galatasaray,1,2,A,1,1,D,5.0,3.7,1.5,4.0,3.3,1.6,5.0,3.4,1.5,5.5,3.45,1.5,1415.86,1697.11
T1,18/11/00,Ankaragucu,Gaziantepspor,1,1,D,0,1,A,2.5,3.4,2.3,2.8,3.0,2.1,2.25,3.2,2.4,2.45,3.2,2.4,1440.48,1597.38
T1,18/11/00,Rizespor,Erzurumspor,4,1,H,3,0,H,1.75,3.3,3.8,1.6,3.3,4.0,1.5,3.4,5.0,1.7,3.3,4.0,1409.94,1356.83
T1,18/11/00,Siirt Jet-PA,Istanbulspor,0,2,A,0,0,D,2.95,3.2,2.1,2.9,3.0,2.0,2.8,3.0,2.1,3.0,3.25,2.0,1331.5,1465.3
T1,19/11/00,Antalyaspor,Bursaspor,2,1,H,1,1,D,1.75,3.2,4.0,1.6,3.3,4.0,1.5,3.4,5.0,1.6,3.4,4.5,1448.94,1384.5
T1,19/11/00,Denizlispor,Genclerbirligi,0,0,D,0,0,D,2.4,3.0,2.6,2.35,3.0,2.35,2.1,3.25,2.6,2.4,3.2,2.45,1411.38,1515.96
T1,19/11/00,Fenerbahce,Trabzonspor,5,2,H,3,0,H,1.75,3.2,4.2,1.7,3.1,3.8,1.7,3.25,3.6,1.7,3.25,4.1,1612.63,1539.96
T1,19/11/00,Yozgatspor,Samsunspor,0,0,D,0,0,D,2.15,3.15,2.9,2.1,3.0,2.8,1.8,3.0,3.6,2.2,3.2,2.7,1412.76,1457.48
T1,24/11/00,Trabzonspor,Ankaragucu,2,2,D,2,0,H,1.35,3.9,7.8,1.4,3.6,5.5,1.29,3.75,8.0,1.4,3.6,6.5,1533.21,1442.51
T1,25/11/00,Erzurumspor,Adanaspor,2,0,H,1,0,H,2.05,3.0,3.3,2.0,3.0,2.9,1.9,3.0,3.2,2.1,3.25,2.8,1349.51,1409.35
T1,25/11/00,Istanbulspor,Besiktas,2,3,A,1,2,A,4.0,3.3,1.75,3.8,3.2,1.65,4.33,3.4,1.53,3.25,3.25,1.9,1476.59,1686.67
T1,25/11/00,Samsunspor,Antalyaspor,4,2,H,0,1,A,2.0,3.0,3.4,1.9,3.0,3.1,1.9,3.0,3.2,2.05,3.1,3.0,1459.45,1455.93
T1,26/11/00,Bursaspor,Rizespor,2,1,H,0,0,D,2.0,3.0,3.4,2.0,3.0,2.9,2.1,2.88,2.88,2.0,3.1,3.1,1377.51,1417.26
T1,26/11/00,Gaziantepspor,Denizlispor,1,1,D,1,1,D,1.35,4.0,7.5,1.4,3.6,5.5,1.2,4.0,10.0,1.3,4.0,8.0,1595.35,1411.54
T1,26/11/00,Genclerbirligi,Siirt Jet-PA,2,0,H,0,0,D,1.3,4.2,8.5,1.25,4.3,8.0,1.2,4.0,10.0,1.25,4.25,9.0,1515.8,1320.21
T1,26/11/00,Galatasaray,Fenerbahce,0,0,D,0,0,D,1.85,3.2,3.6,1.85,3.0,3.3,2.25,3.0,2.6,1.83,3.2,3.75,1703.62,1619.38
T1,26/11/00,Kocaelispor,Yozgatspor,2,2,D,2,0,H,2.1,3.0,3.2,2.2,3.0,2.6,2.1,2.9,2.8,2.2,3.1,2.75,1378.17,1410.79
T1,01/12/00,Ankaragucu,Galatasaray,1,3,A,1,2,A,4.8,3.6,1.55,3.6,3.2,1.7,4.0,3.0,1.5,4.0,3.25,1.7,1448.76,1697.55
T1,02/12/00,Antalyaspor,Kocaelispor,2,2,D,1,1,D,1.5,3.5,5.5,1.45,3.5,5.0,1.5,3.4,5.0,1.65,3.25,4.3,1447.05,1375.78
T1,02/12/00,Besiktas,Genclerbirligi,0,3,A,0,2,A,1.35,4.2,6.7,1.3,4.0,7.0,1.33,3.8,6.5,1.3,4.0,8.0,1695.34,1519.66
T1,02/12/00,Trabzonspor,Gaziantepspor,3,1,H,2,0,H,1.8,3.2,4.0,1.8,3.0,3.5,1.7,3.2,3.8,1.85,3.1,3.5,1526.96,1586.93
T1,02/12/00,Yozgatspor,Istanbulspor,3,0,H,1,0,H,2.4,3.2,2.55,2.1,2.9,2.9,2.4,3.0,2.4,2.3,3.0,2.65,1413.18,1467.92
T1,03/12/00,Adanaspor,Bursaspor,1,1,D,0,1,A,1.9,3.15,3.65,1.85,3.0,3.3,1.6,3.4,4.0,1.95,3.1,3.25,1398.29,1387.86
T1,03/12/00,Fenerbahce,Erzurumspor,4,2,H,2,1,H,1.15,6.5,10.0,,,,1.1,5.5,13.0,1.15,5.2,12.0,1625.45,1360.57
T1,03/12/00,Rizespor,Samsunspor,0,1,A,0,0,D,2.2,3.2,2.8,2.1,2.9,2.9,2.1,3.0,2.8,2.05,3.1,3.0,1406.91,1468.33
T1,03/12/00,Siirt Jet-PA,Denizlispor,1,1,D,0,0,D,2.4,3.2,2.6,2.6,3.0,2.2,2.4,3.4,2.2,2.5,3.05,2.4,1316.35,1419.96
T1,08/12/00,Denizlispor,Trabzonspor,2,0,H,0,0,D,3.35,3.05,2.0,2.9,3.0,2.0,3.4,3.2,1.8,2.95,3.2,2.05,1419.83,1538.03
T1,09/12/00,Bursaspor,Fenerbahce,2,2,D,0,1,A,4.7,3.3,1.6,3.4,3.2,1.75,5.0,3.5,1.44,4.1,3.25,1.7,1391.7,1628.18
T1,09/12/00,Istanbulspor,Antalyaspor,2,0,H,0,0,D,1.85,3.2,3.6,2.0,3.0,2.9,1.8,3.2,3.4,1.9,3.2,3.35,1457.04,1441.34
T1,09/12/00,Kocaelispor,Rizespor,2,1,H,0,1,A,2.1,3.0,3.2,2.0,2.9,3.0,2.0,3.0,3.0,1.9,3.25,3.15,1381.49,1393.03
T1,09/12/00,Samsunspor,Adanaspor,3,1,H,1,0,H,1.6,3.4,5.0,1.5,3.4,4.7,1.6,3.4,4.0,1.6,3.4,4.5,1482.21,1394.45
T1,10/12/00,Erzurumspor,Ankaragucu,1,1,D,1,1,D,2.3,3.1,2.8,2.2,3.0,2.6,2.25,3.0,2.6,2.35,3.1,2.55,1357.84,1441.31
T1,10/12/00,Genclerbirligi,Yozgatspor,2,1,H,1,1,D,1.5,3.6,5.6,1.55,3.3,4.5,1.5,3.5,4.5,1.45,3.6,5.8,1540.41,1424.06
T1,10/12/00,Galatasaray,Gaziantepspor,2,0,H,1,0,H,1.35,4.2,7.0,1.35,3.8,6.2,1.33,3.8,6.5,1.4,3.75,6.3,1705.0,1575.86
T1,10/12/00,Siirt Jet-PA,Besiktas,1,1,D,0,1,A,7.0,3.8,1.4,5.0,3.5,1.45,6.5,4.2,1.29,6.8,4.0,1.35,1316.48,1674.59
T1,15/12/00,Fenerbahce,Samsunspor,2,1,H,2,0,H,1.33,4.5,7.0,1.3,4.0,7.0,1.3,4.0,7.0,1.35,4.0,7.5,1623.51,1488.54
T1,16/12/00,Besiktas,Denizlispor,1,1,D,0,0,D,1.25,4.5,10.0,1.25,4.3,8.0,1.22,4.5,8.0,1.2,5.0,11.0,1666.7,1432.98
T1,16/12/00,Gaziantepspor,Erzurumspor,6,1,H,2,0,H,1.3,4.4,8.0,1.3,4.0,7.0,1.3,4.0,7.0,1.25,4.5,10.0,1570.59,1357.25
T1,16/12/00,Rizespor,Istanbulspor,2,1,H,0,1,A,2.4,3.2,2.6,2.1,3.0,2.8,2.1,3.0,2.8,2.2,3.2,2.8,1383.65,1465.52
T1,16/12/00,Yozgatspor,Siirt Jet-PA,2,1,H,0,0,D,1.45,3.75,6.0,1.4,3.6,5.5,1.4,3.5,6.0,1.5,3.6,5.5,1418.47,1324.37
T1,17/12/00,Adanaspor,Kocaelispor,4,4,D,2,2,D,1.9,3.0,3.8,1.8,3.0,3.5,1.91,2.9,3.4,2.0,3.1,3.3,1388.12,1390.87
T1,17/12/00,Ankaragucu,Bursaspor,1,1,D,1,0,H,1.71,3.2,4.5,1.7,3.1,3.8,1.75,3.1,3.8,1.7,3.25,4.35,1441.9,1396.37
T1,17/12/00,Antalyaspor,Genclerbirligi,4,2,H,3,1,H,2.4,3.2,2.6,2.2,3.0,2.6,2.3,3.0,2.5,2.55,3.1,2.45,1432.86,1546.0
T1,17/12/00,Trabzonspor,Galatasaray,1,1,D,0,1,A,2.8,3.2,2.2,2.7,2.9,2.2,2.75,2.9,2.2,2.8,3.2,2.2,1524.88,1710.27
T1,20/12/00,Antalyaspor,Galatasaray,0,1,A,0,1,A,4.7,3.5,1.6,5.5,3.6,1.4,5.5,3.75,1.4,4.5,3.4,1.6,1445.83,1707.26
T1,21/12/00,Trabzonspor,Erzurumspor,3,0,H,1,0,H,1.2,4.9,8.0,1.25,4.3,8.0,1.2,4.2,10.0,1.15,6.0,10.0,1527.89,1353.72
T1,22/12/00,Adanaspor,Istanbulspor,2,2,D,1,2,A,2.6,2.9,2.4,,,,2.4,3.0,2.4,2.6,3.0,2.35,1384.71,1453.67
