Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
E2,26/08/00,Swansea,Colchester,0,2,A,0,1,A,6247.0,Paul Rejer,15,14,7,5,0,2,5,2,8,9,5,6,1,0,0,0,10,0,,,,1.75,3.2,3.5,1.8,3.25,4.0,1.7,3.25,4.33,1.61,3.4,5.0,1361.27,1281.48
E2,26/08/00,Swindon,Walsall,1,4,A,1,2,A,5492.0,Steve Tomlin,8,7,3,5,0,0,4,6,11,19,2,4,1,1,0,0,10,10,,,,2.35,3.0,2.35,2.5,3.2,2.5,2.4,3.25,2.5,2.25,3.25,2.75,1292.0,1400.55
E2,26/08/00,Wrexham,Wigan,1,3,A,0,1,A,5271.0,Alan Kaye,7,8,4,5,1,0,3,3,9,13,1,1,1,0,1,1,35,25,,,,2.5,2.9,2.3,2.75,3.25,2.25,2.6,3.2,2.38,2.62,3.2,2.37,1376.54,1450.86
E2,28/08/00,Brentford,Bristol Rvs,2,6,A,0,3,A,5434.0,Neale Barry,13,13,5,10,0,0,8,2,14,22,2,2,3,3,0,0,30,30,,,,2.1,3.0,2.8,2.5,3.2,2.5,2.2,3.2,2.8,2.1,3.25,3.0,1290.34,1388.14
E2,28/08/00,Bristol City,Rotherham,0,1,A,0,0,D,8280.0,Phil Dowd,14,9,5,3,0,1,8,3,20,14,2,8,3,2,0,0,30,20,,,,1.6,3.3,4.0,1.7,3.25,4.3,1.67,3.3,4.5,1.61,3.6,4.5,1372.43,1335.16
E2,28/08/00,Bury,Northampton,1,0,H,0,0,D,3182.0,George Cain,18,6,10,4,1,0,5,3,10,11,2,3,0,1,0,0,0,10,,,,2.0,3.0,2.9,2.25,3.25,2.75,2.0,3.2,3.25,2.0,3.25,3.25,1355.77,1354.57
E2,28/08/00,Notts County,Cambridge,0,1,A,0,1,A,5020.0,Matt Messias,12,6,5,4,0,0,8,2,14,10,3,2,1,0,0,0,10,0,,,,1.6,3.3,4.0,1.7,3.25,4.3,1.57,3.5,5.0,1.61,3.6,4.5,1348.99,1305.02
E2,28/08/00,Peterboro,Swansea,0,2,A,0,1,A,6428.0,Andy Hall,16,8,7,3,0,0,8,4,9,8,6,2,2,1,0,0,20,10,,,,2.0,3.0,2.9,2.0,3.25,3.25,1.83,3.3,3.6,1.9,3.4,3.4,1350.98,1342.82
E2,28/08/00,Port Vale,Swindon,3,0,H,1,0,H,3926.0,Roy Pearson,13,6,9,1,1,0,2,3,12,10,4,0,1,2,0,0,10,20,,,,1.9,3.1,3.0,2.1,3.25,3.0,1.83,3.3,3.6,2.0,3.25,3.25,1287.23,1279.81
E2,28/08/00,Wycombe,Luton,1,1,D,1,0,H,6001.0,Frazer Stretton,8,12,7,7,0,0,5,2,17,8,6,4,2,2,0,0,20,20,,,,1.85,3.1,3.2,1.8,3.25,4.0,1.8,3.25,3.75,1.9,3.5,3.25,1385.97,1320.09
E2,29/08/00,Colchester,Oldham,1,1,D,1,0,H,3675.0,Keith Hill,13,8,6,4,2,0,6,3,9,14,3,1,1,4,0,0,10,40,,,,2.2,3.0,2.6,2.5,3.4,2.35,2.0,3.25,3.2,2.25,3.25,2.75,1299.93,1325.66
E2,29/08/00,Reading,Stoke,3,3,D,1,2,A,10668.0,Paul Taylor,12,7,7,5,1,1,3,4,23,23,2,4,3,3,0,0,30,30,,,,2.3,2.9,2.5,2.5,3.2,2.5,2.38,3.2,2.6,2.37,3.2,2.62,1384.6,1439.49
E2,29/08/00,Walsall,Oxford,3,2,H,1,2,A,5678.0,Peter Walton,23,3,12,0,2,0,10,6,12,12,3,1,0,2,0,0,0,20,,,,1.45,3.5,5.0,1.5,3.4,6.0,1.4,3.75,7.0,1.4,3.75,7.5,1412.74,1234.92
E2,02/09/00,Brentford,Wycombe,0,0,D,0,0,D,4699.0,Paul Danson,7,8,2,4,1,0,8,9,19,13,5,2,4,0,0,0,40,0,,,,2.3,3.0,2.4,2.75,3.25,2.25,2.38,3.2,2.63,2.37,3.2,2.62,1277.76,1380.42
E2,02/09/00,Colchester,Bournemouth,3,1,H,2,1,H,3459.0,Richard Beeby,20,6,8,3,0,0,6,4,9,15,3,2,1,3,0,2,10,80,,,,2.1,3.0,2.8,2.0,3.25,3.25,2.1,3.25,3.0,2.2,3.2,2.87,1297.3,1319.65
E2,02/09/00,Oldham,Notts County,0,1,A,0,1,A,4424.0,Uriah Rennie,4,6,3,2,0,0,7,4,18,15,5,6,1,0,0,0,10,0,,,,2.2,3.0,2.6,2.25,3.25,2.75,2.3,3.25,2.7,2.25,3.25,2.75,1328.29,1331.59
E2,02/09/00,Oxford,Cambridge,1,1,D,1,1,D,4479.0,Trevor Parkes,12,8,4,4,2,0,5,5,18,12,3,7,3,1,0,0,30,10,,,,2.35,3.0,2.35,2.5,3.2,2.5,2.38,3.2,2.63,2.37,3.2,2.62,1230.72,1322.42
