Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
I1,14/10/00,Lazio,Perugia,3,0,H,1,0,H,1.2,5.0,10.0,1.2,4.7,9.0,1.25,4.5,10.0,1.2,5.0,12.0,1.2,5.0,11.0,1856.43,1628.48
I1,15/10/00,Bologna,Milan,2,1,H,1,0,H,3.4,2.85,2.1,3.0,2.9,2.0,3.4,3.0,2.0,3.25,3.0,2.1,3.2,2.8,2.2,1645.26,1809.85
I1,15/10/00,Brescia,Parma,0,0,D,0,0,D,3.2,2.85,2.2,3.0,2.9,2.0,3.2,3.0,2.1,3.1,2.9,2.25,3.25,2.75,2.2,1617.34,1755.08
I1,15/10/00,Fiorentina,Reggina,2,1,H,0,0,D,1.35,3.7,8.5,1.4,3.6,5.5,1.4,3.5,8.0,1.4,3.75,7.5,1.36,3.75,8.0,1743.95,1661.16
I1,15/10/00,Juventus,Bari,2,0,H,1,0,H,1.23,4.55,10.0,1.3,4.0,7.0,1.2,4.5,11.0,1.29,4.33,9.0,1.25,4.5,10.0,1839.92,1616.52
I1,15/10/00,Lecce,Roma,0,4,A,0,2,A,3.6,2.8,2.05,3.0,2.9,2.0,3.75,3.0,1.9,3.25,3.0,2.05,3.3,2.87,2.1,1627.97,1737.8
I1,15/10/00,Verona,Udinese,1,1,D,0,0,D,2.45,2.8,2.8,2.1,2.9,2.9,2.5,2.85,2.6,2.4,2.88,2.88,2.4,2.8,2.87,1675.56,1736.06
I1,15/10/00,Vicenza,Atalanta,1,2,A,0,0,D,2.1,2.8,3.4,1.9,2.8,3.3,2.0,3.0,3.4,2.1,2.88,3.4,2.1,2.8,3.4,1618.97,1632.28
I1,21/10/00,Milan,Juventus,2,2,D,0,0,D,2.15,3.0,3.15,2.0,2.7,3.2,2.25,2.85,3.0,2.2,2.9,3.1,2.2,2.87,3.1,1795.05,1843.28
I1,21/10/00,Udinese,Inter,3,0,H,1,0,H,2.45,3.0,2.65,2.7,2.9,2.2,,,,2.8,2.9,2.4,2.8,2.75,2.5,1737.48,1724.97
I1,22/10/00,Bari,Atalanta,0,2,A,0,0,D,2.17,2.9,3.25,2.0,2.7,3.2,2.2,2.8,3.2,2.1,2.88,3.4,2.1,2.8,3.4,1613.16,1647.84
I1,22/10/00,Brescia,Fiorentina,1,1,D,0,0,D,2.45,3.0,2.65,2.4,2.9,2.4,2.5,2.85,2.6,2.75,2.88,2.5,2.75,2.9,2.4,1618.69,1750.42
I1,22/10/00,Napoli,Bologna,1,5,A,0,2,A,2.2,2.9,3.15,1.9,2.9,3.2,2.25,2.85,3.0,2.25,2.88,3.1,2.25,3.0,2.87,1596.87,1660.06
I1,22/10/00,Perugia,Parma,3,1,H,3,0,H,3.55,2.9,2.05,3.0,2.9,2.0,3.2,3.0,2.1,3.4,2.88,2.1,3.75,2.8,2.0,1625.19,1753.73
I1,22/10/00,Reggina,Lecce,0,1,A,0,1,A,1.9,3.1,3.75,1.8,2.9,3.6,1.9,3.0,3.75,1.9,3.0,4.0,1.9,2.87,4.0,1654.69,1615.82
I1,22/10/00,Roma,Vicenza,3,1,H,1,0,H,1.25,4.6,8.5,1.2,4.7,9.0,1.2,5.0,11.0,1.25,4.6,10.0,1.2,5.0,11.0,1749.95,1603.41
I1,22/10/00,Verona,Lazio,2,0,H,0,0,D,4.25,2.95,1.85,3.4,2.9,1.85,4.0,3.0,1.85,4.0,3.1,1.85,4.0,2.87,1.9,1674.14,1859.72
I1,01/11/00,Atalanta,Verona,3,0,H,2,0,H,1.9,2.9,3.8,1.9,2.8,3.3,1.8,2.85,4.5,1.9,3.0,3.8,1.83,2.87,4.33,1662.66,1689.66
I1,01/11/00,Bologna,Reggina,2,0,H,0,0,D,1.55,3.0,6.8,1.5,3.4,4.7,1.45,3.5,7.0,1.44,3.4,6.5,1.44,3.5,7.0,1673.88,1637.44
I1,01/11/00,Fiorentina,Bari,2,2,D,1,0,H,1.45,3.5,6.5,1.45,3.5,5.0,1.4,3.75,7.0,1.44,3.6,7.0,1.44,3.5,7.0,1749.28,1598.34
I1,01/11/00,Inter,Roma,2,0,H,1,0,H,2.4,2.85,2.65,2.2,2.8,2.8,2.5,2.85,2.6,2.4,2.9,2.8,2.6,2.9,2.5,1716.38,1754.82
I1,01/11/00,Juventus,Udinese,1,2,A,0,1,A,1.45,3.4,6.8,1.45,3.5,5.0,1.45,3.5,7.0,1.45,3.5,7.0,1.44,3.3,7.5,1845.13,1746.07
I1,01/11/00,Lazio,Brescia,2,1,H,1,1,D,1.2,5.0,9.0,1.2,4.7,9.0,1.25,4.5,10.0,1.22,5.0,10.0,1.22,5.0,9.5,1844.2,1619.83
I1,01/11/00,Lecce,Napoli,1,1,D,0,0,D,1.9,2.8,4.0,1.8,2.9,3.6,1.9,3.0,3.75,1.8,3.0,4.33,1.7,3.0,5.0,1633.07,1583.05
I1,01/11/00,Parma,Milan,2,0,H,1,0,H,2.5,2.85,2.6,2.3,2.8,2.6,2.35,2.85,2.8,2.5,2.88,2.75,2.5,2.8,2.75,1740.21,1793.2
I1,01/11/00,Vicenza,Perugia,1,0,H,0,0,D,2.05,3.0,3.2,1.9,2.8,3.3,1.9,3.2,3.5,1.8,3.1,4.2,1.75,3.1,4.3,1598.54,1638.71
I1,04/11/00,Fiorentina,Perugia,3,4,A,2,1,H,1.45,3.5,6.9,1.45,3.5,5.0,1.35,3.75,8.0,1.44,3.6,6.5,1.4,3.6,7.5,1741.55,1628.34
I1,04/11/00,Lazio,Bologna,2,0,H,1,0,H,1.4,3.6,7.6,1.4,3.0,5.5,1.33,4.0,8.0,1.35,3.75,8.5,1.36,3.75,8.0,1847.55,1681.71
I1,05/11/00,Bari,Parma,0,1,A,0,0,D,2.9,3.0,2.3,2.8,2.8,2.2,3.0,3.0,2.2,2.8,3.0,2.3,2.75,2.9,2.4,1606.07,1751.03
I1,05/11/00,Brescia,Roma,2,4,A,2,1,H,3.6,2.9,2.0,3.2,2.9,1.9,4.3,2.85,1.85,3.4,3.1,2.0,3.75,2.8,2.0,1616.48,1744.51
I1,05/11/00,Milan,Atalanta,3,3,D,1,3,A,1.35,4.0,7.2,1.35,3.8,6.2,1.45,3.5,7.0,1.36,4.0,7.5,1.36,4.0,7.0,1782.38,1672.57
I1,05/11/00,Napoli,Vicenza,1,2,A,1,1,D,1.95,3.05,3.55,1.8,2.9,3.6,1.9,3.2,3.5,1.8,3.1,3.6,1.83,3.0,4.0,1588.14,1608.91
I1,05/11/00,Reggina,Juventus,0,2,A,0,1,A,3.4,2.95,2.05,3.2,2.9,1.9,3.75,3.0,1.9,3.4,3.0,1.95,3.4,2.8,2.1,1629.61,1826.16
I1,05/11/00,Udinese,Lecce,2,0,H,0,0,D,1.45,3.45,6.9,1.45,3.5,5.0,1.3,4.0,9.0,1.44,3.5,6.75,1.44,3.6,6.5,1765.04,1627.98
I1,05/11/00,Verona,Inter,2,2,D,2,1,H,2.85,2.95,2.35,2.4,2.9,2.4,2.8,2.85,2.35,2.9,3.0,2.1,3.1,2.87,2.2,1679.75,1726.69
I1,11/11/00,Atalanta,Brescia,2,0,H,1,0,H,1.7,2.95,5.1,1.5,3.4,4.7,1.6,3.25,5.0,1.53,3.2,5.5,1.67,2.9,5.5,1679.32,1604.99
I1,11/11/00,Juventus,Lazio,1,1,D,1,1,D,2.3,3.05,2.85,2.1,2.8,3.0,2.25,2.85,3.0,2.25,2.9,3.1,2.2,2.8,3.2,1835.27,1852.0
I1,12/11/00,Bari,Milan,1,3,A,0,0,D,3.05,2.95,2.2,3.0,2.9,2.0,3.4,2.85,2.1,3.25,3.0,2.1,3.1,2.8,2.25,1595.18,1775.63
I1,12/11/00,Bologna,Fiorentina,1,1,D,1,0,H,2.1,3.0,3.25,1.9,2.8,3.3,2.0,3.0,3.4,1.95,3.0,3.25,1.95,3.0,3.6,1677.26,1722.22
I1,12/11/00,Inter,Lecce,0,1,A,0,1,A,1.31,4.1,8.5,1.3,4.0,7.0,1.3,4.3,8.0,1.25,4.33,10.0,1.25,4.5,10.0,1728.58,1622.89
I1,12/11/00,Parma,Udinese,2,0,H,0,0,D,1.75,3.15,4.3,1.7,3.1,3.8,1.85,3.0,4.0,1.8,3.1,4.33,1.8,3.1,4.0,1761.92,1770.13
I1,12/11/00,Perugia,Napoli,1,1,D,0,1,A,1.8,3.1,4.15,1.7,3.1,3.8,1.7,3.2,4.3,1.73,3.2,4.4,1.72,3.1,4.5,1647.67,1572.84
I1,12/11/00,Roma,Reggina,2,1,H,1,0,H,1.22,5.0,10.0,1.2,4.7,9.0,1.2,5.0,11.0,1.22,5.0,10.0,1.2,5.0,11.0,1756.0,1620.5
I1,12/11/00,Vicenza,Verona,2,2,D,0,0,D,2.1,2.85,3.45,1.9,2.8,3.3,2.0,3.0,3.4,2.05,2.9,3.5,2.0,3.0,3.4,1624.21,1677.86
I1,18/11/00,Inter,Perugia,2,1,H,1,1,D,1.4,3.7,7.25,1.35,3.8,6.2,1.45,3.6,6.5,1.4,3.6,7.5,1.35,3.75,8.5,1709.44,1641.86
I1,18/11/00,Lazio,Milan,1,1,D,1,0,H,2.0,2.9,3.6,1.9,2.7,3.4,1.9,2.85,4.0,1.91,3.0,3.75,1.9,3.0,3.75,1854.94,1785.29
I1,19/11/00,Bologna,Parma,2,1,H,0,0,D,2.45,2.95,2.7,2.3,2.7,2.7,2.5,2.85,2.6,2.5,3.0,2.6,2.62,2.75,2.62,1675.3,1771.19
I1,19/11/00,Brescia,Juventus,0,0,D,0,0,D,3.7,3.1,1.9,3.4,2.9,1.85,3.75,3.2,1.85,3.75,3.0,1.91,3.6,2.87,2.0,1598.28,1832.33
I1,19/11/00,Fiorentina,Vicenza,3,2,H,1,2,A,1.55,3.35,5.7,1.55,3.3,4.5,1.5,3.25,6.5,1.5,3.4,6.0,1.53,3.25,6.0,1724.18,1622.55
I1,19/11/00,Lecce,Bari,2,0,H,1,0,H,1.95,2.9,3.8,1.9,2.8,3.3,1.9,3.0,3.75,1.9,3.0,3.75,2.0,2.87,3.6,1642.03,1585.52
I1,19/11/00,Napoli,Atalanta,0,0,D,0,0,D,2.5,2.9,2.7,2.4,2.8,2.5,2.6,2.85,2.5,2.5,2.9,2.6,2.5,2.9,2.62,1578.65,1686.03
I1,19/11/00,Udinese,Reggina,3,0,H,2,0,H,1.4,3.65,7.15,1.35,3.8,6.2,1.35,3.2,8.0,1.4,3.6,7.5,1.33,3.75,9.0,1760.86,1615.38
I1,19/11/00,Verona,Roma,1,4,A,1,2,A,3.5,2.9,2.05,2.9,2.9,2.1,3.2,3.0,2.1,3.3,3.0,2.05,3.4,2.8,2.1,1679.52,1761.12
I1,25/11/00,Atalanta,Lecce,1,0,H,1,0,H,1.7,3.1,4.85,1.65,3.1,4.0,1.61,3.25,5.0,1.75,3.0,4.75,1.73,3.1,4.5,1685.76,1649.25
I1,25/11/00,Milan,Napoli,1,0,H,1,0,H,1.3,4.3,9.0,1.25,4.3,8.0,1.3,4.33,8.0,1.29,4.5,8.0,1.33,4.0,8.0,1790.95,1578.92
I1,26/11/00,Bari,Udinese,2,1,H,0,0,D,2.45,2.85,2.75,2.7,2.7,2.3,2.62,2.87,2.5,2.8,2.9,2.38,2.62,2.87,2.5,1578.3,1765.75
I1,26/11/00,Juventus,Verona,2,1,H,1,0,H,1.28,4.2,8.6,1.3,4.0,7.0,1.33,3.75,9.0,1.33,4.0,8.0,1.33,4.0,8.0,1827.73,1666.36
I1,26/11/00,Parma,Lazio,2,0,H,1,0,H,2.45,2.8,2.85,2.3,2.7,2.7,2.4,2.87,2.8,2.5,2.9,2.63,2.5,2.75,2.75,1758.84,1849.28
I1,26/11/00,Perugia,Bologna,1,3,A,0,2,A,2.3,2.85,3.05,2.3,2.7,2.7,2.25,2.87,3.0,2.2,3.0,3.0,2.37,2.8,2.87,1634.96,1687.65
I1,26/11/00,Reggina,Brescia,0,3,A,0,0,D,2.3,2.8,3.0,1.8,2.9,3.6,2.1,2.87,3.4,2.0,2.88,3.6,2.1,2.8,3.4,1610.49,1602.88
I1,26/11/00,Roma,Fiorentina,1,0,H,0,0,D,1.5,3.4,6.3,1.55,3.2,4.8,1.5,3.4,6.0,1.5,3.4,6.0,1.5,3.25,6.5,1774.28,1730.14
I1,26/11/00,Vicenza,Inter,0,0,D,0,0,D,3.0,2.9,2.25,2.4,2.9,2.4,3.0,2.87,2.25,3.0,2.9,2.25,3.0,2.87,2.25,1616.59,1716.34
I1,02/12/00,Lazio,Reggina,2,0,H,1,0,H,1.2,5.5,9.5,1.2,4.7,9.0,,,,1.2,5.0,11.0,1.2,5.0,11.0,1837.12,1594.24
I1,02/12/00,Parma,Atalanta,2,0,H,1,0,H,1.6,3.4,5.0,1.6,3.2,4.2,,,,1.62,3.2,5.2,1.66,3.1,5.0,1771.0,1693.59
I1,03/12/00,Bologna,Vicenza,1,1,D,1,1,D,1.45,3.4,6.3,1.5,3.4,4.7,1.5,3.25,6.5,1.53,3.3,6.0,1.44,3.6,6.5,1701.84,1616.58
I1,03/12/00,Inter,Juventus,2,2,D,1,2,A,2.35,2.8,3.0,2.2,2.8,2.8,2.37,2.8,2.87,2.4,2.88,2.8,2.4,2.8,2.87,1716.35,1832.27
I1,03/12/00,Lecce,Fiorentina,1,1,D,1,0,H,2.45,2.9,2.7,2.4,2.7,2.6,2.62,2.87,2.5,2.5,2.9,2.63,2.5,2.75,2.75,1641.42,1722.55
I1,03/12/00,Napoli,Bari,1,0,H,1,0,H,1.85,3.0,3.8,1.9,2.8,3.3,2.1,3.2,3.0,1.9,3.0,3.6,1.83,2.87,4.33,1575.36,1593.88
I1,03/12/00,Perugia,Roma,0,0,D,0,0,D,4.0,3.15,1.75,3.5,3.0,1.8,4.33,3.2,1.73,4.0,3.0,1.83,4.5,2.9,1.8,1620.77,1781.87
I1,03/12/00,Udinese,Milan,0,1,A,0,0,D,2.4,2.9,2.7,2.4,2.7,2.6,2.37,2.87,2.8,2.4,2.9,2.75,2.62,2.75,2.62,1750.17,1794.51
I1,03/12/00,Verona,Brescia,2,1,H,1,0,H,1.75,3.0,4.2,1.7,3.1,3.8,1.73,3.2,4.33,1.85,3.0,4.0,1.9,2.75,4.2,1661.82,1619.13
I1,09/12/00,Brescia,Napoli,1,1,D,1,0,H,1.95,3.0,3.7,1.9,2.8,3.3,1.91,3.0,3.75,2.05,2.88,3.5,2.0,2.87,3.6,1611.49,1584.98
I1,09/12/00,Reggina,Verona,1,1,D,0,1,A,2.5,2.9,2.65,2.4,2.9,2.4,2.8,2.87,2.37,2.63,2.88,2.5,2.5,2.75,2.75,1591.19,1669.46
I1,10/12/00,Atalanta,Perugia,0,0,D,0,0,D,1.6,3.25,5.55,1.6,3.2,4.2,1.57,3.25,5.5,1.57,3.25,5.5,1.57,3.25,5.5,1686.97,1622.95
I1,10/12/00,Bari,Bologna,2,0,H,1,0,H,2.4,2.8,2.9,2.4,2.7,2.6,2.5,2.87,2.62,2.4,2.88,2.75,2.37,2.8,2.87,1584.26,1695.74
I1,10/12/00,Fiorentina,Inter,2,0,H,0,0,D,2.25,2.85,3.1,2.2,2.7,2.9,2.37,2.8,2.87,2.38,2.8,2.88,2.3,2.8,3.0,1723.23,1716.92
I1,10/12/00,Juventus,Parma,1,0,H,1,0,H,1.85,3.0,4.1,1.85,2.8,3.6,1.73,3.2,4.33,1.8,3.0,4.2,1.83,2.87,4.33,1831.7,1777.62
I1,10/12/00,Milan,Lecce,4,1,H,3,1,H,1.31,4.2,8.2,1.35,3.8,6.2,1.3,4.0,9.0,1.3,4.2,8.5,1.33,4.0,8.0,1809.0,1640.74
I1,10/12/00,Roma,Udinese,2,1,H,2,1,H,1.45,3.55,6.6,1.5,3.2,5.0,1.44,3.6,6.5,1.48,3.5,6.0,1.44,3.5,7.0,1779.69,1735.68
I1,10/12/00,Vicenza,Lazio,1,4,A,0,2,A,3.5,2.9,2.05,3.1,2.8,2.0,3.4,2.87,2.1,3.6,2.9,2.0,3.4,2.8,2.1,1622.68,1840.17
I1,16/12/00,Napoli,Reggina,6,2,H,3,0,H,1.7,3.1,4.8,1.7,2.9,4.0,1.91,3.0,3.75,1.67,3.2,4.8,1.66,3.1,5.0,1589.34,1590.41
I1,16/12/00,Perugia,Bari,4,1,H,1,0,H,1.9,2.8,4.2,1.85,2.8,3.6,1.83,3.0,4.0,1.91,2.88,4.0,2.0,2.87,3.6,1628.45,1597.17
I1,17/12/00,Bologna,Atalanta,0,1,A,0,0,D,1.95,2.8,4.0,1.9,2.8,3.3,1.83,3.0,4.0,1.91,3.0,3.75,1.83,3.0,4.0,1682.83,1681.47
I1,17/12/00,Inter,Brescia,0,0,D,0,0,D,1.3,4.2,9.0,1.35,3.8,6.2,1.3,4.0,9.0,1.33,3.75,8.5,1.33,4.0,8.0,1708.13,1607.13
I1,17/12/00,Lazio,Roma,0,1,A,0,0,D,2.45,2.65,3.0,2.45,2.8,2.45,2.6,2.8,2.6,2.5,2.9,2.63,2.6,2.8,2.6,1848.6,1787.29
I1,17/12/00,Lecce,Juventus,1,4,A,0,2,A,3.8,3.0,1.9,3.3,2.8,1.9,4.0,3.0,1.83,3.75,3.0,1.91,3.5,2.75,2.1,1636.34,1838.99
I1,17/12/00,Parma,Vicenza,0,2,A,0,0,D,1.27,4.5,8.0,1.35,3.8,6.2,1.3,4.0,9.0,1.3,3.8,10.0,1.25,4.5,10.0,1770.33,1614.25
I1,17/12/00,Udinese,Fiorentina,1,3,A,1,1,D,1.95,2.9,3.8,2.0,2.7,3.2,2.0,3.0,3.4,2.0,2.88,3.6,2.0,2.87,3.6,1728.08,1732.02
I1,17/12/00,Verona,Milan,1,1,D,1,1,D,3.5,2.8,2.1,3.0,2.8,2.1,3.4,3.0,2.0,3.6,2.9,2.0,3.6,2.87,2.0,1670.24,1813.4
I1,22/12/00,Bari,Lazio,1,2,A,0,1,A,3.9,3.0,1.9,3.3,2.8,1.9,3.4,3.0,2.0,3.75,3.0,1.9,4.0,3.0,1.83,1589.18,1830.68
I1,22/12/00,Roma,Juventus,0,0,D,0,0,D,2.15,2.95,3.1,2.0,2.7,3.2,2.1,2.8,3.4,2.1,3.0,3.3,2.1,3.0,3.2,1805.21,1847.9
I1,23/12/00,Atalanta,Inter,0,1,A,0,1,A,2.3,3.0,2.85,2.3,2.8,2.6,2.2,3.0,3.0,2.25,2.9,3.0,2.37,2.9,2.8,1697.52,1701.61
I1,23/12/00,Brescia,Lecce,2,2,D,0,1,A,1.9,3.0,3.6,1.9,2.8,3.3,1.83,3.0,4.0,1.85,3.0,4.0,1.9,3.0,3.75,1613.65,1627.43
I1,23/12/00,Fiorentina,Verona,2,0,H,1,0,H,1.47,3.4,6.75,1.45,3.5,5.0,1.4,3.75,7.0,1.4,3.5,7.5,1.4,3.6,7.5,1747.89,1671.78
I1,23/12/00,Milan,Perugia,1,2,A,1,1,D,1.25,4.5,9.8,1.3,4.0,7.0,1.25,4.5,10.0,1.29,4.33,8.5,1.28,4.5,8.0,1811.86,1636.44
I1,23/12/00,Napoli,Parma,2,2,D,0,1,A,2.65,2.8,2.6,2.45,2.8,2.45,2.62,2.87,2.5,2.63,2.9,2.5,2.5,2.9,2.62,1598.37,1749.99
I1,23/12/00,Reggina,Vicenza,1,0,H,0,0,D,2.4,2.85,2.8,2.2,2.9,2.7,2.5,2.87,2.62,2.6,3.0,2.5,2.55,2.9,2.55,1581.38,1634.59
I1,23/12/00,Udinese,Bologna,3,1,H,2,0,H,1.85,3.1,3.85,1.9,2.8,3.3,1.83,3.0,4.0,1.85,3.0,4.0,1.83,2.87,4.33,1712.21,1666.78
I1,06/01/01,Juventus,Fiorentina,3,3,D,1,2,A,1.6,3.2,5.0,1.65,3.1,4.0,1.57,3.25,5.5,1.57,3.25,5.5,1.57,3.25,5.5,1849.94,1754.55
I1,06/01/01,Vicenza,Bari,1,0,H,1,0,H,1.85,3.0,3.8,1.7,3.0,4.0,1.8,2.87,4.5,1.85,2.88,4.2,1.8,2.9,4.5,1623.76,1581.51
I1,07/01/01,Atalanta,Roma,0,2,A,0,2,A,2.85,3.0,2.25,2.7,2.7,2.3,3.2,2.8,2.2,2.88,3.0,2.25,3.1,2.75,2.3,1681.65,1803.17
I1,07/01/01,Bologna,Brescia,1,0,H,1,0,H,1.5,3.3,6.4,1.5,3.2,5.0,1.44,3.5,7.0,1.5,3.3,6.5,1.53,3.25,6.0,1659.23,1610.61
I1,07/01/01,Lazio,Napoli,1,2,A,0,2,A,1.2,4.5,11.0,1.25,4.3,8.0,1.3,4.0,9.0,1.3,4.2,8.5,1.3,4.33,8.0,1838.35,1600.21
I1,07/01/01,Lecce,Verona,4,2,H,0,1,A,1.95,2.9,3.7,2.0,2.7,3.2,1.91,2.87,4.0,1.91,2.88,4.0,2.0,2.8,3.75,1630.47,1665.12
I1,07/01/01,Milan,Inter,2,2,D,0,1,A,2.1,2.8,3.6,2.3,2.7,2.7,2.37,2.87,2.8,2.3,2.9,2.9,2.35,2.85,2.85,1791.11,1717.48
I1,07/01/01,Parma,Reggina,0,2,A,0,1,A,1.2,4.5,11.0,1.2,4.7,9.0,1.25,4.5,10.0,1.25,4.75,9.0,1.25,4.5,10.0,1748.15,1592.21
I1,07/01/01,Perugia,Udinese,3,1,H,2,1,H,2.25,3.0,2.85,2.2,2.8,2.8,2.25,2.87,3.0,2.2,2.88,3.1,2.25,2.8,3.1,1657.19,1719.76
I1,13/01/01,Brescia,Perugia,1,0,H,1,0,H,2.25,2.9,2.95,2.2,2.7,2.9,2.37,2.8,2.87,2.38,2.9,2.75,2.2,2.87,3.1,1603.15,1668.35
I1,13/01/01,Fiorentina,Milan,4,0,H,1,0,H,2.2,2.9,3.1,2.1,2.7,3.1,2.2,3.0,3.0,2.3,2.9,2.9,2.3,2.8,3.0,1760.92,1785.34
I1,14/01/01,Inter,Parma,1,1,D,0,1,A,1.87,3.1,3.5,1.9,2.8,3.3,1.83,3.0,4.0,1.83,3.0,4.0,1.85,2.87,4.2,1723.25,1727.81
I1,14/01/01,Juventus,Bologna,1,0,H,1,0,H,1.35,3.75,8.0,1.45,3.5,5.0,1.36,3.75,8.0,1.35,3.75,8.0,1.33,3.75,9.0,1843.57,1666.69
I1,14/01/01,Lecce,Vicenza,3,1,H,2,0,H,1.95,3.1,3.5,1.9,2.7,3.4,2.0,2.87,3.6,2.0,2.9,3.6,1.9,2.87,4.0,1640.65,1631.41
I1,14/01/01,Reggina,Atalanta,1,0,H,1,0,H,2.65,3.0,2.45,2.45,2.8,2.45,2.62,2.87,2.5,2.5,2.9,2.6,2.37,2.87,2.8,1612.55,1669.92
I1,14/01/01,Roma,Bari,1,1,D,0,0,D,1.2,5.0,11.0,1.2,4.7,9.0,1.17,5.0,15.0,1.22,5.0,9.5,1.18,5.5,10.0,1814.9,1573.86
I1,14/01/01,Udinese,Lazio,3,4,A,0,2,A,2.8,3.0,2.3,2.8,2.8,2.2,2.8,2.87,2.37,2.8,3.0,2.3,3.0,2.87,2.25,1708.6,1816.47
I1,14/01/01,Verona,Napoli,2,1,H,0,0,D,2.05,3.05,3.25,2.1,2.8,3.0,2.2,2.75,3.25,2.2,2.88,3.1,2.2,2.8,3.2,1654.94,1622.09
I1,20/01/01,Bologna,Verona,1,0,H,1,0,H,1.6,3.1,5.3,1.6,3.0,4.5,1.61,3.0,5.5,1.6,3.2,5.5,1.57,3.25,5.5,1662.47,1662.88
I1,20/01/01,Lazio,Inter,2,0,H,1,0,H,1.75,3.1,4.4,1.75,3.0,3.8,1.8,3.2,4.0,1.8,3.0,4.33,1.72,3.1,4.5,1828.69,1719.9
I1,21/01/01,Atalanta,Fiorentina,0,0,D,0,0,D,2.42,3.0,2.7,2.5,2.7,2.5,2.8,2.87,2.37,2.63,2.9,2.5,2.62,2.8,2.6,1658.95,1770.74
I1,21/01/01,Bari,Reggina,2,1,H,1,1,D,1.85,3.05,3.9,1.9,2.7,3.4,1.91,3.0,3.75,1.8,3.0,4.33,1.8,2.9,4.5,1583.28,1623.52
I1,21/01/01,Milan,Roma,3,2,H,3,1,H,2.3,2.9,2.95,2.2,2.7,2.9,2.5,2.87,2.62,2.38,2.88,2.88,2.3,2.8,3.0,1775.52,1805.48
I1,21/01/01,Napoli,Udinese,0,1,A,0,0,D,2.0,3.0,3.45,2.0,2.8,3.1,2.0,3.0,3.4,2.0,3.0,3.4,2.15,2.7,3.5,1614.15,1696.38
I1,21/01/01,Parma,Lecce,1,1,D,0,0,D,1.4,3.6,7.0,1.4,3.6,5.5,1.44,3.5,7.0,1.4,3.6,7.0,1.4,3.6,7.5,1731.16,1649.34
I1,21/01/01,Perugia,Juventus,0,1,A,0,0,D,3.7,3.1,1.85,3.3,2.8,1.9,3.75,3.0,1.91,3.75,3.0,1.91,4.0,3.1,1.8,1657.1,1847.79
I1,21/01/01,Vicenza,Brescia,1,1,D,0,1,A,1.85,3.1,3.85,1.7,3.0,4.0,1.91,3.0,3.75,1.85,2.88,4.33,1.83,2.87,4.33,1622.72,1614.4
I1,27/01/01,Lecce,Bologna,0,0,D,0,0,D,2.05,3.0,3.35,2.1,2.7,3.1,2.0,3.0,3.4,2.1,3.0,3.2,2.2,2.8,3.2,1655.34,1671.48
I1,27/01/01,Reggina,Perugia,0,2,A,0,2,A,,,,2.1,2.7,3.1,2.1,3.0,3.2,2.2,2.9,3.1,2.2,2.8,3.2,1613.15,1647.79
