Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,EloHome,EloAway
E0,06/11/99,Aston Villa,Southampton,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1676.86,1630.09
E0,06/11/99,Bradford,Coventry,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,,1637.89,1644.96
E0,06/11/99,Liverpool,Derby,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1723.73,1630.07
E0,06/11/99,Man United,Leicester,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1865.43,1699.5
E0,06/11/99,Middlesbrough,Sunderland,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,1689.92,1831.24
E0,06/11/99,Sheffield Weds,Watford,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,,,1556.07,1607.64
E0,07/11/99,Chelsea,West Ham,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1789.6,1696.57
E0,07/11/99,Newcastle,Everton,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,1615.73,1647.52
E0,07/11/99,Tottenham,Arsenal,2.0,1.0,H,2.0,1.0,H,,,,,,,,,,,,,1679.32,1859.9
E0,07/11/99,Wimbledon,Leeds,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1588.88,1810.32
E0,20/11/99,Arsenal,Middlesbrough,5.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,,1844.55,1691.4
E0,20/11/99,Derby,Man United,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,1623.9,1869.88
E0,20/11/99,Everton,Chelsea,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,,1649.94,1783.29
E0,20/11/99,Leeds,Bradford,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,,1793.62,1634.62
E0,20/11/99,Leicester,Wimbledon,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1695.05,1605.58
E0,20/11/99,Southampton,Tottenham,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1647.58,1694.67
E0,20/11/99,Sunderland,Liverpool,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,1829.76,1729.9
E0,20/11/99,Watford,Newcastle,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,1609.37,1613.31
E0,21/11/99,West Ham,Sheffield Weds,4.0,3.0,H,1.0,1.0,D,,,,,,,,,,,,,1702.88,1554.34
E0,22/11/99,Coventry,Aston Villa,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1648.23,1659.37
E0,27/11/99,Coventry,Leicester,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1657.6,1701.34
E0,27/11/99,Everton,Aston Villa,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1651.14,1650.0
E0,27/11/99,Middlesbrough,Wimbledon,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1686.68,1599.29
E0,27/11/99,Watford,Sunderland,2.0,3.0,A,1.0,2.0,A,,,,,,,,,,,,,1606.0,1810.77
E0,27/11/99,West Ham,Liverpool,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1707.7,1748.89
E0,28/11/99,Arsenal,Derby,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1849.27,1616.36
E0,28/11/99,Chelsea,Bradford,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1782.09,1630.03
E0,28/11/99,Leeds,Southampton,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1798.21,1633.19
E0,28/11/99,Newcastle,Tottenham,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1616.68,1709.06
E0,04/12/99,Aston Villa,Newcastle,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1653.54,1628.91
E0,04/12/99,Bradford,Middlesbrough,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,1625.28,1680.52
E0,04/12/99,Leicester,Arsenal,0.0,3.0,A,0.0,1.0,A,,,,,,,,,,,,,1715.85,1852.48
E0,04/12/99,Man United,Everton,5.0,1.0,H,3.0,1.0,H,,,,,,,,,,,,,1877.42,1647.6
E0,04/12/99,Southampton,Coventry,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1628.72,1643.09
E0,04/12/99,Sunderland,Chelsea,4.0,1.0,H,4.0,0.0,H,,,,,,,,,,,,,1819.61,1786.84
E0,04/12/99,Wimbledon,Watford,5.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,1605.45,1597.16
E0,05/12/99,Derby,Leeds,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1613.15,1802.68
E0,05/12/99,Liverpool,Sheffield Weds,4.0,1.0,H,2.0,1.0,H,,,,,,,,,,,,,1738.49,1549.52
E0,06/12/99,Tottenham,West Ham,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1696.83,1718.1
E0,18/12/99,Arsenal,Wimbledon,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,1863.67,1614.18
E0,18/12/99,Aston Villa,Sheffield Weds,2.0,1.0,H,0.0,1.0,A,,,,,,,,,,,,,1636.74,1545.54
E0,18/12/99,Bradford,Newcastle,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1623.68,1645.71
E0,18/12/99,Leicester,Derby,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1704.66,1603.8
E0,18/12/99,Liverpool,Coventry,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1742.47,1646.11
E0,18/12/99,Middlesbrough,Tottenham,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1682.12,1694.04
E0,18/12/99,Sunderland,Southampton,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1827.55,1625.7
E0,18/12/99,Watford,Everton,1.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,,1588.43,1644.34
E0,18/12/99,West Ham,Man United,2.0,4.0,A,1.0,3.0,A,,,,,,,,,,,,,1720.89,1880.68
E0,19/12/99,Chelsea,Leeds,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,1778.9,1812.03
E0,26/12/99,Coventry,Arsenal,3.0,2.0,H,2.0,0.0,H,,,,,,,,,,,,,1640.01,1854.12
E0,26/12/99,Derby,Aston Villa,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,1622.82,1642.98
E0,26/12/99,Everton,Sunderland,5.0,0.0,H,3.0,0.0,H,,,,,,,,,,,,,1658.42,1831.29
E0,26/12/99,Leeds,Leicester,2.0,1.0,H,2.0,1.0,H,,,,,,,,,,,,,1826.91,1685.64
E0,26/12/99,Man United,Bradford,4.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1891.05,1633.42
E0,26/12/99,Newcastle,Liverpool,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,,1635.97,1748.57
E0,26/12/99,Sheffield Weds,Middlesbrough,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1539.3,1691.52
E0,26/12/99,Southampton,Chelsea,1.0,2.0,A,0.0,2.0,A,,,,,,,,,,,,,1621.96,1764.02
E0,26/12/99,Tottenham,Watford,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,1684.64,1574.35
E0,26/12/99,Wimbledon,West Ham,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,,1623.73,1710.52
E0,28/12/99,Arsenal,Leeds,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1837.66,1831.9
